# _root_ Pro investora se připravují informace o podnicích v odvětví , o situaci na trhu , představuje se lokalita a infrastruktura a poskytují se i další nezbytná data .
#goldHeads=4,1,4,21,4,10,6,7,8,5,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
#predictedHeads=4,1,4,0,4,5,6,7,8,21,10,11,12,13,21,21,16,19,16,19,0,21,22,27,27,27,22,0,
(0,1),-0.7032 # DEPENDENCYPART_ARC
(0,2),-1.24999 # DEPENDENCYPART_ARC
(0,4),-0.00778159 # DEPENDENCYPART_ARC
(0,5),-1.28772 # DEPENDENCYPART_ARC
(0,10),-0.528907 # DEPENDENCYPART_ARC
(0,15),-0.851848 # DEPENDENCYPART_ARC
(0,16),1.06324 # DEPENDENCYPART_ARC
(0,19),-0.63183 # DEPENDENCYPART_ARC
(0,21),-0.81689 # DEPENDENCYPART_ARC
(0,22),-1.46349 # DEPENDENCYPART_ARC
(0,28),2.52714 # DEPENDENCYPART_ARC
(1,2),2.11228 # DEPENDENCYPART_ARC
(1,4),-2.76744 # DEPENDENCYPART_ARC
(1,5),-4.3754 # DEPENDENCYPART_ARC
(2,1),-0.693218 # DEPENDENCYPART_ARC
(2,3),-0.7797 # DEPENDENCYPART_ARC
(2,4),-1.84843 # DEPENDENCYPART_ARC
(2,5),-2.41976 # DEPENDENCYPART_ARC
(2,6),-1.1381 # DEPENDENCYPART_ARC
(2,8),-1.76765 # DEPENDENCYPART_ARC
(4,1),0.582336 # DEPENDENCYPART_ARC
(4,2),-0.502747 # DEPENDENCYPART_ARC
(4,3),1.65282 # DEPENDENCYPART_ARC
(4,5),1.9009 # DEPENDENCYPART_ARC
(4,6),0.0867181 # DEPENDENCYPART_ARC
(4,7),-0.713458 # DEPENDENCYPART_ARC
(4,8),-0.299402 # DEPENDENCYPART_ARC
(4,9),-1.60866 # DEPENDENCYPART_ARC
(4,10),-0.655351 # DEPENDENCYPART_ARC
(4,11),-1.4011 # DEPENDENCYPART_ARC
(4,12),-2.35159 # DEPENDENCYPART_ARC
(4,13),-0.963636 # DEPENDENCYPART_ARC
(4,14),-2.48694 # DEPENDENCYPART_ARC
(4,15),-0.443032 # DEPENDENCYPART_ARC
(4,19),-0.871027 # DEPENDENCYPART_ARC
(4,20),-3.25761 # DEPENDENCYPART_ARC
(4,21),-1.15793 # DEPENDENCYPART_ARC
(4,24),-1.7047 # DEPENDENCYPART_ARC
(4,27),-3.37892 # DEPENDENCYPART_ARC
(5,1),-1.76794 # DEPENDENCYPART_ARC
(5,2),-3.65325 # DEPENDENCYPART_ARC
(5,3),-3.79611 # DEPENDENCYPART_ARC
(5,4),-1.40206 # DEPENDENCYPART_ARC
(5,6),1.34656 # DEPENDENCYPART_ARC
(5,7),-1.51617 # DEPENDENCYPART_ARC
(5,8),-0.114353 # DEPENDENCYPART_ARC
(5,11),-0.779879 # DEPENDENCYPART_ARC
(5,13),-0.6012 # DEPENDENCYPART_ARC
(5,16),-2.10701 # DEPENDENCYPART_ARC
(5,22),-2.50673 # DEPENDENCYPART_ARC
(6,2),-3.28655 # DEPENDENCYPART_ARC
(6,7),2.79522 # DEPENDENCYPART_ARC
(6,9),-0.377234 # DEPENDENCYPART_ARC
(6,19),-0.388235 # DEPENDENCYPART_ARC
(7,1),-1.71394 # DEPENDENCYPART_ARC
(7,5),-2.08928 # DEPENDENCYPART_ARC
(7,6),-1.16552 # DEPENDENCYPART_ARC
(7,8),0.170829 # DEPENDENCYPART_ARC
(7,9),-1.62006 # DEPENDENCYPART_ARC
(7,10),-0.946848 # DEPENDENCYPART_ARC
(7,11),-0.960495 # DEPENDENCYPART_ARC
(7,13),-1.04649 # DEPENDENCYPART_ARC
(7,16),-2.33981 # DEPENDENCYPART_ARC
(7,21),-1.14206 # DEPENDENCYPART_ARC
(7,22),-2.71202 # DEPENDENCYPART_ARC
(8,6),-1.07455 # DEPENDENCYPART_ARC
(8,7),-1.46313 # DEPENDENCYPART_ARC
(8,9),2.34601 # DEPENDENCYPART_ARC
(8,10),-1.29145 # DEPENDENCYPART_ARC
(8,12),-0.784091 # DEPENDENCYPART_ARC
(9,6),-1.43163 # DEPENDENCYPART_ARC
(9,7),-3.43384 # DEPENDENCYPART_ARC
(9,8),-0.745236 # DEPENDENCYPART_ARC
(9,11),-1.18598 # DEPENDENCYPART_ARC
(9,12),-2.54927 # DEPENDENCYPART_ARC
(9,13),-1.23061 # DEPENDENCYPART_ARC
(9,16),-2.07881 # DEPENDENCYPART_ARC
(9,19),-1.44734 # DEPENDENCYPART_ARC
(9,21),-1.34125 # DEPENDENCYPART_ARC
(10,1),-0.926079 # DEPENDENCYPART_ARC
(10,2),-1.53108 # DEPENDENCYPART_ARC
(10,4),-0.595388 # DEPENDENCYPART_ARC
(10,5),-1.00062 # DEPENDENCYPART_ARC
(10,6),-0.476652 # DEPENDENCYPART_ARC
(10,7),-1.00265 # DEPENDENCYPART_ARC
(10,8),-0.66512 # DEPENDENCYPART_ARC
(10,9),-1.18736 # DEPENDENCYPART_ARC
(10,11),-0.288229 # DEPENDENCYPART_ARC
(10,12),-1.11459 # DEPENDENCYPART_ARC
(10,13),-0.986873 # DEPENDENCYPART_ARC
(10,14),-1.59141 # DEPENDENCYPART_ARC
(10,15),-0.644869 # DEPENDENCYPART_ARC
(10,16),-1.66181 # DEPENDENCYPART_ARC
(10,21),-0.799969 # DEPENDENCYPART_ARC
(10,22),-2.56747 # DEPENDENCYPART_ARC
