# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,15,13,9,13,13,15,15,7,17,15,17,18,22,22,19,0,
(0,1),-0.0579989 # DEPENDENCYPART_ARC
(0,3),-1.41076 # DEPENDENCYPART_ARC
(0,4),-2.17962 # DEPENDENCYPART_ARC
(0,5),-2.55545 # DEPENDENCYPART_ARC
(0,7),-2.48048 # DEPENDENCYPART_ARC
(0,8),-1.32211 # DEPENDENCYPART_ARC
(0,11),-1.10525 # DEPENDENCYPART_ARC
(0,13),-2.04236 # DEPENDENCYPART_ARC
(0,14),-1.39797 # DEPENDENCYPART_ARC
(0,15),-0.47704 # DEPENDENCYPART_ARC
(0,17),-2.75903 # DEPENDENCYPART_ARC
(0,23),1.98219 # DEPENDENCYPART_ARC
(1,2),1.74715 # DEPENDENCYPART_ARC
(1,3),0.603845 # DEPENDENCYPART_ARC
(1,4),-0.814561 # DEPENDENCYPART_ARC
(1,5),-2.18045 # DEPENDENCYPART_ARC
(1,6),-2.81908 # DEPENDENCYPART_ARC
(1,7),-1.22655 # DEPENDENCYPART_ARC
(1,8),-0.69774 # DEPENDENCYPART_ARC
(1,9),-0.937883 # DEPENDENCYPART_ARC
(1,11),-2.0542 # DEPENDENCYPART_ARC
(1,13),-1.38588 # DEPENDENCYPART_ARC
(1,14),-0.973556 # DEPENDENCYPART_ARC
(1,15),-0.672097 # DEPENDENCYPART_ARC
(1,16),-1.65833 # DEPENDENCYPART_ARC
(1,18),-2.28076 # DEPENDENCYPART_ARC
(1,19),-1.50394 # DEPENDENCYPART_ARC
(1,22),-3.56453 # DEPENDENCYPART_ARC
(3,4),1.53184 # DEPENDENCYPART_ARC
(3,5),-2.88145 # DEPENDENCYPART_ARC
(3,7),-3.49929 # DEPENDENCYPART_ARC
(4,1),-3.11747 # DEPENDENCYPART_ARC
(4,2),-3.05344 # DEPENDENCYPART_ARC
(4,3),0.319682 # DEPENDENCYPART_ARC
(4,5),-1.10955 # DEPENDENCYPART_ARC
(4,6),-1.90101 # DEPENDENCYPART_ARC
(4,7),0.391952 # DEPENDENCYPART_ARC
(4,8),-1.30152 # DEPENDENCYPART_ARC
(4,9),-1.7478 # DEPENDENCYPART_ARC
(4,11),-2.06114 # DEPENDENCYPART_ARC
(4,12),-1.52258 # DEPENDENCYPART_ARC
(4,13),-2.19802 # DEPENDENCYPART_ARC
(4,15),-1.39203 # DEPENDENCYPART_ARC
(4,17),-3.0005 # DEPENDENCYPART_ARC
(5,2),-1.9104 # DEPENDENCYPART_ARC
(5,3),-0.902614 # DEPENDENCYPART_ARC
(5,4),-2.25554 # DEPENDENCYPART_ARC
(5,6),-2.62624 # DEPENDENCYPART_ARC
(5,7),-2.17024 # DEPENDENCYPART_ARC
(5,8),-1.17672 # DEPENDENCYPART_ARC
(5,9),-1.14807 # DEPENDENCYPART_ARC
(5,15),-1.48892 # DEPENDENCYPART_ARC
(5,22),-3.37241 # DEPENDENCYPART_ARC
(6,2),-2.26345 # DEPENDENCYPART_ARC
(6,5),-1.94837 # DEPENDENCYPART_ARC
(7,1),-3.11477 # DEPENDENCYPART_ARC
(7,2),-3.59933 # DEPENDENCYPART_ARC
(7,3),-1.06422 # DEPENDENCYPART_ARC
(7,4),-4.01651 # DEPENDENCYPART_ARC
(7,5),2.29576 # DEPENDENCYPART_ARC
(7,6),2.96427 # DEPENDENCYPART_ARC
(7,8),-1.55258 # DEPENDENCYPART_ARC
(7,9),-2.06104 # DEPENDENCYPART_ARC
(7,11),-1.38085 # DEPENDENCYPART_ARC
(7,12),-1.83113 # DEPENDENCYPART_ARC
(7,13),-1.82314 # DEPENDENCYPART_ARC
(7,15),-1.71939 # DEPENDENCYPART_ARC
(7,16),-2.06324 # DEPENDENCYPART_ARC
(7,17),-2.74473 # DEPENDENCYPART_ARC
(8,1),-1.133 # DEPENDENCYPART_ARC
(8,3),-0.82661 # DEPENDENCYPART_ARC
(8,4),-1.64281 # DEPENDENCYPART_ARC
(8,5),-1.58531 # DEPENDENCYPART_ARC
(8,6),-1.432 # DEPENDENCYPART_ARC
(8,7),-1.41008 # DEPENDENCYPART_ARC
(8,9),-0.64522 # DEPENDENCYPART_ARC
(8,11),-0.866251 # DEPENDENCYPART_ARC
(8,12),-1.32984 # DEPENDENCYPART_ARC
(8,13),-1.67479 # DEPENDENCYPART_ARC
(8,14),-0.658555 # DEPENDENCYPART_ARC
(8,15),-0.943988 # DEPENDENCYPART_ARC
(8,16),-1.14664 # DEPENDENCYPART_ARC
(8,17),-2.7086 # DEPENDENCYPART_ARC
(9,8),-1.24462 # DEPENDENCYPART_ARC
(9,10),1.81027 # DEPENDENCYPART_ARC
(11,1),-2.61706 # DEPENDENCYPART_ARC
(11,2),-1.11329 # DEPENDENCYPART_ARC
(11,3),-0.579553 # DEPENDENCYPART_ARC
(11,4),-2.04925 # DEPENDENCYPART_ARC
(11,5),-4.28327 # DEPENDENCYPART_ARC
(11,6),-3.94274 # DEPENDENCYPART_ARC
(11,7),-3.20347 # DEPENDENCYPART_ARC
(11,8),0.565844 # DEPENDENCYPART_ARC
(11,9),0.870379 # DEPENDENCYPART_ARC
(11,12),-0.353076 # DEPENDENCYPART_ARC
(11,13),1.21387 # DEPENDENCYPART_ARC
(11,14),-0.478002 # DEPENDENCYPART_ARC
(11,15),-0.0884093 # DEPENDENCYPART_ARC
(11,16),-1.41926 # DEPENDENCYPART_ARC
(11,17),-1.18442 # DEPENDENCYPART_ARC
(11,18),-1.50191 # DEPENDENCYPART_ARC
(11,19),-1.14101 # DEPENDENCYPART_ARC
(11,20),-4.7049 # DEPENDENCYPART_ARC
(11,22),-3.58028 # DEPENDENCYPART_ARC
(11,23),-1.17702 # DEPENDENCYPART_ARC
(12,9),-1.1667 # DEPENDENCYPART_ARC
(12,11),-0.529566 # DEPENDENCYPART_ARC
(12,13),-0.581535 # DEPENDENCYPART_ARC
(12,14),-1.3093 # DEPENDENCYPART_ARC
(12,17),-1.8402 # DEPENDENCYPART_ARC
(13,1),0.788286 # DEPENDENCYPART_ARC
(13,3),-0.0935377 # DEPENDENCYPART_ARC
(13,4),-1.75724 # DEPENDENCYPART_ARC
(13,5),-5.47659 # DEPENDENCYPART_ARC
(13,6),-5.40226 # DEPENDENCYPART_ARC
(13,7),-2.80916 # DEPENDENCYPART_ARC
(13,8),-0.426285 # DEPENDENCYPART_ARC
(13,9),1.21731 # DEPENDENCYPART_ARC
(13,11),1.3908 # DEPENDENCYPART_ARC
(13,12),0.965328 # DEPENDENCYPART_ARC
(13,14),-0.577863 # DEPENDENCYPART_ARC
(13,15),-0.515775 # DEPENDENCYPART_ARC
(13,16),-1.3892 # DEPENDENCYPART_ARC
