# _root_ Proto chystáme pro vojáky v záloze na říjen výběrové řízení , které proběhne ve spolupráci s okresními vojenskými správami v Českém Krumlově , " říká plukovník Kubeš .
#goldHeads=25,1,2,3,4,5,2,7,10,2,13,13,10,13,14,15,19,19,16,13,22,20,1,1,0,27,25,0,
#predictedHeads=2,25,2,3,4,5,6,7,10,8,13,13,10,13,14,13,19,19,16,19,22,20,2,2,0,27,25,0,
(0,1),0.922456 # DEPENDENCYPART_ARC
(0,2),-0.568941 # DEPENDENCYPART_ARC
(0,11),-0.741773 # DEPENDENCYPART_ARC
(0,12),-2.14229 # DEPENDENCYPART_ARC
(0,13),-0.242139 # DEPENDENCYPART_ARC
(0,23),-0.328831 # DEPENDENCYPART_ARC
(0,25),2.79449 # DEPENDENCYPART_ARC
(0,28),2.13342 # DEPENDENCYPART_ARC
(1,2),0.617052 # DEPENDENCYPART_ARC
(1,3),-1.53807 # DEPENDENCYPART_ARC
(1,4),-2.48989 # DEPENDENCYPART_ARC
(1,5),-2.07659 # DEPENDENCYPART_ARC
(1,7),-2.36282 # DEPENDENCYPART_ARC
(1,11),-0.375686 # DEPENDENCYPART_ARC
(1,13),-1.4316 # DEPENDENCYPART_ARC
(1,23),-0.692274 # DEPENDENCYPART_ARC
(1,24),-0.771456 # DEPENDENCYPART_ARC
(1,25),-2.72334 # DEPENDENCYPART_ARC
(2,1),0.170186 # DEPENDENCYPART_ARC
(2,3),0.877681 # DEPENDENCYPART_ARC
(2,4),0.387418 # DEPENDENCYPART_ARC
(2,5),0.197699 # DEPENDENCYPART_ARC
(2,6),-1.05275 # DEPENDENCYPART_ARC
(2,7),-0.234565 # DEPENDENCYPART_ARC
(2,8),-0.954838 # DEPENDENCYPART_ARC
(2,9),-2.4475 # DEPENDENCYPART_ARC
(2,10),-0.371029 # DEPENDENCYPART_ARC
(2,11),-0.286206 # DEPENDENCYPART_ARC
(2,13),-1.80869 # DEPENDENCYPART_ARC
(2,14),-1.10135 # DEPENDENCYPART_ARC
(2,15),-2.6531 # DEPENDENCYPART_ARC
(2,16),-0.556897 # DEPENDENCYPART_ARC
(2,19),-1.39274 # DEPENDENCYPART_ARC
(2,20),-1.20393 # DEPENDENCYPART_ARC
(2,22),-2.81151 # DEPENDENCYPART_ARC
(2,23),-0.397281 # DEPENDENCYPART_ARC
(2,24),-0.306937 # DEPENDENCYPART_ARC
(2,26),-2.96409 # DEPENDENCYPART_ARC
(2,27),-3.07203 # DEPENDENCYPART_ARC
(3,1),-1.82866 # DEPENDENCYPART_ARC
(3,4),2.22567 # DEPENDENCYPART_ARC
(3,6),-1.62316 # DEPENDENCYPART_ARC
(4,1),-0.983023 # DEPENDENCYPART_ARC
(4,3),-1.33795 # DEPENDENCYPART_ARC
(4,5),-0.264459 # DEPENDENCYPART_ARC
(4,6),-1.53105 # DEPENDENCYPART_ARC
(4,7),-0.833746 # DEPENDENCYPART_ARC
(4,8),-3.20513 # DEPENDENCYPART_ARC
(4,9),-2.22481 # DEPENDENCYPART_ARC
(4,10),-3.45593 # DEPENDENCYPART_ARC
(4,13),-2.01302 # DEPENDENCYPART_ARC
