# _root_ Z ruské strany jde o suroviny , jako je plyn a ropa , z české o různé zboží .
#goldHeads=4,3,1,13,4,5,8,6,8,11,9,11,0,13,14,13,18,16,0,
#predictedHeads=4,3,1,0,4,5,8,6,8,11,9,11,4,13,14,15,18,16,0,
(0,1),-1.02353 # DEPENDENCYPART_ARC
(0,3),-1.8796 # DEPENDENCYPART_ARC
(0,4),-0.031454 # DEPENDENCYPART_ARC
(0,5),-1.29676 # DEPENDENCYPART_ARC
(0,6),-1.88993 # DEPENDENCYPART_ARC
(0,7),-0.676792 # DEPENDENCYPART_ARC
(0,8),-0.625769 # DEPENDENCYPART_ARC
(0,9),-0.8863 # DEPENDENCYPART_ARC
(0,11),-1.0073 # DEPENDENCYPART_ARC
(0,13),-0.985385 # DEPENDENCYPART_ARC
(0,19),2.11179 # DEPENDENCYPART_ARC
(1,2),-0.34537 # DEPENDENCYPART_ARC
(1,3),1.93212 # DEPENDENCYPART_ARC
(1,4),-1.86443 # DEPENDENCYPART_ARC
(1,6),-2.24984 # DEPENDENCYPART_ARC
(1,7),-1.2307 # DEPENDENCYPART_ARC
(1,8),-1.71754 # DEPENDENCYPART_ARC
(1,11),-1.06058 # DEPENDENCYPART_ARC
(2,1),-1.32682 # DEPENDENCYPART_ARC
(2,4),-2.67236 # DEPENDENCYPART_ARC
(2,5),-1.41849 # DEPENDENCYPART_ARC
(3,1),-0.828647 # DEPENDENCYPART_ARC
(3,2),2.83121 # DEPENDENCYPART_ARC
(3,4),-1.82199 # DEPENDENCYPART_ARC
(3,5),-1.41218 # DEPENDENCYPART_ARC
(3,6),-4.71213 # DEPENDENCYPART_ARC
(3,7),-1.31027 # DEPENDENCYPART_ARC
(3,9),-3.13662 # DEPENDENCYPART_ARC
(4,1),0.831308 # DEPENDENCYPART_ARC
(4,2),-2.70212 # DEPENDENCYPART_ARC
(4,3),-1.24631 # DEPENDENCYPART_ARC
(4,5),1.51471 # DEPENDENCYPART_ARC
(4,6),-0.237823 # DEPENDENCYPART_ARC
(4,7),-0.515746 # DEPENDENCYPART_ARC
(4,8),-0.599353 # DEPENDENCYPART_ARC
(4,9),-2.00852 # DEPENDENCYPART_ARC
(4,10),-1.82452 # DEPENDENCYPART_ARC
(4,11),-1.16658 # DEPENDENCYPART_ARC
(4,12),-2.33819 # DEPENDENCYPART_ARC
(4,13),-0.610003 # DEPENDENCYPART_ARC
(4,16),-1.8083 # DEPENDENCYPART_ARC
(5,6),2.22317 # DEPENDENCYPART_ARC
(5,7),-0.790729 # DEPENDENCYPART_ARC
(5,8),-1.23743 # DEPENDENCYPART_ARC
(5,9),-2.40048 # DEPENDENCYPART_ARC
(5,11),-0.479482 # DEPENDENCYPART_ARC
(6,1),-1.27653 # DEPENDENCYPART_ARC
(6,2),-3.01243 # DEPENDENCYPART_ARC
(6,4),-1.66339 # DEPENDENCYPART_ARC
(6,5),-1.50638 # DEPENDENCYPART_ARC
(6,7),-1.09774 # DEPENDENCYPART_ARC
(6,8),-1.025 # DEPENDENCYPART_ARC
(6,9),-1.82275 # DEPENDENCYPART_ARC
(6,10),-2.82153 # DEPENDENCYPART_ARC
(6,11),-1.37907 # DEPENDENCYPART_ARC
(6,15),-3.5689 # DEPENDENCYPART_ARC
(7,1),-1.24838 # DEPENDENCYPART_ARC
(7,3),-1.36412 # DEPENDENCYPART_ARC
(7,4),-0.539942 # DEPENDENCYPART_ARC
(7,5),-0.824842 # DEPENDENCYPART_ARC
(7,6),-1.10494 # DEPENDENCYPART_ARC
(7,8),-0.916855 # DEPENDENCYPART_ARC
(7,9),-1.30618 # DEPENDENCYPART_ARC
(7,10),-1.99395 # DEPENDENCYPART_ARC
(7,11),-0.79619 # DEPENDENCYPART_ARC
(7,12),-2.45097 # DEPENDENCYPART_ARC
(7,13),-0.896659 # DEPENDENCYPART_ARC
(8,3),-2.18538 # DEPENDENCYPART_ARC
(8,4),-0.860101 # DEPENDENCYPART_ARC
(8,5),-1.80071 # DEPENDENCYPART_ARC
(8,6),-2.70073 # DEPENDENCYPART_ARC
(8,7),0.0822061 # DEPENDENCYPART_ARC
(8,9),0.806456 # DEPENDENCYPART_ARC
(8,10),-1.3192 # DEPENDENCYPART_ARC
(8,11),-0.763834 # DEPENDENCYPART_ARC
(8,12),-2.11203 # DEPENDENCYPART_ARC
(8,13),-0.838702 # DEPENDENCYPART_ARC
(8,14),-1.81049 # DEPENDENCYPART_ARC
(8,16),-2.09339 # DEPENDENCYPART_ARC
(8,19),-1.66167 # DEPENDENCYPART_ARC
(9,1),-0.624798 # DEPENDENCYPART_ARC
(9,3),-2.46136 # DEPENDENCYPART_ARC
(9,4),-1.64245 # DEPENDENCYPART_ARC
(9,5),-1.40989 # DEPENDENCYPART_ARC
(9,6),-1.2056 # DEPENDENCYPART_ARC
(9,7),-0.287949 # DEPENDENCYPART_ARC
(9,8),-0.187745 # DEPENDENCYPART_ARC
(9,10),1.55421 # DEPENDENCYPART_ARC
(9,11),0.240989 # DEPENDENCYPART_ARC
(9,12),-0.208951 # DEPENDENCYPART_ARC
(9,13),-0.553346 # DEPENDENCYPART_ARC
