# _root_ Podle Janouška již skončilo období kontroly formálních náležitostí přiznání a druhá fáze , tedy podrobná kontrola věcné správnosti , se právě rozbíhá .
#goldHeads=4,1,4,10,4,5,8,6,8,0,12,14,14,22,16,14,18,16,14,22,22,10,0,
#predictedHeads=4,1,4,0,4,5,8,6,10,8,12,10,14,10,16,22,18,16,22,22,22,14,0,
(0,1),-1.00415 # DEPENDENCYPART_ARC
(0,2),-1.89643 # DEPENDENCYPART_ARC
(0,3),-0.934406 # DEPENDENCYPART_ARC
(0,4),-0.223296 # DEPENDENCYPART_ARC
(0,5),-1.49562 # DEPENDENCYPART_ARC
(0,10),-0.993214 # DEPENDENCYPART_ARC
(0,13),-1.35553 # DEPENDENCYPART_ARC
(0,14),-1.52401 # DEPENDENCYPART_ARC
(0,19),-1.66127 # DEPENDENCYPART_ARC
(0,22),-0.999602 # DEPENDENCYPART_ARC
(0,23),1.72491 # DEPENDENCYPART_ARC
(1,2),2.1793 # DEPENDENCYPART_ARC
(1,3),-1.3939 # DEPENDENCYPART_ARC
(1,5),-3.41974 # DEPENDENCYPART_ARC
(1,6),-2.13611 # DEPENDENCYPART_ARC
(2,1),-1.07922 # DEPENDENCYPART_ARC
(2,3),-0.615216 # DEPENDENCYPART_ARC
(2,4),-1.87448 # DEPENDENCYPART_ARC
(2,5),-2.38535 # DEPENDENCYPART_ARC
(2,6),-1.60055 # DEPENDENCYPART_ARC
(2,7),-3.07446 # DEPENDENCYPART_ARC
(2,10),-0.783403 # DEPENDENCYPART_ARC
(3,1),-1.49274 # DEPENDENCYPART_ARC
(3,2),-1.61631 # DEPENDENCYPART_ARC
(3,4),-1.17857 # DEPENDENCYPART_ARC
(4,1),1.63988 # DEPENDENCYPART_ARC
(4,2),-1.70428 # DEPENDENCYPART_ARC
(4,3),1.40781 # DEPENDENCYPART_ARC
(4,5),1.25158 # DEPENDENCYPART_ARC
(4,6),-1.39493 # DEPENDENCYPART_ARC
(4,7),-2.99629 # DEPENDENCYPART_ARC
(4,8),-2.63194 # DEPENDENCYPART_ARC
