# _root_ Program třítýdenní přehlídky , jejíž hlavní část začne v úterý vypuštěním balónu České spořitelny , je zaměřen především na hudbu a výtvarné umění .
#goldHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
#predictedHeads=16,3,1,8,7,7,8,3,8,9,8,11,14,12,8,0,16,21,17,21,19,23,21,0,
(0,1),-0.646905 # DEPENDENCYPART_ARC
(0,2),-1.85566 # DEPENDENCYPART_ARC
(0,3),-1.70818 # DEPENDENCYPART_ARC
(0,4),-0.93627 # DEPENDENCYPART_ARC
(0,8),-0.200085 # DEPENDENCYPART_ARC
(0,15),-1.60318 # DEPENDENCYPART_ARC
(0,16),0.468778 # DEPENDENCYPART_ARC
(0,17),-1.65067 # DEPENDENCYPART_ARC
(0,21),-1.13878 # DEPENDENCYPART_ARC
(0,24),1.74773 # DEPENDENCYPART_ARC
(1,2),-0.974517 # DEPENDENCYPART_ARC
(1,3),1.02927 # DEPENDENCYPART_ARC
(1,4),-0.851205 # DEPENDENCYPART_ARC
(1,6),-2.1627 # DEPENDENCYPART_ARC
(1,7),-0.997906 # DEPENDENCYPART_ARC
(1,8),-1.91506 # DEPENDENCYPART_ARC
(1,9),-1.33428 # DEPENDENCYPART_ARC
(1,21),-0.674145 # DEPENDENCYPART_ARC
(2,1),-2.03932 # DEPENDENCYPART_ARC
(2,3),-1.34299 # DEPENDENCYPART_ARC
(2,7),-3.06783 # DEPENDENCYPART_ARC
(3,1),-3.17358 # DEPENDENCYPART_ARC
(3,2),2.73341 # DEPENDENCYPART_ARC
(3,4),-1.23111 # DEPENDENCYPART_ARC
(3,6),-2.35074 # DEPENDENCYPART_ARC
(3,7),-2.00725 # DEPENDENCYPART_ARC
(3,8),-1.34219 # DEPENDENCYPART_ARC
(3,13),-1.70875 # DEPENDENCYPART_ARC
(3,17),-2.86766 # DEPENDENCYPART_ARC
(4,1),-1.30434 # DEPENDENCYPART_ARC
(4,2),-1.62162 # DEPENDENCYPART_ARC
(4,3),-1.3674 # DEPENDENCYPART_ARC
(4,6),-1.70639 # DEPENDENCYPART_ARC
(4,7),-1.77107 # DEPENDENCYPART_ARC
(4,8),-1.35077 # DEPENDENCYPART_ARC
(4,15),-0.794998 # DEPENDENCYPART_ARC
(4,16),-2.72806 # DEPENDENCYPART_ARC
(4,17),-3.01447 # DEPENDENCYPART_ARC
(4,18),-2.17633 # DEPENDENCYPART_ARC
(6,4),-1.30117 # DEPENDENCYPART_ARC
(6,8),-2.68903 # DEPENDENCYPART_ARC
(7,1),-2.24403 # DEPENDENCYPART_ARC
(7,2),-0.565771 # DEPENDENCYPART_ARC
(7,3),-3.0222 # DEPENDENCYPART_ARC
(7,4),-0.846728 # DEPENDENCYPART_ARC
(7,5),2.39262 # DEPENDENCYPART_ARC
(7,6),2.93845 # DEPENDENCYPART_ARC
(7,8),-1.91396 # DEPENDENCYPART_ARC
(8,1),0.300002 # DEPENDENCYPART_ARC
(8,2),-4.05346 # DEPENDENCYPART_ARC
(8,3),-3.02189 # DEPENDENCYPART_ARC
(8,4),0.398175 # DEPENDENCYPART_ARC
(8,6),-0.518636 # DEPENDENCYPART_ARC
(8,7),0.854465 # DEPENDENCYPART_ARC
(8,9),1.42989 # DEPENDENCYPART_ARC
(8,10),0.250819 # DEPENDENCYPART_ARC
(8,11),0.802007 # DEPENDENCYPART_ARC
(8,12),-0.678633 # DEPENDENCYPART_ARC
(8,13),-2.62371 # DEPENDENCYPART_ARC
(8,14),-1.62403 # DEPENDENCYPART_ARC
(8,15),-0.154241 # DEPENDENCYPART_ARC
(8,16),-2.56005 # DEPENDENCYPART_ARC
(8,17),-0.662469 # DEPENDENCYPART_ARC
(8,18),-1.90915 # DEPENDENCYPART_ARC
(8,19),-1.00559 # DEPENDENCYPART_ARC
(8,20),-2.21896 # DEPENDENCYPART_ARC
(8,21),-1.02039 # DEPENDENCYPART_ARC
(8,22),-3.74604 # DEPENDENCYPART_ARC
(8,23),-1.65459 # DEPENDENCYPART_ARC
(9,10),2.24368 # DEPENDENCYPART_ARC
(9,11),-1.78401 # DEPENDENCYPART_ARC
(9,12),-5.15074 # DEPENDENCYPART_ARC
(9,15),-0.776547 # DEPENDENCYPART_ARC
(10,5),-1.11518 # DEPENDENCYPART_ARC
(10,6),-4.20971 # DEPENDENCYPART_ARC
(10,9),-0.408096 # DEPENDENCYPART_ARC
(10,11),0.479229 # DEPENDENCYPART_ARC
(10,12),0.368412 # DEPENDENCYPART_ARC
(10,13),-2.16803 # DEPENDENCYPART_ARC
(10,14),-0.986526 # DEPENDENCYPART_ARC
(10,16),-2.51149 # DEPENDENCYPART_ARC
(10,21),-1.1035 # DEPENDENCYPART_ARC
(11,5),-0.854204 # DEPENDENCYPART_ARC
(11,9),-1.07927 # DEPENDENCYPART_ARC
(11,10),-1.63495 # DEPENDENCYPART_ARC
(11,12),2.0996 # DEPENDENCYPART_ARC
(11,13),-1.23143 # DEPENDENCYPART_ARC
(11,14),-0.273095 # DEPENDENCYPART_ARC
(11,15),-1.13723 # DEPENDENCYPART_ARC
(11,16),-1.8213 # DEPENDENCYPART_ARC
(11,17),-2.45248 # DEPENDENCYPART_ARC
(11,21),-0.675306 # DEPENDENCYPART_ARC
(11,22),-2.05122 # DEPENDENCYPART_ARC
(12,5),-1.63844 # DEPENDENCYPART_ARC
(12,7),-4.08028 # DEPENDENCYPART_ARC
(12,9),-0.758517 # DEPENDENCYPART_ARC
(12,10),-2.95142 # DEPENDENCYPART_ARC
(12,11),-2.78684 # DEPENDENCYPART_ARC
(12,13),-0.682761 # DEPENDENCYPART_ARC
(12,14),0.839819 # DEPENDENCYPART_ARC
(12,15),-1.22154 # DEPENDENCYPART_ARC
(12,16),-1.81263 # DEPENDENCYPART_ARC
(12,17),-1.662 # DEPENDENCYPART_ARC
(12,18),-1.37377 # DEPENDENCYPART_ARC
(12,19),-1.61447 # DEPENDENCYPART_ARC
(12,20),-4.17287 # DEPENDENCYPART_ARC
(12,21),-0.688334 # DEPENDENCYPART_ARC
(12,22),-3.46937 # DEPENDENCYPART_ARC
(12,23),-3.88611 # DEPENDENCYPART_ARC
(13,9),-0.993943 # DEPENDENCYPART_ARC
(13,10),-2.38824 # DEPENDENCYPART_ARC
(13,11),-1.17728 # DEPENDENCYPART_ARC
(13,12),-1.28325 # DEPENDENCYPART_ARC
(13,14),-1.32552 # DEPENDENCYPART_ARC
(13,19),-1.43646 # DEPENDENCYPART_ARC
(13,23),-3.2669 # DEPENDENCYPART_ARC
(14,10),-3.94785 # DEPENDENCYPART_ARC
(14,11),-3.83619 # DEPENDENCYPART_ARC
(14,12),-2.19405 # DEPENDENCYPART_ARC
(14,13),2.71902 # DEPENDENCYPART_ARC
(14,16),-2.04325 # DEPENDENCYPART_ARC
(14,17),-1.98904 # DEPENDENCYPART_ARC
(15,1),-2.35204 # DEPENDENCYPART_ARC
(15,3),-2.57588 # DEPENDENCYPART_ARC
(15,4),-1.33367 # DEPENDENCYPART_ARC
(15,7),-1.61357 # DEPENDENCYPART_ARC
(15,8),-1.01532 # DEPENDENCYPART_ARC
(15,9),-1.23398 # DEPENDENCYPART_ARC
(15,10),-1.54579 # DEPENDENCYPART_ARC
(15,11),-1.50301 # DEPENDENCYPART_ARC
(15,12),-1.3675 # DEPENDENCYPART_ARC
(15,13),-1.58705 # DEPENDENCYPART_ARC
(15,14),-1.52214 # DEPENDENCYPART_ARC
(15,16),-0.965875 # DEPENDENCYPART_ARC
(15,17),-1.51717 # DEPENDENCYPART_ARC
(15,18),-1.50319 # DEPENDENCYPART_ARC
(15,19),-1.53385 # DEPENDENCYPART_ARC
(15,20),-2.33351 # DEPENDENCYPART_ARC
(15,21),-0.734468 # DEPENDENCYPART_ARC
(16,1),-0.490988 # DEPENDENCYPART_ARC
(16,3),-3.65713 # DEPENDENCYPART_ARC
(16,4),-1.05466 # DEPENDENCYPART_ARC
(16,7),-0.901311 # DEPENDENCYPART_ARC
(16,8),-1.83277 # DEPENDENCYPART_ARC
(16,9),-1.83232 # DEPENDENCYPART_ARC
(16,10),-1.23845 # DEPENDENCYPART_ARC
(16,11),-0.8151 # DEPENDENCYPART_ARC
(16,12),-2.71147 # DEPENDENCYPART_ARC
(16,13),-3.50638 # DEPENDENCYPART_ARC
(16,14),-2.76669 # DEPENDENCYPART_ARC
(16,15),-0.701511 # DEPENDENCYPART_ARC
(16,17),2.73281 # DEPENDENCYPART_ARC
(16,18),-0.523394 # DEPENDENCYPART_ARC
(16,19),-0.190292 # DEPENDENCYPART_ARC
(16,20),-0.881876 # DEPENDENCYPART_ARC
(16,21),-0.463734 # DEPENDENCYPART_ARC
(16,22),-2.57486 # DEPENDENCYPART_ARC
(16,23),-1.12594 # DEPENDENCYPART_ARC
(16,24),-1.09224 # DEPENDENCYPART_ARC
(17,1),-1.122 # DEPENDENCYPART_ARC
(17,3),-4.25595 # DEPENDENCYPART_ARC
(17,4),-1.91367 # DEPENDENCYPART_ARC
(17,7),-1.85676 # DEPENDENCYPART_ARC
