# _root_ " Kondiční příprava je pochopitelně náročná a stereotypní , takže zápasy jsem zařazoval především pro odreagování , " tvrdí chebský kormidelník .
#goldHeads=4,3,4,19,4,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
#predictedHeads=4,3,4,19,6,7,4,7,10,4,13,13,10,16,13,15,4,4,0,21,19,0,
(0,1),-0.6304 # DEPENDENCYPART_ARC
(0,2),-1.34485 # DEPENDENCYPART_ARC
(0,3),-1.18376 # DEPENDENCYPART_ARC
(0,4),-0.176904 # DEPENDENCYPART_ARC
(0,5),-1.16625 # DEPENDENCYPART_ARC
(0,7),-0.852684 # DEPENDENCYPART_ARC
(0,9),-1.28496 # DEPENDENCYPART_ARC
(0,10),-1.0867 # DEPENDENCYPART_ARC
(0,12),-0.742511 # DEPENDENCYPART_ARC
(0,13),-0.819786 # DEPENDENCYPART_ARC
(0,17),-0.724702 # DEPENDENCYPART_ARC
(0,19),0.968679 # DEPENDENCYPART_ARC
(0,22),1.8114 # DEPENDENCYPART_ARC
(1,2),-2.14026 # DEPENDENCYPART_ARC
(1,3),-3.04155 # DEPENDENCYPART_ARC
(1,4),-2.34159 # DEPENDENCYPART_ARC
(1,6),-3.54971 # DEPENDENCYPART_ARC
(2,1),-0.663555 # DEPENDENCYPART_ARC
(2,3),-1.28468 # DEPENDENCYPART_ARC
(2,5),-0.872035 # DEPENDENCYPART_ARC
(3,1),-0.57895 # DEPENDENCYPART_ARC
(3,2),2.13128 # DEPENDENCYPART_ARC
(3,4),-1.47127 # DEPENDENCYPART_ARC
(3,5),-1.30752 # DEPENDENCYPART_ARC
(3,6),-0.87465 # DEPENDENCYPART_ARC
(3,8),-1.53519 # DEPENDENCYPART_ARC
(4,1),0.16827 # DEPENDENCYPART_ARC
(4,2),-0.445944 # DEPENDENCYPART_ARC
(4,3),0.859031 # DEPENDENCYPART_ARC
(4,5),0.712511 # DEPENDENCYPART_ARC
(4,6),1.19713 # DEPENDENCYPART_ARC
(4,7),-0.0986133 # DEPENDENCYPART_ARC
(4,8),0.120248 # DEPENDENCYPART_ARC
(4,9),-0.625938 # DEPENDENCYPART_ARC
(4,10),0.0758366 # DEPENDENCYPART_ARC
(4,11),-2.44773 # DEPENDENCYPART_ARC
(4,12),-1.43593 # DEPENDENCYPART_ARC
(4,13),-2.79413 # DEPENDENCYPART_ARC
(4,17),-0.534159 # DEPENDENCYPART_ARC
(4,18),-0.221078 # DEPENDENCYPART_ARC
(5,3),-2.24597 # DEPENDENCYPART_ARC
(5,6),-2.67191 # DEPENDENCYPART_ARC
(5,7),-0.897226 # DEPENDENCYPART_ARC
(5,8),-3.53354 # DEPENDENCYPART_ARC
(5,9),-1.18788 # DEPENDENCYPART_ARC
(5,10),-1.33597 # DEPENDENCYPART_ARC
(6,1),-1.54718 # DEPENDENCYPART_ARC
(6,2),-2.32536 # DEPENDENCYPART_ARC
(6,3),-1.89065 # DEPENDENCYPART_ARC
(6,5),0.974998 # DEPENDENCYPART_ARC
(6,7),-0.596839 # DEPENDENCYPART_ARC
(7,1),-0.342549 # DEPENDENCYPART_ARC
(7,2),-1.29998 # DEPENDENCYPART_ARC
(7,3),-0.623446 # DEPENDENCYPART_ARC
(7,4),0.289455 # DEPENDENCYPART_ARC
(7,5),-0.104645 # DEPENDENCYPART_ARC
(7,6),1.39725 # DEPENDENCYPART_ARC
(7,8),2.11054 # DEPENDENCYPART_ARC
(7,9),-0.758324 # DEPENDENCYPART_ARC
(7,10),-0.49493 # DEPENDENCYPART_ARC
(7,11),-1.49444 # DEPENDENCYPART_ARC
(7,12),-1.06799 # DEPENDENCYPART_ARC
(7,13),-1.72452 # DEPENDENCYPART_ARC
(7,14),-1.59831 # DEPENDENCYPART_ARC
(7,17),-0.677521 # DEPENDENCYPART_ARC
(7,18),-0.511601 # DEPENDENCYPART_ARC
(7,19),-3.59166 # DEPENDENCYPART_ARC
(7,20),-2.07757 # DEPENDENCYPART_ARC
(8,5),-1.07018 # DEPENDENCYPART_ARC
(8,6),-2.15807 # DEPENDENCYPART_ARC
(8,9),-1.03948 # DEPENDENCYPART_ARC
(8,10),-1.49681 # DEPENDENCYPART_ARC
(8,11),-2.80705 # DEPENDENCYPART_ARC
(9,1),-1.45641 # DEPENDENCYPART_ARC
(9,2),-2.51229 # DEPENDENCYPART_ARC
(9,4),-1.25922 # DEPENDENCYPART_ARC
(9,5),-1.27813 # DEPENDENCYPART_ARC
(9,6),-1.97205 # DEPENDENCYPART_ARC
(9,7),-1.06029 # DEPENDENCYPART_ARC
(9,8),-1.40995 # DEPENDENCYPART_ARC
(9,11),-1.903 # DEPENDENCYPART_ARC
(9,12),-1.02319 # DEPENDENCYPART_ARC
(9,13),-1.67929 # DEPENDENCYPART_ARC
(10,4),-0.922379 # DEPENDENCYPART_ARC
(10,7),-0.824594 # DEPENDENCYPART_ARC
(10,8),-1.02141 # DEPENDENCYPART_ARC
(10,9),1.05523 # DEPENDENCYPART_ARC
(10,11),-0.661646 # DEPENDENCYPART_ARC
(10,12),0.661632 # DEPENDENCYPART_ARC
(10,13),-0.161406 # DEPENDENCYPART_ARC
(10,14),-1.76804 # DEPENDENCYPART_ARC
(10,15),-1.63871 # DEPENDENCYPART_ARC
(10,16),-2.40223 # DEPENDENCYPART_ARC
(10,17),-0.348177 # DEPENDENCYPART_ARC
(10,18),-0.508229 # DEPENDENCYPART_ARC
(10,19),-1.54539 # DEPENDENCYPART_ARC
(10,21),-2.87681 # DEPENDENCYPART_ARC
(10,22),-1.66217 # DEPENDENCYPART_ARC
(11,6),-6.03673 # DEPENDENCYPART_ARC
(11,7),-1.50652 # DEPENDENCYPART_ARC
(11,8),-5.23817 # DEPENDENCYPART_ARC
(11,9),-1.22641 # DEPENDENCYPART_ARC
(11,10),-0.666033 # DEPENDENCYPART_ARC
(11,12),-0.580486 # DEPENDENCYPART_ARC
(11,14),-1.09251 # DEPENDENCYPART_ARC
(11,15),-0.647252 # DEPENDENCYPART_ARC
(11,16),-3.26886 # DEPENDENCYPART_ARC
(11,19),-3.21298 # DEPENDENCYPART_ARC
(12,1),-1.41726 # DEPENDENCYPART_ARC
