# _root_ Pokud nebude jeho smlouva zrušena , je rozhodnut zanechat vůbec fotbalu , uvedl manažer brazilského hráče Ricardo Fuica .
#goldHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
#predictedHeads=7,5,4,5,1,1,13,7,8,11,9,7,0,18,16,14,18,13,0,
(0,1),0.0259425 # DEPENDENCYPART_ARC
(0,2),-1.41361 # DEPENDENCYPART_ARC
(0,5),-1.67816 # DEPENDENCYPART_ARC
(0,6),-1.16516 # DEPENDENCYPART_ARC
(0,7),-0.0679328 # DEPENDENCYPART_ARC
(0,8),-1.70348 # DEPENDENCYPART_ARC
(0,9),-2.37929 # DEPENDENCYPART_ARC
(0,12),-1.33618 # DEPENDENCYPART_ARC
(0,13),0.798955 # DEPENDENCYPART_ARC
(0,19),2.0717 # DEPENDENCYPART_ARC
(1,2),1.50714 # DEPENDENCYPART_ARC
(1,4),-1.93026 # DEPENDENCYPART_ARC
(1,5),0.12203 # DEPENDENCYPART_ARC
(1,6),1.25341 # DEPENDENCYPART_ARC
(1,7),-1.62958 # DEPENDENCYPART_ARC
(1,8),-2.11822 # DEPENDENCYPART_ARC
(1,9),-2.53549 # DEPENDENCYPART_ARC
(1,12),0.874866 # DEPENDENCYPART_ARC
(1,13),-3.97022 # DEPENDENCYPART_ARC
(2,1),-0.371395 # DEPENDENCYPART_ARC
(2,3),-2.26852 # DEPENDENCYPART_ARC
(2,4),-0.693264 # DEPENDENCYPART_ARC
(2,5),-0.815602 # DEPENDENCYPART_ARC
(2,6),-1.1659 # DEPENDENCYPART_ARC
(2,7),-3.17505 # DEPENDENCYPART_ARC
(2,8),-2.78719 # DEPENDENCYPART_ARC
(2,10),-2.6195 # DEPENDENCYPART_ARC
(2,12),-1.76425 # DEPENDENCYPART_ARC
(4,1),-0.90764 # DEPENDENCYPART_ARC
(4,2),-2.81266 # DEPENDENCYPART_ARC
(4,3),2.74076 # DEPENDENCYPART_ARC
(4,5),-1.18008 # DEPENDENCYPART_ARC
(5,1),0.223896 # DEPENDENCYPART_ARC
(5,2),3.53186 # DEPENDENCYPART_ARC
(5,4),1.8545 # DEPENDENCYPART_ARC
(5,6),-0.35099 # DEPENDENCYPART_ARC
(5,7),-2.2881 # DEPENDENCYPART_ARC
(5,9),-0.721489 # DEPENDENCYPART_ARC
(5,10),-2.46718 # DEPENDENCYPART_ARC
(5,12),-1.58067 # DEPENDENCYPART_ARC
(6,1),-0.787562 # DEPENDENCYPART_ARC
(6,2),-0.91656 # DEPENDENCYPART_ARC
(6,3),-1.1116 # DEPENDENCYPART_ARC
(6,4),-1.01925 # DEPENDENCYPART_ARC
(6,5),-0.574694 # DEPENDENCYPART_ARC
(6,7),-0.912564 # DEPENDENCYPART_ARC
(6,8),-1.69728 # DEPENDENCYPART_ARC
(6,9),-2.1178 # DEPENDENCYPART_ARC
(6,12),-0.632692 # DEPENDENCYPART_ARC
(7,1),0.458966 # DEPENDENCYPART_ARC
(7,2),-1.53472 # DEPENDENCYPART_ARC
(7,4),-0.138263 # DEPENDENCYPART_ARC
(7,5),-1.22067 # DEPENDENCYPART_ARC
(7,6),-0.64216 # DEPENDENCYPART_ARC
(7,8),2.58534 # DEPENDENCYPART_ARC
(7,9),1.95741 # DEPENDENCYPART_ARC
(7,10),-0.660373 # DEPENDENCYPART_ARC
(7,11),-1.97064 # DEPENDENCYPART_ARC
(7,12),-0.308619 # DEPENDENCYPART_ARC
(7,13),-3.02645 # DEPENDENCYPART_ARC
(7,14),-2.31836 # DEPENDENCYPART_ARC
(7,15),-3.79488 # DEPENDENCYPART_ARC
(7,16),-4.21777 # DEPENDENCYPART_ARC
(7,17),-3.85206 # DEPENDENCYPART_ARC
(7,18),-2.84347 # DEPENDENCYPART_ARC
(8,1),0.214576 # DEPENDENCYPART_ARC
(8,2),0.881164 # DEPENDENCYPART_ARC
(8,4),-1.13023 # DEPENDENCYPART_ARC
(8,6),-1.34861 # DEPENDENCYPART_ARC
(8,7),2.02694 # DEPENDENCYPART_ARC
(8,9),2.84494 # DEPENDENCYPART_ARC
(8,10),-0.78061 # DEPENDENCYPART_ARC
(8,11),-1.44989 # DEPENDENCYPART_ARC
(8,12),-0.291593 # DEPENDENCYPART_ARC
(8,13),-1.83075 # DEPENDENCYPART_ARC
(8,14),-2.82533 # DEPENDENCYPART_ARC
(8,16),-3.57216 # DEPENDENCYPART_ARC
(8,17),-2.7459 # DEPENDENCYPART_ARC
(8,18),-2.80941 # DEPENDENCYPART_ARC
(9,1),0.177391 # DEPENDENCYPART_ARC
(9,2),0.216843 # DEPENDENCYPART_ARC
(9,4),-1.30585 # DEPENDENCYPART_ARC
(9,5),-2.80706 # DEPENDENCYPART_ARC
(9,6),-2.15341 # DEPENDENCYPART_ARC
(9,7),-1.42194 # DEPENDENCYPART_ARC
(9,8),-0.45636 # DEPENDENCYPART_ARC
(9,10),0.178216 # DEPENDENCYPART_ARC
(9,11),-0.292066 # DEPENDENCYPART_ARC
(9,12),-0.231946 # DEPENDENCYPART_ARC
(9,13),-1.36853 # DEPENDENCYPART_ARC
(9,14),-2.42007 # DEPENDENCYPART_ARC
(9,15),-2.62902 # DEPENDENCYPART_ARC
(9,16),-2.30862 # DEPENDENCYPART_ARC
(9,17),-2.13201 # DEPENDENCYPART_ARC
(9,18),-3.06003 # DEPENDENCYPART_ARC
(10,6),-1.72382 # DEPENDENCYPART_ARC
(10,7),-1.33789 # DEPENDENCYPART_ARC
(10,8),-1.41913 # DEPENDENCYPART_ARC
(10,9),-1.07269 # DEPENDENCYPART_ARC
(10,11),-1.12658 # DEPENDENCYPART_ARC
(10,13),-1.7303 # DEPENDENCYPART_ARC
(11,3),-0.858255 # DEPENDENCYPART_ARC
(11,5),-1.97325 # DEPENDENCYPART_ARC
(11,6),-1.72153 # DEPENDENCYPART_ARC
(11,8),-1.14311 # DEPENDENCYPART_ARC
(11,9),-1.69625 # DEPENDENCYPART_ARC
(11,10),0.212504 # DEPENDENCYPART_ARC
(11,12),-1.3231 # DEPENDENCYPART_ARC
(11,13),-1.72266 # DEPENDENCYPART_ARC
(11,14),-2.87659 # DEPENDENCYPART_ARC
(11,15),-1.62737 # DEPENDENCYPART_ARC
(11,16),-1.81337 # DEPENDENCYPART_ARC
(11,17),-2.93979 # DEPENDENCYPART_ARC
(11,18),-3.77903 # DEPENDENCYPART_ARC
(12,1),-0.824742 # DEPENDENCYPART_ARC
(12,2),-1.58929 # DEPENDENCYPART_ARC
(12,4),-1.83894 # DEPENDENCYPART_ARC
(12,5),-1.34153 # DEPENDENCYPART_ARC
(12,6),-0.451987 # DEPENDENCYPART_ARC
(12,7),-0.772123 # DEPENDENCYPART_ARC
(12,8),-0.665032 # DEPENDENCYPART_ARC
(12,9),-0.380579 # DEPENDENCYPART_ARC
(12,10),-1.0123 # DEPENDENCYPART_ARC
(12,11),-1.37952 # DEPENDENCYPART_ARC
(12,13),-0.823624 # DEPENDENCYPART_ARC
(12,14),-1.44653 # DEPENDENCYPART_ARC
(12,15),-2.08838 # DEPENDENCYPART_ARC
(12,16),-2.2049 # DEPENDENCYPART_ARC
(12,17),-2.40612 # DEPENDENCYPART_ARC
(12,18),-2.46954 # DEPENDENCYPART_ARC
(13,1),0.497244 # DEPENDENCYPART_ARC
(13,2),-2.15949 # DEPENDENCYPART_ARC
(13,4),-1.76865 # DEPENDENCYPART_ARC
(13,5),-3.08993 # DEPENDENCYPART_ARC
(13,7),-1.1859 # DEPENDENCYPART_ARC
(13,8),-0.906296 # DEPENDENCYPART_ARC
(13,9),0.127144 # DEPENDENCYPART_ARC
(13,10),-0.67602 # DEPENDENCYPART_ARC
(13,11),-2.20693 # DEPENDENCYPART_ARC
(13,12),-0.834934 # DEPENDENCYPART_ARC
(13,14),1.20715 # DEPENDENCYPART_ARC
(13,15),-1.67576 # DEPENDENCYPART_ARC
(13,16),-1.76982 # DEPENDENCYPART_ARC
(13,17),-0.74947 # DEPENDENCYPART_ARC
(13,18),0.229336 # DEPENDENCYPART_ARC
(13,19),-0.691355 # DEPENDENCYPART_ARC
(14,10),-1.47835 # DEPENDENCYPART_ARC
(14,11),-4.60668 # DEPENDENCYPART_ARC
(14,13),-2.7844 # DEPENDENCYPART_ARC
(14,15),-0.0306561 # DEPENDENCYPART_ARC
(14,16),0.619779 # DEPENDENCYPART_ARC
(14,17),-1.90241 # DEPENDENCYPART_ARC
(14,18),-2.73551 # DEPENDENCYPART_ARC
(15,10),-1.9348 # DEPENDENCYPART_ARC
(15,11),-2.88779 # DEPENDENCYPART_ARC
(15,13),-2.30566 # DEPENDENCYPART_ARC
(15,14),-1.28513 # DEPENDENCYPART_ARC
(15,16),-1.72583 # DEPENDENCYPART_ARC
(15,17),-1.98457 # DEPENDENCYPART_ARC
(15,18),-3.32346 # DEPENDENCYPART_ARC
(16,11),-3.8166 # DEPENDENCYPART_ARC
(16,14),-1.10058 # DEPENDENCYPART_ARC
(16,15),2.57762 # DEPENDENCYPART_ARC
(16,17),-0.529457 # DEPENDENCYPART_ARC
(16,18),-2.47898 # DEPENDENCYPART_ARC
(16,19),-1.343 # DEPENDENCYPART_ARC
(17,14),0.919705 # DEPENDENCYPART_ARC
(17,15),-0.202611 # DEPENDENCYPART_ARC
(17,16),1.65391 # DEPENDENCYPART_ARC
(17,18),-0.668992 # DEPENDENCYPART_ARC
(17,19),-0.621537 # DEPENDENCYPART_ARC
(18,11),-3.7442 # DEPENDENCYPART_ARC
(18,14),1.55722 # DEPENDENCYPART_ARC
(18,15),-1.72608 # DEPENDENCYPART_ARC
(18,16),1.54338 # DEPENDENCYPART_ARC
(18,17),2.80845 # DEPENDENCYPART_ARC
(18,19),-0.583879 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.828371 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.821866 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.361897 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.865355 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.82187 # DEPENDENCYPART_SIBL
(0,1),(0,9),-0.821866 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.361897 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.935151 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.119613 # DEPENDENCYPART_SIBL
(0,2),(0,5),-1.45062 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.30801 # DEPENDENCYPART_SIBL
(0,2),(0,7),-1.53214 # DEPENDENCYPART_SIBL
(0,2),(0,8),-1.45079 # DEPENDENCYPART_SIBL
(0,2),(0,9),-1.45062 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.30801 # DEPENDENCYPART_SIBL
(0,2),(0,13),-1.54837 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0412174 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.282809 # DEPENDENCYPART_SIBL
(0,5),(0,7),-1.53925 # DEPENDENCYPART_SIBL
(0,5),(0,8),-1.4579 # DEPENDENCYPART_SIBL
(0,5),(0,9),-1.45773 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.282809 # DEPENDENCYPART_SIBL
(0,5),(0,13),-1.55547 # DEPENDENCYPART_SIBL
(0,5),(0,19),0.0114244 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.4829 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,9),-0.408609 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.129028 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.503235 # DEPENDENCYPART_SIBL
(0,6),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,7),(0,8),-1.56585 # DEPENDENCYPART_SIBL
(0,7),(0,9),-1.5655 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.327514 # DEPENDENCYPART_SIBL
(0,7),(0,13),-1.66361 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0527541 # DEPENDENCYPART_SIBL
(0,8),(0,9),-1.46389 # DEPENDENCYPART_SIBL
(0,8),(0,12),-0.288042 # DEPENDENCYPART_SIBL
(0,8),(0,13),-1.56163 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.00477589 # DEPENDENCYPART_SIBL
(0,9),(0,12),-0.296463 # DEPENDENCYPART_SIBL
(0,9),(0,13),-1.56094 # DEPENDENCYPART_SIBL
(0,9),(0,19),-0.00769122 # DEPENDENCYPART_SIBL
(0,12),(0,13),-0.503235 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,19),0.168426 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0125987 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.819162 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.0718183 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.861915 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.81968 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.819161 # DEPENDENCYPART_SIBL
(1,2),(1,12),0.0718183 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.828622 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.368661 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.0669658 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.41638 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.37163 # DEPENDENCYPART_SIBL
(1,4),(1,9),-0.368655 # DEPENDENCYPART_SIBL
(1,4),(1,12),-0.0669658 # DEPENDENCYPART_SIBL
(1,4),(1,13),-0.378189 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.0785253 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.863315 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.82108 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.820561 # DEPENDENCYPART_SIBL
(1,5),(1,12),0.0785253 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.830022 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.48832 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.456619 # DEPENDENCYPART_SIBL
