# _root_ Poválečný vývoj navíc v Německu ovlivnily značné migrační abnormality , které vyplývaly z odsunu Němců z východní Evropy , z exodu východních Němců na západ a nově nyní z přílivu etnických Němců z Východu a uprchlíků .
#goldHeads=2,6,6,6,4,0,9,9,6,26,12,26,19,13,14,14,18,16,12,19,20,23,21,21,24,9,26,26,26,29,32,35,32,33,30,35,0,
#predictedHeads=2,6,6,6,4,0,9,9,6,12,12,9,12,13,14,14,18,16,12,26,20,23,21,21,24,12,26,26,26,29,32,30,32,35,33,35,0,
(0,1),-1.19925 # DEPENDENCYPART_ARC
(0,2),-1.08578 # DEPENDENCYPART_ARC
(0,3),-0.828428 # DEPENDENCYPART_ARC
(0,4),-0.947329 # DEPENDENCYPART_ARC
(0,6),-0.0840505 # DEPENDENCYPART_ARC
(0,10),-1.13206 # DEPENDENCYPART_ARC
(0,11),-2.78601 # DEPENDENCYPART_ARC
(0,12),-0.686559 # DEPENDENCYPART_ARC
(0,19),-1.18241 # DEPENDENCYPART_ARC
(0,26),-1.20288 # DEPENDENCYPART_ARC
(0,35),-1.55138 # DEPENDENCYPART_ARC
(0,37),1.87369 # DEPENDENCYPART_ARC
(2,1),2.61121 # DEPENDENCYPART_ARC
(2,3),-0.695064 # DEPENDENCYPART_ARC
(2,4),-1.02612 # DEPENDENCYPART_ARC
(2,5),-1.17603 # DEPENDENCYPART_ARC
(2,6),-2.06434 # DEPENDENCYPART_ARC
(2,7),-4.02652 # DEPENDENCYPART_ARC
(2,8),-4.31744 # DEPENDENCYPART_ARC
(2,9),-2.80261 # DEPENDENCYPART_ARC
(2,12),-2.89486 # DEPENDENCYPART_ARC
(3,1),-1.71458 # DEPENDENCYPART_ARC
(3,2),-1.77832 # DEPENDENCYPART_ARC
(3,4),-0.976349 # DEPENDENCYPART_ARC
(3,5),-1.7851 # DEPENDENCYPART_ARC
(3,6),-1.68112 # DEPENDENCYPART_ARC
(3,7),-2.3854 # DEPENDENCYPART_ARC
(3,12),-2.2098 # DEPENDENCYPART_ARC
(4,2),-3.67544 # DEPENDENCYPART_ARC
(4,3),-1.6137 # DEPENDENCYPART_ARC
(4,5),3.40977 # DEPENDENCYPART_ARC
(4,7),-3.4595 # DEPENDENCYPART_ARC
(4,9),-3.29688 # DEPENDENCYPART_ARC
(5,1),-2.72113 # DEPENDENCYPART_ARC
(5,2),-2.9577 # DEPENDENCYPART_ARC
(5,3),-0.483365 # DEPENDENCYPART_ARC
(5,6),-1.83702 # DEPENDENCYPART_ARC
(5,7),-4.46593 # DEPENDENCYPART_ARC
(5,9),-3.01797 # DEPENDENCYPART_ARC
(6,1),-3.3097 # DEPENDENCYPART_ARC
(6,2),-0.0233663 # DEPENDENCYPART_ARC
(6,3),0.62125 # DEPENDENCYPART_ARC
(6,4),0.867842 # DEPENDENCYPART_ARC
(6,5),-1.52172 # DEPENDENCYPART_ARC
(6,7),0.735182 # DEPENDENCYPART_ARC
(6,8),-0.628845 # DEPENDENCYPART_ARC
(6,9),0.828775 # DEPENDENCYPART_ARC
(6,10),-0.526085 # DEPENDENCYPART_ARC
(6,12),-2.743 # DEPENDENCYPART_ARC
(6,13),-0.816571 # DEPENDENCYPART_ARC
(6,14),-3.0569 # DEPENDENCYPART_ARC
(6,15),-2.38038 # DEPENDENCYPART_ARC
(6,16),-0.737613 # DEPENDENCYPART_ARC
(6,18),-3.55597 # DEPENDENCYPART_ARC
(6,19),-1.06275 # DEPENDENCYPART_ARC
(6,20),-1.48217 # DEPENDENCYPART_ARC
(6,21),-3.70184 # DEPENDENCYPART_ARC
(6,23),-3.12315 # DEPENDENCYPART_ARC
(6,24),-1.27146 # DEPENDENCYPART_ARC
(6,26),-1.04254 # DEPENDENCYPART_ARC
(6,27),-1.76374 # DEPENDENCYPART_ARC
(6,28),-1.79705 # DEPENDENCYPART_ARC
(6,30),-4.03461 # DEPENDENCYPART_ARC
(6,35),-0.859812 # DEPENDENCYPART_ARC
(7,3),-1.54716 # DEPENDENCYPART_ARC
(7,4),-1.33065 # DEPENDENCYPART_ARC
(7,6),-1.78442 # DEPENDENCYPART_ARC
(7,8),-1.81614 # DEPENDENCYPART_ARC
(7,9),-2.25173 # DEPENDENCYPART_ARC
(7,10),-1.16022 # DEPENDENCYPART_ARC
(7,12),-3.22017 # DEPENDENCYPART_ARC
(7,13),-1.22755 # DEPENDENCYPART_ARC
(8,4),-1.58571 # DEPENDENCYPART_ARC
(8,7),-1.88751 # DEPENDENCYPART_ARC
(9,1),-4.33075 # DEPENDENCYPART_ARC
(9,3),-1.12553 # DEPENDENCYPART_ARC
(9,4),-1.53808 # DEPENDENCYPART_ARC
(9,5),-3.76575 # DEPENDENCYPART_ARC
(9,7),2.09511 # DEPENDENCYPART_ARC
(9,8),2.7374 # DEPENDENCYPART_ARC
(9,10),-1.23098 # DEPENDENCYPART_ARC
(9,11),-0.801837 # DEPENDENCYPART_ARC
(9,12),-1.22286 # DEPENDENCYPART_ARC
(9,13),-1.75792 # DEPENDENCYPART_ARC
(9,14),-1.71767 # DEPENDENCYPART_ARC
(9,16),-1.67062 # DEPENDENCYPART_ARC
(9,17),-3.58864 # DEPENDENCYPART_ARC
(9,26),-1.39462 # DEPENDENCYPART_ARC
(10,2),-2.44809 # DEPENDENCYPART_ARC
(10,6),-1.11833 # DEPENDENCYPART_ARC
(10,7),-1.9373 # DEPENDENCYPART_ARC
(10,9),-1.73339 # DEPENDENCYPART_ARC
(10,12),-1.11088 # DEPENDENCYPART_ARC
(10,13),-1.64324 # DEPENDENCYPART_ARC
(10,19),-1.00193 # DEPENDENCYPART_ARC
(11,10),-1.16599 # DEPENDENCYPART_ARC
(11,15),-2.40181 # DEPENDENCYPART_ARC
(12,1),-4.12972 # DEPENDENCYPART_ARC
(12,2),-1.37769 # DEPENDENCYPART_ARC
(12,3),-0.84769 # DEPENDENCYPART_ARC
(12,4),-1.01146 # DEPENDENCYPART_ARC
(12,5),-3.29502 # DEPENDENCYPART_ARC
(12,6),-2.39515 # DEPENDENCYPART_ARC
(12,7),-2.14252 # DEPENDENCYPART_ARC
(12,8),-1.99803 # DEPENDENCYPART_ARC
(12,9),-0.934815 # DEPENDENCYPART_ARC
(12,10),0.570071 # DEPENDENCYPART_ARC
(12,11),1.36877 # DEPENDENCYPART_ARC
(12,13),1.62095 # DEPENDENCYPART_ARC
(12,14),-1.12994 # DEPENDENCYPART_ARC
(12,15),-0.663564 # DEPENDENCYPART_ARC
(12,16),0.396063 # DEPENDENCYPART_ARC
(12,17),-3.36369 # DEPENDENCYPART_ARC
(12,18),-2.64599 # DEPENDENCYPART_ARC
(12,19),-0.259579 # DEPENDENCYPART_ARC
(12,20),-0.675113 # DEPENDENCYPART_ARC
(12,21),-2.85735 # DEPENDENCYPART_ARC
(12,22),-3.08582 # DEPENDENCYPART_ARC
(12,23),-2.31591 # DEPENDENCYPART_ARC
(12,24),-0.406104 # DEPENDENCYPART_ARC
(12,25),-1.45259 # DEPENDENCYPART_ARC
(12,26),-0.477466 # DEPENDENCYPART_ARC
(12,27),-1.12938 # DEPENDENCYPART_ARC
(12,28),-1.20676 # DEPENDENCYPART_ARC
(12,29),-1.1575 # DEPENDENCYPART_ARC
(12,30),-3.46624 # DEPENDENCYPART_ARC
(12,32),-2.92533 # DEPENDENCYPART_ARC
(12,33),-1.18075 # DEPENDENCYPART_ARC
(12,34),-3.57172 # DEPENDENCYPART_ARC
(12,35),-0.738441 # DEPENDENCYPART_ARC
(12,36),-3.62349 # DEPENDENCYPART_ARC
(13,10),-1.01647 # DEPENDENCYPART_ARC
(13,14),1.76535 # DEPENDENCYPART_ARC
(13,15),-0.632076 # DEPENDENCYPART_ARC
(14,11),-4.04972 # DEPENDENCYPART_ARC
(14,13),-0.448962 # DEPENDENCYPART_ARC
(14,15),1.29273 # DEPENDENCYPART_ARC
(14,16),-0.31422 # DEPENDENCYPART_ARC
(14,17),-2.00113 # DEPENDENCYPART_ARC
(14,18),0.0214813 # DEPENDENCYPART_ARC
(14,20),-1.40247 # DEPENDENCYPART_ARC
(14,22),-2.52924 # DEPENDENCYPART_ARC
(14,24),-0.879229 # DEPENDENCYPART_ARC
(14,26),-0.788207 # DEPENDENCYPART_ARC
(14,33),-1.40121 # DEPENDENCYPART_ARC
(15,11),-3.36036 # DEPENDENCYPART_ARC
(15,13),-1.54634 # DEPENDENCYPART_ARC
(15,14),-1.37364 # DEPENDENCYPART_ARC
(15,16),0.0922038 # DEPENDENCYPART_ARC
(15,17),-2.15636 # DEPENDENCYPART_ARC
(15,18),-0.56208 # DEPENDENCYPART_ARC
(15,19),-1.10428 # DEPENDENCYPART_ARC
(15,20),-1.46155 # DEPENDENCYPART_ARC
(15,22),-1.0355 # DEPENDENCYPART_ARC
(15,24),-1.64188 # DEPENDENCYPART_ARC
(15,31),-1.49432 # DEPENDENCYPART_ARC
(16,14),-2.05553 # DEPENDENCYPART_ARC
(16,15),-2.8912 # DEPENDENCYPART_ARC
(16,17),-0.487034 # DEPENDENCYPART_ARC
(16,18),2.05712 # DEPENDENCYPART_ARC
(16,19),-1.00269 # DEPENDENCYPART_ARC
(16,21),-0.874874 # DEPENDENCYPART_ARC
(18,11),-3.9645 # DEPENDENCYPART_ARC
(18,13),-1.49229 # DEPENDENCYPART_ARC
(18,14),-2.86285 # DEPENDENCYPART_ARC
