# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,20,14,10,14,14,20,20,14,16,19,17,8,22,20,24,22,24,25,22,27,31,27,30,0,
(0,1),-1.09169 # DEPENDENCYPART_ARC
(0,2),-0.439861 # DEPENDENCYPART_ARC
(0,3),-1.06003 # DEPENDENCYPART_ARC
(0,4),-1.21259 # DEPENDENCYPART_ARC
(0,8),-1.78089 # DEPENDENCYPART_ARC
(0,9),-1.17336 # DEPENDENCYPART_ARC
(0,14),-1.25936 # DEPENDENCYPART_ARC
(0,15),-1.40065 # DEPENDENCYPART_ARC
(0,16),-1.51019 # DEPENDENCYPART_ARC
(0,20),-0.827004 # DEPENDENCYPART_ARC
(0,22),-1.68157 # DEPENDENCYPART_ARC
(0,27),-1.33749 # DEPENDENCYPART_ARC
(0,32),2.19216 # DEPENDENCYPART_ARC
(1,2),-1.34235 # DEPENDENCYPART_ARC
(2,1),1.26232 # DEPENDENCYPART_ARC
(2,3),0.661208 # DEPENDENCYPART_ARC
(2,4),1.11664 # DEPENDENCYPART_ARC
(2,5),-0.453536 # DEPENDENCYPART_ARC
(2,6),0.714901 # DEPENDENCYPART_ARC
(2,7),-0.953919 # DEPENDENCYPART_ARC
(2,8),0.423288 # DEPENDENCYPART_ARC
(2,9),-0.29613 # DEPENDENCYPART_ARC
(2,10),-0.419693 # DEPENDENCYPART_ARC
(2,13),-0.859194 # DEPENDENCYPART_ARC
(2,14),-2.19134 # DEPENDENCYPART_ARC
(2,15),-0.74186 # DEPENDENCYPART_ARC
(2,16),-1.67242 # DEPENDENCYPART_ARC
(2,17),-1.71793 # DEPENDENCYPART_ARC
(2,19),-3.87365 # DEPENDENCYPART_ARC
(2,20),-0.703393 # DEPENDENCYPART_ARC
(2,21),-1.29005 # DEPENDENCYPART_ARC
(2,27),-0.710951 # DEPENDENCYPART_ARC
(2,28),-2.36744 # DEPENDENCYPART_ARC
(3,1),-1.67115 # DEPENDENCYPART_ARC
(3,2),-2.02804 # DEPENDENCYPART_ARC
(3,4),-1.12878 # DEPENDENCYPART_ARC
(3,5),-2.0939 # DEPENDENCYPART_ARC
(3,6),-2.93822 # DEPENDENCYPART_ARC
(4,3),-1.71709 # DEPENDENCYPART_ARC
(4,5),1.85934 # DEPENDENCYPART_ARC
(4,6),-2.88835 # DEPENDENCYPART_ARC
(5,3),-0.839104 # DEPENDENCYPART_ARC
(5,4),0.0615514 # DEPENDENCYPART_ARC
(5,6),-0.991821 # DEPENDENCYPART_ARC
(5,7),0.954238 # DEPENDENCYPART_ARC
(5,8),-3.30376 # DEPENDENCYPART_ARC
(5,14),-1.57044 # DEPENDENCYPART_ARC
(5,20),-1.02751 # DEPENDENCYPART_ARC
(5,22),-2.52095 # DEPENDENCYPART_ARC
(6,3),-1.16513 # DEPENDENCYPART_ARC
(6,4),-0.895728 # DEPENDENCYPART_ARC
(6,5),-3.26029 # DEPENDENCYPART_ARC
(6,7),2.41168 # DEPENDENCYPART_ARC
(6,8),-2.11275 # DEPENDENCYPART_ARC
(6,9),-1.01372 # DEPENDENCYPART_ARC
(6,10),-1.24437 # DEPENDENCYPART_ARC
(6,14),-1.44616 # DEPENDENCYPART_ARC
(6,20),-1.10304 # DEPENDENCYPART_ARC
(6,22),-2.36211 # DEPENDENCYPART_ARC
(7,2),-3.33706 # DEPENDENCYPART_ARC
(7,3),-1.73319 # DEPENDENCYPART_ARC
(7,5),-3.99252 # DEPENDENCYPART_ARC
(7,6),-2.01334 # DEPENDENCYPART_ARC
(7,8),-1.92312 # DEPENDENCYPART_ARC
(7,10),-1.1216 # DEPENDENCYPART_ARC
(7,14),-1.93264 # DEPENDENCYPART_ARC
(8,1),-2.06435 # DEPENDENCYPART_ARC
(8,3),-1.58918 # DEPENDENCYPART_ARC
(8,5),-2.90359 # DEPENDENCYPART_ARC
(8,6),2.23486 # DEPENDENCYPART_ARC
(8,7),-0.020842 # DEPENDENCYPART_ARC
(8,9),-1.13841 # DEPENDENCYPART_ARC
(8,10),-1.87567 # DEPENDENCYPART_ARC
(8,11),-3.08573 # DEPENDENCYPART_ARC
(8,14),-0.912856 # DEPENDENCYPART_ARC
(8,20),-1.39428 # DEPENDENCYPART_ARC
(8,22),-2.25947 # DEPENDENCYPART_ARC
(9,1),-1.91626 # DEPENDENCYPART_ARC
(9,2),-0.945332 # DEPENDENCYPART_ARC
(9,4),-0.951318 # DEPENDENCYPART_ARC
(9,5),-1.5581 # DEPENDENCYPART_ARC
(9,6),-1.48752 # DEPENDENCYPART_ARC
(9,7),-1.73183 # DEPENDENCYPART_ARC
(9,8),-1.50377 # DEPENDENCYPART_ARC
(9,10),-0.81955 # DEPENDENCYPART_ARC
(9,13),-1.32783 # DEPENDENCYPART_ARC
(9,14),-1.66194 # DEPENDENCYPART_ARC
(9,15),-1.01852 # DEPENDENCYPART_ARC
