# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,5,8,6,0,12,10,9,12,18,18,18,18,9,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(0,1),-1.1367 # DEPENDENCYPART_ARC
(0,2),-1.58234 # DEPENDENCYPART_ARC
(0,3),-1.96505 # DEPENDENCYPART_ARC
(0,4),-1.90151 # DEPENDENCYPART_ARC
(0,5),-1.99329 # DEPENDENCYPART_ARC
(0,6),-1.03682 # DEPENDENCYPART_ARC
(0,9),0.0394572 # DEPENDENCYPART_ARC
(0,11),-0.447211 # DEPENDENCYPART_ARC
(0,14),-1.18469 # DEPENDENCYPART_ARC
(0,16),-1.26773 # DEPENDENCYPART_ARC
(0,18),-0.995539 # DEPENDENCYPART_ARC
(0,21),-0.43929 # DEPENDENCYPART_ARC
(0,26),-1.01593 # DEPENDENCYPART_ARC
(0,34),1.5727 # DEPENDENCYPART_ARC
(1,2),1.62082 # DEPENDENCYPART_ARC
(1,3),-2.89132 # DEPENDENCYPART_ARC
(1,4),-3.56337 # DEPENDENCYPART_ARC
(2,1),-0.0899041 # DEPENDENCYPART_ARC
(2,3),-1.18443 # DEPENDENCYPART_ARC
(2,4),1.17225 # DEPENDENCYPART_ARC
(2,5),-0.191888 # DEPENDENCYPART_ARC
(2,6),-0.424403 # DEPENDENCYPART_ARC
(2,8),-1.44728 # DEPENDENCYPART_ARC
(2,18),-0.839739 # DEPENDENCYPART_ARC
(3,1),-1.0791 # DEPENDENCYPART_ARC
(3,2),-2.24794 # DEPENDENCYPART_ARC
(3,4),-1.57428 # DEPENDENCYPART_ARC
(3,5),-2.0524 # DEPENDENCYPART_ARC
(3,6),-0.872728 # DEPENDENCYPART_ARC
(4,1),-0.975594 # DEPENDENCYPART_ARC
(4,2),-4.00887 # DEPENDENCYPART_ARC
(4,3),2.40441 # DEPENDENCYPART_ARC
(4,5),1.85192 # DEPENDENCYPART_ARC
(4,6),0.165704 # DEPENDENCYPART_ARC
(4,7),-1.0815 # DEPENDENCYPART_ARC
(4,8),-0.609901 # DEPENDENCYPART_ARC
(4,14),-0.734333 # DEPENDENCYPART_ARC
(4,18),-0.542081 # DEPENDENCYPART_ARC
(5,2),-5.05475 # DEPENDENCYPART_ARC
(5,3),-1.78065 # DEPENDENCYPART_ARC
(5,4),-1.46084 # DEPENDENCYPART_ARC
(5,6),0.455948 # DEPENDENCYPART_ARC
(5,7),-0.932045 # DEPENDENCYPART_ARC
(5,8),-1.17865 # DEPENDENCYPART_ARC
(5,10),-2.89 # DEPENDENCYPART_ARC
(5,11),-1.27927 # DEPENDENCYPART_ARC
(6,5),-2.54566 # DEPENDENCYPART_ARC
(6,7),0.558389 # DEPENDENCYPART_ARC
(6,8),0.265996 # DEPENDENCYPART_ARC
(6,10),-2.03924 # DEPENDENCYPART_ARC
