# _root_ Cigarety Camel , které se v pátek pokusila z Turecka do ČSFR propašovat skupina patnácti osob , byly podle našich informací určeny k prodeji v Praze .
#goldHeads=18,1,8,13,8,8,6,1,13,9,13,11,8,8,16,14,8,0,18,21,19,18,22,23,24,25,0,
#predictedHeads=0,1,8,8,8,8,6,1,8,9,8,11,8,13,16,14,8,22,22,21,19,0,22,23,24,25,0,
(0,1),-0.725256 # DEPENDENCYPART_ARC
(0,2),-0.747551 # DEPENDENCYPART_ARC
(0,3),-0.622966 # DEPENDENCYPART_ARC
(0,4),-2.34124 # DEPENDENCYPART_ARC
(0,6),-0.774506 # DEPENDENCYPART_ARC
(0,8),-0.250336 # DEPENDENCYPART_ARC
(0,11),-1.07763 # DEPENDENCYPART_ARC
(0,13),-1.30134 # DEPENDENCYPART_ARC
(0,15),-1.45082 # DEPENDENCYPART_ARC
(0,17),-1.10712 # DEPENDENCYPART_ARC
(0,18),-0.517577 # DEPENDENCYPART_ARC
(0,22),-2.26905 # DEPENDENCYPART_ARC
(0,27),2.03549 # DEPENDENCYPART_ARC
(1,2),0.781114 # DEPENDENCYPART_ARC
(1,3),-1.13249 # DEPENDENCYPART_ARC
(1,4),-1.81029 # DEPENDENCYPART_ARC
(1,6),-1.41648 # DEPENDENCYPART_ARC
(1,7),-4.42414 # DEPENDENCYPART_ARC
(1,8),-1.61464 # DEPENDENCYPART_ARC
(1,9),-1.83572 # DEPENDENCYPART_ARC
(1,11),-1.23345 # DEPENDENCYPART_ARC
(1,13),-1.4673 # DEPENDENCYPART_ARC
(1,22),-2.40905 # DEPENDENCYPART_ARC
(2,1),-0.76327 # DEPENDENCYPART_ARC
(2,3),-0.745868 # DEPENDENCYPART_ARC
(2,4),-2.69843 # DEPENDENCYPART_ARC
(2,6),-2.35257 # DEPENDENCYPART_ARC
(2,7),-3.84922 # DEPENDENCYPART_ARC
(2,8),-1.99529 # DEPENDENCYPART_ARC
(2,13),-0.873991 # DEPENDENCYPART_ARC
(2,18),-3.92872 # DEPENDENCYPART_ARC
(2,22),-2.72641 # DEPENDENCYPART_ARC
(3,1),-1.93391 # DEPENDENCYPART_ARC
(3,2),-1.82149 # DEPENDENCYPART_ARC
(3,6),-1.51524 # DEPENDENCYPART_ARC
(3,8),-1.56975 # DEPENDENCYPART_ARC
(3,13),-2.14835 # DEPENDENCYPART_ARC
(3,17),-0.892028 # DEPENDENCYPART_ARC
(3,18),-3.38523 # DEPENDENCYPART_ARC
(4,3),-1.05344 # DEPENDENCYPART_ARC
(4,7),-1.86346 # DEPENDENCYPART_ARC
(4,8),-1.73507 # DEPENDENCYPART_ARC
(4,10),-2.08312 # DEPENDENCYPART_ARC
(6,1),-4.56374 # DEPENDENCYPART_ARC
(6,2),-3.44738 # DEPENDENCYPART_ARC
(6,3),-0.95339 # DEPENDENCYPART_ARC
(6,7),2.98048 # DEPENDENCYPART_ARC
(6,10),-3.65471 # DEPENDENCYPART_ARC
(7,1),-5.48935 # DEPENDENCYPART_ARC
(7,2),-1.2677 # DEPENDENCYPART_ARC
(7,4),-2.05304 # DEPENDENCYPART_ARC
(7,5),-3.00394 # DEPENDENCYPART_ARC
(7,6),-0.23774 # DEPENDENCYPART_ARC
(7,8),-1.80602 # DEPENDENCYPART_ARC
(8,1),0.261438 # DEPENDENCYPART_ARC
(8,2),-2.31841 # DEPENDENCYPART_ARC
(8,3),0.86085 # DEPENDENCYPART_ARC
(8,4),0.788866 # DEPENDENCYPART_ARC
(8,5),1.80931 # DEPENDENCYPART_ARC
(8,6),0.959625 # DEPENDENCYPART_ARC
(8,7),0.620503 # DEPENDENCYPART_ARC
(8,9),1.68074 # DEPENDENCYPART_ARC
(8,10),-1.74264 # DEPENDENCYPART_ARC
(8,11),0.895934 # DEPENDENCYPART_ARC
(8,12),-2.47966 # DEPENDENCYPART_ARC
(8,13),1.71155 # DEPENDENCYPART_ARC
(8,14),-0.060206 # DEPENDENCYPART_ARC
(8,15),-2.37614 # DEPENDENCYPART_ARC
(8,16),-2.00504 # DEPENDENCYPART_ARC
(8,17),-0.206815 # DEPENDENCYPART_ARC
(8,18),-3.60192 # DEPENDENCYPART_ARC
(8,19),-0.394101 # DEPENDENCYPART_ARC
(8,21),-3.4112 # DEPENDENCYPART_ARC
(8,22),-2.04083 # DEPENDENCYPART_ARC
(8,23),-1.04446 # DEPENDENCYPART_ARC
(8,25),-1.06009 # DEPENDENCYPART_ARC
(9,10),2.34173 # DEPENDENCYPART_ARC
(9,12),-0.436266 # DEPENDENCYPART_ARC
(10,6),-2.09049 # DEPENDENCYPART_ARC
(10,9),-1.21159 # DEPENDENCYPART_ARC
(10,11),-0.613134 # DEPENDENCYPART_ARC
(10,12),-1.74725 # DEPENDENCYPART_ARC
(10,13),-1.35351 # DEPENDENCYPART_ARC
(10,14),-2.98818 # DEPENDENCYPART_ARC
(10,22),-3.60498 # DEPENDENCYPART_ARC
(10,25),-2.92511 # DEPENDENCYPART_ARC
(11,7),-1.66746 # DEPENDENCYPART_ARC
(11,9),-0.922764 # DEPENDENCYPART_ARC
(11,10),-1.12771 # DEPENDENCYPART_ARC
(11,12),3.08377 # DEPENDENCYPART_ARC
(11,14),-3.04369 # DEPENDENCYPART_ARC
(11,16),-1.93856 # DEPENDENCYPART_ARC
(12,9),-1.53839 # DEPENDENCYPART_ARC
(12,10),-2.76817 # DEPENDENCYPART_ARC
(12,13),-0.521422 # DEPENDENCYPART_ARC
(12,14),-2.70503 # DEPENDENCYPART_ARC
(12,15),-2.0103 # DEPENDENCYPART_ARC
(12,16),-3.42084 # DEPENDENCYPART_ARC
(12,22),-3.91018 # DEPENDENCYPART_ARC
