# _root_ Na posezení a debatu s Leonhardem býval čas večer , když se vrátil z mnichovského rozhlasu , děti se odebraly k spánku a v domě byl klid .
#goldHeads=8,3,1,3,3,5,0,7,7,11,7,13,23,13,16,14,23,20,20,23,20,21,11,26,24,23,26,0,
#predictedHeads=7,3,1,3,4,5,0,7,7,11,7,13,11,13,16,14,11,20,20,23,20,21,17,26,24,23,26,0,
(0,1),-0.953285 # DEPENDENCYPART_ARC
(0,2),-1.43713 # DEPENDENCYPART_ARC
(0,3),-1.07044 # DEPENDENCYPART_ARC
(0,5),-1.21471 # DEPENDENCYPART_ARC
(0,7),-0.139638 # DEPENDENCYPART_ARC
(0,9),-1.58262 # DEPENDENCYPART_ARC
(0,10),-1.13721 # DEPENDENCYPART_ARC
(0,11),-1.45222 # DEPENDENCYPART_ARC
(0,13),-0.948389 # DEPENDENCYPART_ARC
(0,17),-1.58039 # DEPENDENCYPART_ARC
(0,20),-1.23275 # DEPENDENCYPART_ARC
(0,23),-1.47652 # DEPENDENCYPART_ARC
(0,26),-1.75977 # DEPENDENCYPART_ARC
(0,28),2.27111 # DEPENDENCYPART_ARC
(1,2),2.12303 # DEPENDENCYPART_ARC
(1,3),-0.0501056 # DEPENDENCYPART_ARC
(1,4),-1.32028 # DEPENDENCYPART_ARC
(1,6),-3.04088 # DEPENDENCYPART_ARC
(2,1),-1.47448 # DEPENDENCYPART_ARC
(2,4),-2.61647 # DEPENDENCYPART_ARC
(2,5),-0.894035 # DEPENDENCYPART_ARC
(3,1),-1.04368 # DEPENDENCYPART_ARC
(3,2),2.22854 # DEPENDENCYPART_ARC
(3,4),2.11597 # DEPENDENCYPART_ARC
(3,5),0.00377328 # DEPENDENCYPART_ARC
(3,6),-0.902491 # DEPENDENCYPART_ARC
(3,7),-0.188136 # DEPENDENCYPART_ARC
(3,8),-1.5758 # DEPENDENCYPART_ARC
(3,9),-1.31363 # DEPENDENCYPART_ARC
(3,10),-0.82536 # DEPENDENCYPART_ARC
(3,11),-1.04269 # DEPENDENCYPART_ARC
(3,13),-2.02735 # DEPENDENCYPART_ARC
(3,17),-0.674073 # DEPENDENCYPART_ARC
(3,20),-3.25333 # DEPENDENCYPART_ARC
(4,2),-3.27008 # DEPENDENCYPART_ARC
(4,3),-0.922679 # DEPENDENCYPART_ARC
(4,5),1.00339 # DEPENDENCYPART_ARC
(4,6),-2.61826 # DEPENDENCYPART_ARC
(4,7),-1.70703 # DEPENDENCYPART_ARC
(5,2),-1.91828 # DEPENDENCYPART_ARC
(5,3),-1.38836 # DEPENDENCYPART_ARC
(5,4),-2.2646 # DEPENDENCYPART_ARC
(5,6),2.93052 # DEPENDENCYPART_ARC
(5,8),-3.00332 # DEPENDENCYPART_ARC
