# _root_ Že Perry svojí pozorností k severokorejským jaderným choutkám píchl do vosího hnízda , ukazuje způsob , jakým na jeho cestu zareagovala oficiální pchjongjangská agentura KCNA .
#goldHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
#predictedHeads=14,9,4,9,4,8,8,5,1,9,12,10,1,0,14,21,21,21,20,18,15,24,24,21,24,0,
(0,1),0.132877 # DEPENDENCYPART_ARC
(0,2),-1.43955 # DEPENDENCYPART_ARC
(0,3),-1.91012 # DEPENDENCYPART_ARC
(0,4),-1.53316 # DEPENDENCYPART_ARC
(0,5),-0.883319 # DEPENDENCYPART_ARC
(0,9),-0.239756 # DEPENDENCYPART_ARC
(0,13),-1.49472 # DEPENDENCYPART_ARC
(0,14),0.957496 # DEPENDENCYPART_ARC
(0,16),-1.34023 # DEPENDENCYPART_ARC
(0,21),-1.00653 # DEPENDENCYPART_ARC
(0,26),1.97258 # DEPENDENCYPART_ARC
(1,2),-0.472482 # DEPENDENCYPART_ARC
(1,4),-2.13672 # DEPENDENCYPART_ARC
(1,5),-1.6526 # DEPENDENCYPART_ARC
(1,8),-3.0123 # DEPENDENCYPART_ARC
(1,9),-0.406609 # DEPENDENCYPART_ARC
(1,13),0.945258 # DEPENDENCYPART_ARC
(1,14),-1.33515 # DEPENDENCYPART_ARC
(1,16),0.193045 # DEPENDENCYPART_ARC
(1,21),-1.42893 # DEPENDENCYPART_ARC
(2,1),-0.282506 # DEPENDENCYPART_ARC
(2,3),-0.648333 # DEPENDENCYPART_ARC
(2,4),-2.53966 # DEPENDENCYPART_ARC
(2,5),-1.55498 # DEPENDENCYPART_ARC
(2,6),-3.36879 # DEPENDENCYPART_ARC
(2,7),-3.4689 # DEPENDENCYPART_ARC
(2,8),-3.47518 # DEPENDENCYPART_ARC
(2,9),-2.20287 # DEPENDENCYPART_ARC
(2,10),-2.04805 # DEPENDENCYPART_ARC
(2,12),-2.15577 # DEPENDENCYPART_ARC
(2,14),-3.43935 # DEPENDENCYPART_ARC
(2,21),-3.19837 # DEPENDENCYPART_ARC
(4,1),-0.896026 # DEPENDENCYPART_ARC
(4,2),-1.77478 # DEPENDENCYPART_ARC
(4,3),2.37478 # DEPENDENCYPART_ARC
(4,5),0.505072 # DEPENDENCYPART_ARC
(4,6),-1.80475 # DEPENDENCYPART_ARC
(4,7),-2.06182 # DEPENDENCYPART_ARC
(4,8),-2.49113 # DEPENDENCYPART_ARC
(4,9),-2.60283 # DEPENDENCYPART_ARC
(4,10),-1.6733 # DEPENDENCYPART_ARC
(4,14),-2.90705 # DEPENDENCYPART_ARC
(5,2),-2.26519 # DEPENDENCYPART_ARC
(5,4),-0.994573 # DEPENDENCYPART_ARC
(5,6),-0.246913 # DEPENDENCYPART_ARC
