# _root_ Zdůraznil , že USA vytvářejí koncentrační tábor , když přesouvají uprchlíky na základnu Guantánamo na Kubě .
#goldHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,13,15,0,
#predictedHeads=0,3,1,5,3,7,5,9,5,9,10,10,12,13,14,15,0,
(0,1),-0.139382 # DEPENDENCYPART_ARC
(0,2),-1.09941 # DEPENDENCYPART_ARC
(0,3),-1.16644 # DEPENDENCYPART_ARC
(0,4),-2.10532 # DEPENDENCYPART_ARC
(0,5),-0.932004 # DEPENDENCYPART_ARC
(0,8),-1.21757 # DEPENDENCYPART_ARC
(0,9),-1.40898 # DEPENDENCYPART_ARC
(0,10),-1.4991 # DEPENDENCYPART_ARC
(0,17),1.67616 # DEPENDENCYPART_ARC
(1,2),-0.502605 # DEPENDENCYPART_ARC
(1,3),0.30888 # DEPENDENCYPART_ARC
(1,4),-2.74419 # DEPENDENCYPART_ARC
(1,5),-1.98804 # DEPENDENCYPART_ARC
(1,6),-3.26549 # DEPENDENCYPART_ARC
(1,7),-1.45141 # DEPENDENCYPART_ARC
(1,8),-1.34053 # DEPENDENCYPART_ARC
(1,9),-0.771784 # DEPENDENCYPART_ARC
(1,10),-3.62071 # DEPENDENCYPART_ARC
(1,11),-3.18531 # DEPENDENCYPART_ARC
(1,12),-2.23192 # DEPENDENCYPART_ARC
(1,15),-2.38419 # DEPENDENCYPART_ARC
(2,1),-1.12978 # DEPENDENCYPART_ARC
(2,3),-0.8505 # DEPENDENCYPART_ARC
(2,4),-2.27864 # DEPENDENCYPART_ARC
(2,5),-1.49098 # DEPENDENCYPART_ARC
(2,9),-1.80303 # DEPENDENCYPART_ARC
(2,10),-2.86224 # DEPENDENCYPART_ARC
(3,1),-1.3611 # DEPENDENCYPART_ARC
(3,2),1.69241 # DEPENDENCYPART_ARC
(3,4),-1.20737 # DEPENDENCYPART_ARC
(3,5),1.25232 # DEPENDENCYPART_ARC
(3,6),-2.0007 # DEPENDENCYPART_ARC
(3,7),-2.44756 # DEPENDENCYPART_ARC
(3,8),-0.69307 # DEPENDENCYPART_ARC
(3,9),-0.920616 # DEPENDENCYPART_ARC
(3,10),-1.21056 # DEPENDENCYPART_ARC
(4,2),-2.21935 # DEPENDENCYPART_ARC
(4,3),-1.70717 # DEPENDENCYPART_ARC
(4,5),-2.36042 # DEPENDENCYPART_ARC
(4,6),-3.29498 # DEPENDENCYPART_ARC
(4,7),-4.66431 # DEPENDENCYPART_ARC
(4,8),-1.49343 # DEPENDENCYPART_ARC
(4,9),-1.77936 # DEPENDENCYPART_ARC
(4,10),-4.31708 # DEPENDENCYPART_ARC
(5,1),-1.67371 # DEPENDENCYPART_ARC
(5,2),-0.565199 # DEPENDENCYPART_ARC
(5,3),-0.828667 # DEPENDENCYPART_ARC
(5,4),1.15352 # DEPENDENCYPART_ARC
(5,6),-1.50859 # DEPENDENCYPART_ARC
(5,7),1.19717 # DEPENDENCYPART_ARC
(5,8),-0.454471 # DEPENDENCYPART_ARC
(5,9),-0.124858 # DEPENDENCYPART_ARC
(5,10),-2.51241 # DEPENDENCYPART_ARC
(5,11),-1.66247 # DEPENDENCYPART_ARC
(5,12),-1.37221 # DEPENDENCYPART_ARC
(5,13),-2.42874 # DEPENDENCYPART_ARC
(5,14),-2.64992 # DEPENDENCYPART_ARC
(5,15),-1.44439 # DEPENDENCYPART_ARC
(6,3),-1.10925 # DEPENDENCYPART_ARC
(6,4),-1.93101 # DEPENDENCYPART_ARC
(6,5),-2.65375 # DEPENDENCYPART_ARC
(6,7),-1.6758 # DEPENDENCYPART_ARC
(6,8),-1.19099 # DEPENDENCYPART_ARC
(6,9),-0.788174 # DEPENDENCYPART_ARC
(6,10),-3.25401 # DEPENDENCYPART_ARC
(7,1),-2.45305 # DEPENDENCYPART_ARC
(7,2),-1.08382 # DEPENDENCYPART_ARC
(7,3),-1.27922 # DEPENDENCYPART_ARC
(7,4),-1.98654 # DEPENDENCYPART_ARC
(7,5),-1.4257 # DEPENDENCYPART_ARC
(7,6),2.68586 # DEPENDENCYPART_ARC
(7,8),-1.08297 # DEPENDENCYPART_ARC
(7,9),-1.10228 # DEPENDENCYPART_ARC
(7,10),-2.3094 # DEPENDENCYPART_ARC
(7,11),-3.41966 # DEPENDENCYPART_ARC
(7,12),-1.10936 # DEPENDENCYPART_ARC
(7,15),-1.61652 # DEPENDENCYPART_ARC
(8,1),-2.12936 # DEPENDENCYPART_ARC
(8,2),-1.13486 # DEPENDENCYPART_ARC
(8,3),-1.25373 # DEPENDENCYPART_ARC
(8,4),-1.89622 # DEPENDENCYPART_ARC
(8,5),-1.16641 # DEPENDENCYPART_ARC
(8,6),-1.83064 # DEPENDENCYPART_ARC
(8,7),-1.74602 # DEPENDENCYPART_ARC
(8,9),-0.845324 # DEPENDENCYPART_ARC
(8,10),-1.24981 # DEPENDENCYPART_ARC
(8,11),-2.14675 # DEPENDENCYPART_ARC
(8,12),-1.38928 # DEPENDENCYPART_ARC
(8,15),-1.85425 # DEPENDENCYPART_ARC
(9,1),-0.910255 # DEPENDENCYPART_ARC
(9,4),-0.770356 # DEPENDENCYPART_ARC
(9,5),0.3027 # DEPENDENCYPART_ARC
(9,6),-1.70808 # DEPENDENCYPART_ARC
(9,7),-1.3592 # DEPENDENCYPART_ARC
(9,8),1.27772 # DEPENDENCYPART_ARC
(9,10),1.83538 # DEPENDENCYPART_ARC
(9,11),-0.755903 # DEPENDENCYPART_ARC
(9,12),-0.924141 # DEPENDENCYPART_ARC
(9,13),-1.9095 # DEPENDENCYPART_ARC
(9,14),-2.04689 # DEPENDENCYPART_ARC
(9,15),-1.3993 # DEPENDENCYPART_ARC
(9,16),-2.479 # DEPENDENCYPART_ARC
(9,17),-0.56595 # DEPENDENCYPART_ARC
(10,1),-3.1955 # DEPENDENCYPART_ARC
(10,2),-2.14111 # DEPENDENCYPART_ARC
(10,3),-2.47396 # DEPENDENCYPART_ARC
(10,4),-0.976408 # DEPENDENCYPART_ARC
(10,5),-2.85586 # DEPENDENCYPART_ARC
(10,6),-3.52452 # DEPENDENCYPART_ARC
(10,7),-1.58545 # DEPENDENCYPART_ARC
(10,8),-0.815268 # DEPENDENCYPART_ARC
(10,9),-0.401652 # DEPENDENCYPART_ARC
(10,11),1.5317 # DEPENDENCYPART_ARC
