# _root_ Přestože soupeř v závěru již nehrál v nejsilnější sestavě , považuji výhru za náš úspěch , " konstatoval olomoucký trenér Jiří Teplý .
#goldHeads=11,6,6,3,6,1,6,9,7,1,18,11,11,15,13,11,11,0,20,22,22,18,0,
#predictedHeads=18,6,6,3,6,1,6,9,7,1,18,11,12,15,13,11,11,0,20,18,22,18,0,
(0,1),-0.00129073 # DEPENDENCYPART_ARC
(0,2),-1.21969 # DEPENDENCYPART_ARC
(0,3),-0.772718 # DEPENDENCYPART_ARC
(0,6),-0.361511 # DEPENDENCYPART_ARC
(0,10),-1.34482 # DEPENDENCYPART_ARC
(0,11),0.903123 # DEPENDENCYPART_ARC
(0,16),-0.535239 # DEPENDENCYPART_ARC
(0,18),1.80727 # DEPENDENCYPART_ARC
(0,23),1.54811 # DEPENDENCYPART_ARC
(1,2),-0.266514 # DEPENDENCYPART_ARC
(1,3),-0.903611 # DEPENDENCYPART_ARC
(1,4),-1.98968 # DEPENDENCYPART_ARC
(1,5),-1.45288 # DEPENDENCYPART_ARC
(1,6),-0.0553576 # DEPENDENCYPART_ARC
(1,7),-1.96272 # DEPENDENCYPART_ARC
(1,10),0.979668 # DEPENDENCYPART_ARC
(1,11),-1.20381 # DEPENDENCYPART_ARC
(1,16),0.363727 # DEPENDENCYPART_ARC
(1,17),-0.537421 # DEPENDENCYPART_ARC
(1,18),-1.82535 # DEPENDENCYPART_ARC
(1,23),-1.7765 # DEPENDENCYPART_ARC
(2,1),-0.402565 # DEPENDENCYPART_ARC
(2,3),0.033756 # DEPENDENCYPART_ARC
(2,4),-1.68677 # DEPENDENCYPART_ARC
(2,5),-1.17301 # DEPENDENCYPART_ARC
(2,6),-2.01606 # DEPENDENCYPART_ARC
(2,7),-2.0637 # DEPENDENCYPART_ARC
(2,8),-3.28501 # DEPENDENCYPART_ARC
(2,11),-2.75782 # DEPENDENCYPART_ARC
(3,2),-3.27015 # DEPENDENCYPART_ARC
(3,4),2.35634 # DEPENDENCYPART_ARC
(3,5),-1.90469 # DEPENDENCYPART_ARC
(4,1),-0.79648 # DEPENDENCYPART_ARC
(4,2),-0.790645 # DEPENDENCYPART_ARC
(4,3),0.254898 # DEPENDENCYPART_ARC
(4,5),-0.639442 # DEPENDENCYPART_ARC
(4,6),-2.19409 # DEPENDENCYPART_ARC
(4,7),-1.74991 # DEPENDENCYPART_ARC
(4,9),-2.18524 # DEPENDENCYPART_ARC
(5,1),-1.41256 # DEPENDENCYPART_ARC
(5,2),-1.91908 # DEPENDENCYPART_ARC
(5,3),-1.46361 # DEPENDENCYPART_ARC
(5,4),-1.6117 # DEPENDENCYPART_ARC
(6,1),0.186143 # DEPENDENCYPART_ARC
(6,2),0.806563 # DEPENDENCYPART_ARC
(6,3),0.297039 # DEPENDENCYPART_ARC
(6,4),0.0536974 # DEPENDENCYPART_ARC
(6,5),1.36809 # DEPENDENCYPART_ARC
(6,7),1.26449 # DEPENDENCYPART_ARC
(6,8),-2.18598 # DEPENDENCYPART_ARC
(6,9),-0.479908 # DEPENDENCYPART_ARC
(6,10),-0.2411 # DEPENDENCYPART_ARC
(6,11),-0.385532 # DEPENDENCYPART_ARC
(6,12),-0.496301 # DEPENDENCYPART_ARC
(6,13),-0.85139 # DEPENDENCYPART_ARC
(6,15),-0.383661 # DEPENDENCYPART_ARC
(6,16),-0.768822 # DEPENDENCYPART_ARC
(6,17),-0.829452 # DEPENDENCYPART_ARC
(6,18),-3.86518 # DEPENDENCYPART_ARC
(6,20),-3.01667 # DEPENDENCYPART_ARC
(6,21),-2.97292 # DEPENDENCYPART_ARC
(6,22),-1.86452 # DEPENDENCYPART_ARC
(7,8),-0.294662 # DEPENDENCYPART_ARC
(7,9),1.82769 # DEPENDENCYPART_ARC
(7,10),-1.0244 # DEPENDENCYPART_ARC
(7,11),-2.19581 # DEPENDENCYPART_ARC
(7,12),-2.72938 # DEPENDENCYPART_ARC
(8,5),-1.40756 # DEPENDENCYPART_ARC
(9,1),-1.30219 # DEPENDENCYPART_ARC
(9,3),-1.17611 # DEPENDENCYPART_ARC
(9,4),-2.75162 # DEPENDENCYPART_ARC
(9,5),-0.593955 # DEPENDENCYPART_ARC
(9,6),-2.10742 # DEPENDENCYPART_ARC
(9,7),-0.603262 # DEPENDENCYPART_ARC
(9,8),1.98046 # DEPENDENCYPART_ARC
(9,10),-1.44315 # DEPENDENCYPART_ARC
