# _root_ Ale taky čarodějem - uvážíme - li , že za pouhých 20 let dokázal vybudovat čtvrté největší hospodářské impérium v Itálii , že dokázal za kratičké tři měsíce " vydupat ze země " vlastní stranu Forza Italia .
#goldHeads=0,3,1,7,7,7,1,22,22,15,12,10,12,9,14,19,19,19,15,15,20,5,22,23,30,28,28,25,30,24,30,31,30,35,30,35,36,0,
#predictedHeads=0,3,1,7,7,7,3,9,5,14,12,10,12,9,14,19,19,19,15,19,20,23,15,23,24,28,28,25,30,24,30,31,30,35,30,37,35,0,
(0,1),1.15927 # DEPENDENCYPART_ARC
(0,2),-1.13981 # DEPENDENCYPART_ARC
(0,3),-1.0821 # DEPENDENCYPART_ARC
(0,4),-0.523195 # DEPENDENCYPART_ARC
(0,5),0.416743 # DEPENDENCYPART_ARC
(0,6),-0.268434 # DEPENDENCYPART_ARC
(0,7),-1.38979 # DEPENDENCYPART_ARC
(0,8),-1.00904 # DEPENDENCYPART_ARC
(0,9),-1.62004 # DEPENDENCYPART_ARC
(0,14),-0.752457 # DEPENDENCYPART_ARC
(0,15),-1.711 # DEPENDENCYPART_ARC
(0,16),-2.20633 # DEPENDENCYPART_ARC
(0,30),-1.68672 # DEPENDENCYPART_ARC
(0,38),2.46259 # DEPENDENCYPART_ARC
(1,2),-0.263673 # DEPENDENCYPART_ARC
(1,3),-0.239727 # DEPENDENCYPART_ARC
(1,4),0.430164 # DEPENDENCYPART_ARC
(1,5),-0.170814 # DEPENDENCYPART_ARC
(1,6),-0.356812 # DEPENDENCYPART_ARC
(1,7),-1.25744 # DEPENDENCYPART_ARC
(1,8),-0.874159 # DEPENDENCYPART_ARC
(1,9),-2.01303 # DEPENDENCYPART_ARC
(1,11),-2.44484 # DEPENDENCYPART_ARC
(1,12),-1.81541 # DEPENDENCYPART_ARC
(1,14),-1.83141 # DEPENDENCYPART_ARC
(1,15),-2.30205 # DEPENDENCYPART_ARC
(1,17),-3.0189 # DEPENDENCYPART_ARC
(1,22),-1.22021 # DEPENDENCYPART_ARC
(1,29),-0.0934078 # DEPENDENCYPART_ARC
(1,33),-0.718476 # DEPENDENCYPART_ARC
(2,1),-0.475071 # DEPENDENCYPART_ARC
(2,3),-1.29965 # DEPENDENCYPART_ARC
(2,4),-1.51359 # DEPENDENCYPART_ARC
(2,5),-1.7949 # DEPENDENCYPART_ARC
(3,1),-0.532629 # DEPENDENCYPART_ARC
(3,2),0.0171835 # DEPENDENCYPART_ARC
(3,4),-0.58755 # DEPENDENCYPART_ARC
(3,5),-1.39133 # DEPENDENCYPART_ARC
(3,6),-1.22528 # DEPENDENCYPART_ARC
(3,7),-1.08031 # DEPENDENCYPART_ARC
(3,9),-0.837689 # DEPENDENCYPART_ARC
(3,14),-2.10317 # DEPENDENCYPART_ARC
(4,1),-0.36286 # DEPENDENCYPART_ARC
(4,2),-0.623408 # DEPENDENCYPART_ARC
(4,3),-0.591246 # DEPENDENCYPART_ARC
(4,5),-0.458968 # DEPENDENCYPART_ARC
(4,6),-0.567359 # DEPENDENCYPART_ARC
(4,7),-1.24072 # DEPENDENCYPART_ARC
(4,8),-0.670489 # DEPENDENCYPART_ARC
(4,9),-1.1846 # DEPENDENCYPART_ARC
