# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,18,16,14,1,0,20,21,27,25,23,27,20,0,
(0,1),0.0621193 # DEPENDENCYPART_ARC
(0,2),-1.05691 # DEPENDENCYPART_ARC
(0,5),-0.236378 # DEPENDENCYPART_ARC
(0,12),-1.3123 # DEPENDENCYPART_ARC
(0,14),-0.632904 # DEPENDENCYPART_ARC
(0,18),-2.07343 # DEPENDENCYPART_ARC
(0,19),-1.57423 # DEPENDENCYPART_ARC
(0,20),-0.605346 # DEPENDENCYPART_ARC
(0,27),-2.89154 # DEPENDENCYPART_ARC
(0,28),1.90911 # DEPENDENCYPART_ARC
(1,2),-0.685232 # DEPENDENCYPART_ARC
(1,3),-1.35421 # DEPENDENCYPART_ARC
(1,4),-2.03682 # DEPENDENCYPART_ARC
(1,5),0.820169 # DEPENDENCYPART_ARC
(1,8),-1.04904 # DEPENDENCYPART_ARC
(1,12),0.0335813 # DEPENDENCYPART_ARC
(1,14),-0.0645002 # DEPENDENCYPART_ARC
(1,18),-0.257543 # DEPENDENCYPART_ARC
(1,19),0.586289 # DEPENDENCYPART_ARC
(1,20),-1.21846 # DEPENDENCYPART_ARC
(2,3),1.93721 # DEPENDENCYPART_ARC
(2,4),-2.71483 # DEPENDENCYPART_ARC
(2,6),-3.82485 # DEPENDENCYPART_ARC
(3,1),-0.480734 # DEPENDENCYPART_ARC
(3,2),0.0400494 # DEPENDENCYPART_ARC
(3,4),1.80788 # DEPENDENCYPART_ARC
(3,5),-1.68056 # DEPENDENCYPART_ARC
(3,6),-2.50395 # DEPENDENCYPART_ARC
(3,7),-1.99797 # DEPENDENCYPART_ARC
(3,8),-0.476691 # DEPENDENCYPART_ARC
(4,1),-0.67173 # DEPENDENCYPART_ARC
(4,2),-0.944708 # DEPENDENCYPART_ARC
(4,3),-2.89565 # DEPENDENCYPART_ARC
(4,5),-1.30424 # DEPENDENCYPART_ARC
(4,6),-2.09988 # DEPENDENCYPART_ARC
(4,7),-2.66641 # DEPENDENCYPART_ARC
(5,1),-0.279539 # DEPENDENCYPART_ARC
(5,2),0.652824 # DEPENDENCYPART_ARC
(5,3),-0.507766 # DEPENDENCYPART_ARC
(5,4),-1.58815 # DEPENDENCYPART_ARC
(5,6),0.43375 # DEPENDENCYPART_ARC
(5,7),0.71921 # DEPENDENCYPART_ARC
(5,8),-0.375342 # DEPENDENCYPART_ARC
(5,9),-0.634656 # DEPENDENCYPART_ARC
(5,10),-2.43404 # DEPENDENCYPART_ARC
(5,11),-2.52018 # DEPENDENCYPART_ARC
(5,12),-0.883524 # DEPENDENCYPART_ARC
(5,15),-1.89498 # DEPENDENCYPART_ARC
(5,16),-1.22614 # DEPENDENCYPART_ARC
(5,19),-0.991103 # DEPENDENCYPART_ARC
(5,25),-4.7878 # DEPENDENCYPART_ARC
(5,26),-1.94356 # DEPENDENCYPART_ARC
(6,7),-2.02248 # DEPENDENCYPART_ARC
(6,8),-0.669963 # DEPENDENCYPART_ARC
(7,3),-4.61006 # DEPENDENCYPART_ARC
(7,6),2.00691 # DEPENDENCYPART_ARC
(7,9),-2.1942 # DEPENDENCYPART_ARC
(7,10),-1.71643 # DEPENDENCYPART_ARC
(7,11),-2.52565 # DEPENDENCYPART_ARC
(8,1),-1.0872 # DEPENDENCYPART_ARC
(8,2),-1.72476 # DEPENDENCYPART_ARC
(8,3),-1.39882 # DEPENDENCYPART_ARC
(8,4),-1.4377 # DEPENDENCYPART_ARC
(8,5),-1.27104 # DEPENDENCYPART_ARC
(8,6),-0.507761 # DEPENDENCYPART_ARC
(8,7),1.50759 # DEPENDENCYPART_ARC
(8,9),0.630645 # DEPENDENCYPART_ARC
(8,10),-1.07923 # DEPENDENCYPART_ARC
(8,11),-1.72564 # DEPENDENCYPART_ARC
(8,19),-1.6977 # DEPENDENCYPART_ARC
(9,6),-0.165626 # DEPENDENCYPART_ARC
(9,8),0.702568 # DEPENDENCYPART_ARC
(9,10),0.553369 # DEPENDENCYPART_ARC
(9,11),-0.852249 # DEPENDENCYPART_ARC
(9,14),-1.7274 # DEPENDENCYPART_ARC
(9,16),-1.87439 # DEPENDENCYPART_ARC
(10,6),-4.35259 # DEPENDENCYPART_ARC
(10,8),-0.390521 # DEPENDENCYPART_ARC
