# _root_ " Chtěl jsem víc , ale v posledních třech závodech ME se mi motor Porsche rozsypával , " říká Bartoš .
#goldHeads=6,6,2,2,6,19,16,10,10,7,10,16,16,16,14,6,6,6,0,19,0,
#predictedHeads=2,19,2,2,6,2,16,10,10,7,10,16,16,16,14,6,2,2,0,19,0,
(0,1),-1.03488 # DEPENDENCYPART_ARC
(0,2),0.424432 # DEPENDENCYPART_ARC
(0,3),-0.482681 # DEPENDENCYPART_ARC
(0,4),-1.33256 # DEPENDENCYPART_ARC
(0,5),-1.02516 # DEPENDENCYPART_ARC
(0,6),0.412106 # DEPENDENCYPART_ARC
(0,13),-2.61237 # DEPENDENCYPART_ARC
(0,16),-1.49652 # DEPENDENCYPART_ARC
(0,17),-0.658665 # DEPENDENCYPART_ARC
(0,19),1.56239 # DEPENDENCYPART_ARC
(0,21),1.74428 # DEPENDENCYPART_ARC
(1,2),-2.29525 # DEPENDENCYPART_ARC
(1,3),-2.94432 # DEPENDENCYPART_ARC
(2,1),0.191657 # DEPENDENCYPART_ARC
(2,3),2.83552 # DEPENDENCYPART_ARC
(2,4),0.523016 # DEPENDENCYPART_ARC
(2,5),-0.0785619 # DEPENDENCYPART_ARC
(2,6),-0.0692962 # DEPENDENCYPART_ARC
(2,7),-0.262388 # DEPENDENCYPART_ARC
(2,8),-3.61295 # DEPENDENCYPART_ARC
(2,9),-2.37399 # DEPENDENCYPART_ARC
(2,10),-1.86412 # DEPENDENCYPART_ARC
(2,11),-1.48021 # DEPENDENCYPART_ARC
(2,14),-0.78392 # DEPENDENCYPART_ARC
(2,15),-2.89477 # DEPENDENCYPART_ARC
(2,16),-2.4723 # DEPENDENCYPART_ARC
(2,17),9.0278e-05 # DEPENDENCYPART_ARC
(2,18),0.0316238 # DEPENDENCYPART_ARC
(2,19),-2.62339 # DEPENDENCYPART_ARC
(2,20),-2.83597 # DEPENDENCYPART_ARC
(2,21),-0.708135 # DEPENDENCYPART_ARC
(3,1),-0.652658 # DEPENDENCYPART_ARC
(3,2),-1.06984 # DEPENDENCYPART_ARC
(3,4),0.675901 # DEPENDENCYPART_ARC
(3,5),-1.09397 # DEPENDENCYPART_ARC
(3,6),-0.916048 # DEPENDENCYPART_ARC
(3,7),-1.89765 # DEPENDENCYPART_ARC
(3,8),-4.43267 # DEPENDENCYPART_ARC
(3,9),-3.67979 # DEPENDENCYPART_ARC
(3,10),-3.30679 # DEPENDENCYPART_ARC
(3,11),-2.65589 # DEPENDENCYPART_ARC
(3,14),-2.36896 # DEPENDENCYPART_ARC
(3,15),-4.20913 # DEPENDENCYPART_ARC
(3,16),-3.13737 # DEPENDENCYPART_ARC
(3,17),-1.30645 # DEPENDENCYPART_ARC
(3,18),-0.761348 # DEPENDENCYPART_ARC
(4,1),-0.793878 # DEPENDENCYPART_ARC
(4,2),-2.37623 # DEPENDENCYPART_ARC
(4,3),-1.72998 # DEPENDENCYPART_ARC
(4,5),-0.187236 # DEPENDENCYPART_ARC
(4,6),-0.707836 # DEPENDENCYPART_ARC
(4,7),-1.81994 # DEPENDENCYPART_ARC
(5,1),-0.893798 # DEPENDENCYPART_ARC
(5,2),-1.12065 # DEPENDENCYPART_ARC
(5,3),-1.32119 # DEPENDENCYPART_ARC
(5,4),-1.03575 # DEPENDENCYPART_ARC
(5,7),-1.05123 # DEPENDENCYPART_ARC
(5,8),-1.77892 # DEPENDENCYPART_ARC
(5,9),-1.65014 # DEPENDENCYPART_ARC
(5,16),-2.02078 # DEPENDENCYPART_ARC
(5,17),-0.921556 # DEPENDENCYPART_ARC
(5,18),-1.24664 # DEPENDENCYPART_ARC
(6,1),-0.363304 # DEPENDENCYPART_ARC
(6,2),-0.0462084 # DEPENDENCYPART_ARC
(6,3),0.143777 # DEPENDENCYPART_ARC
(6,4),-0.413997 # DEPENDENCYPART_ARC
(6,5),1.71762 # DEPENDENCYPART_ARC
(6,7),0.0484638 # DEPENDENCYPART_ARC
(6,8),-0.912973 # DEPENDENCYPART_ARC
(6,9),-0.978228 # DEPENDENCYPART_ARC
(6,10),-1.48197 # DEPENDENCYPART_ARC
(6,11),-1.74583 # DEPENDENCYPART_ARC
(6,16),0.646721 # DEPENDENCYPART_ARC
(6,17),-0.653664 # DEPENDENCYPART_ARC
(6,18),0.0275846 # DEPENDENCYPART_ARC
(6,19),-0.533896 # DEPENDENCYPART_ARC
(6,20),-2.80666 # DEPENDENCYPART_ARC
(6,21),-1.32752 # DEPENDENCYPART_ARC
(7,5),-0.827579 # DEPENDENCYPART_ARC
(7,8),-0.253989 # DEPENDENCYPART_ARC
(7,9),-0.609083 # DEPENDENCYPART_ARC
(7,10),0.801584 # DEPENDENCYPART_ARC
(7,11),-0.764196 # DEPENDENCYPART_ARC
(8,4),-1.0991 # DEPENDENCYPART_ARC
(8,6),-0.834423 # DEPENDENCYPART_ARC
(8,7),-1.25927 # DEPENDENCYPART_ARC
(8,10),-1.89453 # DEPENDENCYPART_ARC
(9,7),-1.51757 # DEPENDENCYPART_ARC
(9,8),-0.307133 # DEPENDENCYPART_ARC
(9,10),-0.59435 # DEPENDENCYPART_ARC
(9,11),-1.62945 # DEPENDENCYPART_ARC
(10,1),-1.64129 # DEPENDENCYPART_ARC
(10,4),-0.745367 # DEPENDENCYPART_ARC
(10,5),-0.742319 # DEPENDENCYPART_ARC
(10,6),-0.633231 # DEPENDENCYPART_ARC
(10,7),-0.881401 # DEPENDENCYPART_ARC
(10,8),0.255097 # DEPENDENCYPART_ARC
(10,9),1.51656 # DEPENDENCYPART_ARC
(10,11),0.992243 # DEPENDENCYPART_ARC
(10,14),-2.34487 # DEPENDENCYPART_ARC
(10,15),-1.49161 # DEPENDENCYPART_ARC
(10,16),-1.90497 # DEPENDENCYPART_ARC
(10,19),-2.73409 # DEPENDENCYPART_ARC
(11,4),-2.16843 # DEPENDENCYPART_ARC
(11,6),-1.28046 # DEPENDENCYPART_ARC
(11,8),-3.62286 # DEPENDENCYPART_ARC
(11,9),-1.40234 # DEPENDENCYPART_ARC
(11,10),-4.05007 # DEPENDENCYPART_ARC
(11,12),-0.62875 # DEPENDENCYPART_ARC
(11,14),-1.4587 # DEPENDENCYPART_ARC
(11,15),-1.30167 # DEPENDENCYPART_ARC
(11,16),-2.50389 # DEPENDENCYPART_ARC
(11,17),-0.62041 # DEPENDENCYPART_ARC
(11,18),-1.14888 # DEPENDENCYPART_ARC
(11,19),-3.06587 # DEPENDENCYPART_ARC
(11,20),-4.10573 # DEPENDENCYPART_ARC
(13,14),-1.62262 # DEPENDENCYPART_ARC
(13,15),-2.49552 # DEPENDENCYPART_ARC
(13,20),-2.99844 # DEPENDENCYPART_ARC
(14,12),-2.93818 # DEPENDENCYPART_ARC
(14,13),-1.76487 # DEPENDENCYPART_ARC
(14,15),1.17503 # DEPENDENCYPART_ARC
(14,17),-1.1841 # DEPENDENCYPART_ARC
(14,18),-1.38939 # DEPENDENCYPART_ARC
(14,19),-2.65301 # DEPENDENCYPART_ARC
(14,20),-3.12281 # DEPENDENCYPART_ARC
(15,10),-3.29063 # DEPENDENCYPART_ARC
(15,11),-0.481656 # DEPENDENCYPART_ARC
(15,12),-4.21126 # DEPENDENCYPART_ARC
(15,13),-2.57398 # DEPENDENCYPART_ARC
(15,14),0.992724 # DEPENDENCYPART_ARC
(15,19),-3.71285 # DEPENDENCYPART_ARC
(15,20),-3.2103 # DEPENDENCYPART_ARC
(16,1),-0.767235 # DEPENDENCYPART_ARC
(16,2),-1.625 # DEPENDENCYPART_ARC
(16,3),0.78893 # DEPENDENCYPART_ARC
(16,4),-0.580228 # DEPENDENCYPART_ARC
(16,5),-0.229509 # DEPENDENCYPART_ARC
(16,6),-0.805578 # DEPENDENCYPART_ARC
(16,7),0.900711 # DEPENDENCYPART_ARC
(16,8),-3.45659 # DEPENDENCYPART_ARC
(16,9),-1.75428 # DEPENDENCYPART_ARC
(16,10),-0.979953 # DEPENDENCYPART_ARC
(16,11),-0.686727 # DEPENDENCYPART_ARC
(16,12),1.47541 # DEPENDENCYPART_ARC
(16,13),0.898582 # DEPENDENCYPART_ARC
(16,14),1.5901 # DEPENDENCYPART_ARC
(16,15),0.171025 # DEPENDENCYPART_ARC
(16,17),-0.380472 # DEPENDENCYPART_ARC
(16,18),-0.768989 # DEPENDENCYPART_ARC
(16,19),-1.6893 # DEPENDENCYPART_ARC
(16,20),-1.42128 # DEPENDENCYPART_ARC
(16,21),-2.11979 # DEPENDENCYPART_ARC
(17,1),-0.956014 # DEPENDENCYPART_ARC
(17,2),-1.94327 # DEPENDENCYPART_ARC
(17,3),-1.6695 # DEPENDENCYPART_ARC
