# _root_ Na jídelním lístku je stále nejméně 20 hotových jídel , dále několik jídel z ryb , ale i jídla bezmasá a na objednávku .
#goldHeads=4,3,1,0,4,7,17,9,7,17,17,17,12,13,14,17,4,19,17,21,19,21,22,0,
#predictedHeads=4,3,1,10,4,7,4,9,7,17,12,17,12,13,14,17,0,19,17,21,19,21,22,0,
(0,1),-1.2978 # DEPENDENCYPART_ARC
(0,4),0.0148775 # DEPENDENCYPART_ARC
(0,7),-1.36819 # DEPENDENCYPART_ARC
(0,10),-1.10555 # DEPENDENCYPART_ARC
(0,11),-1.53861 # DEPENDENCYPART_ARC
(0,12),-1.95101 # DEPENDENCYPART_ARC
(0,16),-1.12038 # DEPENDENCYPART_ARC
(0,17),0.166007 # DEPENDENCYPART_ARC
(0,21),-1.1594 # DEPENDENCYPART_ARC
(0,24),2.01494 # DEPENDENCYPART_ARC
(1,2),-0.529303 # DEPENDENCYPART_ARC
(1,3),2.20783 # DEPENDENCYPART_ARC
(1,5),-2.23863 # DEPENDENCYPART_ARC
(1,6),-2.28657 # DEPENDENCYPART_ARC
(3,2),2.04621 # DEPENDENCYPART_ARC
(3,4),-2.00091 # DEPENDENCYPART_ARC
(4,1),0.811771 # DEPENDENCYPART_ARC
(4,2),-2.17249 # DEPENDENCYPART_ARC
(4,3),-0.261076 # DEPENDENCYPART_ARC
(4,5),0.742682 # DEPENDENCYPART_ARC
(4,6),0.294316 # DEPENDENCYPART_ARC
(4,7),-0.076931 # DEPENDENCYPART_ARC
(4,8),-2.30739 # DEPENDENCYPART_ARC
(4,9),-1.62743 # DEPENDENCYPART_ARC
(4,10),-0.747574 # DEPENDENCYPART_ARC
(4,11),-1.06035 # DEPENDENCYPART_ARC
(4,13),-2.84149 # DEPENDENCYPART_ARC
(4,14),-1.34852 # DEPENDENCYPART_ARC
(4,15),-3.4139 # DEPENDENCYPART_ARC
(4,16),-1.06133 # DEPENDENCYPART_ARC
(4,17),-0.236329 # DEPENDENCYPART_ARC
(4,18),-1.4755 # DEPENDENCYPART_ARC
(4,19),-2.71379 # DEPENDENCYPART_ARC
(4,20),-1.19593 # DEPENDENCYPART_ARC
(4,21),-0.983823 # DEPENDENCYPART_ARC
(4,22),-2.0955 # DEPENDENCYPART_ARC
(4,23),-2.8167 # DEPENDENCYPART_ARC
(5,1),-2.16074 # DEPENDENCYPART_ARC
(5,4),-1.88369 # DEPENDENCYPART_ARC
(5,6),-1.10471 # DEPENDENCYPART_ARC
(5,8),-2.51675 # DEPENDENCYPART_ARC
(5,9),-1.13063 # DEPENDENCYPART_ARC
(6,1),-1.59436 # DEPENDENCYPART_ARC
(6,3),-1.82802 # DEPENDENCYPART_ARC
(6,4),-1.76719 # DEPENDENCYPART_ARC
(6,5),0.660174 # DEPENDENCYPART_ARC
(6,8),-1.95031 # DEPENDENCYPART_ARC
(6,9),-0.772463 # DEPENDENCYPART_ARC
(6,10),-1.2605 # DEPENDENCYPART_ARC
(7,1),-1.3345 # DEPENDENCYPART_ARC
(7,2),-1.50481 # DEPENDENCYPART_ARC
(7,3),-1.64086 # DEPENDENCYPART_ARC
(7,4),-1.12565 # DEPENDENCYPART_ARC
(7,5),-0.436427 # DEPENDENCYPART_ARC
(7,6),0.590965 # DEPENDENCYPART_ARC
(7,8),-0.340231 # DEPENDENCYPART_ARC
(7,9),-0.404622 # DEPENDENCYPART_ARC
(7,13),-1.64318 # DEPENDENCYPART_ARC
(7,14),-1.51898 # DEPENDENCYPART_ARC
(8,5),-0.7612 # DEPENDENCYPART_ARC
(8,6),-1.07701 # DEPENDENCYPART_ARC
(8,7),-0.32942 # DEPENDENCYPART_ARC
(9,1),-1.95903 # DEPENDENCYPART_ARC
(9,2),-4.00793 # DEPENDENCYPART_ARC
(9,5),-1.07309 # DEPENDENCYPART_ARC
(9,6),-0.920298 # DEPENDENCYPART_ARC
(9,7),-0.485351 # DEPENDENCYPART_ARC
(9,8),2.18698 # DEPENDENCYPART_ARC
(9,10),-1.21853 # DEPENDENCYPART_ARC
(9,11),-2.1778 # DEPENDENCYPART_ARC
(9,13),-1.43794 # DEPENDENCYPART_ARC
(9,14),-0.977654 # DEPENDENCYPART_ARC
(9,17),-1.31198 # DEPENDENCYPART_ARC
(9,20),-3.43671 # DEPENDENCYPART_ARC
(10,1),-1.18828 # DEPENDENCYPART_ARC
(10,3),-1.58202 # DEPENDENCYPART_ARC
(10,4),-0.380575 # DEPENDENCYPART_ARC
(10,5),-0.792707 # DEPENDENCYPART_ARC
(10,6),-0.772382 # DEPENDENCYPART_ARC
(10,7),-1.06722 # DEPENDENCYPART_ARC
(10,8),-1.11373 # DEPENDENCYPART_ARC
(10,9),-0.768405 # DEPENDENCYPART_ARC
(10,11),-0.538705 # DEPENDENCYPART_ARC
(10,13),-1.03531 # DEPENDENCYPART_ARC
(10,14),-0.761911 # DEPENDENCYPART_ARC
(10,15),-1.3212 # DEPENDENCYPART_ARC
(10,16),-0.473577 # DEPENDENCYPART_ARC
(10,17),-0.814086 # DEPENDENCYPART_ARC
(10,18),-0.875497 # DEPENDENCYPART_ARC
(10,20),-1.87685 # DEPENDENCYPART_ARC
(10,21),-0.592675 # DEPENDENCYPART_ARC
(10,22),-1.49231 # DEPENDENCYPART_ARC
(10,23),-2.42336 # DEPENDENCYPART_ARC
(11,1),-1.72767 # DEPENDENCYPART_ARC
(11,3),-2.34986 # DEPENDENCYPART_ARC
(11,4),-2.53493 # DEPENDENCYPART_ARC
(11,9),-0.117319 # DEPENDENCYPART_ARC
(11,10),0.0804323 # DEPENDENCYPART_ARC
(11,13),0.570951 # DEPENDENCYPART_ARC
(11,14),-1.52646 # DEPENDENCYPART_ARC
(11,15),-0.138277 # DEPENDENCYPART_ARC
(11,16),-0.995455 # DEPENDENCYPART_ARC
(11,17),-0.753159 # DEPENDENCYPART_ARC
(11,19),-2.59739 # DEPENDENCYPART_ARC
(11,24),-1.81823 # DEPENDENCYPART_ARC
(12,9),-0.605085 # DEPENDENCYPART_ARC
(12,10),-0.809745 # DEPENDENCYPART_ARC
(12,11),0.371763 # DEPENDENCYPART_ARC
(12,13),1.02387 # DEPENDENCYPART_ARC
(12,15),-0.94492 # DEPENDENCYPART_ARC
(12,18),-1.27161 # DEPENDENCYPART_ARC
(12,21),-1.59666 # DEPENDENCYPART_ARC
(13,5),-1.84767 # DEPENDENCYPART_ARC
(13,6),-1.74592 # DEPENDENCYPART_ARC
(13,7),-2.38002 # DEPENDENCYPART_ARC
(13,8),-0.830565 # DEPENDENCYPART_ARC
(13,9),-2.11917 # DEPENDENCYPART_ARC
(13,10),-1.12542 # DEPENDENCYPART_ARC
(13,11),-0.872088 # DEPENDENCYPART_ARC
(13,12),-0.969388 # DEPENDENCYPART_ARC
(13,14),1.01318 # DEPENDENCYPART_ARC
(13,15),-0.232066 # DEPENDENCYPART_ARC
(13,16),-0.913972 # DEPENDENCYPART_ARC
(13,17),-0.963591 # DEPENDENCYPART_ARC
(13,19),-3.28005 # DEPENDENCYPART_ARC
(13,20),-3.00794 # DEPENDENCYPART_ARC
(13,21),-1.05633 # DEPENDENCYPART_ARC
(13,22),-0.798719 # DEPENDENCYPART_ARC
(13,23),-4.78387 # DEPENDENCYPART_ARC
(14,15),2.28945 # DEPENDENCYPART_ARC
(14,16),-0.866263 # DEPENDENCYPART_ARC
(14,18),-0.883212 # DEPENDENCYPART_ARC
(14,19),-3.6934 # DEPENDENCYPART_ARC
(15,11),-1.70286 # DEPENDENCYPART_ARC
(15,12),-2.79938 # DEPENDENCYPART_ARC
(15,14),-0.915514 # DEPENDENCYPART_ARC
(15,17),-1.22795 # DEPENDENCYPART_ARC
(15,18),-1.66679 # DEPENDENCYPART_ARC
(15,19),-3.3611 # DEPENDENCYPART_ARC
(15,20),-3.72575 # DEPENDENCYPART_ARC
(15,22),-1.72602 # DEPENDENCYPART_ARC
(16,4),-1.51448 # DEPENDENCYPART_ARC
(16,7),-2.40724 # DEPENDENCYPART_ARC
(16,13),-1.54053 # DEPENDENCYPART_ARC
(16,15),-1.60518 # DEPENDENCYPART_ARC
(16,19),-1.92937 # DEPENDENCYPART_ARC
(17,1),-1.5385 # DEPENDENCYPART_ARC
(17,2),-2.65506 # DEPENDENCYPART_ARC
(17,3),-0.941698 # DEPENDENCYPART_ARC
(17,4),0.159889 # DEPENDENCYPART_ARC
(17,5),-1.05507 # DEPENDENCYPART_ARC
(17,6),-1.06756 # DEPENDENCYPART_ARC
(17,7),-1.50937 # DEPENDENCYPART_ARC
(17,8),-1.98475 # DEPENDENCYPART_ARC
(17,9),-1.07232 # DEPENDENCYPART_ARC
(17,10),0.111837 # DEPENDENCYPART_ARC
(17,11),-0.738367 # DEPENDENCYPART_ARC
(17,12),-1.15973 # DEPENDENCYPART_ARC
(17,13),-1.06191 # DEPENDENCYPART_ARC
(17,14),-0.620274 # DEPENDENCYPART_ARC
(17,15),-0.655222 # DEPENDENCYPART_ARC
(17,16),2.00518 # DEPENDENCYPART_ARC
(17,18),-0.138646 # DEPENDENCYPART_ARC
(17,19),-0.611037 # DEPENDENCYPART_ARC
(17,20),-1.3697 # DEPENDENCYPART_ARC
(17,21),-0.287938 # DEPENDENCYPART_ARC
(17,22),-0.928614 # DEPENDENCYPART_ARC
(17,23),-1.86101 # DEPENDENCYPART_ARC
(17,24),-0.625083 # DEPENDENCYPART_ARC
(18,7),-2.62832 # DEPENDENCYPART_ARC
(18,8),-2.7809 # DEPENDENCYPART_ARC
(18,9),-1.79857 # DEPENDENCYPART_ARC
(18,10),-1.54825 # DEPENDENCYPART_ARC
(18,11),-2.13678 # DEPENDENCYPART_ARC
(18,12),-2.28085 # DEPENDENCYPART_ARC
(18,13),-1.93607 # DEPENDENCYPART_ARC
(18,15),-0.933557 # DEPENDENCYPART_ARC
(18,16),-0.573162 # DEPENDENCYPART_ARC
(18,17),-0.294062 # DEPENDENCYPART_ARC
(18,19),-0.679552 # DEPENDENCYPART_ARC
(18,20),-1.73949 # DEPENDENCYPART_ARC
(18,21),-1.34258 # DEPENDENCYPART_ARC
(18,22),-2.10292 # DEPENDENCYPART_ARC
(18,23),-2.71861 # DEPENDENCYPART_ARC
(18,24),-1.41741 # DEPENDENCYPART_ARC
(19,14),-1.18372 # DEPENDENCYPART_ARC
(19,17),-0.542548 # DEPENDENCYPART_ARC
(19,18),0.880936 # DEPENDENCYPART_ARC
(19,20),0.250227 # DEPENDENCYPART_ARC
(19,21),-0.478496 # DEPENDENCYPART_ARC
(19,22),-0.318574 # DEPENDENCYPART_ARC
(19,23),-3.5563 # DEPENDENCYPART_ARC
(19,24),-0.978319 # DEPENDENCYPART_ARC
(20,16),-1.07432 # DEPENDENCYPART_ARC
(20,18),-0.450642 # DEPENDENCYPART_ARC
(20,19),-0.956314 # DEPENDENCYPART_ARC
(20,21),-0.709719 # DEPENDENCYPART_ARC
(20,22),-0.658811 # DEPENDENCYPART_ARC
(20,23),-2.61027 # DEPENDENCYPART_ARC
(21,1),-1.24322 # DEPENDENCYPART_ARC
(21,4),0.164724 # DEPENDENCYPART_ARC
(21,5),-1.59593 # DEPENDENCYPART_ARC
(21,6),-1.46419 # DEPENDENCYPART_ARC
(21,7),-1.44232 # DEPENDENCYPART_ARC
(21,8),-2.75338 # DEPENDENCYPART_ARC
(21,10),-0.707941 # DEPENDENCYPART_ARC
(21,11),-0.980732 # DEPENDENCYPART_ARC
(21,12),-1.34812 # DEPENDENCYPART_ARC
(21,13),-1.66758 # DEPENDENCYPART_ARC
(21,14),-0.683723 # DEPENDENCYPART_ARC
(21,15),-1.37263 # DEPENDENCYPART_ARC
(21,16),-0.509615 # DEPENDENCYPART_ARC
(21,17),-0.504972 # DEPENDENCYPART_ARC
(21,18),0.00930723 # DEPENDENCYPART_ARC
(21,19),-0.767442 # DEPENDENCYPART_ARC
(21,20),0.088555 # DEPENDENCYPART_ARC
(21,22),0.35742 # DEPENDENCYPART_ARC
(21,23),-0.410563 # DEPENDENCYPART_ARC
(21,24),-0.670924 # DEPENDENCYPART_ARC
(22,23),2.4966 # DEPENDENCYPART_ARC
(22,24),-0.673909 # DEPENDENCYPART_ARC
(23,18),-0.710802 # DEPENDENCYPART_ARC
(23,20),-5.67326 # DEPENDENCYPART_ARC
(23,21),-0.0344984 # DEPENDENCYPART_ARC
(23,22),-1.09437 # DEPENDENCYPART_ARC
(23,24),-0.478071 # DEPENDENCYPART_ARC
(24,23),-3.24283 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.521016 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0675699 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,11),0.108311 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0584582 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.0905797 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.221198 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.450326 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.150472 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.327514 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.305021 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.13881 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.327514 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.932857 # DEPENDENCYPART_SIBL
(0,4),(0,21),-1.05835 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0527541 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0430565 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.111348 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.00461101 # DEPENDENCYPART_SIBL
(0,7),(0,16),-0.0430565 # DEPENDENCYPART_SIBL
(0,7),(0,17),-0.132517 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.16544 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.261016 # DEPENDENCYPART_SIBL
(0,10),(0,11),0.0621322 # DEPENDENCYPART_SIBL
(0,10),(0,12),0.025409 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.129028 # DEPENDENCYPART_SIBL
(0,10),(0,17),-0.0988373 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,11),(0,12),0.181972 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.0515894 # DEPENDENCYPART_SIBL
(0,11),(0,17),0.0156986 # DEPENDENCYPART_SIBL
(0,11),(0,21),-0.0981494 # DEPENDENCYPART_SIBL
(0,11),(0,24),0.0112544 # DEPENDENCYPART_SIBL
(0,12),(0,16),-0.0343456 # DEPENDENCYPART_SIBL
(0,12),(0,17),-0.135792 # DEPENDENCYPART_SIBL
(0,12),(0,21),-0.17391 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.25451 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.0988373 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.140416 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.133324 # DEPENDENCYPART_SIBL
(0,17),(0,21),-0.704092 # DEPENDENCYPART_SIBL
(0,17),(0,24),0.233903 # DEPENDENCYPART_SIBL
(0,21),(0,24),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.755362 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.192906 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.192763 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.549023 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.595172 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.088669 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.0163012 # DEPENDENCYPART_SIBL
(4,1),(4,2),-0.144914 # DEPENDENCYPART_SIBL
(4,1),(4,3),-0.15539 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0422009 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0564123 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0935 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0453139 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0406558 # DEPENDENCYPART_SIBL
(4,1),(4,10),-0.0539725 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0503391 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0406558 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0871492 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0406535 # DEPENDENCYPART_SIBL
(4,1),(4,16),-0.0539725 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0211568 # DEPENDENCYPART_SIBL
(4,1),(4,18),-0.0503282 # DEPENDENCYPART_SIBL
(4,1),(4,19),0.0398137 # DEPENDENCYPART_SIBL
(4,1),(4,20),-0.0453139 # DEPENDENCYPART_SIBL
(4,1),(4,21),0.0527374 # DEPENDENCYPART_SIBL
(4,1),(4,22),0.089906 # DEPENDENCYPART_SIBL
(4,1),(4,23),0.043334 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.105568 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0138331 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0640929 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0303585 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0793087 # DEPENDENCYPART_SIBL
(4,2),(4,9),0.0171554 # DEPENDENCYPART_SIBL
(4,2),(4,10),0.0297831 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0117211 # DEPENDENCYPART_SIBL
(4,2),(4,13),0.0171554 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.107538 # DEPENDENCYPART_SIBL
(4,2),(4,15),0.0173796 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.0297831 # DEPENDENCYPART_SIBL
(4,2),(4,17),0.0505702 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0152364 # DEPENDENCYPART_SIBL
(4,2),(4,19),0.0150744 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0793087 # DEPENDENCYPART_SIBL
(4,2),(4,21),0.100141 # DEPENDENCYPART_SIBL
(4,2),(4,22),-0.043926 # DEPENDENCYPART_SIBL
(4,2),(4,23),0.0198392 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0242389 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0714251 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.0675071 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0776034 # DEPENDENCYPART_SIBL
(4,3),(4,9),-0.00730314 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.00405214 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.00742619 # DEPENDENCYPART_SIBL
(4,3),(4,13),-0.00730314 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0995483 # DEPENDENCYPART_SIBL
(4,3),(4,15),-0.00731726 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.00405214 # DEPENDENCYPART_SIBL
