# _root_ Rozdíl je v tom , že je ve vyhlášce přesně limitováno , co může být soutěžícím poskytnuto .
#goldHeads=2,0,2,3,6,4,6,7,8,11,7,14,14,7,17,17,14,0,
#predictedHeads=2,0,2,3,6,4,6,7,8,11,7,6,17,12,17,15,14,0,
(0,1),-1.34913 # DEPENDENCYPART_ARC
(0,2),-0.557562 # DEPENDENCYPART_ARC
(0,3),-1.58806 # DEPENDENCYPART_ARC
(0,4),-2.63011 # DEPENDENCYPART_ARC
(0,5),-1.31595 # DEPENDENCYPART_ARC
(0,6),-1.42 # DEPENDENCYPART_ARC
(0,7),-1.52933 # DEPENDENCYPART_ARC
(0,11),-2.191 # DEPENDENCYPART_ARC
(0,12),-1.41343 # DEPENDENCYPART_ARC
(0,14),-0.960203 # DEPENDENCYPART_ARC
(0,15),-2.7874 # DEPENDENCYPART_ARC
(0,17),-3.02974 # DEPENDENCYPART_ARC
(0,18),1.83218 # DEPENDENCYPART_ARC
(1,2),-1.84468 # DEPENDENCYPART_ARC
(1,3),-1.82789 # DEPENDENCYPART_ARC
(1,4),-1.58293 # DEPENDENCYPART_ARC
(1,6),-1.48016 # DEPENDENCYPART_ARC
(2,1),1.5868 # DEPENDENCYPART_ARC
(2,3),1.4487 # DEPENDENCYPART_ARC
(2,4),-1.3494 # DEPENDENCYPART_ARC
(2,5),-0.593471 # DEPENDENCYPART_ARC
(2,6),-0.0240005 # DEPENDENCYPART_ARC
(2,7),-1.3744 # DEPENDENCYPART_ARC
(2,8),-1.12876 # DEPENDENCYPART_ARC
(2,10),-1.16804 # DEPENDENCYPART_ARC
(2,11),-0.0650716 # DEPENDENCYPART_ARC
(2,12),-0.870846 # DEPENDENCYPART_ARC
(2,15),-1.67683 # DEPENDENCYPART_ARC
(2,17),-2.1416 # DEPENDENCYPART_ARC
(3,4),1.50223 # DEPENDENCYPART_ARC
(3,5),-0.947161 # DEPENDENCYPART_ARC
(3,6),-1.64446 # DEPENDENCYPART_ARC
(3,9),-0.468104 # DEPENDENCYPART_ARC
(4,1),-1.29087 # DEPENDENCYPART_ARC
(4,2),-0.602695 # DEPENDENCYPART_ARC
(4,5),-0.762434 # DEPENDENCYPART_ARC
(4,6),-0.0904894 # DEPENDENCYPART_ARC
(4,7),-1.61117 # DEPENDENCYPART_ARC
(4,9),-2.31417 # DEPENDENCYPART_ARC
(4,11),-1.5111 # DEPENDENCYPART_ARC
(4,12),-0.720865 # DEPENDENCYPART_ARC
(4,14),-2.02161 # DEPENDENCYPART_ARC
(5,1),-1.74971 # DEPENDENCYPART_ARC
(5,2),-0.835241 # DEPENDENCYPART_ARC
(5,3),-1.36096 # DEPENDENCYPART_ARC
(5,4),-1.14691 # DEPENDENCYPART_ARC
(5,7),-1.49901 # DEPENDENCYPART_ARC
(5,11),-2.21989 # DEPENDENCYPART_ARC
(6,1),-1.20566 # DEPENDENCYPART_ARC
(6,2),-0.626332 # DEPENDENCYPART_ARC
(6,3),-1.21927 # DEPENDENCYPART_ARC
(6,5),1.24841 # DEPENDENCYPART_ARC
(6,7),1.73145 # DEPENDENCYPART_ARC
(6,8),-1.33784 # DEPENDENCYPART_ARC
(6,10),-1.77141 # DEPENDENCYPART_ARC
(6,11),-0.324049 # DEPENDENCYPART_ARC
(6,12),-0.288268 # DEPENDENCYPART_ARC
(6,14),-1.54173 # DEPENDENCYPART_ARC
(6,15),-2.14898 # DEPENDENCYPART_ARC
(6,17),-2.71739 # DEPENDENCYPART_ARC
(7,1),-0.436218 # DEPENDENCYPART_ARC
(7,2),-2.64246 # DEPENDENCYPART_ARC
(7,3),-1.57543 # DEPENDENCYPART_ARC
(7,4),-3.33677 # DEPENDENCYPART_ARC
(7,5),-1.14984 # DEPENDENCYPART_ARC
(7,6),-1.36987 # DEPENDENCYPART_ARC
(7,8),0.972661 # DEPENDENCYPART_ARC
(7,9),-0.401948 # DEPENDENCYPART_ARC
(7,10),-0.250918 # DEPENDENCYPART_ARC
(7,11),1.5336 # DEPENDENCYPART_ARC
(7,12),-0.89499 # DEPENDENCYPART_ARC
(7,14),-2.43684 # DEPENDENCYPART_ARC
(7,15),-0.663273 # DEPENDENCYPART_ARC
(7,17),-1.13371 # DEPENDENCYPART_ARC
(8,5),-1.22538 # DEPENDENCYPART_ARC
(8,9),2.48028 # DEPENDENCYPART_ARC
(9,4),-1.645 # DEPENDENCYPART_ARC
(9,8),-0.346058 # DEPENDENCYPART_ARC
(9,10),-1.07557 # DEPENDENCYPART_ARC
(9,11),-1.45985 # DEPENDENCYPART_ARC
(9,14),-2.43013 # DEPENDENCYPART_ARC
(9,15),-1.90543 # DEPENDENCYPART_ARC
(9,16),-3.37597 # DEPENDENCYPART_ARC
(9,17),-3.47317 # DEPENDENCYPART_ARC
(10,4),-1.81485 # DEPENDENCYPART_ARC
(10,8),-1.30405 # DEPENDENCYPART_ARC
(10,9),-1.74897 # DEPENDENCYPART_ARC
(10,14),-2.49776 # DEPENDENCYPART_ARC
(10,15),-2.42658 # DEPENDENCYPART_ARC
(11,1),0.0484544 # DEPENDENCYPART_ARC
(11,2),-1.19254 # DEPENDENCYPART_ARC
(11,3),-0.231003 # DEPENDENCYPART_ARC
(11,4),-2.48136 # DEPENDENCYPART_ARC
(11,5),-0.963849 # DEPENDENCYPART_ARC
(11,6),-0.919953 # DEPENDENCYPART_ARC
(11,7),0.739178 # DEPENDENCYPART_ARC
(11,8),0.799612 # DEPENDENCYPART_ARC
(11,9),-0.435999 # DEPENDENCYPART_ARC
(11,10),2.05116 # DEPENDENCYPART_ARC
(11,12),-0.617275 # DEPENDENCYPART_ARC
(11,14),-2.33545 # DEPENDENCYPART_ARC
(11,15),-0.248008 # DEPENDENCYPART_ARC
(12,2),-0.991958 # DEPENDENCYPART_ARC
(12,3),-1.19494 # DEPENDENCYPART_ARC
(12,4),-1.51656 # DEPENDENCYPART_ARC
(12,5),-0.671896 # DEPENDENCYPART_ARC
(12,6),-0.769252 # DEPENDENCYPART_ARC
(12,7),-0.783849 # DEPENDENCYPART_ARC
(12,8),-0.770922 # DEPENDENCYPART_ARC
(12,9),-0.934527 # DEPENDENCYPART_ARC
(12,10),-0.780587 # DEPENDENCYPART_ARC
(12,11),-0.290986 # DEPENDENCYPART_ARC
(12,13),-1.18758 # DEPENDENCYPART_ARC
(12,14),-0.884 # DEPENDENCYPART_ARC
(12,15),-1.38917 # DEPENDENCYPART_ARC
(12,16),-2.03361 # DEPENDENCYPART_ARC
(12,17),-2.02783 # DEPENDENCYPART_ARC
(12,18),-0.829536 # DEPENDENCYPART_ARC
(13,12),-0.952711 # DEPENDENCYPART_ARC
(14,1),-0.682798 # DEPENDENCYPART_ARC
(14,2),-3.78242 # DEPENDENCYPART_ARC
(14,3),-1.86184 # DEPENDENCYPART_ARC
(14,5),-2.29032 # DEPENDENCYPART_ARC
(14,6),-1.84834 # DEPENDENCYPART_ARC
(14,7),-2.31234 # DEPENDENCYPART_ARC
(14,8),-1.28621 # DEPENDENCYPART_ARC
(14,9),-1.87343 # DEPENDENCYPART_ARC
(14,10),-1.0256 # DEPENDENCYPART_ARC
(14,11),-0.392748 # DEPENDENCYPART_ARC
(14,12),0.149591 # DEPENDENCYPART_ARC
(14,13),1.12392 # DEPENDENCYPART_ARC
(14,15),3.00582 # DEPENDENCYPART_ARC
(14,16),-1.83141 # DEPENDENCYPART_ARC
(14,17),1.19115 # DEPENDENCYPART_ARC
(14,18),-0.88131 # DEPENDENCYPART_ARC
(15,1),-1.54076 # DEPENDENCYPART_ARC
(15,7),-3.51588 # DEPENDENCYPART_ARC
(15,8),-2.00309 # DEPENDENCYPART_ARC
(15,9),-1.95442 # DEPENDENCYPART_ARC
(15,10),-1.25197 # DEPENDENCYPART_ARC
(15,11),-2.56238 # DEPENDENCYPART_ARC
(15,12),-1.13496 # DEPENDENCYPART_ARC
(15,13),-0.209108 # DEPENDENCYPART_ARC
(15,14),-1.46582 # DEPENDENCYPART_ARC
(15,16),0.511466 # DEPENDENCYPART_ARC
(15,17),0.263592 # DEPENDENCYPART_ARC
(15,18),-1.48721 # DEPENDENCYPART_ARC
(16,17),0.367294 # DEPENDENCYPART_ARC
(16,18),-1.13861 # DEPENDENCYPART_ARC
(17,1),-0.526391 # DEPENDENCYPART_ARC
(17,2),-2.69528 # DEPENDENCYPART_ARC
(17,3),-0.986105 # DEPENDENCYPART_ARC
(17,6),-1.4579 # DEPENDENCYPART_ARC
(17,7),-1.2974 # DEPENDENCYPART_ARC
(17,8),-0.433059 # DEPENDENCYPART_ARC
(17,9),-1.7715 # DEPENDENCYPART_ARC
(17,10),-0.741746 # DEPENDENCYPART_ARC
(17,12),-0.945026 # DEPENDENCYPART_ARC
