# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,0,2,2,8,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,15,22,23,26,24,26,0,
(0,1),-0.623796 # DEPENDENCYPART_ARC
(0,2),-0.847702 # DEPENDENCYPART_ARC
(0,3),-1.36978 # DEPENDENCYPART_ARC
(0,4),-1.04412 # DEPENDENCYPART_ARC
(0,5),-0.734375 # DEPENDENCYPART_ARC
(0,8),-0.588056 # DEPENDENCYPART_ARC
(0,13),-1.14046 # DEPENDENCYPART_ARC
(0,14),-1.04378 # DEPENDENCYPART_ARC
(0,15),0.0286721 # DEPENDENCYPART_ARC
(0,18),-2.05179 # DEPENDENCYPART_ARC
(0,26),-0.730214 # DEPENDENCYPART_ARC
(0,28),1.95354 # DEPENDENCYPART_ARC
(1,3),-2.01791 # DEPENDENCYPART_ARC
(1,4),-2.38677 # DEPENDENCYPART_ARC
(2,1),1.34277 # DEPENDENCYPART_ARC
(2,3),1.39034 # DEPENDENCYPART_ARC
(2,4),0.33719 # DEPENDENCYPART_ARC
(2,5),0.0871013 # DEPENDENCYPART_ARC
(2,7),-0.592546 # DEPENDENCYPART_ARC
(2,9),-1.48802 # DEPENDENCYPART_ARC
(2,10),-2.65152 # DEPENDENCYPART_ARC
(2,12),-2.91045 # DEPENDENCYPART_ARC
(2,13),-0.662504 # DEPENDENCYPART_ARC
(2,22),-0.895059 # DEPENDENCYPART_ARC
(3,1),-0.860859 # DEPENDENCYPART_ARC
(3,2),-1.11453 # DEPENDENCYPART_ARC
(3,4),-0.374044 # DEPENDENCYPART_ARC
(3,6),-2.02141 # DEPENDENCYPART_ARC
(3,8),-1.82394 # DEPENDENCYPART_ARC
(3,11),-2.02293 # DEPENDENCYPART_ARC
(4,1),-0.697815 # DEPENDENCYPART_ARC
(4,2),-1.18124 # DEPENDENCYPART_ARC
(4,3),-0.455062 # DEPENDENCYPART_ARC
(4,5),-1.06232 # DEPENDENCYPART_ARC
(4,6),-1.82155 # DEPENDENCYPART_ARC
(4,7),-1.3376 # DEPENDENCYPART_ARC
(4,8),-1.33079 # DEPENDENCYPART_ARC
(4,11),-1.58191 # DEPENDENCYPART_ARC
(4,15),-2.34266 # DEPENDENCYPART_ARC
(5,1),-1.46628 # DEPENDENCYPART_ARC
(5,2),-0.966182 # DEPENDENCYPART_ARC
(5,3),-1.76681 # DEPENDENCYPART_ARC
(5,4),-1.7629 # DEPENDENCYPART_ARC
(5,8),-1.48529 # DEPENDENCYPART_ARC
(6,5),-1.12454 # DEPENDENCYPART_ARC
(6,7),-0.79627 # DEPENDENCYPART_ARC
(6,9),-2.47994 # DEPENDENCYPART_ARC
(7,6),-1.30613 # DEPENDENCYPART_ARC
(7,8),-0.982248 # DEPENDENCYPART_ARC
(8,1),-0.93324 # DEPENDENCYPART_ARC
(8,2),-0.881735 # DEPENDENCYPART_ARC
(8,3),-1.29625 # DEPENDENCYPART_ARC
(8,4),-1.38477 # DEPENDENCYPART_ARC
(8,5),-0.0888463 # DEPENDENCYPART_ARC
(8,6),0.705342 # DEPENDENCYPART_ARC
(8,7),0.916499 # DEPENDENCYPART_ARC
(8,9),1.49568 # DEPENDENCYPART_ARC
(8,10),-0.441582 # DEPENDENCYPART_ARC
(8,11),-1.46046 # DEPENDENCYPART_ARC
(8,12),-1.27986 # DEPENDENCYPART_ARC
(8,13),-0.774646 # DEPENDENCYPART_ARC
(8,14),-0.946087 # DEPENDENCYPART_ARC
(8,15),-2.39088 # DEPENDENCYPART_ARC
(8,17),-2.04306 # DEPENDENCYPART_ARC
(8,18),-0.425229 # DEPENDENCYPART_ARC
(8,19),-1.73485 # DEPENDENCYPART_ARC
(8,22),-1.24116 # DEPENDENCYPART_ARC
(8,25),-4.39082 # DEPENDENCYPART_ARC
(8,26),-0.336752 # DEPENDENCYPART_ARC
(9,2),-2.66163 # DEPENDENCYPART_ARC
(9,6),-2.13837 # DEPENDENCYPART_ARC
(9,7),-0.8468 # DEPENDENCYPART_ARC
(9,10),1.6395 # DEPENDENCYPART_ARC
(9,11),-1.79385 # DEPENDENCYPART_ARC
(9,12),-0.445125 # DEPENDENCYPART_ARC
(9,13),-1.00603 # DEPENDENCYPART_ARC
(9,15),-1.92991 # DEPENDENCYPART_ARC
(9,17),-2.6883 # DEPENDENCYPART_ARC
(9,18),-1.60077 # DEPENDENCYPART_ARC
(9,26),-0.656072 # DEPENDENCYPART_ARC
(10,9),-2.66716 # DEPENDENCYPART_ARC
(10,11),0.39471 # DEPENDENCYPART_ARC
(10,12),0.767232 # DEPENDENCYPART_ARC
(10,13),-1.1798 # DEPENDENCYPART_ARC
(10,14),-1.25602 # DEPENDENCYPART_ARC
(10,15),-1.69394 # DEPENDENCYPART_ARC
(10,17),-2.57943 # DEPENDENCYPART_ARC
(10,24),-2.8218 # DEPENDENCYPART_ARC
(11,10),-1.7661 # DEPENDENCYPART_ARC
(11,12),-1.12095 # DEPENDENCYPART_ARC
(12,9),-3.40392 # DEPENDENCYPART_ARC
(12,10),-1.62293 # DEPENDENCYPART_ARC
(12,11),2.56726 # DEPENDENCYPART_ARC
(12,14),-1.59172 # DEPENDENCYPART_ARC
(12,15),-1.36077 # DEPENDENCYPART_ARC
(12,16),-2.14735 # DEPENDENCYPART_ARC
(12,17),-3.33172 # DEPENDENCYPART_ARC
(12,18),-1.28524 # DEPENDENCYPART_ARC
(12,20),-2.50982 # DEPENDENCYPART_ARC
(12,23),-3.957 # DEPENDENCYPART_ARC
(13,1),-1.06151 # DEPENDENCYPART_ARC
(13,2),-1.03465 # DEPENDENCYPART_ARC
(13,3),-1.60859 # DEPENDENCYPART_ARC
(13,4),-1.79504 # DEPENDENCYPART_ARC
(13,5),-0.674768 # DEPENDENCYPART_ARC
(13,6),-1.56226 # DEPENDENCYPART_ARC
(13,7),-0.815818 # DEPENDENCYPART_ARC
(13,8),-0.64912 # DEPENDENCYPART_ARC
(13,9),-0.994344 # DEPENDENCYPART_ARC
(13,10),-1.05055 # DEPENDENCYPART_ARC
(13,11),-1.21856 # DEPENDENCYPART_ARC
(13,12),-0.832181 # DEPENDENCYPART_ARC
(13,14),-1.221 # DEPENDENCYPART_ARC
(13,15),-1.18384 # DEPENDENCYPART_ARC
(13,16),-1.89548 # DEPENDENCYPART_ARC
(13,17),-1.85002 # DEPENDENCYPART_ARC
(13,18),-1.79878 # DEPENDENCYPART_ARC
(13,20),-2.40103 # DEPENDENCYPART_ARC
(13,22),-1.25065 # DEPENDENCYPART_ARC
(14,4),-1.7729 # DEPENDENCYPART_ARC
(14,6),-1.9317 # DEPENDENCYPART_ARC
(14,7),-0.911901 # DEPENDENCYPART_ARC
(14,9),-1.75964 # DEPENDENCYPART_ARC
(14,10),-1.31081 # DEPENDENCYPART_ARC
(14,12),-1.00824 # DEPENDENCYPART_ARC
(14,13),-0.0510082 # DEPENDENCYPART_ARC
