# _root_ S obsahem dopisu , ale zejména s obsahem odpovědi M . Kováče na něj , vyjádřila koalice ostrý nesouhlas na lednovém zasedání parlamentu .
#goldHeads=5,1,2,5,19,8,5,7,8,12,10,9,9,13,5,0,16,19,16,16,22,20,22,0,
#predictedHeads=5,1,2,5,0,8,5,7,8,12,10,9,16,13,16,5,16,19,16,19,22,20,22,0,
(0,1),-0.984352 # DEPENDENCYPART_ARC
(0,2),-1.28681 # DEPENDENCYPART_ARC
(0,3),-1.50219 # DEPENDENCYPART_ARC
(0,4),-0.659464 # DEPENDENCYPART_ARC
(0,5),-0.113235 # DEPENDENCYPART_ARC
(0,6),-1.48253 # DEPENDENCYPART_ARC
(0,10),-1.43765 # DEPENDENCYPART_ARC
(0,11),-0.352017 # DEPENDENCYPART_ARC
(0,12),-2.30617 # DEPENDENCYPART_ARC
(0,15),-1.50713 # DEPENDENCYPART_ARC
(0,16),0.411764 # DEPENDENCYPART_ARC
(0,24),1.81693 # DEPENDENCYPART_ARC
(1,2),1.64907 # DEPENDENCYPART_ARC
(1,3),-2.55301 # DEPENDENCYPART_ARC
(1,4),-1.36268 # DEPENDENCYPART_ARC
(2,1),-0.669742 # DEPENDENCYPART_ARC
(2,3),2.01976 # DEPENDENCYPART_ARC
(2,4),-1.08938 # DEPENDENCYPART_ARC
(2,5),-0.728072 # DEPENDENCYPART_ARC
(2,6),-1.16669 # DEPENDENCYPART_ARC
(2,7),-1.01336 # DEPENDENCYPART_ARC
(2,8),-2.66611 # DEPENDENCYPART_ARC
(2,9),-0.799217 # DEPENDENCYPART_ARC
(2,10),-1.57542 # DEPENDENCYPART_ARC
(2,13),-1.19055 # DEPENDENCYPART_ARC
(2,16),-2.41845 # DEPENDENCYPART_ARC
(2,20),-1.71973 # DEPENDENCYPART_ARC
(3,1),-1.07923 # DEPENDENCYPART_ARC
(3,2),-1.9098 # DEPENDENCYPART_ARC
(3,4),-1.11256 # DEPENDENCYPART_ARC
(3,5),-1.19416 # DEPENDENCYPART_ARC
(3,7),-1.10429 # DEPENDENCYPART_ARC
(3,16),-2.2767 # DEPENDENCYPART_ARC
(4,1),-1.45568 # DEPENDENCYPART_ARC
(4,2),-1.85285 # DEPENDENCYPART_ARC
(4,3),-1.6488 # DEPENDENCYPART_ARC
(4,6),-1.50206 # DEPENDENCYPART_ARC
(4,7),-1.34708 # DEPENDENCYPART_ARC
(4,16),-2.74572 # DEPENDENCYPART_ARC
(5,1),-0.616847 # DEPENDENCYPART_ARC
(5,2),-0.772508 # DEPENDENCYPART_ARC
(5,3),-0.985859 # DEPENDENCYPART_ARC
(5,4),1.71794 # DEPENDENCYPART_ARC
(5,6),-0.301005 # DEPENDENCYPART_ARC
(5,7),0.0173024 # DEPENDENCYPART_ARC
(5,8),-1.21196 # DEPENDENCYPART_ARC
(5,9),-1.27165 # DEPENDENCYPART_ARC
(5,10),-1.18109 # DEPENDENCYPART_ARC
(5,11),-0.450713 # DEPENDENCYPART_ARC
(5,12),-2.02247 # DEPENDENCYPART_ARC
(5,13),-1.85777 # DEPENDENCYPART_ARC
(5,15),-0.606835 # DEPENDENCYPART_ARC
(5,16),-0.530363 # DEPENDENCYPART_ARC
(5,17),-2.47471 # DEPENDENCYPART_ARC
(5,18),-2.59502 # DEPENDENCYPART_ARC
(5,23),-2.5959 # DEPENDENCYPART_ARC
(5,24),-1.33037 # DEPENDENCYPART_ARC
(6,1),-1.80329 # DEPENDENCYPART_ARC
(6,3),-1.72821 # DEPENDENCYPART_ARC
(6,4),-0.987682 # DEPENDENCYPART_ARC
(6,5),-0.330483 # DEPENDENCYPART_ARC
(6,7),-1.11303 # DEPENDENCYPART_ARC
(6,8),-2.04752 # DEPENDENCYPART_ARC
(6,9),-2.5412 # DEPENDENCYPART_ARC
(7,2),-2.33137 # DEPENDENCYPART_ARC
(7,3),-2.88708 # DEPENDENCYPART_ARC
(7,4),-0.132084 # DEPENDENCYPART_ARC
(7,5),-1.21892 # DEPENDENCYPART_ARC
(7,6),-0.689535 # DEPENDENCYPART_ARC
(7,8),1.9632 # DEPENDENCYPART_ARC
(7,9),-2.00916 # DEPENDENCYPART_ARC
(7,10),-3.40933 # DEPENDENCYPART_ARC
(7,11),-1.21127 # DEPENDENCYPART_ARC
(7,12),-4.21959 # DEPENDENCYPART_ARC
(7,15),-1.59975 # DEPENDENCYPART_ARC
