# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
(0,1),-0.897799 # DEPENDENCYPART_ARC
(0,2),-1.904 # DEPENDENCYPART_ARC
(0,3),-0.811683 # DEPENDENCYPART_ARC
(0,4),-1.79177 # DEPENDENCYPART_ARC
(0,6),-0.258162 # DEPENDENCYPART_ARC
(0,7),-1.68766 # DEPENDENCYPART_ARC
(0,9),-1.12751 # DEPENDENCYPART_ARC
(0,10),-2.72218 # DEPENDENCYPART_ARC
(0,12),-1.50949 # DEPENDENCYPART_ARC
(0,15),-0.764146 # DEPENDENCYPART_ARC
(0,17),2.03107 # DEPENDENCYPART_ARC
(1,2),2.36481 # DEPENDENCYPART_ARC
(1,3),-0.487186 # DEPENDENCYPART_ARC
(1,6),-2.71473 # DEPENDENCYPART_ARC
(1,8),-2.50828 # DEPENDENCYPART_ARC
(2,3),-0.756634 # DEPENDENCYPART_ARC
(2,4),-0.879744 # DEPENDENCYPART_ARC
(2,6),-0.958914 # DEPENDENCYPART_ARC
(2,7),-1.72142 # DEPENDENCYPART_ARC
(2,9),-0.842506 # DEPENDENCYPART_ARC
(2,11),-1.9958 # DEPENDENCYPART_ARC
(2,15),-1.3692 # DEPENDENCYPART_ARC
(3,1),-1.42542 # DEPENDENCYPART_ARC
(3,2),-0.968886 # DEPENDENCYPART_ARC
(3,4),-1.30365 # DEPENDENCYPART_ARC
(3,6),-1.13411 # DEPENDENCYPART_ARC
(3,7),-1.55422 # DEPENDENCYPART_ARC
(3,9),-0.865703 # DEPENDENCYPART_ARC
(3,15),-2.47934 # DEPENDENCYPART_ARC
(4,3),-0.965953 # DEPENDENCYPART_ARC
(4,6),-0.881605 # DEPENDENCYPART_ARC
(4,7),-1.33923 # DEPENDENCYPART_ARC
(4,8),-1.78769 # DEPENDENCYPART_ARC
(6,1),0.0132086 # DEPENDENCYPART_ARC
