# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(0,1),-1.11933 # DEPENDENCYPART_ARC
(0,2),-0.284501 # DEPENDENCYPART_ARC
(0,6),-1.25019 # DEPENDENCYPART_ARC
(0,7),-0.793639 # DEPENDENCYPART_ARC
(0,8),-1.16879 # DEPENDENCYPART_ARC
(0,9),-1.82864 # DEPENDENCYPART_ARC
(0,11),-2.22702 # DEPENDENCYPART_ARC
(0,15),-1.82553 # DEPENDENCYPART_ARC
(0,16),-1.61013 # DEPENDENCYPART_ARC
(0,19),-1.23836 # DEPENDENCYPART_ARC
(0,20),-1.99195 # DEPENDENCYPART_ARC
(0,22),-2.84199 # DEPENDENCYPART_ARC
(0,26),-1.73917 # DEPENDENCYPART_ARC
(0,28),0.88244 # DEPENDENCYPART_ARC
(0,29),1.15131 # DEPENDENCYPART_ARC
(0,30),2.40294 # DEPENDENCYPART_ARC
(1,2),-1.53503 # DEPENDENCYPART_ARC
(1,3),-0.991162 # DEPENDENCYPART_ARC
(1,4),-1.09211 # DEPENDENCYPART_ARC
(1,5),-1.9171 # DEPENDENCYPART_ARC
(1,6),-2.1984 # DEPENDENCYPART_ARC
(2,1),0.984231 # DEPENDENCYPART_ARC
(2,3),1.64927 # DEPENDENCYPART_ARC
(2,4),-0.214974 # DEPENDENCYPART_ARC
(2,5),0.0818349 # DEPENDENCYPART_ARC
(2,6),1.01665 # DEPENDENCYPART_ARC
(2,7),-0.51808 # DEPENDENCYPART_ARC
(2,8),-0.476179 # DEPENDENCYPART_ARC
(2,9),-0.189121 # DEPENDENCYPART_ARC
(2,10),-0.473305 # DEPENDENCYPART_ARC
(2,13),-1.0917 # DEPENDENCYPART_ARC
(2,14),-0.683555 # DEPENDENCYPART_ARC
(2,15),-0.702997 # DEPENDENCYPART_ARC
(2,16),-0.921237 # DEPENDENCYPART_ARC
(2,17),-1.77008 # DEPENDENCYPART_ARC
(2,20),-0.91374 # DEPENDENCYPART_ARC
(2,21),-2.3041 # DEPENDENCYPART_ARC
(2,27),-2.13276 # DEPENDENCYPART_ARC
(3,1),-3.28819 # DEPENDENCYPART_ARC
(3,4),2.09286 # DEPENDENCYPART_ARC
(3,5),-2.17781 # DEPENDENCYPART_ARC
(3,6),-2.17057 # DEPENDENCYPART_ARC
(3,7),-0.572801 # DEPENDENCYPART_ARC
(3,8),-1.28995 # DEPENDENCYPART_ARC
(3,9),-1.09948 # DEPENDENCYPART_ARC
(4,1),-1.71988 # DEPENDENCYPART_ARC
(4,3),-0.714985 # DEPENDENCYPART_ARC
(4,5),-1.12138 # DEPENDENCYPART_ARC
(4,6),-1.44641 # DEPENDENCYPART_ARC
(4,7),-0.990687 # DEPENDENCYPART_ARC
(4,8),-0.893331 # DEPENDENCYPART_ARC
(5,1),-2.52823 # DEPENDENCYPART_ARC
(5,3),-0.163475 # DEPENDENCYPART_ARC
(5,4),-0.959782 # DEPENDENCYPART_ARC
(5,6),-1.64897 # DEPENDENCYPART_ARC
(6,3),-0.595378 # DEPENDENCYPART_ARC
(6,4),-2.26799 # DEPENDENCYPART_ARC
(6,5),2.23165 # DEPENDENCYPART_ARC
(6,7),-0.697483 # DEPENDENCYPART_ARC
(6,8),-1.09537 # DEPENDENCYPART_ARC
(6,9),-1.3096 # DEPENDENCYPART_ARC
(6,10),-1.86277 # DEPENDENCYPART_ARC
(6,14),-2.0794 # DEPENDENCYPART_ARC
(6,16),-1.61715 # DEPENDENCYPART_ARC
(6,19),-1.4497 # DEPENDENCYPART_ARC
(7,1),-1.42411 # DEPENDENCYPART_ARC
(7,2),-0.985547 # DEPENDENCYPART_ARC
(7,3),-1.02945 # DEPENDENCYPART_ARC
(7,4),-1.12351 # DEPENDENCYPART_ARC
(7,5),-1.35603 # DEPENDENCYPART_ARC
(7,6),-0.835217 # DEPENDENCYPART_ARC
(7,8),-0.347162 # DEPENDENCYPART_ARC
(7,9),-1.03385 # DEPENDENCYPART_ARC
(7,10),-1.67053 # DEPENDENCYPART_ARC
(7,11),-0.861314 # DEPENDENCYPART_ARC
(7,14),-2.11219 # DEPENDENCYPART_ARC
(7,16),-1.25562 # DEPENDENCYPART_ARC
(8,1),-1.77935 # DEPENDENCYPART_ARC
(8,2),-1.44431 # DEPENDENCYPART_ARC
(8,3),-1.02353 # DEPENDENCYPART_ARC
(8,4),-1.55917 # DEPENDENCYPART_ARC
(8,5),-1.67949 # DEPENDENCYPART_ARC
(8,6),-1.25657 # DEPENDENCYPART_ARC
(8,7),-0.0121327 # DEPENDENCYPART_ARC
(8,9),-0.742252 # DEPENDENCYPART_ARC
(8,10),-1.53069 # DEPENDENCYPART_ARC
