# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(0,1),0.0796963 # DEPENDENCYPART_ARC
(0,2),-1.6268 # DEPENDENCYPART_ARC
(0,3),-2.16933 # DEPENDENCYPART_ARC
(0,4),-2.1362 # DEPENDENCYPART_ARC
(0,5),-1.7 # DEPENDENCYPART_ARC
(0,7),-1.95867 # DEPENDENCYPART_ARC
(0,8),-1.61202 # DEPENDENCYPART_ARC
(0,10),-0.668336 # DEPENDENCYPART_ARC
(0,11),-1.32526 # DEPENDENCYPART_ARC
(0,12),-2.88823 # DEPENDENCYPART_ARC
(0,13),-1.42466 # DEPENDENCYPART_ARC
(0,15),-1.42711 # DEPENDENCYPART_ARC
(0,17),-1.52335 # DEPENDENCYPART_ARC
(0,18),-1.27256 # DEPENDENCYPART_ARC
(0,23),0.608131 # DEPENDENCYPART_ARC
(0,24),0.656099 # DEPENDENCYPART_ARC
(0,25),1.72023 # DEPENDENCYPART_ARC
(1,2),1.4935 # DEPENDENCYPART_ARC
(1,3),-0.43012 # DEPENDENCYPART_ARC
(1,4),-0.947176 # DEPENDENCYPART_ARC
(1,5),0.438389 # DEPENDENCYPART_ARC
(1,7),0.107622 # DEPENDENCYPART_ARC
(1,8),-0.291451 # DEPENDENCYPART_ARC
(1,9),-2.32857 # DEPENDENCYPART_ARC
(1,10),-0.527782 # DEPENDENCYPART_ARC
(1,11),-2.91461 # DEPENDENCYPART_ARC
(1,13),-0.881385 # DEPENDENCYPART_ARC
(1,15),-3.27839 # DEPENDENCYPART_ARC
(1,16),-1.69243 # DEPENDENCYPART_ARC
(1,17),-0.701144 # DEPENDENCYPART_ARC
(1,18),-1.78097 # DEPENDENCYPART_ARC
(1,20),-1.62471 # DEPENDENCYPART_ARC
(2,3),2.11712 # DEPENDENCYPART_ARC
(2,4),-2.52377 # DEPENDENCYPART_ARC
(3,1),-2.71824 # DEPENDENCYPART_ARC
(3,2),0.0645031 # DEPENDENCYPART_ARC
(3,4),2.03191 # DEPENDENCYPART_ARC
(3,5),-0.112994 # DEPENDENCYPART_ARC
(3,6),-1.09163 # DEPENDENCYPART_ARC
(3,7),-1.95776 # DEPENDENCYPART_ARC
(3,8),-0.854025 # DEPENDENCYPART_ARC
(3,10),-0.725774 # DEPENDENCYPART_ARC
(3,11),-1.90781 # DEPENDENCYPART_ARC
(3,15),-2.32341 # DEPENDENCYPART_ARC
(3,18),-2.7069 # DEPENDENCYPART_ARC
(4,2),-1.47251 # DEPENDENCYPART_ARC
(4,3),-2.69023 # DEPENDENCYPART_ARC
(4,5),0.947541 # DEPENDENCYPART_ARC
(4,6),-1.69122 # DEPENDENCYPART_ARC
(4,7),-2.43899 # DEPENDENCYPART_ARC
(4,8),-0.456725 # DEPENDENCYPART_ARC
(4,9),-2.75798 # DEPENDENCYPART_ARC
(4,10),-0.878622 # DEPENDENCYPART_ARC
(4,11),-2.08261 # DEPENDENCYPART_ARC
(4,15),-2.00116 # DEPENDENCYPART_ARC
(4,18),-2.98033 # DEPENDENCYPART_ARC
(5,3),-1.29146 # DEPENDENCYPART_ARC
(5,4),-2.20092 # DEPENDENCYPART_ARC
(5,6),-0.876436 # DEPENDENCYPART_ARC
(5,7),1.61895 # DEPENDENCYPART_ARC
(5,9),-1.12583 # DEPENDENCYPART_ARC
(5,10),-1.16698 # DEPENDENCYPART_ARC
(6,2),-1.15033 # DEPENDENCYPART_ARC
(6,4),-3.63823 # DEPENDENCYPART_ARC
(6,5),-0.948983 # DEPENDENCYPART_ARC
(6,7),-0.818689 # DEPENDENCYPART_ARC
(6,8),-0.326333 # DEPENDENCYPART_ARC
(6,9),-2.8473 # DEPENDENCYPART_ARC
(6,11),-1.72716 # DEPENDENCYPART_ARC
(6,13),-1.03693 # DEPENDENCYPART_ARC
(7,3),-3.35983 # DEPENDENCYPART_ARC
(7,4),-3.40393 # DEPENDENCYPART_ARC
(7,5),-1.49838 # DEPENDENCYPART_ARC
(7,6),2.29097 # DEPENDENCYPART_ARC
(7,8),0.449635 # DEPENDENCYPART_ARC
(7,9),-1.43781 # DEPENDENCYPART_ARC
(7,10),-0.62621 # DEPENDENCYPART_ARC
(7,11),-2.00485 # DEPENDENCYPART_ARC
(7,12),-1.9986 # DEPENDENCYPART_ARC
(7,15),-2.45363 # DEPENDENCYPART_ARC
(7,18),-2.90304 # DEPENDENCYPART_ARC
(8,9),2.3995 # DEPENDENCYPART_ARC
(8,10),-1.27571 # DEPENDENCYPART_ARC
(9,6),-1.85286 # DEPENDENCYPART_ARC
(9,7),-1.81652 # DEPENDENCYPART_ARC
(9,8),-0.306967 # DEPENDENCYPART_ARC
(9,12),-2.03887 # DEPENDENCYPART_ARC
(9,18),-3.60434 # DEPENDENCYPART_ARC
(10,1),1.17017 # DEPENDENCYPART_ARC
(10,2),-0.687543 # DEPENDENCYPART_ARC
(10,3),-0.729844 # DEPENDENCYPART_ARC
(10,4),-0.597424 # DEPENDENCYPART_ARC
(10,5),-0.926139 # DEPENDENCYPART_ARC
(10,6),-1.21042 # DEPENDENCYPART_ARC
(10,7),-0.0301671 # DEPENDENCYPART_ARC
(10,8),-0.457814 # DEPENDENCYPART_ARC
(10,9),-0.463401 # DEPENDENCYPART_ARC
(10,11),1.67438 # DEPENDENCYPART_ARC
(10,12),-1.25178 # DEPENDENCYPART_ARC
(10,13),-0.852773 # DEPENDENCYPART_ARC
(10,14),-1.92312 # DEPENDENCYPART_ARC
(10,15),-1.07216 # DEPENDENCYPART_ARC
(10,16),-1.87213 # DEPENDENCYPART_ARC
(10,17),-0.468895 # DEPENDENCYPART_ARC
(10,23),-1.81695 # DEPENDENCYPART_ARC
(10,24),-2.00675 # DEPENDENCYPART_ARC
(10,25),-2.37266 # DEPENDENCYPART_ARC
(11,1),-2.00547 # DEPENDENCYPART_ARC
(11,2),-0.710985 # DEPENDENCYPART_ARC
(11,3),-1.67743 # DEPENDENCYPART_ARC
(11,4),-2.9473 # DEPENDENCYPART_ARC
(11,5),-1.10805 # DEPENDENCYPART_ARC
(11,7),-0.50574 # DEPENDENCYPART_ARC
(11,8),-0.538661 # DEPENDENCYPART_ARC
(11,9),-1.63533 # DEPENDENCYPART_ARC
(11,10),-0.324108 # DEPENDENCYPART_ARC
(11,12),0.837603 # DEPENDENCYPART_ARC
(11,13),-0.321875 # DEPENDENCYPART_ARC
(11,15),-1.14485 # DEPENDENCYPART_ARC
(11,16),-0.11258 # DEPENDENCYPART_ARC
(11,17),-0.431477 # DEPENDENCYPART_ARC
(11,18),-0.308925 # DEPENDENCYPART_ARC
(11,20),-0.890671 # DEPENDENCYPART_ARC
(11,21),-1.70658 # DEPENDENCYPART_ARC
(11,22),-3.43372 # DEPENDENCYPART_ARC
(11,23),-1.15539 # DEPENDENCYPART_ARC
(11,24),-1.19363 # DEPENDENCYPART_ARC
(11,25),-1.50091 # DEPENDENCYPART_ARC
(12,9),-1.84846 # DEPENDENCYPART_ARC
(12,10),-0.65853 # DEPENDENCYPART_ARC
(12,13),-0.630563 # DEPENDENCYPART_ARC
(12,15),-0.922443 # DEPENDENCYPART_ARC
(12,16),-3.06296 # DEPENDENCYPART_ARC
(12,17),-1.2132 # DEPENDENCYPART_ARC
(12,20),-1.75506 # DEPENDENCYPART_ARC
(12,23),-1.21209 # DEPENDENCYPART_ARC
(12,24),-1.28764 # DEPENDENCYPART_ARC
(12,25),-1.38143 # DEPENDENCYPART_ARC
(13,1),-1.58637 # DEPENDENCYPART_ARC
(13,11),-1.52806 # DEPENDENCYPART_ARC
(13,12),-1.56198 # DEPENDENCYPART_ARC
(13,15),-1.29524 # DEPENDENCYPART_ARC
(13,16),-2.17686 # DEPENDENCYPART_ARC
(13,17),-1.14972 # DEPENDENCYPART_ARC
(14,13),-1.10747 # DEPENDENCYPART_ARC
(14,16),-2.64954 # DEPENDENCYPART_ARC
(14,21),-3.08459 # DEPENDENCYPART_ARC
(14,22),-2.1062 # DEPENDENCYPART_ARC
(15,1),-3.14551 # DEPENDENCYPART_ARC
(15,2),-0.961372 # DEPENDENCYPART_ARC
(15,3),-2.31733 # DEPENDENCYPART_ARC
(15,4),-3.08615 # DEPENDENCYPART_ARC
(15,5),-1.58935 # DEPENDENCYPART_ARC
(15,7),-1.58889 # DEPENDENCYPART_ARC
(15,8),-1.57084 # DEPENDENCYPART_ARC
(15,9),-1.85565 # DEPENDENCYPART_ARC
(15,11),-1.97006 # DEPENDENCYPART_ARC
(15,12),-0.991893 # DEPENDENCYPART_ARC
(15,13),0.758454 # DEPENDENCYPART_ARC
(15,14),1.75729 # DEPENDENCYPART_ARC
(15,16),2.33949 # DEPENDENCYPART_ARC
(15,17),0.0834499 # DEPENDENCYPART_ARC
(15,18),-0.281372 # DEPENDENCYPART_ARC
(15,20),-0.810557 # DEPENDENCYPART_ARC
(15,21),-1.30752 # DEPENDENCYPART_ARC
(15,22),-3.62691 # DEPENDENCYPART_ARC
(15,23),-1.07378 # DEPENDENCYPART_ARC
(15,24),-1.33914 # DEPENDENCYPART_ARC
(15,25),-1.7078 # DEPENDENCYPART_ARC
(16,12),-1.11291 # DEPENDENCYPART_ARC
(16,14),-0.734059 # DEPENDENCYPART_ARC
(16,17),-1.1951 # DEPENDENCYPART_ARC
(16,18),-1.1202 # DEPENDENCYPART_ARC
(16,20),-1.67016 # DEPENDENCYPART_ARC
(16,21),-3.68748 # DEPENDENCYPART_ARC
(16,22),-1.89999 # DEPENDENCYPART_ARC
(17,1),-0.596787 # DEPENDENCYPART_ARC
(17,2),-1.24509 # DEPENDENCYPART_ARC
(17,3),-2.04455 # DEPENDENCYPART_ARC
(17,10),-0.549492 # DEPENDENCYPART_ARC
(17,11),-0.77307 # DEPENDENCYPART_ARC
(17,12),-1.45979 # DEPENDENCYPART_ARC
(17,13),-0.767748 # DEPENDENCYPART_ARC
(17,14),-1.13635 # DEPENDENCYPART_ARC
(17,15),-0.551841 # DEPENDENCYPART_ARC
(17,16),-1.14043 # DEPENDENCYPART_ARC
(17,18),-0.591811 # DEPENDENCYPART_ARC
(17,20),-1.3144 # DEPENDENCYPART_ARC
(17,21),-2.05053 # DEPENDENCYPART_ARC
(17,22),-1.78103 # DEPENDENCYPART_ARC
(17,23),-0.662315 # DEPENDENCYPART_ARC
(17,24),-0.997441 # DEPENDENCYPART_ARC
(18,2),-1.76577 # DEPENDENCYPART_ARC
(18,5),-2.18533 # DEPENDENCYPART_ARC
(18,13),-0.77436 # DEPENDENCYPART_ARC
(18,16),-1.87091 # DEPENDENCYPART_ARC
(18,17),-0.503639 # DEPENDENCYPART_ARC
(18,19),1.89604 # DEPENDENCYPART_ARC
(18,20),0.61786 # DEPENDENCYPART_ARC
(18,21),-1.5048 # DEPENDENCYPART_ARC
(18,22),-1.81869 # DEPENDENCYPART_ARC
(18,23),-0.596028 # DEPENDENCYPART_ARC
(18,24),-0.739369 # DEPENDENCYPART_ARC
(18,25),-1.34227 # DEPENDENCYPART_ARC
(20,17),-1.10382 # DEPENDENCYPART_ARC
(20,21),2.05848 # DEPENDENCYPART_ARC
