# _root_ avšak hlavním důvodem , proč se nekonají oba špičkové jazzové festivaly , je nedostatek peněz .
#goldHeads=0,3,13,7,7,7,3,11,11,11,7,7,1,13,14,0,
#predictedHeads=3,3,13,7,7,7,3,11,11,11,7,7,0,13,14,0,
(0,1),0.14512 # DEPENDENCYPART_ARC
(0,2),-1.65386 # DEPENDENCYPART_ARC
(0,3),-1.13892 # DEPENDENCYPART_ARC
(0,4),-0.986362 # DEPENDENCYPART_ARC
(0,5),-1.0832 # DEPENDENCYPART_ARC
(0,7),-0.491729 # DEPENDENCYPART_ARC
(0,8),-2.07681 # DEPENDENCYPART_ARC
(0,12),-1.41874 # DEPENDENCYPART_ARC
(0,13),0.211121 # DEPENDENCYPART_ARC
(0,16),1.89812 # DEPENDENCYPART_ARC
(1,2),-0.312592 # DEPENDENCYPART_ARC
(1,3),-1.21874 # DEPENDENCYPART_ARC
(1,4),-0.219876 # DEPENDENCYPART_ARC
(1,5),-1.83682 # DEPENDENCYPART_ARC
(1,7),-0.793319 # DEPENDENCYPART_ARC
(1,9),-2.8249 # DEPENDENCYPART_ARC
(1,10),-3.16586 # DEPENDENCYPART_ARC
(1,11),-3.07556 # DEPENDENCYPART_ARC
(1,12),-0.350995 # DEPENDENCYPART_ARC
(1,13),-1.70163 # DEPENDENCYPART_ARC
(1,15),-3.45297 # DEPENDENCYPART_ARC
(1,16),-1.91676 # DEPENDENCYPART_ARC
(2,1),-0.853148 # DEPENDENCYPART_ARC
(2,3),-1.32178 # DEPENDENCYPART_ARC
(2,4),-1.341 # DEPENDENCYPART_ARC
(3,1),0.252558 # DEPENDENCYPART_ARC
(3,2),2.33458 # DEPENDENCYPART_ARC
(3,4),-1.21065 # DEPENDENCYPART_ARC
(3,5),-1.37894 # DEPENDENCYPART_ARC
(3,7),-1.81465 # DEPENDENCYPART_ARC
(3,8),-2.96851 # DEPENDENCYPART_ARC
(3,9),-3.20348 # DEPENDENCYPART_ARC
(3,10),-3.36819 # DEPENDENCYPART_ARC
(3,11),-3.02696 # DEPENDENCYPART_ARC
(3,12),-1.61837 # DEPENDENCYPART_ARC
(3,13),-2.90915 # DEPENDENCYPART_ARC
(3,14),-3.20956 # DEPENDENCYPART_ARC
(3,15),-1.87904 # DEPENDENCYPART_ARC
(4,1),-0.786128 # DEPENDENCYPART_ARC
(4,2),-1.28353 # DEPENDENCYPART_ARC
(4,3),-0.926411 # DEPENDENCYPART_ARC
(4,5),-0.927649 # DEPENDENCYPART_ARC
(4,7),-1.08963 # DEPENDENCYPART_ARC
(4,8),-1.54398 # DEPENDENCYPART_ARC
(4,9),-1.87477 # DEPENDENCYPART_ARC
(4,10),-2.07488 # DEPENDENCYPART_ARC
(4,11),-1.34953 # DEPENDENCYPART_ARC
(4,12),-0.631103 # DEPENDENCYPART_ARC
(4,13),-2.63072 # DEPENDENCYPART_ARC
(4,14),-2.36358 # DEPENDENCYPART_ARC
(4,15),-1.91901 # DEPENDENCYPART_ARC
(4,16),-1.39862 # DEPENDENCYPART_ARC
(5,1),-1.38887 # DEPENDENCYPART_ARC
(5,2),-1.79525 # DEPENDENCYPART_ARC
(5,3),-1.29373 # DEPENDENCYPART_ARC
(5,4),-0.82215 # DEPENDENCYPART_ARC
(5,7),-1.28963 # DEPENDENCYPART_ARC
(5,8),-1.79114 # DEPENDENCYPART_ARC
(5,9),-2.19764 # DEPENDENCYPART_ARC
(5,11),-2.57685 # DEPENDENCYPART_ARC
(5,12),-0.971029 # DEPENDENCYPART_ARC
(5,13),-1.98207 # DEPENDENCYPART_ARC
(5,14),-2.95275 # DEPENDENCYPART_ARC
(5,15),-2.84672 # DEPENDENCYPART_ARC
(5,16),-1.74974 # DEPENDENCYPART_ARC
(7,1),-0.62249 # DEPENDENCYPART_ARC
(7,2),-2.79046 # DEPENDENCYPART_ARC
(7,3),-1.51214 # DEPENDENCYPART_ARC
(7,4),0.183574 # DEPENDENCYPART_ARC
(7,5),1.17782 # DEPENDENCYPART_ARC
(7,6),1.69 # DEPENDENCYPART_ARC
(7,8),-0.096788 # DEPENDENCYPART_ARC
(7,9),0.0416832 # DEPENDENCYPART_ARC
(7,10),-0.784887 # DEPENDENCYPART_ARC
(7,11),0.531977 # DEPENDENCYPART_ARC
(7,12),-0.383002 # DEPENDENCYPART_ARC
(7,13),-2.05888 # DEPENDENCYPART_ARC
(7,14),-1.1483 # DEPENDENCYPART_ARC
(7,15),-2.12548 # DEPENDENCYPART_ARC
(7,16),-1.32275 # DEPENDENCYPART_ARC
(8,5),-0.892596 # DEPENDENCYPART_ARC
(8,9),-1.86323 # DEPENDENCYPART_ARC
(8,10),-2.66451 # DEPENDENCYPART_ARC
(8,11),-3.18408 # DEPENDENCYPART_ARC
(8,12),-1.62032 # DEPENDENCYPART_ARC
(9,2),-3.35504 # DEPENDENCYPART_ARC
(9,3),-1.02653 # DEPENDENCYPART_ARC
(9,4),-1.44251 # DEPENDENCYPART_ARC
(9,5),-1.23812 # DEPENDENCYPART_ARC
(9,6),-2.04381 # DEPENDENCYPART_ARC
(9,7),-2.06649 # DEPENDENCYPART_ARC
(9,8),-0.107274 # DEPENDENCYPART_ARC
(9,10),-1.94865 # DEPENDENCYPART_ARC
(9,11),-2.2803 # DEPENDENCYPART_ARC
(9,12),-0.937079 # DEPENDENCYPART_ARC
(9,13),-2.88668 # DEPENDENCYPART_ARC
(9,14),-3.01314 # DEPENDENCYPART_ARC
(9,15),-2.96677 # DEPENDENCYPART_ARC
(9,16),-1.584 # DEPENDENCYPART_ARC
(10,5),-1.64203 # DEPENDENCYPART_ARC
(10,6),-2.32515 # DEPENDENCYPART_ARC
(10,7),-2.41136 # DEPENDENCYPART_ARC
(10,9),-2.16251 # DEPENDENCYPART_ARC
(10,13),-3.00344 # DEPENDENCYPART_ARC
(10,14),-3.0532 # DEPENDENCYPART_ARC
(11,1),-0.957528 # DEPENDENCYPART_ARC
(11,2),-1.93605 # DEPENDENCYPART_ARC
