# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,26,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(0,1),-0.55294 # DEPENDENCYPART_ARC
(0,2),-0.807538 # DEPENDENCYPART_ARC
(0,4),-1.4322 # DEPENDENCYPART_ARC
(0,6),-0.974485 # DEPENDENCYPART_ARC
(0,9),-0.55554 # DEPENDENCYPART_ARC
(0,12),-1.79683 # DEPENDENCYPART_ARC
(0,13),-1.01096 # DEPENDENCYPART_ARC
(0,19),-1.09136 # DEPENDENCYPART_ARC
(0,22),-2.47574 # DEPENDENCYPART_ARC
(0,25),-1.41011 # DEPENDENCYPART_ARC
(0,26),0.101917 # DEPENDENCYPART_ARC
(0,27),-3.01039 # DEPENDENCYPART_ARC
(0,30),-0.931942 # DEPENDENCYPART_ARC
(0,32),2.53889 # DEPENDENCYPART_ARC
(1,2),0.807794 # DEPENDENCYPART_ARC
(1,3),-1.676 # DEPENDENCYPART_ARC
(1,4),-1.72944 # DEPENDENCYPART_ARC
(1,5),-1.20571 # DEPENDENCYPART_ARC
(1,6),-1.34691 # DEPENDENCYPART_ARC
(1,7),-1.44035 # DEPENDENCYPART_ARC
(1,8),-1.54616 # DEPENDENCYPART_ARC
(2,1),-3.4859 # DEPENDENCYPART_ARC
(2,3),-0.452704 # DEPENDENCYPART_ARC
(2,4),2.00618 # DEPENDENCYPART_ARC
(2,7),-2.64515 # DEPENDENCYPART_ARC
(4,2),-1.02319 # DEPENDENCYPART_ARC
(4,3),1.88462 # DEPENDENCYPART_ARC
(4,5),-0.420649 # DEPENDENCYPART_ARC
(4,6),-0.572641 # DEPENDENCYPART_ARC
(4,7),-0.811898 # DEPENDENCYPART_ARC
(4,8),-0.648401 # DEPENDENCYPART_ARC
(5,1),-1.90855 # DEPENDENCYPART_ARC
(5,2),-1.20832 # DEPENDENCYPART_ARC
(5,3),-1.46006 # DEPENDENCYPART_ARC
(5,4),-1.02827 # DEPENDENCYPART_ARC
(5,7),-1.92694 # DEPENDENCYPART_ARC
(5,8),-2.35503 # DEPENDENCYPART_ARC
(5,9),-1.44801 # DEPENDENCYPART_ARC
(5,10),-2.07811 # DEPENDENCYPART_ARC
(5,11),-2.03028 # DEPENDENCYPART_ARC
(5,12),-1.73397 # DEPENDENCYPART_ARC
(5,13),-1.12833 # DEPENDENCYPART_ARC
(6,1),-1.79198 # DEPENDENCYPART_ARC
(6,2),-1.36576 # DEPENDENCYPART_ARC
(6,3),-1.18923 # DEPENDENCYPART_ARC
(6,4),-1.49629 # DEPENDENCYPART_ARC
(6,5),0.853183 # DEPENDENCYPART_ARC
(6,7),0.823005 # DEPENDENCYPART_ARC
(6,8),-0.776036 # DEPENDENCYPART_ARC
