# _root_ Na setkání vedoucích pracovníků firem , které se na jeho výstavbě podílejí , se členy městské rady to uvedl ředitel společnosti Inženýring dopravních staveb Bohumil Kvasnička .
#goldHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,2,14,17,15,19,0,26,20,21,24,22,26,19,0,
#predictedHeads=19,1,4,2,4,12,12,12,12,11,9,5,12,19,14,17,15,19,0,26,20,21,24,22,26,19,0,
(0,1),-1.13986 # DEPENDENCYPART_ARC
(0,2),-1.66554 # DEPENDENCYPART_ARC
(0,4),-2.11239 # DEPENDENCYPART_ARC
(0,5),-1.93521 # DEPENDENCYPART_ARC
(0,6),-0.919228 # DEPENDENCYPART_ARC
(0,7),-2.68591 # DEPENDENCYPART_ARC
(0,12),-0.320397 # DEPENDENCYPART_ARC
(0,13),-1.14808 # DEPENDENCYPART_ARC
(0,19),1.88378 # DEPENDENCYPART_ARC
(0,27),1.88328 # DEPENDENCYPART_ARC
(1,2),1.83016 # DEPENDENCYPART_ARC
(1,3),-3.09937 # DEPENDENCYPART_ARC
(1,4),-3.50634 # DEPENDENCYPART_ARC
(1,5),-4.08713 # DEPENDENCYPART_ARC
(2,1),-0.394388 # DEPENDENCYPART_ARC
(2,3),-1.00842 # DEPENDENCYPART_ARC
(2,4),0.516585 # DEPENDENCYPART_ARC
(2,5),-0.157611 # DEPENDENCYPART_ARC
(2,6),-1.01808 # DEPENDENCYPART_ARC
(2,9),-1.67506 # DEPENDENCYPART_ARC
(2,11),-2.59767 # DEPENDENCYPART_ARC
(2,12),-1.71983 # DEPENDENCYPART_ARC
(2,14),-2.21643 # DEPENDENCYPART_ARC
(2,19),-1.92921 # DEPENDENCYPART_ARC
(3,1),-0.698075 # DEPENDENCYPART_ARC
(3,2),-2.05638 # DEPENDENCYPART_ARC
(3,4),-0.908373 # DEPENDENCYPART_ARC
(3,5),-1.24399 # DEPENDENCYPART_ARC
(3,6),-1.06231 # DEPENDENCYPART_ARC
(3,9),-1.32285 # DEPENDENCYPART_ARC
(3,11),-1.9341 # DEPENDENCYPART_ARC
(4,2),-4.65507 # DEPENDENCYPART_ARC
(4,3),1.80088 # DEPENDENCYPART_ARC
(4,5),1.66073 # DEPENDENCYPART_ARC
(4,6),-1.28282 # DEPENDENCYPART_ARC
(4,7),-1.84933 # DEPENDENCYPART_ARC
(4,9),-2.38789 # DEPENDENCYPART_ARC
(4,11),-3.27161 # DEPENDENCYPART_ARC
(4,12),-1.3656 # DEPENDENCYPART_ARC
(4,14),-2.47778 # DEPENDENCYPART_ARC
(4,19),-1.96996 # DEPENDENCYPART_ARC
(5,2),-4.66555 # DEPENDENCYPART_ARC
(5,3),-1.21014 # DEPENDENCYPART_ARC
(5,4),-0.481879 # DEPENDENCYPART_ARC
(5,6),-1.32416 # DEPENDENCYPART_ARC
(5,7),-1.94899 # DEPENDENCYPART_ARC
(5,9),-2.06863 # DEPENDENCYPART_ARC
(5,11),-3.33026 # DEPENDENCYPART_ARC
(5,12),-0.550743 # DEPENDENCYPART_ARC
(5,13),-1.43446 # DEPENDENCYPART_ARC
(5,16),-2.89863 # DEPENDENCYPART_ARC
(5,19),-1.70236 # DEPENDENCYPART_ARC
(6,1),-2.08697 # DEPENDENCYPART_ARC
(6,2),-1.99731 # DEPENDENCYPART_ARC
(6,3),-2.26319 # DEPENDENCYPART_ARC
(6,4),-2.06394 # DEPENDENCYPART_ARC
(6,5),-1.828 # DEPENDENCYPART_ARC
(6,12),-1.81809 # DEPENDENCYPART_ARC
(6,13),-1.1751 # DEPENDENCYPART_ARC
(6,19),-2.74221 # DEPENDENCYPART_ARC
(7,6),-1.17301 # DEPENDENCYPART_ARC
(7,11),-2.42047 # DEPENDENCYPART_ARC
(7,13),-0.9484 # DEPENDENCYPART_ARC
(9,6),-0.794693 # DEPENDENCYPART_ARC
(9,10),-0.473402 # DEPENDENCYPART_ARC
(9,11),1.68125 # DEPENDENCYPART_ARC
(9,13),-1.4436 # DEPENDENCYPART_ARC
(11,2),-3.46481 # DEPENDENCYPART_ARC
(11,3),-5.12893 # DEPENDENCYPART_ARC
(11,5),-3.93486 # DEPENDENCYPART_ARC
(11,7),-2.04562 # DEPENDENCYPART_ARC
(11,8),-3.23246 # DEPENDENCYPART_ARC
(11,9),-0.85604 # DEPENDENCYPART_ARC
(11,10),3.1837 # DEPENDENCYPART_ARC
(11,14),-1.35291 # DEPENDENCYPART_ARC
(11,19),-2.53519 # DEPENDENCYPART_ARC
(12,1),0.391655 # DEPENDENCYPART_ARC
