# _root_ Je to ale otázka úhlu pohledu : nejde o žádné zničení - jde o směr , směřování , které se - je - li upřímné a zásadní - brzy ztratí z dohledu .
#goldHeads=7,1,0,1,4,5,3,12,8,11,9,7,12,13,16,14,16,30,30,30,24,24,24,30,26,22,26,24,30,17,30,31,0,
#predictedHeads=3,1,0,1,4,5,3,12,8,11,9,0,12,13,14,14,16,24,22,22,24,24,24,17,26,22,26,24,30,28,30,31,0,
(0,1),0.119144 # DEPENDENCYPART_ARC
(0,3),0.289512 # DEPENDENCYPART_ARC
(0,7),-0.130547 # DEPENDENCYPART_ARC
(0,8),-0.00316848 # DEPENDENCYPART_ARC
(0,12),-1.10785 # DEPENDENCYPART_ARC
(0,13),-0.428186 # DEPENDENCYPART_ARC
(0,19),-2.81067 # DEPENDENCYPART_ARC
(0,22),-1.2377 # DEPENDENCYPART_ARC
(0,23),-1.39381 # DEPENDENCYPART_ARC
(0,28),-1.84667 # DEPENDENCYPART_ARC
(0,30),-1.85272 # DEPENDENCYPART_ARC
(0,33),2.07535 # DEPENDENCYPART_ARC
(1,2),2.37072 # DEPENDENCYPART_ARC
(1,3),-0.249849 # DEPENDENCYPART_ARC
(1,4),0.250213 # DEPENDENCYPART_ARC
(1,5),-1.35843 # DEPENDENCYPART_ARC
(1,6),-1.37323 # DEPENDENCYPART_ARC
(1,7),-0.860158 # DEPENDENCYPART_ARC
(1,8),-2.70765 # DEPENDENCYPART_ARC
(1,11),-1.29593 # DEPENDENCYPART_ARC
(1,12),-1.26486 # DEPENDENCYPART_ARC
(1,16),-1.277 # DEPENDENCYPART_ARC
(1,25),-2.25049 # DEPENDENCYPART_ARC
(1,27),-2.40063 # DEPENDENCYPART_ARC
(2,3),-0.623539 # DEPENDENCYPART_ARC
(2,4),-1.76454 # DEPENDENCYPART_ARC
(3,1),0.308305 # DEPENDENCYPART_ARC
(3,2),-0.0320943 # DEPENDENCYPART_ARC
(3,4),-0.227986 # DEPENDENCYPART_ARC
(3,5),-1.0525 # DEPENDENCYPART_ARC
(3,6),-1.80615 # DEPENDENCYPART_ARC
(3,7),-0.539359 # DEPENDENCYPART_ARC
(3,8),-0.555127 # DEPENDENCYPART_ARC
(3,12),-0.686561 # DEPENDENCYPART_ARC
(3,13),-1.55767 # DEPENDENCYPART_ARC
(3,22),-1.5701 # DEPENDENCYPART_ARC
(4,2),-1.35145 # DEPENDENCYPART_ARC
(4,3),-0.089394 # DEPENDENCYPART_ARC
(4,5),1.37988 # DEPENDENCYPART_ARC
(4,6),0.374386 # DEPENDENCYPART_ARC
(4,7),-1.05488 # DEPENDENCYPART_ARC
(4,8),-2.30227 # DEPENDENCYPART_ARC
(4,26),-1.44996 # DEPENDENCYPART_ARC
(5,2),-3.18981 # DEPENDENCYPART_ARC
(5,3),-0.67962 # DEPENDENCYPART_ARC
(5,4),-2.89214 # DEPENDENCYPART_ARC
(5,6),1.95803 # DEPENDENCYPART_ARC
(5,7),-1.1534 # DEPENDENCYPART_ARC
(5,8),-2.44633 # DEPENDENCYPART_ARC
(5,9),-1.17635 # DEPENDENCYPART_ARC
(6,2),-3.11653 # DEPENDENCYPART_ARC
(6,3),-0.664142 # DEPENDENCYPART_ARC
(6,4),-2.70454 # DEPENDENCYPART_ARC
(6,5),-0.904297 # DEPENDENCYPART_ARC
(6,8),-2.72862 # DEPENDENCYPART_ARC
(7,1),0.333008 # DEPENDENCYPART_ARC
(7,2),-1.20836 # DEPENDENCYPART_ARC
(7,3),-0.702695 # DEPENDENCYPART_ARC
(7,4),-0.671515 # DEPENDENCYPART_ARC
(7,5),-1.15512 # DEPENDENCYPART_ARC
(7,6),-1.11022 # DEPENDENCYPART_ARC
(7,8),-0.682739 # DEPENDENCYPART_ARC
(7,9),-1.36512 # DEPENDENCYPART_ARC
(7,10),-1.92964 # DEPENDENCYPART_ARC
(7,12),-0.709569 # DEPENDENCYPART_ARC
(7,16),-0.825035 # DEPENDENCYPART_ARC
(7,18),-0.937418 # DEPENDENCYPART_ARC
(7,26),-1.4812 # DEPENDENCYPART_ARC
(8,1),-1.4813 # DEPENDENCYPART_ARC
(8,2),-0.457212 # DEPENDENCYPART_ARC
(8,3),-0.932356 # DEPENDENCYPART_ARC
(8,4),0.136277 # DEPENDENCYPART_ARC
(8,5),-2.3154 # DEPENDENCYPART_ARC
(8,6),-2.52377 # DEPENDENCYPART_ARC
(8,7),-0.735183 # DEPENDENCYPART_ARC
(8,9),1.49569 # DEPENDENCYPART_ARC
(8,10),-0.559684 # DEPENDENCYPART_ARC
(8,11),0.592983 # DEPENDENCYPART_ARC
(8,12),-0.150757 # DEPENDENCYPART_ARC
(8,13),-1.37532 # DEPENDENCYPART_ARC
(8,14),-0.724694 # DEPENDENCYPART_ARC
(8,15),-1.54294 # DEPENDENCYPART_ARC
(8,16),-0.468372 # DEPENDENCYPART_ARC
(8,17),-1.71474 # DEPENDENCYPART_ARC
(8,18),-0.618901 # DEPENDENCYPART_ARC
(8,21),-1.21774 # DEPENDENCYPART_ARC
(8,24),-1.04602 # DEPENDENCYPART_ARC
(8,29),-2.76788 # DEPENDENCYPART_ARC
(9,10),1.73655 # DEPENDENCYPART_ARC
(9,11),1.06442 # DEPENDENCYPART_ARC
(9,12),-0.811427 # DEPENDENCYPART_ARC
(10,9),-0.819995 # DEPENDENCYPART_ARC
(10,13),-1.45202 # DEPENDENCYPART_ARC
(11,9),-1.20566 # DEPENDENCYPART_ARC
(11,10),2.28661 # DEPENDENCYPART_ARC
(11,12),-0.581735 # DEPENDENCYPART_ARC
(11,13),-1.45795 # DEPENDENCYPART_ARC
(11,14),-0.94876 # DEPENDENCYPART_ARC
(11,30),-2.19469 # DEPENDENCYPART_ARC
(12,1),-0.908099 # DEPENDENCYPART_ARC
(12,2),-1.53809 # DEPENDENCYPART_ARC
(12,5),-1.75274 # DEPENDENCYPART_ARC
(12,7),-0.942314 # DEPENDENCYPART_ARC
(12,8),-0.274979 # DEPENDENCYPART_ARC
(12,9),-0.87479 # DEPENDENCYPART_ARC
(12,10),-1.15977 # DEPENDENCYPART_ARC
(12,11),-0.854833 # DEPENDENCYPART_ARC
(12,13),-0.554129 # DEPENDENCYPART_ARC
(12,14),-1.17448 # DEPENDENCYPART_ARC
(12,15),-1.24795 # DEPENDENCYPART_ARC
(13,1),-1.95716 # DEPENDENCYPART_ARC
(13,2),-1.03043 # DEPENDENCYPART_ARC
(13,3),-0.715729 # DEPENDENCYPART_ARC
(13,4),-0.421625 # DEPENDENCYPART_ARC
(13,5),-3.14568 # DEPENDENCYPART_ARC
(13,6),-3.43101 # DEPENDENCYPART_ARC
(13,7),-1.41421 # DEPENDENCYPART_ARC
(13,8),-0.998531 # DEPENDENCYPART_ARC
(13,9),-0.770382 # DEPENDENCYPART_ARC
(13,10),-0.590851 # DEPENDENCYPART_ARC
(13,11),-0.44904 # DEPENDENCYPART_ARC
(13,12),-0.690254 # DEPENDENCYPART_ARC
(13,14),1.36706 # DEPENDENCYPART_ARC
(13,15),0.209008 # DEPENDENCYPART_ARC
(13,16),-0.461832 # DEPENDENCYPART_ARC
(13,17),-0.352116 # DEPENDENCYPART_ARC
(13,18),-0.863452 # DEPENDENCYPART_ARC
(13,21),-1.38806 # DEPENDENCYPART_ARC
(13,24),-1.17937 # DEPENDENCYPART_ARC
(14,15),2.42551 # DEPENDENCYPART_ARC
(14,16),-0.545802 # DEPENDENCYPART_ARC
(14,17),-0.543422 # DEPENDENCYPART_ARC
(14,26),-1.19957 # DEPENDENCYPART_ARC
(15,10),-1.65223 # DEPENDENCYPART_ARC
(15,14),-0.897187 # DEPENDENCYPART_ARC
(15,16),-1.00099 # DEPENDENCYPART_ARC
(15,17),-1.81597 # DEPENDENCYPART_ARC
(15,22),-1.37787 # DEPENDENCYPART_ARC
(15,24),-1.55063 # DEPENDENCYPART_ARC
(15,26),-1.51122 # DEPENDENCYPART_ARC
(15,30),-2.06552 # DEPENDENCYPART_ARC
(16,1),-1.51775 # DEPENDENCYPART_ARC
(16,4),-1.52712 # DEPENDENCYPART_ARC
(16,5),-1.6088 # DEPENDENCYPART_ARC
