# _root_ Za prvé bych chtěl připomenout to , že má být prodloužení věkové hranice postupné , že je rozloženo v čase a že k němu má dojít úplně až v roce 2007 .
#goldHeads=4,1,4,0,4,5,21,15,8,9,15,13,11,10,21,15,16,17,18,19,6,21,26,23,22,25,26,30,25,29,30,0,
#predictedHeads=4,1,4,0,4,5,21,21,8,9,9,13,11,10,16,21,16,17,18,19,6,21,26,23,22,25,26,30,26,29,30,0,
(0,1),-0.98403 # DEPENDENCYPART_ARC
(0,2),-1.54721 # DEPENDENCYPART_ARC
(0,4),-0.346478 # DEPENDENCYPART_ARC
(0,5),-1.87797 # DEPENDENCYPART_ARC
(0,6),-2.0634 # DEPENDENCYPART_ARC
(0,7),-0.865242 # DEPENDENCYPART_ARC
(0,8),-1.93816 # DEPENDENCYPART_ARC
(0,32),2.51872 # DEPENDENCYPART_ARC
(1,2),1.65273 # DEPENDENCYPART_ARC
(1,4),-2.42681 # DEPENDENCYPART_ARC
(1,7),-1.09948 # DEPENDENCYPART_ARC
(1,8),-1.35364 # DEPENDENCYPART_ARC
(2,1),-1.11931 # DEPENDENCYPART_ARC
(2,4),-2.59133 # DEPENDENCYPART_ARC
(2,5),-0.752516 # DEPENDENCYPART_ARC
(2,6),-2.54439 # DEPENDENCYPART_ARC
(2,8),-0.935067 # DEPENDENCYPART_ARC
(4,1),0.330272 # DEPENDENCYPART_ARC
(4,2),-1.74739 # DEPENDENCYPART_ARC
(4,3),2.45821 # DEPENDENCYPART_ARC
(4,5),3.33105 # DEPENDENCYPART_ARC
(4,6),-0.124093 # DEPENDENCYPART_ARC
(4,7),-0.474964 # DEPENDENCYPART_ARC
(4,8),-0.392754 # DEPENDENCYPART_ARC
(4,9),-1.61516 # DEPENDENCYPART_ARC
(4,10),-0.00988141 # DEPENDENCYPART_ARC
(4,15),-0.744623 # DEPENDENCYPART_ARC
(4,31),-2.7431 # DEPENDENCYPART_ARC
(5,1),0.0903741 # DEPENDENCYPART_ARC
(5,2),-1.08853 # DEPENDENCYPART_ARC
(5,3),-0.449497 # DEPENDENCYPART_ARC
(5,4),-1.76557 # DEPENDENCYPART_ARC
(5,6),1.45223 # DEPENDENCYPART_ARC
(5,7),-0.654645 # DEPENDENCYPART_ARC
(5,8),0.0151113 # DEPENDENCYPART_ARC
(5,9),-1.25081 # DEPENDENCYPART_ARC
(5,10),-0.797551 # DEPENDENCYPART_ARC
(5,15),-0.95441 # DEPENDENCYPART_ARC
(6,2),-1.15024 # DEPENDENCYPART_ARC
(6,4),-0.872106 # DEPENDENCYPART_ARC
(6,5),0.0657643 # DEPENDENCYPART_ARC
(6,7),-0.665439 # DEPENDENCYPART_ARC
(6,8),-0.156269 # DEPENDENCYPART_ARC
(6,9),-1.36325 # DEPENDENCYPART_ARC
(6,10),-0.887746 # DEPENDENCYPART_ARC
(6,11),-1.97467 # DEPENDENCYPART_ARC
(6,16),-1.05844 # DEPENDENCYPART_ARC
(6,21),-1.27882 # DEPENDENCYPART_ARC
(7,2),-2.39762 # DEPENDENCYPART_ARC
(7,4),-1.25801 # DEPENDENCYPART_ARC
(7,5),-1.29256 # DEPENDENCYPART_ARC
(7,6),-1.06864 # DEPENDENCYPART_ARC
(7,9),-1.42147 # DEPENDENCYPART_ARC
(8,4),-1.21161 # DEPENDENCYPART_ARC
(8,7),1.31796 # DEPENDENCYPART_ARC
