# _root_ Zjistil , že se guma dobře váže s kukuřičným sirupem , který je schopen absorbovat prakticky jakoukoliv chuťovou esenci .
#goldHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,17,19,19,15,0,
#predictedHeads=0,3,1,7,7,7,3,7,10,8,13,13,10,13,14,15,19,19,15,0,
(0,1),-0.1472 # DEPENDENCYPART_ARC
(0,2),-1.06187 # DEPENDENCYPART_ARC
(0,3),-1.15648 # DEPENDENCYPART_ARC
(0,6),-1.31088 # DEPENDENCYPART_ARC
(0,7),-1.03911 # DEPENDENCYPART_ARC
(0,11),-1.4609 # DEPENDENCYPART_ARC
(0,13),-1.46228 # DEPENDENCYPART_ARC
(0,15),-2.58169 # DEPENDENCYPART_ARC
(0,20),1.93793 # DEPENDENCYPART_ARC
(1,2),-0.328879 # DEPENDENCYPART_ARC
(1,3),0.458443 # DEPENDENCYPART_ARC
(1,4),-0.995102 # DEPENDENCYPART_ARC
(1,5),-1.25551 # DEPENDENCYPART_ARC
(1,6),-1.25125 # DEPENDENCYPART_ARC
(1,7),-1.73651 # DEPENDENCYPART_ARC
(1,8),-1.55114 # DEPENDENCYPART_ARC
(1,10),-1.7522 # DEPENDENCYPART_ARC
(1,11),-1.24784 # DEPENDENCYPART_ARC
(1,14),-1.19138 # DEPENDENCYPART_ARC
(1,16),-2.79879 # DEPENDENCYPART_ARC
(2,1),-1.13949 # DEPENDENCYPART_ARC
(2,3),-0.771078 # DEPENDENCYPART_ARC
(2,5),-2.465 # DEPENDENCYPART_ARC
(2,7),-1.95281 # DEPENDENCYPART_ARC
(3,1),-1.26952 # DEPENDENCYPART_ARC
(3,2),1.5545 # DEPENDENCYPART_ARC
(3,5),-1.58744 # DEPENDENCYPART_ARC
(3,6),-1.60912 # DEPENDENCYPART_ARC
(3,7),0.945385 # DEPENDENCYPART_ARC
(3,11),-0.429838 # DEPENDENCYPART_ARC
(3,13),0.0809228 # DEPENDENCYPART_ARC
(3,15),-0.859172 # DEPENDENCYPART_ARC
(5,1),-3.84462 # DEPENDENCYPART_ARC
(5,2),-1.53596 # DEPENDENCYPART_ARC
(5,3),-0.953035 # DEPENDENCYPART_ARC
(5,4),-2.07632 # DEPENDENCYPART_ARC
(5,6),-0.8253 # DEPENDENCYPART_ARC
(5,7),-1.91231 # DEPENDENCYPART_ARC
(5,8),-0.979736 # DEPENDENCYPART_ARC
(5,9),-2.8006 # DEPENDENCYPART_ARC
(5,10),-2.89774 # DEPENDENCYPART_ARC
(5,13),-2.37111 # DEPENDENCYPART_ARC
(5,14),-2.33235 # DEPENDENCYPART_ARC
(5,15),-2.06971 # DEPENDENCYPART_ARC
(6,1),-2.14147 # DEPENDENCYPART_ARC
(6,2),-1.1512 # DEPENDENCYPART_ARC
(6,3),-0.806422 # DEPENDENCYPART_ARC
(6,5),-1.65994 # DEPENDENCYPART_ARC
(6,7),-1.50805 # DEPENDENCYPART_ARC
(6,8),-1.15094 # DEPENDENCYPART_ARC
(6,10),-3.07901 # DEPENDENCYPART_ARC
(6,13),-2.72748 # DEPENDENCYPART_ARC
(7,1),-1.56565 # DEPENDENCYPART_ARC
(7,2),-0.615331 # DEPENDENCYPART_ARC
(7,3),-1.0156 # DEPENDENCYPART_ARC
(7,4),1.33407 # DEPENDENCYPART_ARC
(7,5),1.38421 # DEPENDENCYPART_ARC
(7,6),1.28787 # DEPENDENCYPART_ARC
(7,8),1.11849 # DEPENDENCYPART_ARC
(7,9),-1.73356 # DEPENDENCYPART_ARC
(7,10),0.423451 # DEPENDENCYPART_ARC
(7,11),-0.454283 # DEPENDENCYPART_ARC
(7,13),-1.89132 # DEPENDENCYPART_ARC
(7,14),-0.396587 # DEPENDENCYPART_ARC
(7,15),0.0128558 # DEPENDENCYPART_ARC
(7,16),-1.95962 # DEPENDENCYPART_ARC
(7,19),-1.36669 # DEPENDENCYPART_ARC
(8,2),-1.18125 # DEPENDENCYPART_ARC
(8,5),-2.92606 # DEPENDENCYPART_ARC
(8,9),-0.793341 # DEPENDENCYPART_ARC
(8,10),1.70418 # DEPENDENCYPART_ARC
(8,11),-0.800726 # DEPENDENCYPART_ARC
(8,13),-2.61997 # DEPENDENCYPART_ARC
(8,19),-2.18933 # DEPENDENCYPART_ARC
(9,4),-2.57074 # DEPENDENCYPART_ARC
(9,6),-0.905716 # DEPENDENCYPART_ARC
(10,1),-3.17778 # DEPENDENCYPART_ARC
(10,4),-3.9088 # DEPENDENCYPART_ARC
(10,5),-3.39154 # DEPENDENCYPART_ARC
(10,6),-1.32449 # DEPENDENCYPART_ARC
(10,8),-0.944497 # DEPENDENCYPART_ARC
(10,9),2.52858 # DEPENDENCYPART_ARC
(10,11),-1.1201 # DEPENDENCYPART_ARC
(10,12),-2.54392 # DEPENDENCYPART_ARC
(10,13),-0.864982 # DEPENDENCYPART_ARC
(10,14),-1.7429 # DEPENDENCYPART_ARC
(10,15),-1.02877 # DEPENDENCYPART_ARC
(10,16),-1.82011 # DEPENDENCYPART_ARC
(10,18),-3.46706 # DEPENDENCYPART_ARC
(10,19),-4.41306 # DEPENDENCYPART_ARC
(11,1),-1.94346 # DEPENDENCYPART_ARC
(11,2),-1.58611 # DEPENDENCYPART_ARC
(11,3),-1.6648 # DEPENDENCYPART_ARC
(11,5),-2.13078 # DEPENDENCYPART_ARC
(11,6),-1.69866 # DEPENDENCYPART_ARC
(11,7),-1.12226 # DEPENDENCYPART_ARC
(11,8),-1.30027 # DEPENDENCYPART_ARC
(11,10),-1.70151 # DEPENDENCYPART_ARC
(11,13),-1.21482 # DEPENDENCYPART_ARC
(11,15),-1.86275 # DEPENDENCYPART_ARC
(11,16),-1.89221 # DEPENDENCYPART_ARC
(11,19),-2.21285 # DEPENDENCYPART_ARC
(12,11),-1.31706 # DEPENDENCYPART_ARC
(12,13),-1.56548 # DEPENDENCYPART_ARC
(12,14),-0.243448 # DEPENDENCYPART_ARC
(12,19),-2.84832 # DEPENDENCYPART_ARC
(13,1),-2.85604 # DEPENDENCYPART_ARC
(13,2),-2.02929 # DEPENDENCYPART_ARC
(13,4),-1.74794 # DEPENDENCYPART_ARC
(13,5),-0.749408 # DEPENDENCYPART_ARC
(13,6),-1.60049 # DEPENDENCYPART_ARC
(13,7),-2.1694 # DEPENDENCYPART_ARC
(13,8),-1.30682 # DEPENDENCYPART_ARC
(13,9),-2.60993 # DEPENDENCYPART_ARC
(13,10),-1.45003 # DEPENDENCYPART_ARC
(13,11),0.468836 # DEPENDENCYPART_ARC
(13,12),1.06679 # DEPENDENCYPART_ARC
(13,14),2.60899 # DEPENDENCYPART_ARC
(13,15),1.72292 # DEPENDENCYPART_ARC
(13,16),-1.02907 # DEPENDENCYPART_ARC
(13,17),-2.20526 # DEPENDENCYPART_ARC
(13,18),-2.84457 # DEPENDENCYPART_ARC
(13,19),-0.703324 # DEPENDENCYPART_ARC
(13,20),-1.1958 # DEPENDENCYPART_ARC
(14,4),-0.772627 # DEPENDENCYPART_ARC
(14,8),-1.08945 # DEPENDENCYPART_ARC
(14,11),-1.30425 # DEPENDENCYPART_ARC
(14,12),-0.266636 # DEPENDENCYPART_ARC
(14,15),1.95122 # DEPENDENCYPART_ARC
(14,16),-0.202799 # DEPENDENCYPART_ARC
(14,19),-1.13798 # DEPENDENCYPART_ARC
(14,20),-0.641048 # DEPENDENCYPART_ARC
(15,1),-4.81353 # DEPENDENCYPART_ARC
(15,2),-2.80227 # DEPENDENCYPART_ARC
(15,4),-1.31981 # DEPENDENCYPART_ARC
(15,5),-1.95559 # DEPENDENCYPART_ARC
(15,6),-1.51695 # DEPENDENCYPART_ARC
(15,7),-3.15541 # DEPENDENCYPART_ARC
(15,8),-0.905752 # DEPENDENCYPART_ARC
(15,10),-1.24891 # DEPENDENCYPART_ARC
(15,11),-0.963833 # DEPENDENCYPART_ARC
(15,12),-0.689481 # DEPENDENCYPART_ARC
(15,13),-1.94724 # DEPENDENCYPART_ARC
(15,14),-1.12992 # DEPENDENCYPART_ARC
