# _root_ Sociální demokraté namítají , že vláda se školným přichází v době , kdy rostou náklady na základní životní potřeby .
#goldHeads=2,3,0,5,3,9,9,7,5,9,10,14,14,11,14,15,19,19,16,0,
#predictedHeads=2,3,0,5,3,9,6,7,5,9,10,14,14,11,14,15,19,19,16,0,
(0,1),-1.4149 # DEPENDENCYPART_ARC
(0,2),-1.32405 # DEPENDENCYPART_ARC
(0,3),-0.10813 # DEPENDENCYPART_ARC
(0,4),-0.689966 # DEPENDENCYPART_ARC
(0,5),-1.79069 # DEPENDENCYPART_ARC
(0,9),-0.429529 # DEPENDENCYPART_ARC
(0,12),-1.14991 # DEPENDENCYPART_ARC
(0,14),-1.1955 # DEPENDENCYPART_ARC
(0,20),1.7212 # DEPENDENCYPART_ARC
(1,2),-2.24288 # DEPENDENCYPART_ARC
(1,3),-2.92134 # DEPENDENCYPART_ARC
(1,5),-1.48898 # DEPENDENCYPART_ARC
(2,1),2.5954 # DEPENDENCYPART_ARC
(2,3),-1.9343 # DEPENDENCYPART_ARC
(2,4),-1.64913 # DEPENDENCYPART_ARC
(2,5),-1.16363 # DEPENDENCYPART_ARC
(2,6),-2.7187 # DEPENDENCYPART_ARC
(2,7),-1.55595 # DEPENDENCYPART_ARC
(2,9),-3.83175 # DEPENDENCYPART_ARC
(3,1),-0.386133 # DEPENDENCYPART_ARC
(3,2),1.42187 # DEPENDENCYPART_ARC
(3,4),-0.269397 # DEPENDENCYPART_ARC
(3,5),0.167 # DEPENDENCYPART_ARC
(3,6),-1.61497 # DEPENDENCYPART_ARC
(3,7),-1.18958 # DEPENDENCYPART_ARC
(3,9),-2.24853 # DEPENDENCYPART_ARC
(3,10),-1.79738 # DEPENDENCYPART_ARC
(3,12),-1.30812 # DEPENDENCYPART_ARC
(3,14),-3.87585 # DEPENDENCYPART_ARC
(4,1),-1.76362 # DEPENDENCYPART_ARC
(4,2),-1.46226 # DEPENDENCYPART_ARC
(4,3),-1.08919 # DEPENDENCYPART_ARC
(4,5),-0.895744 # DEPENDENCYPART_ARC
(4,6),-2.05309 # DEPENDENCYPART_ARC
(4,7),-1.60549 # DEPENDENCYPART_ARC
(4,9),-1.83127 # DEPENDENCYPART_ARC
(5,2),-1.54837 # DEPENDENCYPART_ARC
(5,3),-1.44794 # DEPENDENCYPART_ARC
(5,4),1.62487 # DEPENDENCYPART_ARC
(5,6),-0.915174 # DEPENDENCYPART_ARC
(5,7),-1.31218 # DEPENDENCYPART_ARC
(5,9),0.626451 # DEPENDENCYPART_ARC
(5,12),-0.610896 # DEPENDENCYPART_ARC
(5,14),-0.758326 # DEPENDENCYPART_ARC
(6,2),-4.2867 # DEPENDENCYPART_ARC
(6,4),-2.04559 # DEPENDENCYPART_ARC
(6,5),-1.4138 # DEPENDENCYPART_ARC
(6,7),0.902032 # DEPENDENCYPART_ARC
(6,8),-1.98073 # DEPENDENCYPART_ARC
(6,9),-1.74459 # DEPENDENCYPART_ARC
(6,10),-1.48816 # DEPENDENCYPART_ARC
(6,11),-3.06469 # DEPENDENCYPART_ARC
(6,12),-0.988823 # DEPENDENCYPART_ARC
(6,13),-1.36366 # DEPENDENCYPART_ARC
(6,14),-2.9361 # DEPENDENCYPART_ARC
(6,16),-1.59484 # DEPENDENCYPART_ARC
(7,4),-0.866308 # DEPENDENCYPART_ARC
(7,6),-2.28826 # DEPENDENCYPART_ARC
(7,8),3.36163 # DEPENDENCYPART_ARC
(7,11),-1.53199 # DEPENDENCYPART_ARC
(8,3),-2.2959 # DEPENDENCYPART_ARC
(8,5),-1.28194 # DEPENDENCYPART_ARC
(8,6),-3.40092 # DEPENDENCYPART_ARC
(8,9),-1.24459 # DEPENDENCYPART_ARC
(8,10),-1.49116 # DEPENDENCYPART_ARC
(8,11),-2.61414 # DEPENDENCYPART_ARC
(8,14),-2.92883 # DEPENDENCYPART_ARC
(9,1),-1.97062 # DEPENDENCYPART_ARC
(9,2),-1.4152 # DEPENDENCYPART_ARC
(9,3),-2.75989 # DEPENDENCYPART_ARC
(9,4),-0.976961 # DEPENDENCYPART_ARC
(9,5),-1.58487 # DEPENDENCYPART_ARC
(9,6),1.18863 # DEPENDENCYPART_ARC
(9,7),-0.5017 # DEPENDENCYPART_ARC
(9,8),0.429722 # DEPENDENCYPART_ARC
(9,10),1.44476 # DEPENDENCYPART_ARC
(9,11),-0.27234 # DEPENDENCYPART_ARC
(9,12),-0.346292 # DEPENDENCYPART_ARC
(9,13),-0.638483 # DEPENDENCYPART_ARC
(9,14),-1.49202 # DEPENDENCYPART_ARC
(9,15),-0.942637 # DEPENDENCYPART_ARC
(9,16),-0.368024 # DEPENDENCYPART_ARC
(9,17),-3.68705 # DEPENDENCYPART_ARC
(9,19),-1.14538 # DEPENDENCYPART_ARC
(9,20),-1.09167 # DEPENDENCYPART_ARC
(10,11),2.35294 # DEPENDENCYPART_ARC
(10,12),-1.19256 # DEPENDENCYPART_ARC
(10,13),-1.96498 # DEPENDENCYPART_ARC
(10,14),-2.39336 # DEPENDENCYPART_ARC
(10,15),-3.91228 # DEPENDENCYPART_ARC
(11,7),-0.987543 # DEPENDENCYPART_ARC
(11,10),-0.459997 # DEPENDENCYPART_ARC
(11,12),-1.38662 # DEPENDENCYPART_ARC
(11,13),-1.54293 # DEPENDENCYPART_ARC
(11,14),-1.96786 # DEPENDENCYPART_ARC
(11,15),-2.86269 # DEPENDENCYPART_ARC
(11,16),-1.64433 # DEPENDENCYPART_ARC
(11,17),-3.21217 # DEPENDENCYPART_ARC
(11,19),-4.95263 # DEPENDENCYPART_ARC
(12,2),-2.10294 # DEPENDENCYPART_ARC
(12,3),-1.42848 # DEPENDENCYPART_ARC
(12,4),-1.29455 # DEPENDENCYPART_ARC
(12,5),-1.35245 # DEPENDENCYPART_ARC
(12,6),-1.54543 # DEPENDENCYPART_ARC
(12,7),-1.5689 # DEPENDENCYPART_ARC
(12,8),-1.44295 # DEPENDENCYPART_ARC
(12,9),-0.542776 # DEPENDENCYPART_ARC
(12,10),-1.08839 # DEPENDENCYPART_ARC
(12,11),-1.13203 # DEPENDENCYPART_ARC
(12,13),-1.18614 # DEPENDENCYPART_ARC
(12,14),-1.03266 # DEPENDENCYPART_ARC
(12,15),-1.69128 # DEPENDENCYPART_ARC
(12,16),-1.26479 # DEPENDENCYPART_ARC
(12,17),-2.04731 # DEPENDENCYPART_ARC
(12,19),-1.78951 # DEPENDENCYPART_ARC
(12,20),-1.30516 # DEPENDENCYPART_ARC
(13,2),-2.75662 # DEPENDENCYPART_ARC
(13,3),-1.87317 # DEPENDENCYPART_ARC
(13,4),-2.46533 # DEPENDENCYPART_ARC
(13,6),-2.22163 # DEPENDENCYPART_ARC
(13,7),-1.72386 # DEPENDENCYPART_ARC
(13,9),-1.57467 # DEPENDENCYPART_ARC
(13,10),-1.31292 # DEPENDENCYPART_ARC
(13,11),-1.39148 # DEPENDENCYPART_ARC
(13,12),-1.02168 # DEPENDENCYPART_ARC
(13,14),-0.760899 # DEPENDENCYPART_ARC
(13,15),-1.7447 # DEPENDENCYPART_ARC
(13,16),-1.83389 # DEPENDENCYPART_ARC
(13,19),-2.80186 # DEPENDENCYPART_ARC
(13,20),-1.53608 # DEPENDENCYPART_ARC
(14,2),-1.25662 # DEPENDENCYPART_ARC
(14,3),-3.80164 # DEPENDENCYPART_ARC
(14,4),-1.86038 # DEPENDENCYPART_ARC
(14,5),-2.09325 # DEPENDENCYPART_ARC
(14,6),-0.983219 # DEPENDENCYPART_ARC
(14,7),-1.72546 # DEPENDENCYPART_ARC
(14,8),-1.34644 # DEPENDENCYPART_ARC
