# _root_ Milionový poplatek za vydání osvědčení , které umožňuje vést lékárnu , zakázalo vybírat Ministerstvo pro hospodářskou soutěž .
#goldHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
#predictedHeads=2,13,2,3,4,8,8,5,8,9,8,0,12,12,14,17,15,0,
(0,1),-1.20027 # DEPENDENCYPART_ARC
(0,2),-1.08108 # DEPENDENCYPART_ARC
(0,3),-0.450537 # DEPENDENCYPART_ARC
(0,4),-1.66494 # DEPENDENCYPART_ARC
(0,5),-1.90916 # DEPENDENCYPART_ARC
(0,6),-0.827362 # DEPENDENCYPART_ARC
(0,7),-2.21476 # DEPENDENCYPART_ARC
(0,8),-0.250024 # DEPENDENCYPART_ARC
(0,9),-1.21399 # DEPENDENCYPART_ARC
(0,11),-1.27242 # DEPENDENCYPART_ARC
(0,12),0.254212 # DEPENDENCYPART_ARC
(0,13),-1.77281 # DEPENDENCYPART_ARC
(0,18),1.75806 # DEPENDENCYPART_ARC
(1,3),-0.64169 # DEPENDENCYPART_ARC
(2,1),2.51132 # DEPENDENCYPART_ARC
(2,3),0.92631 # DEPENDENCYPART_ARC
(2,4),-1.83499 # DEPENDENCYPART_ARC
(2,5),-0.675077 # DEPENDENCYPART_ARC
(2,8),-1.45517 # DEPENDENCYPART_ARC
(2,9),-0.817142 # DEPENDENCYPART_ARC
(2,12),-3.25224 # DEPENDENCYPART_ARC
(2,13),-2.18291 # DEPENDENCYPART_ARC
(3,2),-2.44333 # DEPENDENCYPART_ARC
(3,4),2.34728 # DEPENDENCYPART_ARC
(3,5),-2.86313 # DEPENDENCYPART_ARC
(3,6),-1.13817 # DEPENDENCYPART_ARC
(4,1),-1.78315 # DEPENDENCYPART_ARC
(4,2),-2.4094 # DEPENDENCYPART_ARC
(4,3),-0.488394 # DEPENDENCYPART_ARC
(4,5),1.94023 # DEPENDENCYPART_ARC
(4,6),-1.09021 # DEPENDENCYPART_ARC
(4,7),-1.74148 # DEPENDENCYPART_ARC
(4,8),-0.751581 # DEPENDENCYPART_ARC
(4,9),-0.380344 # DEPENDENCYPART_ARC
(4,10),-3.28408 # DEPENDENCYPART_ARC
(4,11),-0.981369 # DEPENDENCYPART_ARC
(4,12),-2.64367 # DEPENDENCYPART_ARC
(4,13),-1.70909 # DEPENDENCYPART_ARC
(4,15),-1.38376 # DEPENDENCYPART_ARC
(5,1),-3.39091 # DEPENDENCYPART_ARC
(5,2),-3.86688 # DEPENDENCYPART_ARC
(5,4),-1.53949 # DEPENDENCYPART_ARC
(5,6),-1.2381 # DEPENDENCYPART_ARC
(5,7),-1.98306 # DEPENDENCYPART_ARC
(5,8),-0.716532 # DEPENDENCYPART_ARC
(5,9),-1.06285 # DEPENDENCYPART_ARC
(5,10),-4.49221 # DEPENDENCYPART_ARC
(5,11),-1.59353 # DEPENDENCYPART_ARC
(5,12),-2.76102 # DEPENDENCYPART_ARC
(5,13),-2.50553 # DEPENDENCYPART_ARC
(6,1),-2.55993 # DEPENDENCYPART_ARC
(6,2),-1.92671 # DEPENDENCYPART_ARC
(6,3),-1.68636 # DEPENDENCYPART_ARC
(6,4),-1.97318 # DEPENDENCYPART_ARC
(6,5),-1.82007 # DEPENDENCYPART_ARC
(6,8),-1.16411 # DEPENDENCYPART_ARC
(6,9),-1.6637 # DEPENDENCYPART_ARC
(6,10),-2.10936 # DEPENDENCYPART_ARC
(6,11),-0.993535 # DEPENDENCYPART_ARC
(6,12),-2.85547 # DEPENDENCYPART_ARC
(6,13),-3.02087 # DEPENDENCYPART_ARC
(7,6),-1.11661 # DEPENDENCYPART_ARC
(7,8),-0.560822 # DEPENDENCYPART_ARC
(7,10),-2.20225 # DEPENDENCYPART_ARC
(7,14),-2.28361 # DEPENDENCYPART_ARC
(8,1),-3.24499 # DEPENDENCYPART_ARC
(8,2),-1.38856 # DEPENDENCYPART_ARC
(8,3),-1.73458 # DEPENDENCYPART_ARC
