# _root_ V rámci pomoci Spojenců byl na území Slovenska přepravován vojenský , zdravotnický , spojovací a technický materiál .
#goldHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
#predictedHeads=2,9,2,3,9,9,6,7,0,15,15,15,15,15,17,15,9,0,
(0,1),-1.1367 # DEPENDENCYPART_ARC
(0,2),-1.6786 # DEPENDENCYPART_ARC
(0,3),-1.68465 # DEPENDENCYPART_ARC
(0,4),-2.18483 # DEPENDENCYPART_ARC
(0,5),-0.562794 # DEPENDENCYPART_ARC
(0,9),-0.895466 # DEPENDENCYPART_ARC
(0,11),-1.08234 # DEPENDENCYPART_ARC
(0,13),-1.18644 # DEPENDENCYPART_ARC
(0,15),-0.959526 # DEPENDENCYPART_ARC
(0,17),-1.79073 # DEPENDENCYPART_ARC
(0,18),1.79969 # DEPENDENCYPART_ARC
(1,2),0.826421 # DEPENDENCYPART_ARC
(1,3),-3.31099 # DEPENDENCYPART_ARC
(1,4),-4.92286 # DEPENDENCYPART_ARC
(2,1),1.11253 # DEPENDENCYPART_ARC
(2,3),1.71112 # DEPENDENCYPART_ARC
(2,4),0.00571919 # DEPENDENCYPART_ARC
(2,5),-1.93296 # DEPENDENCYPART_ARC
(2,6),-1.4685 # DEPENDENCYPART_ARC
(2,7),-4.17942 # DEPENDENCYPART_ARC
(2,8),-0.271316 # DEPENDENCYPART_ARC
(2,9),-2.20505 # DEPENDENCYPART_ARC
(2,14),-3.01633 # DEPENDENCYPART_ARC
(2,15),-1.52265 # DEPENDENCYPART_ARC
(3,1),-1.05912 # DEPENDENCYPART_ARC
(3,2),-3.30437 # DEPENDENCYPART_ARC
(3,4),1.60926 # DEPENDENCYPART_ARC
(3,5),-1.44559 # DEPENDENCYPART_ARC
(3,6),-0.899099 # DEPENDENCYPART_ARC
(3,7),-3.83034 # DEPENDENCYPART_ARC
(3,8),0.301101 # DEPENDENCYPART_ARC
(3,9),-1.81326 # DEPENDENCYPART_ARC
(3,14),-3.58487 # DEPENDENCYPART_ARC
(3,15),-1.08018 # DEPENDENCYPART_ARC
