# _root_ Najednou nebylo žádné místo mezi mým vozem a zdí , byla slova nešťastného Fittipaldiho , s nimiž však Mansell nesouhlasil :
#goldHeads=2,10,4,2,2,7,8,5,8,0,10,11,14,12,20,20,16,20,20,14,0,
#predictedHeads=2,18,4,2,4,7,8,5,8,18,18,11,14,12,18,20,16,0,20,18,0,
(0,1),-0.825932 # DEPENDENCYPART_ARC
(0,2),-0.550563 # DEPENDENCYPART_ARC
(0,3),-1.72239 # DEPENDENCYPART_ARC
(0,4),-1.23981 # DEPENDENCYPART_ARC
(0,5),-1.22205 # DEPENDENCYPART_ARC
(0,8),-0.994163 # DEPENDENCYPART_ARC
(0,10),-1.50442 # DEPENDENCYPART_ARC
(0,11),-0.122693 # DEPENDENCYPART_ARC
(0,15),-1.39313 # DEPENDENCYPART_ARC
(0,18),-0.0405141 # DEPENDENCYPART_ARC
(0,20),-1.24161 # DEPENDENCYPART_ARC
(0,21),1.14426 # DEPENDENCYPART_ARC
(1,2),-1.14821 # DEPENDENCYPART_ARC
(2,1),1.02044 # DEPENDENCYPART_ARC
(2,3),1.52686 # DEPENDENCYPART_ARC
(2,4),0.972827 # DEPENDENCYPART_ARC
(2,5),-0.316428 # DEPENDENCYPART_ARC
(2,7),-0.338431 # DEPENDENCYPART_ARC
(2,8),-0.511866 # DEPENDENCYPART_ARC
(2,9),-1.32761 # DEPENDENCYPART_ARC
(2,10),-0.526723 # DEPENDENCYPART_ARC
(2,11),-3.72041 # DEPENDENCYPART_ARC
(2,12),-2.21169 # DEPENDENCYPART_ARC
(2,13),-3.14333 # DEPENDENCYPART_ARC
(2,14),-4.19337 # DEPENDENCYPART_ARC
(2,15),-1.04534 # DEPENDENCYPART_ARC
(2,16),-1.8513 # DEPENDENCYPART_ARC
(2,18),-1.60509 # DEPENDENCYPART_ARC
(2,19),-4.2253 # DEPENDENCYPART_ARC
(2,20),-4.24055 # DEPENDENCYPART_ARC
(2,21),-1.45102 # DEPENDENCYPART_ARC
(3,5),-1.588 # DEPENDENCYPART_ARC
(3,8),-0.992761 # DEPENDENCYPART_ARC
