# _root_ Na to , jaké právní prostředky nápravy bude nutno v konkrétním případě předem vyčerpat , mohou vznikat nejrůznější názory .
#goldHeads=19,1,8,6,6,14,6,2,8,8,12,10,14,8,8,0,16,19,16,0,
#predictedHeads=14,1,8,6,6,14,6,2,8,14,12,10,14,16,14,0,16,19,16,0,
(0,1),-1.025 # DEPENDENCYPART_ARC
(0,3),-0.838897 # DEPENDENCYPART_ARC
(0,4),-2.56971 # DEPENDENCYPART_ARC
(0,8),-0.543588 # DEPENDENCYPART_ARC
(0,9),-1.72361 # DEPENDENCYPART_ARC
(0,14),-1.93412 # DEPENDENCYPART_ARC
(0,15),-1.57462 # DEPENDENCYPART_ARC
(0,16),0.0590502 # DEPENDENCYPART_ARC
(0,17),-1.93506 # DEPENDENCYPART_ARC
(0,20),1.92965 # DEPENDENCYPART_ARC
(1,2),2.2381 # DEPENDENCYPART_ARC
(1,3),-0.627082 # DEPENDENCYPART_ARC
(1,5),-1.86715 # DEPENDENCYPART_ARC
(1,6),-0.156148 # DEPENDENCYPART_ARC
(1,7),-3.78487 # DEPENDENCYPART_ARC
(2,3),-0.822076 # DEPENDENCYPART_ARC
(2,5),-2.71611 # DEPENDENCYPART_ARC
(2,6),-2.20295 # DEPENDENCYPART_ARC
(2,7),-1.8599 # DEPENDENCYPART_ARC
(2,8),-1.85676 # DEPENDENCYPART_ARC
(2,10),-1.8102 # DEPENDENCYPART_ARC
(3,1),-1.63627 # DEPENDENCYPART_ARC
(3,2),-1.23787 # DEPENDENCYPART_ARC
(3,5),-1.43029 # DEPENDENCYPART_ARC
(3,6),-1.88792 # DEPENDENCYPART_ARC
(3,8),-1.72085 # DEPENDENCYPART_ARC
(3,14),-2.53281 # DEPENDENCYPART_ARC
(3,15),-0.981271 # DEPENDENCYPART_ARC
(3,16),-3.21511 # DEPENDENCYPART_ARC
(3,17),-3.44971 # DEPENDENCYPART_ARC
(4,3),-0.866352 # DEPENDENCYPART_ARC
(4,5),-1.3817 # DEPENDENCYPART_ARC
(4,6),-1.93357 # DEPENDENCYPART_ARC
(4,7),-1.76484 # DEPENDENCYPART_ARC
(4,9),-1.32898 # DEPENDENCYPART_ARC
(5,1),-1.08389 # DEPENDENCYPART_ARC
(5,2),-1.73972 # DEPENDENCYPART_ARC
(5,3),-0.961114 # DEPENDENCYPART_ARC
(5,7),-1.61872 # DEPENDENCYPART_ARC
(6,1),-1.41194 # DEPENDENCYPART_ARC
(6,2),-1.62333 # DEPENDENCYPART_ARC
(6,3),-0.930738 # DEPENDENCYPART_ARC
(6,4),1.63304 # DEPENDENCYPART_ARC
(6,5),2.18233 # DEPENDENCYPART_ARC
(6,7),1.81747 # DEPENDENCYPART_ARC
(6,8),-1.89491 # DEPENDENCYPART_ARC
(6,9),-3.08344 # DEPENDENCYPART_ARC
(6,10),-1.09962 # DEPENDENCYPART_ARC
(6,11),-2.46543 # DEPENDENCYPART_ARC
(6,12),-2.16688 # DEPENDENCYPART_ARC
(7,2),-3.08394 # DEPENDENCYPART_ARC
(7,4),-3.10046 # DEPENDENCYPART_ARC
(7,5),-3.50731 # DEPENDENCYPART_ARC
(7,6),-3.30782 # DEPENDENCYPART_ARC
(7,8),-1.32859 # DEPENDENCYPART_ARC
(7,9),-1.70505 # DEPENDENCYPART_ARC
(7,12),-2.43075 # DEPENDENCYPART_ARC
(8,1),-0.809209 # DEPENDENCYPART_ARC
(8,2),-2.4609 # DEPENDENCYPART_ARC
(8,3),-0.113963 # DEPENDENCYPART_ARC
(8,4),-2.32853 # DEPENDENCYPART_ARC
(8,5),-2.99804 # DEPENDENCYPART_ARC
(8,6),-1.88921 # DEPENDENCYPART_ARC
(8,7),-2.73596 # DEPENDENCYPART_ARC
(8,9),2.18055 # DEPENDENCYPART_ARC
(8,10),-0.377545 # DEPENDENCYPART_ARC
(8,11),-2.62658 # DEPENDENCYPART_ARC
(8,12),-1.28116 # DEPENDENCYPART_ARC
(8,13),-1.06769 # DEPENDENCYPART_ARC
(8,14),-1.3066 # DEPENDENCYPART_ARC
(8,15),-1.05827 # DEPENDENCYPART_ARC
(8,16),-4.69306 # DEPENDENCYPART_ARC
(8,17),-2.88402 # DEPENDENCYPART_ARC
(8,19),-3.08118 # DEPENDENCYPART_ARC
(9,1),-1.05209 # DEPENDENCYPART_ARC
(9,4),-1.69685 # DEPENDENCYPART_ARC
(9,6),-1.96336 # DEPENDENCYPART_ARC
(9,7),-2.14499 # DEPENDENCYPART_ARC
(9,8),-0.328683 # DEPENDENCYPART_ARC
(9,10),0.373123 # DEPENDENCYPART_ARC
(9,12),-2.01309 # DEPENDENCYPART_ARC
(9,13),-0.886457 # DEPENDENCYPART_ARC
(9,14),-0.370774 # DEPENDENCYPART_ARC
(9,15),-0.526947 # DEPENDENCYPART_ARC
(9,17),-0.674148 # DEPENDENCYPART_ARC
(9,20),-1.29377 # DEPENDENCYPART_ARC
(10,11),-0.231667 # DEPENDENCYPART_ARC
(10,12),1.81773 # DEPENDENCYPART_ARC
(10,13),-1.8692 # DEPENDENCYPART_ARC
(10,15),-1.46458 # DEPENDENCYPART_ARC
(10,16),-2.50975 # DEPENDENCYPART_ARC
(10,19),-3.3189 # DEPENDENCYPART_ARC
(12,2),-2.2465 # DEPENDENCYPART_ARC
(12,4),-2.01646 # DEPENDENCYPART_ARC
(12,5),-2.75649 # DEPENDENCYPART_ARC
(12,9),-1.43906 # DEPENDENCYPART_ARC
(12,10),0.0246626 # DEPENDENCYPART_ARC
(12,11),2.44893 # DEPENDENCYPART_ARC
(12,13),-0.582621 # DEPENDENCYPART_ARC
(12,14),-1.00833 # DEPENDENCYPART_ARC
(12,16),-3.33039 # DEPENDENCYPART_ARC
(12,17),-2.20467 # DEPENDENCYPART_ARC
(12,18),-4.099 # DEPENDENCYPART_ARC
(12,19),-2.95063 # DEPENDENCYPART_ARC
(13,4),-2.04625 # DEPENDENCYPART_ARC
(13,10),-1.2779 # DEPENDENCYPART_ARC
(13,11),-1.57997 # DEPENDENCYPART_ARC
(13,12),-1.71367 # DEPENDENCYPART_ARC
(13,14),-0.780979 # DEPENDENCYPART_ARC
(13,15),-1.27951 # DEPENDENCYPART_ARC
(13,16),-1.72944 # DEPENDENCYPART_ARC
(13,17),-1.85103 # DEPENDENCYPART_ARC
(13,19),-2.71973 # DEPENDENCYPART_ARC
(14,1),0.588687 # DEPENDENCYPART_ARC
(14,2),-0.482891 # DEPENDENCYPART_ARC
(14,3),-0.819508 # DEPENDENCYPART_ARC
(14,4),0.551068 # DEPENDENCYPART_ARC
(14,5),-1.37098 # DEPENDENCYPART_ARC
(14,6),0.82941 # DEPENDENCYPART_ARC
(14,7),-1.31135 # DEPENDENCYPART_ARC
(14,8),1.14161 # DEPENDENCYPART_ARC
(14,10),0.219764 # DEPENDENCYPART_ARC
(14,11),-1.60433 # DEPENDENCYPART_ARC
(14,12),0.407534 # DEPENDENCYPART_ARC
(14,13),1.17543 # DEPENDENCYPART_ARC
(14,15),-0.398207 # DEPENDENCYPART_ARC
(14,16),-1.67705 # DEPENDENCYPART_ARC
(14,17),-1.18949 # DEPENDENCYPART_ARC
(14,18),-3.32183 # DEPENDENCYPART_ARC
(14,19),-3.4737 # DEPENDENCYPART_ARC
(15,8),-1.04956 # DEPENDENCYPART_ARC
(15,9),-2.05967 # DEPENDENCYPART_ARC
(15,10),-1.12502 # DEPENDENCYPART_ARC
(15,12),-1.237 # DEPENDENCYPART_ARC
(15,13),-1.10888 # DEPENDENCYPART_ARC
(15,14),-0.595676 # DEPENDENCYPART_ARC
(15,16),-0.819728 # DEPENDENCYPART_ARC
(15,17),-1.67224 # DEPENDENCYPART_ARC
(15,18),-2.18148 # DEPENDENCYPART_ARC
(15,19),-2.30475 # DEPENDENCYPART_ARC
(16,1),-0.685554 # DEPENDENCYPART_ARC
(16,2),-2.85536 # DEPENDENCYPART_ARC
(16,3),-1.27091 # DEPENDENCYPART_ARC
(16,4),-2.63735 # DEPENDENCYPART_ARC
(16,5),-3.94394 # DEPENDENCYPART_ARC
(16,6),-0.386901 # DEPENDENCYPART_ARC
(16,7),-3.88634 # DEPENDENCYPART_ARC
(16,8),-2.2273 # DEPENDENCYPART_ARC
(16,9),-2.33436 # DEPENDENCYPART_ARC
(16,10),-1.13478 # DEPENDENCYPART_ARC
(16,11),-4.43873 # DEPENDENCYPART_ARC
(16,12),-2.05795 # DEPENDENCYPART_ARC
(16,13),-0.661623 # DEPENDENCYPART_ARC
(16,14),0.382303 # DEPENDENCYPART_ARC
(16,15),-0.620771 # DEPENDENCYPART_ARC
(16,17),3.54688 # DEPENDENCYPART_ARC
(16,18),-1.76969 # DEPENDENCYPART_ARC
(16,19),0.505218 # DEPENDENCYPART_ARC
(16,20),-0.841097 # DEPENDENCYPART_ARC
(17,1),-0.482105 # DEPENDENCYPART_ARC
(17,2),-1.44841 # DEPENDENCYPART_ARC
(17,3),-2.08454 # DEPENDENCYPART_ARC
(17,4),-1.035 # DEPENDENCYPART_ARC
(17,6),-0.144265 # DEPENDENCYPART_ARC
(17,7),-2.41884 # DEPENDENCYPART_ARC
(17,8),-0.485653 # DEPENDENCYPART_ARC
(17,10),-1.28392 # DEPENDENCYPART_ARC
(17,12),-1.13774 # DEPENDENCYPART_ARC
(17,13),-1.09189 # DEPENDENCYPART_ARC
(17,14),-1.2299 # DEPENDENCYPART_ARC
(17,15),-1.64033 # DEPENDENCYPART_ARC
(17,16),-0.805133 # DEPENDENCYPART_ARC
(17,18),-0.786581 # DEPENDENCYPART_ARC
(17,19),-0.962211 # DEPENDENCYPART_ARC
(17,20),-1.20703 # DEPENDENCYPART_ARC
(18,13),-1.69632 # DEPENDENCYPART_ARC
(18,19),-1.72014 # DEPENDENCYPART_ARC
(19,1),-0.0817589 # DEPENDENCYPART_ARC
(19,11),-3.51901 # DEPENDENCYPART_ARC
(19,13),-1.78565 # DEPENDENCYPART_ARC
(19,14),-2.32746 # DEPENDENCYPART_ARC
(19,15),-1.6476 # DEPENDENCYPART_ARC
(19,17),-1.97625 # DEPENDENCYPART_ARC
(19,18),1.80846 # DEPENDENCYPART_ARC
(19,20),-0.647959 # DEPENDENCYPART_ARC
(20,16),-2.72231 # DEPENDENCYPART_ARC
(20,19),-3.34446 # DEPENDENCYPART_ARC
(0,1),(0,3),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0624644 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.495681 # DEPENDENCYPART_SIBL
(0,1),(0,9),0.00343905 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.477017 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.2298 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.475489 # DEPENDENCYPART_SIBL
(0,1),(0,17),-0.477017 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.450326 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.0934644 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.417451 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.0252167 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.408609 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.404266 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.409002 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.407668 # DEPENDENCYPART_SIBL
(0,4),(0,9),0.0859267 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.410749 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.081838 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.416079 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.410749 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0330749 # DEPENDENCYPART_SIBL
(0,8),(0,9),-0.285056 # DEPENDENCYPART_SIBL
(0,8),(0,14),-1.47985 # DEPENDENCYPART_SIBL
(0,8),(0,15),-0.347357 # DEPENDENCYPART_SIBL
(0,8),(0,16),-1.49354 # DEPENDENCYPART_SIBL
(0,8),(0,17),-1.47985 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.107215 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.304723 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.034401 # DEPENDENCYPART_SIBL
(0,9),(0,16),-0.305602 # DEPENDENCYPART_SIBL
(0,9),(0,17),-0.30566 # DEPENDENCYPART_SIBL
(0,9),(0,20),-0.240262 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.296695 # DEPENDENCYPART_SIBL
(0,14),(0,16),-1.47722 # DEPENDENCYPART_SIBL
(0,14),(0,17),-1.46354 # DEPENDENCYPART_SIBL
(0,14),(0,20),-0.00800261 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.404266 # DEPENDENCYPART_SIBL
(0,15),(0,17),-0.409002 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,16),(0,17),-1.44467 # DEPENDENCYPART_SIBL
(0,16),(0,20),0.0856592 # DEPENDENCYPART_SIBL
(0,17),(0,20),-0.00499578 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.263817 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.27827 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.998502 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.994575 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.0321291 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.590941 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.590347 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.756891 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.755492 # DEPENDENCYPART_SIBL
(1,6),(1,7),-1.45855 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0404713 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0500694 # DEPENDENCYPART_SIBL
