# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,24,25,29,29,26,0,
(0,1),-0.854895 # DEPENDENCYPART_ARC
(0,2),-1.31615 # DEPENDENCYPART_ARC
(0,3),-1.04538 # DEPENDENCYPART_ARC
(0,5),-1.21269 # DEPENDENCYPART_ARC
(0,6),-0.237842 # DEPENDENCYPART_ARC
(0,7),-2.34296 # DEPENDENCYPART_ARC
(0,8),-1.06998 # DEPENDENCYPART_ARC
(0,9),-2.57889 # DEPENDENCYPART_ARC
(0,10),-0.983449 # DEPENDENCYPART_ARC
(0,15),-1.5134 # DEPENDENCYPART_ARC
(0,16),-0.807434 # DEPENDENCYPART_ARC
(0,19),-0.837227 # DEPENDENCYPART_ARC
(0,23),-2.08056 # DEPENDENCYPART_ARC
(0,30),2.21483 # DEPENDENCYPART_ARC
(1,2),-1.91634 # DEPENDENCYPART_ARC
(1,3),-2.56202 # DEPENDENCYPART_ARC
(1,5),-1.72395 # DEPENDENCYPART_ARC
(1,6),-3.37443 # DEPENDENCYPART_ARC
(2,1),-1.26335 # DEPENDENCYPART_ARC
(2,4),-1.35936 # DEPENDENCYPART_ARC
(3,1),1.85272 # DEPENDENCYPART_ARC
(3,2),2.60395 # DEPENDENCYPART_ARC
(3,4),-1.34985 # DEPENDENCYPART_ARC
(3,5),-1.11981 # DEPENDENCYPART_ARC
(3,6),-2.09237 # DEPENDENCYPART_ARC
(3,7),-1.99645 # DEPENDENCYPART_ARC
(3,10),-2.49434 # DEPENDENCYPART_ARC
(5,1),-2.32968 # DEPENDENCYPART_ARC
(5,3),-2.11147 # DEPENDENCYPART_ARC
(5,6),-1.27709 # DEPENDENCYPART_ARC
(5,7),-2.18036 # DEPENDENCYPART_ARC
(6,1),-1.39292 # DEPENDENCYPART_ARC
(6,2),-1.47559 # DEPENDENCYPART_ARC
(6,3),0.603333 # DEPENDENCYPART_ARC
(6,4),1.68789 # DEPENDENCYPART_ARC
(6,5),1.3082 # DEPENDENCYPART_ARC
(6,7),0.701955 # DEPENDENCYPART_ARC
(6,8),-0.612527 # DEPENDENCYPART_ARC
(6,10),-2.09275 # DEPENDENCYPART_ARC
(6,11),-1.37546 # DEPENDENCYPART_ARC
(6,12),-0.958883 # DEPENDENCYPART_ARC
(6,13),-1.80084 # DEPENDENCYPART_ARC
(6,14),-1.83714 # DEPENDENCYPART_ARC
