# _root_ A míra exportního výkonu , vztahující objem vývozu na jednoho obyvatele , je žalostná :
#goldHeads=0,13,4,2,6,2,6,7,6,11,9,6,1,13,0,
#predictedHeads=2,13,4,2,6,2,6,7,6,11,9,6,0,13,0,
(0,1),-0.483488 # DEPENDENCYPART_ARC
(0,2),-1.63245 # DEPENDENCYPART_ARC
(0,4),-2.49198 # DEPENDENCYPART_ARC
(0,5),-1.58849 # DEPENDENCYPART_ARC
(0,12),-1.85835 # DEPENDENCYPART_ARC
(0,13),0.367505 # DEPENDENCYPART_ARC
(0,15),0.882633 # DEPENDENCYPART_ARC
(1,2),0.488128 # DEPENDENCYPART_ARC
(1,3),-0.742248 # DEPENDENCYPART_ARC
(1,4),-1.2414 # DEPENDENCYPART_ARC
(1,5),-0.586909 # DEPENDENCYPART_ARC
(1,6),-1.85155 # DEPENDENCYPART_ARC
(1,7),-2.36032 # DEPENDENCYPART_ARC
(1,8),-2.6178 # DEPENDENCYPART_ARC
(1,12),-0.298155 # DEPENDENCYPART_ARC
(1,13),-1.19251 # DEPENDENCYPART_ARC
(1,15),-1.31242 # DEPENDENCYPART_ARC
(2,1),-0.760987 # DEPENDENCYPART_ARC
(2,3),-1.11172 # DEPENDENCYPART_ARC
(2,4),0.816906 # DEPENDENCYPART_ARC
(2,5),-0.910481 # DEPENDENCYPART_ARC
(2,6),-0.287828 # DEPENDENCYPART_ARC
(2,7),-3.30202 # DEPENDENCYPART_ARC
(2,8),-0.698056 # DEPENDENCYPART_ARC
(2,9),-0.517399 # DEPENDENCYPART_ARC
(2,10),-3.585 # DEPENDENCYPART_ARC
(2,11),-4.74057 # DEPENDENCYPART_ARC
(2,12),-1.14466 # DEPENDENCYPART_ARC
(2,14),-1.58023 # DEPENDENCYPART_ARC
(3,1),-0.883014 # DEPENDENCYPART_ARC
(3,2),-2.16714 # DEPENDENCYPART_ARC
(3,4),-1.4451 # DEPENDENCYPART_ARC
(3,7),-3.10691 # DEPENDENCYPART_ARC
(4,1),-0.427823 # DEPENDENCYPART_ARC
(4,2),-2.94821 # DEPENDENCYPART_ARC
(4,3),2.84377 # DEPENDENCYPART_ARC
(4,5),-1.5067 # DEPENDENCYPART_ARC
(4,6),-2.78938 # DEPENDENCYPART_ARC
(4,7),-3.64868 # DEPENDENCYPART_ARC
(4,8),-1.12199 # DEPENDENCYPART_ARC
(4,9),-1.23637 # DEPENDENCYPART_ARC
(4,10),-4.27804 # DEPENDENCYPART_ARC
(4,13),-2.38599 # DEPENDENCYPART_ARC
(4,14),-4.48206 # DEPENDENCYPART_ARC
