# _root_ Významnou funkcionalistickou stavbu , která vyhořela v roce 1974 , rekonstruovala Národní galerie v letech 1987 až 1993 .
#goldHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,11,14,17,15,17,0,
#predictedHeads=3,3,11,6,6,3,6,7,8,6,0,13,11,13,14,17,15,17,0,
(0,1),-1.13386 # DEPENDENCYPART_ARC
(0,2),-1.59532 # DEPENDENCYPART_ARC
(0,3),-1.17231 # DEPENDENCYPART_ARC
(0,4),-0.859232 # DEPENDENCYPART_ARC
(0,5),-2.2086 # DEPENDENCYPART_ARC
(0,6),-0.268023 # DEPENDENCYPART_ARC
(0,10),-1.29993 # DEPENDENCYPART_ARC
(0,11),0.332212 # DEPENDENCYPART_ARC
(0,18),-2.03146 # DEPENDENCYPART_ARC
(0,19),1.75007 # DEPENDENCYPART_ARC
(1,2),-2.05323 # DEPENDENCYPART_ARC
(1,3),-2.64448 # DEPENDENCYPART_ARC
(1,4),-1.42321 # DEPENDENCYPART_ARC
(1,6),-2.86769 # DEPENDENCYPART_ARC
(1,7),-1.79252 # DEPENDENCYPART_ARC
(2,1),-1.29092 # DEPENDENCYPART_ARC
(2,6),-2.48943 # DEPENDENCYPART_ARC
(3,1),2.14321 # DEPENDENCYPART_ARC
(3,2),2.92264 # DEPENDENCYPART_ARC
(3,4),-1.19095 # DEPENDENCYPART_ARC
(3,5),-1.91066 # DEPENDENCYPART_ARC
(3,6),-0.908026 # DEPENDENCYPART_ARC
(3,7),-2.03692 # DEPENDENCYPART_ARC
(3,8),-2.93078 # DEPENDENCYPART_ARC
(3,9),-2.06293 # DEPENDENCYPART_ARC
(3,10),-1.49839 # DEPENDENCYPART_ARC
(3,11),-2.17586 # DEPENDENCYPART_ARC
(3,12),-2.81379 # DEPENDENCYPART_ARC
(4,1),-2.07922 # DEPENDENCYPART_ARC
(4,2),-1.99068 # DEPENDENCYPART_ARC
(4,3),-1.76301 # DEPENDENCYPART_ARC
(4,6),-1.18116 # DEPENDENCYPART_ARC
(4,7),-1.61371 # DEPENDENCYPART_ARC
(4,9),-2.10143 # DEPENDENCYPART_ARC
(4,10),-1.00383 # DEPENDENCYPART_ARC
(4,11),-2.6236 # DEPENDENCYPART_ARC
(5,4),-1.15604 # DEPENDENCYPART_ARC
(5,6),-1.22573 # DEPENDENCYPART_ARC
(5,8),-2.59496 # DEPENDENCYPART_ARC
(6,1),-2.66329 # DEPENDENCYPART_ARC
(6,2),-2.77751 # DEPENDENCYPART_ARC
(6,3),-0.999646 # DEPENDENCYPART_ARC
(6,4),0.476019 # DEPENDENCYPART_ARC
(6,5),1.76047 # DEPENDENCYPART_ARC
(6,7),1.20175 # DEPENDENCYPART_ARC
(6,8),-0.439983 # DEPENDENCYPART_ARC
(6,9),-0.231237 # DEPENDENCYPART_ARC
(6,10),-0.0569714 # DEPENDENCYPART_ARC
(6,11),-2.6698 # DEPENDENCYPART_ARC
(6,12),-2.0022 # DEPENDENCYPART_ARC
(6,13),-0.620992 # DEPENDENCYPART_ARC
(6,14),-0.680476 # DEPENDENCYPART_ARC
(6,15),-2.83417 # DEPENDENCYPART_ARC
(6,16),-1.2441 # DEPENDENCYPART_ARC
(6,17),-0.967549 # DEPENDENCYPART_ARC
(6,18),-1.73619 # DEPENDENCYPART_ARC
(6,19),-1.33433 # DEPENDENCYPART_ARC
(7,3),-3.72071 # DEPENDENCYPART_ARC
(7,4),-1.14479 # DEPENDENCYPART_ARC
(7,8),2.91442 # DEPENDENCYPART_ARC
(7,9),-1.60164 # DEPENDENCYPART_ARC
(7,10),-1.22544 # DEPENDENCYPART_ARC
(7,11),-2.61672 # DEPENDENCYPART_ARC
(8,1),-3.28337 # DEPENDENCYPART_ARC
(8,3),-3.54665 # DEPENDENCYPART_ARC
(8,5),-2.05815 # DEPENDENCYPART_ARC
(8,6),-3.77598 # DEPENDENCYPART_ARC
(8,7),-0.546891 # DEPENDENCYPART_ARC
(8,9),0.644555 # DEPENDENCYPART_ARC
(8,10),-1.36486 # DEPENDENCYPART_ARC
(8,11),-1.81377 # DEPENDENCYPART_ARC
(8,12),-3.1807 # DEPENDENCYPART_ARC
(8,13),-1.70901 # DEPENDENCYPART_ARC
(8,14),-1.46182 # DEPENDENCYPART_ARC
(8,15),-3.50334 # DEPENDENCYPART_ARC
(8,16),-1.25849 # DEPENDENCYPART_ARC
(8,17),-0.994792 # DEPENDENCYPART_ARC
(8,18),-1.58073 # DEPENDENCYPART_ARC
(9,2),-1.73018 # DEPENDENCYPART_ARC
(9,3),-1.73358 # DEPENDENCYPART_ARC
(9,4),-1.23466 # DEPENDENCYPART_ARC
(9,5),-0.830012 # DEPENDENCYPART_ARC
(9,7),-1.25614 # DEPENDENCYPART_ARC
(9,8),-1.22838 # DEPENDENCYPART_ARC
(9,10),-1.0257 # DEPENDENCYPART_ARC
(9,11),-1.78597 # DEPENDENCYPART_ARC
(9,13),-2.40263 # DEPENDENCYPART_ARC
(10,1),-2.36037 # DEPENDENCYPART_ARC
(10,3),-2.04 # DEPENDENCYPART_ARC
(10,4),-1.0048 # DEPENDENCYPART_ARC
(10,5),-1.57976 # DEPENDENCYPART_ARC
(10,6),-0.65484 # DEPENDENCYPART_ARC
(10,7),-0.963194 # DEPENDENCYPART_ARC
(10,8),-1.35027 # DEPENDENCYPART_ARC
(10,9),-1.08963 # DEPENDENCYPART_ARC
(10,11),-0.392264 # DEPENDENCYPART_ARC
(10,12),-1.46986 # DEPENDENCYPART_ARC
(10,13),-1.72434 # DEPENDENCYPART_ARC
(10,14),-1.28203 # DEPENDENCYPART_ARC
(10,15),-2.15858 # DEPENDENCYPART_ARC
(10,16),-1.58878 # DEPENDENCYPART_ARC
(10,17),-1.14267 # DEPENDENCYPART_ARC
(10,18),-2.00805 # DEPENDENCYPART_ARC
(11,1),-2.96824 # DEPENDENCYPART_ARC
(11,2),-3.07885 # DEPENDENCYPART_ARC
(11,3),-1.23205 # DEPENDENCYPART_ARC
(11,4),-0.608481 # DEPENDENCYPART_ARC
(11,5),-0.287718 # DEPENDENCYPART_ARC
(11,6),-1.94207 # DEPENDENCYPART_ARC
(11,7),-0.211042 # DEPENDENCYPART_ARC
(11,8),-0.528643 # DEPENDENCYPART_ARC
(11,9),-0.764782 # DEPENDENCYPART_ARC
(11,10),-0.499133 # DEPENDENCYPART_ARC
(11,12),0.363749 # DEPENDENCYPART_ARC
(11,13),1.4858 # DEPENDENCYPART_ARC
(11,14),0.0622636 # DEPENDENCYPART_ARC
(11,15),-1.2468 # DEPENDENCYPART_ARC
(11,16),-0.683381 # DEPENDENCYPART_ARC
(11,17),-0.380325 # DEPENDENCYPART_ARC
(11,18),-1.32993 # DEPENDENCYPART_ARC
(11,19),-1.07879 # DEPENDENCYPART_ARC
(12,9),-1.30653 # DEPENDENCYPART_ARC
(12,13),-1.67283 # DEPENDENCYPART_ARC
(12,14),-0.791525 # DEPENDENCYPART_ARC
(12,15),-1.94708 # DEPENDENCYPART_ARC
(12,16),-1.76286 # DEPENDENCYPART_ARC
(12,17),-1.11288 # DEPENDENCYPART_ARC
(13,1),-2.56388 # DEPENDENCYPART_ARC
(13,5),-0.893216 # DEPENDENCYPART_ARC
(13,7),-1.52743 # DEPENDENCYPART_ARC
(13,8),-4.38398 # DEPENDENCYPART_ARC
(13,9),-1.35822 # DEPENDENCYPART_ARC
(13,10),-1.32233 # DEPENDENCYPART_ARC
(13,11),-3.30624 # DEPENDENCYPART_ARC
(13,12),2.355 # DEPENDENCYPART_ARC
(13,14),0.557237 # DEPENDENCYPART_ARC
(13,15),-1.74026 # DEPENDENCYPART_ARC
(13,16),-1.21812 # DEPENDENCYPART_ARC
(13,17),-1.10407 # DEPENDENCYPART_ARC
(13,18),-1.46893 # DEPENDENCYPART_ARC
(13,19),-1.41158 # DEPENDENCYPART_ARC
(14,13),-3.28492 # DEPENDENCYPART_ARC
(14,15),2.80933 # DEPENDENCYPART_ARC
(14,16),-1.64501 # DEPENDENCYPART_ARC
(14,17),-1.68647 # DEPENDENCYPART_ARC
(15,12),-3.62972 # DEPENDENCYPART_ARC
(15,13),-2.79148 # DEPENDENCYPART_ARC
(15,14),-1.00894 # DEPENDENCYPART_ARC
(15,16),0.176226 # DEPENDENCYPART_ARC
(15,17),-0.647951 # DEPENDENCYPART_ARC
(15,18),-1.10501 # DEPENDENCYPART_ARC
(15,19),-1.20804 # DEPENDENCYPART_ARC
(16,12),-1.72466 # DEPENDENCYPART_ARC
(16,13),-1.77802 # DEPENDENCYPART_ARC
(16,14),-1.52902 # DEPENDENCYPART_ARC
(16,15),-1.25343 # DEPENDENCYPART_ARC
