# _root_ Za karty bude chybět Novotný a o tom , zda nastoupí Chovanec , rozhodne lékař až po dnešním tréninku .
#goldHeads=4,1,4,6,4,0,14,7,10,8,10,11,10,6,14,19,14,19,17,0,
#predictedHeads=4,1,4,6,4,0,6,7,10,8,10,11,10,0,14,19,14,19,17,0,
(0,1),-0.826089 # DEPENDENCYPART_ARC
(0,2),-1.70734 # DEPENDENCYPART_ARC
(0,3),-0.502433 # DEPENDENCYPART_ARC
(0,4),-1.27186 # DEPENDENCYPART_ARC
(0,6),-0.480245 # DEPENDENCYPART_ARC
(0,7),-1.76985 # DEPENDENCYPART_ARC
(0,8),-2.524 # DEPENDENCYPART_ARC
(0,9),-0.947351 # DEPENDENCYPART_ARC
(0,10),-1.36968 # DEPENDENCYPART_ARC
(0,11),-1.27167 # DEPENDENCYPART_ARC
(0,13),-1.29673 # DEPENDENCYPART_ARC
(0,14),0.124465 # DEPENDENCYPART_ARC
(0,20),2.293 # DEPENDENCYPART_ARC
(1,2),2.83783 # DEPENDENCYPART_ARC
(1,5),-3.90583 # DEPENDENCYPART_ARC
(2,1),-1.20159 # DEPENDENCYPART_ARC
(2,3),-1.31933 # DEPENDENCYPART_ARC
(2,4),-1.11792 # DEPENDENCYPART_ARC
(2,6),-0.786016 # DEPENDENCYPART_ARC
(3,1),-0.373523 # DEPENDENCYPART_ARC
(3,2),-2.07553 # DEPENDENCYPART_ARC
(3,4),0.281114 # DEPENDENCYPART_ARC
(3,5),-1.68645 # DEPENDENCYPART_ARC
(3,6),-1.13941 # DEPENDENCYPART_ARC
(3,7),-1.67206 # DEPENDENCYPART_ARC
(3,8),-3.24976 # DEPENDENCYPART_ARC
(3,9),-1.55642 # DEPENDENCYPART_ARC
(3,10),-1.68459 # DEPENDENCYPART_ARC
(3,13),-1.05675 # DEPENDENCYPART_ARC
(3,16),-2.09252 # DEPENDENCYPART_ARC
(4,1),1.08263 # DEPENDENCYPART_ARC
(4,2),0.991541 # DEPENDENCYPART_ARC
(4,3),3.18032 # DEPENDENCYPART_ARC
(4,5),-0.208966 # DEPENDENCYPART_ARC
(4,6),-0.138579 # DEPENDENCYPART_ARC
(4,7),-0.583806 # DEPENDENCYPART_ARC
(4,8),-1.02546 # DEPENDENCYPART_ARC
(4,9),-1.0032 # DEPENDENCYPART_ARC
(4,10),-0.687208 # DEPENDENCYPART_ARC
(4,11),-2.54621 # DEPENDENCYPART_ARC
(4,13),-0.615266 # DEPENDENCYPART_ARC
(4,16),-1.77387 # DEPENDENCYPART_ARC
(5,1),-1.13914 # DEPENDENCYPART_ARC
(5,4),-1.95482 # DEPENDENCYPART_ARC
(5,6),-1.09747 # DEPENDENCYPART_ARC
(5,7),-2.29205 # DEPENDENCYPART_ARC
(6,1),-0.261675 # DEPENDENCYPART_ARC
(6,2),-1.01026 # DEPENDENCYPART_ARC
(6,3),0.331688 # DEPENDENCYPART_ARC
(6,4),0.822112 # DEPENDENCYPART_ARC
(6,5),-0.294928 # DEPENDENCYPART_ARC
(6,7),0.744607 # DEPENDENCYPART_ARC
(6,8),-0.782982 # DEPENDENCYPART_ARC
(6,9),-0.717971 # DEPENDENCYPART_ARC
(6,10),-0.55069 # DEPENDENCYPART_ARC
(6,11),-0.289045 # DEPENDENCYPART_ARC
(6,12),-1.47949 # DEPENDENCYPART_ARC
(6,13),-0.459386 # DEPENDENCYPART_ARC
(6,14),-1.89433 # DEPENDENCYPART_ARC
(6,15),-2.55404 # DEPENDENCYPART_ARC
(6,17),-1.51002 # DEPENDENCYPART_ARC
(7,8),1.85208 # DEPENDENCYPART_ARC
(7,9),-0.787133 # DEPENDENCYPART_ARC
(7,10),-1.10085 # DEPENDENCYPART_ARC
(7,11),-1.61351 # DEPENDENCYPART_ARC
(7,12),-3.36405 # DEPENDENCYPART_ARC
(8,3),-1.21479 # DEPENDENCYPART_ARC
(8,4),-0.720986 # DEPENDENCYPART_ARC
(8,5),-1.24013 # DEPENDENCYPART_ARC
(8,6),-0.357802 # DEPENDENCYPART_ARC
(8,9),-0.704706 # DEPENDENCYPART_ARC
(8,10),-0.245424 # DEPENDENCYPART_ARC
(8,11),-1.3807 # DEPENDENCYPART_ARC
(8,12),-1.87085 # DEPENDENCYPART_ARC
(8,13),-0.995659 # DEPENDENCYPART_ARC
(8,14),-2.00892 # DEPENDENCYPART_ARC
(8,17),-1.70178 # DEPENDENCYPART_ARC
(9,1),-1.81383 # DEPENDENCYPART_ARC
(9,3),-1.43526 # DEPENDENCYPART_ARC
(9,4),-1.31669 # DEPENDENCYPART_ARC
(9,5),-1.56372 # DEPENDENCYPART_ARC
(9,6),-0.771796 # DEPENDENCYPART_ARC
(9,7),-1.43561 # DEPENDENCYPART_ARC
(9,8),-1.18838 # DEPENDENCYPART_ARC
(9,11),-1.20976 # DEPENDENCYPART_ARC
(9,12),-2.07404 # DEPENDENCYPART_ARC
(9,14),-2.11437 # DEPENDENCYPART_ARC
(10,3),-0.926703 # DEPENDENCYPART_ARC
(10,5),-2.12422 # DEPENDENCYPART_ARC
(10,6),-1.25587 # DEPENDENCYPART_ARC
(10,7),-1.26269 # DEPENDENCYPART_ARC
(10,9),0.742076 # DEPENDENCYPART_ARC
(10,11),1.44933 # DEPENDENCYPART_ARC
(10,12),-0.679377 # DEPENDENCYPART_ARC
(10,13),0.629649 # DEPENDENCYPART_ARC
(10,14),-0.428854 # DEPENDENCYPART_ARC
(10,15),-2.28992 # DEPENDENCYPART_ARC
(10,17),-1.61034 # DEPENDENCYPART_ARC
(10,20),-1.13521 # DEPENDENCYPART_ARC
(11,1),-1.14557 # DEPENDENCYPART_ARC
(11,3),-2.92409 # DEPENDENCYPART_ARC
(11,4),-0.954017 # DEPENDENCYPART_ARC
(11,5),-1.41633 # DEPENDENCYPART_ARC
(11,7),-0.65432 # DEPENDENCYPART_ARC
(11,8),-2.81178 # DEPENDENCYPART_ARC
(11,9),-0.550076 # DEPENDENCYPART_ARC
(11,10),-0.364355 # DEPENDENCYPART_ARC
(11,12),1.46437 # DEPENDENCYPART_ARC
(11,13),-0.338084 # DEPENDENCYPART_ARC
(11,14),-1.86849 # DEPENDENCYPART_ARC
