# _root_ " I když se Taliban dostal těsně ke Kábulu , nevěříme , že na něj zaútočí .
#goldHeads=3,3,11,6,6,3,6,7,8,3,0,13,11,16,14,13,0,
#predictedHeads=11,3,11,6,6,3,6,6,8,3,0,13,11,16,14,13,0,
(0,1),-0.649366 # DEPENDENCYPART_ARC
(0,2),-0.730344 # DEPENDENCYPART_ARC
(0,3),-1.06067 # DEPENDENCYPART_ARC
(0,5),-1.71923 # DEPENDENCYPART_ARC
(0,6),-0.472595 # DEPENDENCYPART_ARC
(0,7),-1.50168 # DEPENDENCYPART_ARC
(0,8),-1.25176 # DEPENDENCYPART_ARC
(0,10),-1.40171 # DEPENDENCYPART_ARC
(0,11),-0.262398 # DEPENDENCYPART_ARC
(0,12),-1.20617 # DEPENDENCYPART_ARC
(0,13),-2.42997 # DEPENDENCYPART_ARC
(0,16),-1.26061 # DEPENDENCYPART_ARC
(0,17),2.14237 # DEPENDENCYPART_ARC
(1,2),-2.10685 # DEPENDENCYPART_ARC
(1,3),-2.79669 # DEPENDENCYPART_ARC
(2,1),-0.200317 # DEPENDENCYPART_ARC
(2,3),-0.506925 # DEPENDENCYPART_ARC
(2,4),-1.7066 # DEPENDENCYPART_ARC
(2,5),-2.32408 # DEPENDENCYPART_ARC
(2,6),-0.383767 # DEPENDENCYPART_ARC
(2,7),-1.91856 # DEPENDENCYPART_ARC
(2,8),-1.68919 # DEPENDENCYPART_ARC
(2,9),-2.60792 # DEPENDENCYPART_ARC
(2,10),-0.711136 # DEPENDENCYPART_ARC
(2,11),-1.87819 # DEPENDENCYPART_ARC
(2,12),-1.34575 # DEPENDENCYPART_ARC
(2,13),-2.72262 # DEPENDENCYPART_ARC
(2,14),-2.32537 # DEPENDENCYPART_ARC
(2,16),-2.62034 # DEPENDENCYPART_ARC
(3,1),-0.380735 # DEPENDENCYPART_ARC
(3,2),1.10907 # DEPENDENCYPART_ARC
(3,5),-1.10005 # DEPENDENCYPART_ARC
(3,6),1.36639 # DEPENDENCYPART_ARC
(3,7),-1.35246 # DEPENDENCYPART_ARC
(3,9),-2.41238 # DEPENDENCYPART_ARC
(3,10),1.00712 # DEPENDENCYPART_ARC
(3,11),-0.485944 # DEPENDENCYPART_ARC
(3,12),0.114522 # DEPENDENCYPART_ARC
(3,13),-2.19236 # DEPENDENCYPART_ARC
(3,14),-2.21561 # DEPENDENCYPART_ARC
(3,16),-1.47215 # DEPENDENCYPART_ARC
(3,17),-1.23392 # DEPENDENCYPART_ARC
(5,1),-1.72464 # DEPENDENCYPART_ARC
(5,2),-0.895831 # DEPENDENCYPART_ARC
(5,3),-0.475795 # DEPENDENCYPART_ARC
(5,4),-2.3423 # DEPENDENCYPART_ARC
(5,6),-2.15069 # DEPENDENCYPART_ARC
(5,7),-1.7183 # DEPENDENCYPART_ARC
(5,8),-1.66161 # DEPENDENCYPART_ARC
(5,13),-1.83421 # DEPENDENCYPART_ARC
(6,1),-0.275421 # DEPENDENCYPART_ARC
(6,2),-0.942014 # DEPENDENCYPART_ARC
(6,3),-0.291566 # DEPENDENCYPART_ARC
(6,4),1.63441 # DEPENDENCYPART_ARC
(6,5),0.99687 # DEPENDENCYPART_ARC
(6,7),0.589846 # DEPENDENCYPART_ARC
(6,8),0.885451 # DEPENDENCYPART_ARC
(6,9),-0.00763342 # DEPENDENCYPART_ARC
(6,10),-0.0069676 # DEPENDENCYPART_ARC
(6,11),-1.38741 # DEPENDENCYPART_ARC
(6,12),-0.67726 # DEPENDENCYPART_ARC
(6,13),-0.664495 # DEPENDENCYPART_ARC
(6,14),-1.50365 # DEPENDENCYPART_ARC
(6,16),-2.01782 # DEPENDENCYPART_ARC
(7,1),-1.56488 # DEPENDENCYPART_ARC
(7,2),-1.12234 # DEPENDENCYPART_ARC
(7,3),-1.01347 # DEPENDENCYPART_ARC
(7,5),-2.15733 # DEPENDENCYPART_ARC
(7,6),-1.65577 # DEPENDENCYPART_ARC
(7,8),-0.473361 # DEPENDENCYPART_ARC
(7,9),-1.67164 # DEPENDENCYPART_ARC
(7,10),-1.20215 # DEPENDENCYPART_ARC
