# _root_ Kdo má nad žáky dozor , nese odpovědnost i za eventuální zranění žáka nebo za škodu , která by žákovi vznikla .
#goldHeads=2,7,5,3,2,2,0,7,12,14,12,10,12,8,14,15,21,21,21,21,16,0,
#predictedHeads=2,7,2,3,2,2,0,7,12,14,12,10,12,7,14,15,21,21,21,21,16,0,
(0,1),-1.74852 # DEPENDENCYPART_ARC
(0,2),-0.499717 # DEPENDENCYPART_ARC
(0,3),-1.22145 # DEPENDENCYPART_ARC
(0,6),-1.11275 # DEPENDENCYPART_ARC
(0,7),0.540462 # DEPENDENCYPART_ARC
(0,10),-1.61631 # DEPENDENCYPART_ARC
(0,14),-0.984304 # DEPENDENCYPART_ARC
(0,17),-1.42254 # DEPENDENCYPART_ARC
(0,21),-1.41764 # DEPENDENCYPART_ARC
(0,22),1.94505 # DEPENDENCYPART_ARC
(1,2),-0.830139 # DEPENDENCYPART_ARC
(1,4),-1.7707 # DEPENDENCYPART_ARC
(1,5),-1.81461 # DEPENDENCYPART_ARC
(2,1),1.26267 # DEPENDENCYPART_ARC
(2,3),1.29539 # DEPENDENCYPART_ARC
(2,4),-0.159909 # DEPENDENCYPART_ARC
(2,5),1.26741 # DEPENDENCYPART_ARC
(2,6),0.293236 # DEPENDENCYPART_ARC
(2,7),-1.73241 # DEPENDENCYPART_ARC
(2,8),-0.609692 # DEPENDENCYPART_ARC
(2,9),-0.589307 # DEPENDENCYPART_ARC
(2,10),-1.01305 # DEPENDENCYPART_ARC
(2,11),-3.21417 # DEPENDENCYPART_ARC
(2,12),-1.0409 # DEPENDENCYPART_ARC
(2,13),-2.68939 # DEPENDENCYPART_ARC
(2,14),-0.27364 # DEPENDENCYPART_ARC
(2,15),-1.52994 # DEPENDENCYPART_ARC
(2,16),-1.88702 # DEPENDENCYPART_ARC
(2,17),-0.780262 # DEPENDENCYPART_ARC
(2,20),-3.13478 # DEPENDENCYPART_ARC
(3,4),2.40305 # DEPENDENCYPART_ARC
(3,5),-1.71473 # DEPENDENCYPART_ARC
(3,6),-1.02037 # DEPENDENCYPART_ARC
(4,2),-1.76651 # DEPENDENCYPART_ARC
(4,3),-0.688303 # DEPENDENCYPART_ARC
(4,5),-0.785516 # DEPENDENCYPART_ARC
(4,6),-1.30098 # DEPENDENCYPART_ARC
(4,7),-2.02765 # DEPENDENCYPART_ARC
(4,8),-3.57 # DEPENDENCYPART_ARC
(4,9),-0.941655 # DEPENDENCYPART_ARC
(4,10),-2.07237 # DEPENDENCYPART_ARC
(4,14),-1.09984 # DEPENDENCYPART_ARC
(5,2),-1.57538 # DEPENDENCYPART_ARC
(5,3),-0.545097 # DEPENDENCYPART_ARC
(5,4),-1.67406 # DEPENDENCYPART_ARC
(5,6),-1.26023 # DEPENDENCYPART_ARC
(5,7),-1.72249 # DEPENDENCYPART_ARC
(5,8),-3.07383 # DEPENDENCYPART_ARC
(5,21),-3.01357 # DEPENDENCYPART_ARC
(6,2),-0.707058 # DEPENDENCYPART_ARC
(6,3),-0.794053 # DEPENDENCYPART_ARC
(6,4),-1.35373 # DEPENDENCYPART_ARC
(6,5),-1.38041 # DEPENDENCYPART_ARC
(6,7),-0.78637 # DEPENDENCYPART_ARC
(6,8),-1.42333 # DEPENDENCYPART_ARC
(6,10),-1.61503 # DEPENDENCYPART_ARC
(7,1),-0.799565 # DEPENDENCYPART_ARC
(7,2),-1.55619 # DEPENDENCYPART_ARC
(7,3),-0.478617 # DEPENDENCYPART_ARC
(7,4),-0.867012 # DEPENDENCYPART_ARC
(7,5),-1.08415 # DEPENDENCYPART_ARC
(7,6),-0.634348 # DEPENDENCYPART_ARC
(7,8),1.36488 # DEPENDENCYPART_ARC
(7,9),-0.631313 # DEPENDENCYPART_ARC
(7,10),-0.198936 # DEPENDENCYPART_ARC
(7,11),-2.33296 # DEPENDENCYPART_ARC
(7,12),-0.464183 # DEPENDENCYPART_ARC
(7,13),-2.68124 # DEPENDENCYPART_ARC
(7,14),-0.504985 # DEPENDENCYPART_ARC
(7,15),-0.943139 # DEPENDENCYPART_ARC
(7,16),-1.35953 # DEPENDENCYPART_ARC
(7,17),-0.90606 # DEPENDENCYPART_ARC
(7,20),-2.80911 # DEPENDENCYPART_ARC
(7,21),-3.7068 # DEPENDENCYPART_ARC
(8,3),-0.734761 # DEPENDENCYPART_ARC
