# _root_ Za současného stavu , kdy se léčebna potýká s obrovskými finančními potížemi , by ráda znovu obnovila svoji farmu .
#goldHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,17,17,0,19,17,0,
#predictedHeads=17,3,1,8,8,8,8,3,8,12,12,9,8,17,8,17,0,19,17,0,
(0,1),-0.997659 # DEPENDENCYPART_ARC
(0,3),-1.64192 # DEPENDENCYPART_ARC
(0,4),-0.798529 # DEPENDENCYPART_ARC
(0,5),-1.30576 # DEPENDENCYPART_ARC
(0,8),-0.01882 # DEPENDENCYPART_ARC
(0,13),-1.44982 # DEPENDENCYPART_ARC
(0,15),-1.84723 # DEPENDENCYPART_ARC
(0,17),-1.16878 # DEPENDENCYPART_ARC
(0,20),1.96002 # DEPENDENCYPART_ARC
(1,2),-0.173607 # DEPENDENCYPART_ARC
(1,3),1.37835 # DEPENDENCYPART_ARC
(1,4),-1.05676 # DEPENDENCYPART_ARC
(1,5),-1.60254 # DEPENDENCYPART_ARC
(1,7),-3.0325 # DEPENDENCYPART_ARC
(2,3),-1.85032 # DEPENDENCYPART_ARC
(3,1),-1.4087 # DEPENDENCYPART_ARC
(3,2),2.63144 # DEPENDENCYPART_ARC
(3,4),-1.17244 # DEPENDENCYPART_ARC
(3,5),-1.39538 # DEPENDENCYPART_ARC
(3,7),-2.12455 # DEPENDENCYPART_ARC
(3,8),-1.35527 # DEPENDENCYPART_ARC
(3,10),-4.40227 # DEPENDENCYPART_ARC
(3,11),-4.38027 # DEPENDENCYPART_ARC
(3,13),-1.44198 # DEPENDENCYPART_ARC
(3,15),-3.60288 # DEPENDENCYPART_ARC
(3,17),-3.22898 # DEPENDENCYPART_ARC
(4,1),-1.18355 # DEPENDENCYPART_ARC
(4,2),-1.46246 # DEPENDENCYPART_ARC
(4,3),-1.18918 # DEPENDENCYPART_ARC
(4,5),-1.14267 # DEPENDENCYPART_ARC
(4,7),-1.75734 # DEPENDENCYPART_ARC
(4,8),-1.28928 # DEPENDENCYPART_ARC
(4,9),-1.59865 # DEPENDENCYPART_ARC
(4,10),-2.18201 # DEPENDENCYPART_ARC
(4,12),-1.85891 # DEPENDENCYPART_ARC
(4,13),-0.780898 # DEPENDENCYPART_ARC
(4,16),-2.16591 # DEPENDENCYPART_ARC
(4,17),-3.34317 # DEPENDENCYPART_ARC
(4,19),-2.5053 # DEPENDENCYPART_ARC
(5,1),-1.73891 # DEPENDENCYPART_ARC
(5,2),-1.87333 # DEPENDENCYPART_ARC
(5,3),-1.40663 # DEPENDENCYPART_ARC
(5,4),-0.999956 # DEPENDENCYPART_ARC
(5,7),-1.85723 # DEPENDENCYPART_ARC
(5,8),-1.59655 # DEPENDENCYPART_ARC
(5,9),-1.95891 # DEPENDENCYPART_ARC
(5,12),-2.93011 # DEPENDENCYPART_ARC
(5,13),-1.17641 # DEPENDENCYPART_ARC
(5,16),-2.23884 # DEPENDENCYPART_ARC
(5,17),-2.20944 # DEPENDENCYPART_ARC
(7,1),-1.70283 # DEPENDENCYPART_ARC
(7,2),-3.08928 # DEPENDENCYPART_ARC
(7,3),-4.31658 # DEPENDENCYPART_ARC
(7,4),-1.344 # DEPENDENCYPART_ARC
(7,5),-0.850894 # DEPENDENCYPART_ARC
(7,6),-1.78674 # DEPENDENCYPART_ARC
(7,8),-1.49857 # DEPENDENCYPART_ARC
(7,9),-0.945134 # DEPENDENCYPART_ARC
(7,10),-2.1428 # DEPENDENCYPART_ARC
(7,11),-2.21392 # DEPENDENCYPART_ARC
(7,12),-3.2644 # DEPENDENCYPART_ARC
(7,15),-3.00452 # DEPENDENCYPART_ARC
(8,1),0.292354 # DEPENDENCYPART_ARC
(8,2),-3.92856 # DEPENDENCYPART_ARC
(8,3),-3.01081 # DEPENDENCYPART_ARC
(8,4),0.147585 # DEPENDENCYPART_ARC
(8,5),0.937069 # DEPENDENCYPART_ARC
(8,6),1.38589 # DEPENDENCYPART_ARC
(8,7),1.65376 # DEPENDENCYPART_ARC
(8,9),1.2397 # DEPENDENCYPART_ARC
(8,10),-1.98024 # DEPENDENCYPART_ARC
(8,11),-2.747 # DEPENDENCYPART_ARC
(8,12),0.195142 # DEPENDENCYPART_ARC
(8,13),-0.246885 # DEPENDENCYPART_ARC
(8,15),-0.462394 # DEPENDENCYPART_ARC
(8,16),-1.41224 # DEPENDENCYPART_ARC
(8,17),-2.79095 # DEPENDENCYPART_ARC
(8,19),-1.12246 # DEPENDENCYPART_ARC
(9,3),-3.06943 # DEPENDENCYPART_ARC
(9,4),-1.03984 # DEPENDENCYPART_ARC
(9,7),-2.66799 # DEPENDENCYPART_ARC
(9,10),-0.328834 # DEPENDENCYPART_ARC
(9,11),-1.22065 # DEPENDENCYPART_ARC
(9,12),1.59778 # DEPENDENCYPART_ARC
(9,13),-0.617301 # DEPENDENCYPART_ARC
(9,16),-1.91222 # DEPENDENCYPART_ARC
(9,17),-3.19164 # DEPENDENCYPART_ARC
(9,19),-2.38534 # DEPENDENCYPART_ARC
(10,5),-1.77246 # DEPENDENCYPART_ARC
(10,6),-2.30901 # DEPENDENCYPART_ARC
(10,8),-1.42024 # DEPENDENCYPART_ARC
(10,9),-1.17585 # DEPENDENCYPART_ARC
(10,11),-2.16387 # DEPENDENCYPART_ARC
(10,12),-1.61885 # DEPENDENCYPART_ARC
(10,13),-1.01218 # DEPENDENCYPART_ARC
(10,16),-1.66604 # DEPENDENCYPART_ARC
(10,17),-3.17111 # DEPENDENCYPART_ARC
(10,19),-4.18042 # DEPENDENCYPART_ARC
(11,1),-1.84539 # DEPENDENCYPART_ARC
(11,6),-2.3008 # DEPENDENCYPART_ARC
(11,7),-3.73472 # DEPENDENCYPART_ARC
(11,9),-1.40112 # DEPENDENCYPART_ARC
(11,10),-2.00952 # DEPENDENCYPART_ARC
(11,17),-3.20075 # DEPENDENCYPART_ARC
(12,1),-1.00955 # DEPENDENCYPART_ARC
(12,2),-4.49271 # DEPENDENCYPART_ARC
(12,4),-0.647865 # DEPENDENCYPART_ARC
(12,5),-1.18402 # DEPENDENCYPART_ARC
(12,6),-3.80534 # DEPENDENCYPART_ARC
