# _root_ zeptali jsme se JÁNA LANGOŠE , bývalého ministra vnitra ČSFR : Jaký je váš názor na policejní zákrok , k němuž došlo minulou středu na fotbalovém stadiónu Slovanu v Bratislavě ?
#goldHeads=0,1,1,5,6,1,8,6,8,8,13,13,1,15,13,15,18,16,22,22,20,18,24,22,22,27,25,27,27,29,0,
#predictedHeads=0,1,1,5,6,1,8,6,8,8,0,13,11,15,13,15,18,16,22,22,20,18,24,22,24,27,25,27,27,29,0,
(0,1),-0.146038 # DEPENDENCYPART_ARC
(0,2),-1.11293 # DEPENDENCYPART_ARC
(0,6),-1.03897 # DEPENDENCYPART_ARC
(0,11),-0.523949 # DEPENDENCYPART_ARC
(0,12),-2.8597 # DEPENDENCYPART_ARC
(0,13),-1.35334 # DEPENDENCYPART_ARC
(0,19),-1.68151 # DEPENDENCYPART_ARC
(0,31),0.701954 # DEPENDENCYPART_ARC
(1,2),2.67578 # DEPENDENCYPART_ARC
(1,3),0.896964 # DEPENDENCYPART_ARC
(1,4),-1.86882 # DEPENDENCYPART_ARC
(1,5),-1.72998 # DEPENDENCYPART_ARC
(1,6),-0.175619 # DEPENDENCYPART_ARC
(1,7),-3.43151 # DEPENDENCYPART_ARC
(1,8),-2.38692 # DEPENDENCYPART_ARC
(1,9),-2.0955 # DEPENDENCYPART_ARC
(1,10),-2.8841 # DEPENDENCYPART_ARC
(1,11),-0.854259 # DEPENDENCYPART_ARC
(1,15),-1.66648 # DEPENDENCYPART_ARC
(1,16),-1.24819 # DEPENDENCYPART_ARC
(1,18),-1.24686 # DEPENDENCYPART_ARC
(1,19),-0.56359 # DEPENDENCYPART_ARC
(1,20),-1.55606 # DEPENDENCYPART_ARC
(1,24),-2.21937 # DEPENDENCYPART_ARC
(1,25),-1.70843 # DEPENDENCYPART_ARC
(1,29),-2.28835 # DEPENDENCYPART_ARC
(1,31),-0.84887 # DEPENDENCYPART_ARC
(2,1),-2.00488 # DEPENDENCYPART_ARC
(2,3),-0.796215 # DEPENDENCYPART_ARC
(2,4),-2.81737 # DEPENDENCYPART_ARC
(2,5),-3.29826 # DEPENDENCYPART_ARC
(2,6),-1.19857 # DEPENDENCYPART_ARC
(2,7),-4.60456 # DEPENDENCYPART_ARC
(2,8),-3.95181 # DEPENDENCYPART_ARC
(2,10),-4.51698 # DEPENDENCYPART_ARC
(4,1),-4.14466 # DEPENDENCYPART_ARC
(4,2),-2.16962 # DEPENDENCYPART_ARC
(4,3),-3.23842 # DEPENDENCYPART_ARC
(4,5),-1.31271 # DEPENDENCYPART_ARC
(4,6),-1.42215 # DEPENDENCYPART_ARC
(4,7),-2.38265 # DEPENDENCYPART_ARC
(4,8),-2.34686 # DEPENDENCYPART_ARC
(4,9),-1.76804 # DEPENDENCYPART_ARC
(4,10),-1.93291 # DEPENDENCYPART_ARC
(4,13),-2.22185 # DEPENDENCYPART_ARC
(4,16),-2.54745 # DEPENDENCYPART_ARC
(4,22),-2.31677 # DEPENDENCYPART_ARC
(5,1),-3.90176 # DEPENDENCYPART_ARC
(5,2),-1.91136 # DEPENDENCYPART_ARC
(5,3),-3.93505 # DEPENDENCYPART_ARC
(5,4),4.57698 # DEPENDENCYPART_ARC
(5,6),-1.36191 # DEPENDENCYPART_ARC
(5,7),-0.953448 # DEPENDENCYPART_ARC
(5,8),-1.90976 # DEPENDENCYPART_ARC
(5,9),-1.64049 # DEPENDENCYPART_ARC
(5,10),-0.757544 # DEPENDENCYPART_ARC
(5,13),-1.99166 # DEPENDENCYPART_ARC
(5,22),-1.58283 # DEPENDENCYPART_ARC
(6,1),-1.03058 # DEPENDENCYPART_ARC
(6,2),-0.633747 # DEPENDENCYPART_ARC
(6,3),-1.28938 # DEPENDENCYPART_ARC
(6,4),-0.92016 # DEPENDENCYPART_ARC
(6,5),-0.072566 # DEPENDENCYPART_ARC
(6,7),-1.27915 # DEPENDENCYPART_ARC
(6,8),-0.800714 # DEPENDENCYPART_ARC
(6,9),-1.37683 # DEPENDENCYPART_ARC
(6,10),-1.27213 # DEPENDENCYPART_ARC
(6,11),-1.08742 # DEPENDENCYPART_ARC
(6,13),-1.72985 # DEPENDENCYPART_ARC
(6,18),-2.51438 # DEPENDENCYPART_ARC
(6,19),-0.635279 # DEPENDENCYPART_ARC
(7,3),-2.40108 # DEPENDENCYPART_ARC
