# _root_ Ať už podnět ke změnám přišel zvenčí nebo ne , určitě vzbuzuje naději , že povede ke zchlazení výbušné atmosféry v zemi .
#goldHeads=8,1,6,3,4,1,6,10,8,0,12,10,12,15,13,15,16,17,20,18,20,21,0,
#predictedHeads=6,3,6,3,4,0,8,6,8,12,12,8,12,15,13,15,16,17,20,18,20,21,0,
(0,1),-0.392352 # DEPENDENCYPART_ARC
(0,2),-0.998945 # DEPENDENCYPART_ARC
(0,3),-0.690431 # DEPENDENCYPART_ARC
(0,4),-0.598017 # DEPENDENCYPART_ARC
(0,6),-0.0183479 # DEPENDENCYPART_ARC
(0,7),-1.49023 # DEPENDENCYPART_ARC
(0,8),-0.607005 # DEPENDENCYPART_ARC
(0,9),-1.43751 # DEPENDENCYPART_ARC
(0,10),-1.15263 # DEPENDENCYPART_ARC
(0,11),-1.60255 # DEPENDENCYPART_ARC
(0,12),-0.625864 # DEPENDENCYPART_ARC
(0,13),-1.71268 # DEPENDENCYPART_ARC
(0,14),-1.25404 # DEPENDENCYPART_ARC
(0,15),-2.11147 # DEPENDENCYPART_ARC
(0,16),-1.32392 # DEPENDENCYPART_ARC
(0,23),2.1738 # DEPENDENCYPART_ARC
(1,2),-0.924677 # DEPENDENCYPART_ARC
(1,3),-1.74939 # DEPENDENCYPART_ARC
(1,8),-1.16526 # DEPENDENCYPART_ARC
(1,10),-0.954524 # DEPENDENCYPART_ARC
(2,1),-0.450143 # DEPENDENCYPART_ARC
(2,3),-1.20414 # DEPENDENCYPART_ARC
(2,4),-1.77521 # DEPENDENCYPART_ARC
(3,1),-0.411298 # DEPENDENCYPART_ARC
(3,2),0.0418877 # DEPENDENCYPART_ARC
(3,4),1.3959 # DEPENDENCYPART_ARC
(3,5),-1.82272 # DEPENDENCYPART_ARC
(3,6),-1.42283 # DEPENDENCYPART_ARC
(3,7),-1.08178 # DEPENDENCYPART_ARC
(3,8),-1.12285 # DEPENDENCYPART_ARC
(3,9),-1.26717 # DEPENDENCYPART_ARC
(3,12),-2.73569 # DEPENDENCYPART_ARC
(3,15),-1.81121 # DEPENDENCYPART_ARC
(4,3),-1.28297 # DEPENDENCYPART_ARC
(4,5),3.64563 # DEPENDENCYPART_ARC
(4,7),-1.63614 # DEPENDENCYPART_ARC
(4,8),-1.29541 # DEPENDENCYPART_ARC
(5,1),-1.06348 # DEPENDENCYPART_ARC
(5,2),-0.932085 # DEPENDENCYPART_ARC
(5,3),-2.96984 # DEPENDENCYPART_ARC
(5,4),-0.719054 # DEPENDENCYPART_ARC
(5,6),-1.5927 # DEPENDENCYPART_ARC
(5,7),-1.62134 # DEPENDENCYPART_ARC
(6,1),-0.383247 # DEPENDENCYPART_ARC
(6,2),-0.106352 # DEPENDENCYPART_ARC
(6,3),1.04934 # DEPENDENCYPART_ARC
(6,4),-0.107553 # DEPENDENCYPART_ARC
(6,5),0.0932372 # DEPENDENCYPART_ARC
(6,7),0.660203 # DEPENDENCYPART_ARC
(6,8),-0.105076 # DEPENDENCYPART_ARC
(6,9),-0.750979 # DEPENDENCYPART_ARC
(6,10),-0.396103 # DEPENDENCYPART_ARC
(6,11),-0.812994 # DEPENDENCYPART_ARC
(6,12),-1.45204 # DEPENDENCYPART_ARC
(6,13),-0.655375 # DEPENDENCYPART_ARC
(6,14),-0.564374 # DEPENDENCYPART_ARC
(6,15),-0.883249 # DEPENDENCYPART_ARC
(6,16),-2.6088 # DEPENDENCYPART_ARC
(6,20),-3.87417 # DEPENDENCYPART_ARC
(6,21),-1.84683 # DEPENDENCYPART_ARC
(7,1),-1.57662 # DEPENDENCYPART_ARC
(7,2),-1.67812 # DEPENDENCYPART_ARC
(7,4),-1.60386 # DEPENDENCYPART_ARC
(7,6),-1.25109 # DEPENDENCYPART_ARC
(7,8),-0.743904 # DEPENDENCYPART_ARC
(7,9),-1.87583 # DEPENDENCYPART_ARC
(7,13),-2.78992 # DEPENDENCYPART_ARC
(8,1),-0.936048 # DEPENDENCYPART_ARC
(8,2),-0.94271 # DEPENDENCYPART_ARC
(8,3),-0.769113 # DEPENDENCYPART_ARC
(8,4),-0.731263 # DEPENDENCYPART_ARC
(8,5),-0.517168 # DEPENDENCYPART_ARC
(8,6),0.244881 # DEPENDENCYPART_ARC
(8,7),0.577157 # DEPENDENCYPART_ARC
(8,9),-9.92304e-05 # DEPENDENCYPART_ARC
(8,10),-0.431513 # DEPENDENCYPART_ARC
(8,11),-0.604519 # DEPENDENCYPART_ARC
(8,12),-0.299522 # DEPENDENCYPART_ARC
(8,13),-1.09574 # DEPENDENCYPART_ARC
(8,14),-1.07707 # DEPENDENCYPART_ARC
(8,15),-1.36079 # DEPENDENCYPART_ARC
(8,16),-1.89218 # DEPENDENCYPART_ARC
(8,17),-1.12602 # DEPENDENCYPART_ARC
(8,18),-2.33864 # DEPENDENCYPART_ARC
(8,19),-2.16218 # DEPENDENCYPART_ARC
(8,20),-2.22509 # DEPENDENCYPART_ARC
(8,21),-1.87758 # DEPENDENCYPART_ARC
(9,3),-2.34775 # DEPENDENCYPART_ARC
(9,7),-1.52123 # DEPENDENCYPART_ARC
(9,8),-0.909773 # DEPENDENCYPART_ARC
(9,10),-0.706333 # DEPENDENCYPART_ARC
(9,11),-2.17343 # DEPENDENCYPART_ARC
(9,12),-1.78264 # DEPENDENCYPART_ARC
(9,14),-1.80737 # DEPENDENCYPART_ARC
(9,16),-2.32861 # DEPENDENCYPART_ARC
(10,1),-1.04147 # DEPENDENCYPART_ARC
(10,2),-1.15023 # DEPENDENCYPART_ARC
(10,3),-1.32753 # DEPENDENCYPART_ARC
(10,4),-0.924592 # DEPENDENCYPART_ARC
(10,5),-1.20865 # DEPENDENCYPART_ARC
(10,6),-0.400357 # DEPENDENCYPART_ARC
(10,7),-0.665113 # DEPENDENCYPART_ARC
(10,8),-0.614087 # DEPENDENCYPART_ARC
(10,9),-0.235696 # DEPENDENCYPART_ARC
(10,11),-0.821894 # DEPENDENCYPART_ARC
(10,12),-0.793 # DEPENDENCYPART_ARC
(10,13),-1.43986 # DEPENDENCYPART_ARC
(10,14),-0.770167 # DEPENDENCYPART_ARC
(10,15),-1.32005 # DEPENDENCYPART_ARC
(10,16),-2.20407 # DEPENDENCYPART_ARC
(10,19),-1.88364 # DEPENDENCYPART_ARC
(10,21),-2.05699 # DEPENDENCYPART_ARC
(11,2),-1.51168 # DEPENDENCYPART_ARC
(11,4),-1.53988 # DEPENDENCYPART_ARC
(11,6),-2.18259 # DEPENDENCYPART_ARC
(11,7),-1.10834 # DEPENDENCYPART_ARC
(11,8),-0.891213 # DEPENDENCYPART_ARC
(11,9),-0.551246 # DEPENDENCYPART_ARC
(11,10),-0.533204 # DEPENDENCYPART_ARC
(11,12),-0.977687 # DEPENDENCYPART_ARC
(11,13),-1.98016 # DEPENDENCYPART_ARC
(11,14),-0.857483 # DEPENDENCYPART_ARC
(11,15),-1.19563 # DEPENDENCYPART_ARC
(11,16),-2.26526 # DEPENDENCYPART_ARC
(12,1),-1.04312 # DEPENDENCYPART_ARC
(12,2),-1.37506 # DEPENDENCYPART_ARC
(12,3),-0.181564 # DEPENDENCYPART_ARC
(12,4),-1.46151 # DEPENDENCYPART_ARC
