# _root_ Předseda Halík považuje Wintrovo jednání za jistou odplatu Spartě z doby , kdy byl požádán , aby projednal odstupné za sparťanského hráče Františka Kučeru v Chicagu .
#goldHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,19,22,24,24,20,24,25,0,
#predictedHeads=2,3,0,5,3,3,8,6,8,8,10,15,15,15,11,17,15,17,18,18,22,24,24,20,24,25,0,
(0,1),-0.58737 # DEPENDENCYPART_ARC
(0,2),-0.949352 # DEPENDENCYPART_ARC
(0,3),0.259472 # DEPENDENCYPART_ARC
(0,5),-1.45466 # DEPENDENCYPART_ARC
(0,6),-0.851716 # DEPENDENCYPART_ARC
(0,12),-0.893676 # DEPENDENCYPART_ARC
(0,14),-0.98053 # DEPENDENCYPART_ARC
(0,15),-1.39475 # DEPENDENCYPART_ARC
(0,16),-1.02495 # DEPENDENCYPART_ARC
(0,17),-1.98648 # DEPENDENCYPART_ARC
(0,18),-1.33636 # DEPENDENCYPART_ARC
(0,27),1.84134 # DEPENDENCYPART_ARC
(1,2),-0.556949 # DEPENDENCYPART_ARC
(1,3),-1.84905 # DEPENDENCYPART_ARC
(1,4),-2.41318 # DEPENDENCYPART_ARC
(1,5),-3.78723 # DEPENDENCYPART_ARC
(1,6),-1.18405 # DEPENDENCYPART_ARC
(1,7),-3.29541 # DEPENDENCYPART_ARC
(1,8),-4.45542 # DEPENDENCYPART_ARC
(1,10),-0.924635 # DEPENDENCYPART_ARC
(2,1),2.9304 # DEPENDENCYPART_ARC
(2,3),-1.61219 # DEPENDENCYPART_ARC
(2,4),-2.36257 # DEPENDENCYPART_ARC
(2,5),-4.18805 # DEPENDENCYPART_ARC
(2,6),-2.01389 # DEPENDENCYPART_ARC
(3,1),0.851966 # DEPENDENCYPART_ARC
(3,2),0.449443 # DEPENDENCYPART_ARC
(3,5),1.24011 # DEPENDENCYPART_ARC
(3,6),0.712923 # DEPENDENCYPART_ARC
(3,7),-2.57411 # DEPENDENCYPART_ARC
(3,8),0.350205 # DEPENDENCYPART_ARC
(3,9),-1.06971 # DEPENDENCYPART_ARC
(3,10),-0.37478 # DEPENDENCYPART_ARC
(3,11),-2.32939 # DEPENDENCYPART_ARC
(3,12),-0.713906 # DEPENDENCYPART_ARC
(3,13),-1.36545 # DEPENDENCYPART_ARC
(3,14),-2.23694 # DEPENDENCYPART_ARC
(3,15),-0.782476 # DEPENDENCYPART_ARC
(3,16),-1.10476 # DEPENDENCYPART_ARC
(3,17),-1.15276 # DEPENDENCYPART_ARC
(3,18),-3.80233 # DEPENDENCYPART_ARC
(3,20),-1.18436 # DEPENDENCYPART_ARC
(3,25),-1.51233 # DEPENDENCYPART_ARC
(4,1),-3.12607 # DEPENDENCYPART_ARC
(4,2),-3.3872 # DEPENDENCYPART_ARC
(5,1),-2.69078 # DEPENDENCYPART_ARC
(5,2),-2.55346 # DEPENDENCYPART_ARC
(5,3),-1.89277 # DEPENDENCYPART_ARC
(5,4),2.50597 # DEPENDENCYPART_ARC
(5,6),0.942343 # DEPENDENCYPART_ARC
(5,7),-0.861372 # DEPENDENCYPART_ARC
(5,8),-2.1914 # DEPENDENCYPART_ARC
(5,9),-1.65071 # DEPENDENCYPART_ARC
(5,10),-0.199507 # DEPENDENCYPART_ARC
(5,14),-2.31762 # DEPENDENCYPART_ARC
