# _root_ Namísto prezidenta Borise Jelcina , jehož účast na slavnostním uvítání vojáků se původně očekávala , z tribuny k vojákům promluvil ruský premiér Viktor Černomyrdin .
#goldHeads=20,4,4,1,14,7,14,7,10,8,10,14,14,4,14,20,16,20,18,0,22,24,24,20,0,
#predictedHeads=14,4,4,1,14,7,14,7,10,8,10,14,14,15,0,20,16,17,18,15,22,24,24,20,0,
(0,1),-0.949192 # DEPENDENCYPART_ARC
(0,2),-1.97201 # DEPENDENCYPART_ARC
(0,3),-1.90946 # DEPENDENCYPART_ARC
(0,4),-1.70361 # DEPENDENCYPART_ARC
(0,5),-0.962577 # DEPENDENCYPART_ARC
(0,14),-0.728944 # DEPENDENCYPART_ARC
(0,15),-1.2203 # DEPENDENCYPART_ARC
(0,20),-0.415596 # DEPENDENCYPART_ARC
(0,25),1.80714 # DEPENDENCYPART_ARC
(1,2),1.28682 # DEPENDENCYPART_ARC
(1,3),-0.700951 # DEPENDENCYPART_ARC
(1,4),-2.12576 # DEPENDENCYPART_ARC
(1,5),-0.975317 # DEPENDENCYPART_ARC
(2,1),-0.755059 # DEPENDENCYPART_ARC
(2,3),0.536921 # DEPENDENCYPART_ARC
(2,4),-1.02624 # DEPENDENCYPART_ARC
(2,5),-1.37353 # DEPENDENCYPART_ARC
(2,7),-2.7114 # DEPENDENCYPART_ARC
(2,8),-1.72648 # DEPENDENCYPART_ARC
(2,9),-2.84007 # DEPENDENCYPART_ARC
(2,14),-2.57024 # DEPENDENCYPART_ARC
(2,20),-2.51929 # DEPENDENCYPART_ARC
(3,1),-1.65808 # DEPENDENCYPART_ARC
(3,2),1.41496 # DEPENDENCYPART_ARC
(3,4),-0.700649 # DEPENDENCYPART_ARC
(3,5),-1.48946 # DEPENDENCYPART_ARC
(3,7),-2.93991 # DEPENDENCYPART_ARC
(3,8),-1.64803 # DEPENDENCYPART_ARC
(3,9),-3.79126 # DEPENDENCYPART_ARC
(3,11),-2.84289 # DEPENDENCYPART_ARC
(3,14),-2.73397 # DEPENDENCYPART_ARC
(3,20),-2.57552 # DEPENDENCYPART_ARC
(4,1),-1.6298 # DEPENDENCYPART_ARC
(4,2),2.89952 # DEPENDENCYPART_ARC
(4,3),4.57023 # DEPENDENCYPART_ARC
(4,5),-1.20586 # DEPENDENCYPART_ARC
(4,7),-2.61195 # DEPENDENCYPART_ARC
(4,8),-2.34383 # DEPENDENCYPART_ARC
(4,9),-2.6294 # DEPENDENCYPART_ARC
(4,10),-3.75216 # DEPENDENCYPART_ARC
(4,13),-2.00863 # DEPENDENCYPART_ARC
(4,14),-1.76567 # DEPENDENCYPART_ARC
(4,20),-1.50469 # DEPENDENCYPART_ARC
(5,1),-1.68789 # DEPENDENCYPART_ARC
(5,2),-1.47578 # DEPENDENCYPART_ARC
(5,3),-1.8828 # DEPENDENCYPART_ARC
(5,4),-1.57941 # DEPENDENCYPART_ARC
(5,7),-1.4854 # DEPENDENCYPART_ARC
(5,8),-1.37329 # DEPENDENCYPART_ARC
(5,9),-2.11218 # DEPENDENCYPART_ARC
(5,10),-2.26743 # DEPENDENCYPART_ARC
(5,13),-1.81426 # DEPENDENCYPART_ARC
(5,14),-2.13671 # DEPENDENCYPART_ARC
(5,15),-1.10784 # DEPENDENCYPART_ARC
(5,20),-2.75852 # DEPENDENCYPART_ARC
(6,7),-1.86237 # DEPENDENCYPART_ARC
(6,10),-2.9695 # DEPENDENCYPART_ARC
(6,11),-2.93254 # DEPENDENCYPART_ARC
(7,1),-1.76912 # DEPENDENCYPART_ARC
(7,2),-3.25743 # DEPENDENCYPART_ARC
(7,3),-2.16227 # DEPENDENCYPART_ARC
(7,4),-3.10647 # DEPENDENCYPART_ARC
(7,5),-1.3189 # DEPENDENCYPART_ARC
(7,6),-0.631975 # DEPENDENCYPART_ARC
(7,8),0.97317 # DEPENDENCYPART_ARC
(7,9),-1.51982 # DEPENDENCYPART_ARC
(7,10),-1.60582 # DEPENDENCYPART_ARC
(7,11),-0.869281 # DEPENDENCYPART_ARC
(7,13),-1.21534 # DEPENDENCYPART_ARC
(7,14),-1.94438 # DEPENDENCYPART_ARC
(7,15),-0.712149 # DEPENDENCYPART_ARC
(7,16),-1.27774 # DEPENDENCYPART_ARC
(7,18),-0.938321 # DEPENDENCYPART_ARC
(8,5),-1.25995 # DEPENDENCYPART_ARC
(8,7),-2.61338 # DEPENDENCYPART_ARC
(8,9),-0.225695 # DEPENDENCYPART_ARC
(8,10),1.93589 # DEPENDENCYPART_ARC
(8,11),-2.79843 # DEPENDENCYPART_ARC
(8,13),-2.27727 # DEPENDENCYPART_ARC
(9,11),-2.42833 # DEPENDENCYPART_ARC
(10,1),-1.09658 # DEPENDENCYPART_ARC
(10,6),-0.915195 # DEPENDENCYPART_ARC
(10,8),-1.25689 # DEPENDENCYPART_ARC
(10,9),1.93974 # DEPENDENCYPART_ARC
(10,11),0.922145 # DEPENDENCYPART_ARC
(10,13),-1.60242 # DEPENDENCYPART_ARC
(10,14),-1.98182 # DEPENDENCYPART_ARC
(10,16),-1.76248 # DEPENDENCYPART_ARC
(10,18),-1.06465 # DEPENDENCYPART_ARC
(10,20),-2.53845 # DEPENDENCYPART_ARC
(11,2),-1.46792 # DEPENDENCYPART_ARC
(11,3),-1.01232 # DEPENDENCYPART_ARC
(11,4),-2.53936 # DEPENDENCYPART_ARC
(11,6),-2.0624 # DEPENDENCYPART_ARC
(11,7),-5.5094 # DEPENDENCYPART_ARC
(11,9),-2.84128 # DEPENDENCYPART_ARC
(11,10),-3.44842 # DEPENDENCYPART_ARC
(11,12),-1.43945 # DEPENDENCYPART_ARC
(11,13),-1.35697 # DEPENDENCYPART_ARC
(11,14),-2.24885 # DEPENDENCYPART_ARC
(11,15),-1.08848 # DEPENDENCYPART_ARC
(11,16),-1.6366 # DEPENDENCYPART_ARC
(11,17),-1.2886 # DEPENDENCYPART_ARC
(13,8),-2.28704 # DEPENDENCYPART_ARC
(13,10),-2.62082 # DEPENDENCYPART_ARC
(13,11),-1.93551 # DEPENDENCYPART_ARC
(13,15),-1.56653 # DEPENDENCYPART_ARC
(13,17),-2.15409 # DEPENDENCYPART_ARC
(14,1),0.65909 # DEPENDENCYPART_ARC
(14,2),-2.94639 # DEPENDENCYPART_ARC
(14,3),-3.10124 # DEPENDENCYPART_ARC
(14,4),-3.7915 # DEPENDENCYPART_ARC
(14,5),0.139774 # DEPENDENCYPART_ARC
