# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,10,7,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,16,0,
(0,1),0.155642 # DEPENDENCYPART_ARC
(0,3),-0.838456 # DEPENDENCYPART_ARC
(0,4),-1.32027 # DEPENDENCYPART_ARC
(0,5),-2.15193 # DEPENDENCYPART_ARC
(0,7),-1.07394 # DEPENDENCYPART_ARC
(0,10),-0.9155 # DEPENDENCYPART_ARC
(0,27),-2.2426 # DEPENDENCYPART_ARC
(0,28),2.29524 # DEPENDENCYPART_ARC
(1,2),1.55185 # DEPENDENCYPART_ARC
(1,3),-0.406853 # DEPENDENCYPART_ARC
(1,4),0.621913 # DEPENDENCYPART_ARC
(1,5),-1.98798 # DEPENDENCYPART_ARC
(1,6),-1.80396 # DEPENDENCYPART_ARC
(1,7),-0.33643 # DEPENDENCYPART_ARC
(1,8),-2.73436 # DEPENDENCYPART_ARC
(1,9),-2.25962 # DEPENDENCYPART_ARC
(1,10),-2.79178 # DEPENDENCYPART_ARC
(1,12),-1.59057 # DEPENDENCYPART_ARC
(1,13),-1.2113 # DEPENDENCYPART_ARC
(1,14),-2.13195 # DEPENDENCYPART_ARC
(1,16),-1.97179 # DEPENDENCYPART_ARC
(1,17),-2.18828 # DEPENDENCYPART_ARC
(1,19),-2.06646 # DEPENDENCYPART_ARC
(1,20),-0.814671 # DEPENDENCYPART_ARC
(1,23),-1.52452 # DEPENDENCYPART_ARC
(1,25),-1.39947 # DEPENDENCYPART_ARC
(3,1),-1.49935 # DEPENDENCYPART_ARC
(3,2),-1.34623 # DEPENDENCYPART_ARC
(3,4),-0.914598 # DEPENDENCYPART_ARC
(3,5),-1.88159 # DEPENDENCYPART_ARC
(3,7),-1.31974 # DEPENDENCYPART_ARC
(3,10),-2.2802 # DEPENDENCYPART_ARC
(4,1),-1.55572 # DEPENDENCYPART_ARC
(4,3),1.30652 # DEPENDENCYPART_ARC
(4,5),-0.826114 # DEPENDENCYPART_ARC
