# _root_ Povstání zkomplikovalo plány nacistů na obranu Karpat , připoutalo nemalé nacistické jednotky na Slovensko , rozrušilo komunikační systém v týlu fronty a vytvořilo nebezpečné ohnisko nepokojů .
#goldHeads=22,22,2,3,3,5,6,22,22,12,12,9,9,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
#predictedHeads=2,8,2,3,3,5,6,22,22,12,12,9,12,13,22,22,18,16,18,19,20,0,22,25,23,25,0,
(0,1),-1.11062 # DEPENDENCYPART_ARC
(0,2),-0.28395 # DEPENDENCYPART_ARC
(0,3),-1.92022 # DEPENDENCYPART_ARC
(0,8),-1.24807 # DEPENDENCYPART_ARC
(0,9),0.533579 # DEPENDENCYPART_ARC
(0,15),-1.45378 # DEPENDENCYPART_ARC
(0,16),0.33441 # DEPENDENCYPART_ARC
(0,22),-0.573843 # DEPENDENCYPART_ARC
(0,23),-1.58069 # DEPENDENCYPART_ARC
(0,27),1.53727 # DEPENDENCYPART_ARC
(1,2),-1.36976 # DEPENDENCYPART_ARC
(1,3),-3.37092 # DEPENDENCYPART_ARC
(1,4),-1.40188 # DEPENDENCYPART_ARC
(1,5),-0.65528 # DEPENDENCYPART_ARC
(2,1),1.64304 # DEPENDENCYPART_ARC
(2,3),1.33996 # DEPENDENCYPART_ARC
(2,4),-1.78155 # DEPENDENCYPART_ARC
(2,5),0.15516 # DEPENDENCYPART_ARC
(2,6),-0.71496 # DEPENDENCYPART_ARC
(2,7),-2.71101 # DEPENDENCYPART_ARC
(2,8),-0.180762 # DEPENDENCYPART_ARC
(2,9),-3.67025 # DEPENDENCYPART_ARC
(2,12),-1.87043 # DEPENDENCYPART_ARC
(2,13),-1.08874 # DEPENDENCYPART_ARC
(2,14),-2.52668 # DEPENDENCYPART_ARC
(2,15),-0.580503 # DEPENDENCYPART_ARC
(2,18),-2.13984 # DEPENDENCYPART_ARC
(2,19),-1.75727 # DEPENDENCYPART_ARC
(2,21),-4.17612 # DEPENDENCYPART_ARC
(2,22),-0.846759 # DEPENDENCYPART_ARC
(2,25),-2.96874 # DEPENDENCYPART_ARC
(2,26),-4.72436 # DEPENDENCYPART_ARC
(3,1),-3.46858 # DEPENDENCYPART_ARC
(3,2),-2.52577 # DEPENDENCYPART_ARC
(3,4),1.60766 # DEPENDENCYPART_ARC
(3,5),0.370285 # DEPENDENCYPART_ARC
(3,6),-2.61234 # DEPENDENCYPART_ARC
(3,7),-0.426774 # DEPENDENCYPART_ARC
(3,9),-2.13297 # DEPENDENCYPART_ARC
(3,10),-2.62133 # DEPENDENCYPART_ARC
(3,11),-2.32011 # DEPENDENCYPART_ARC
(3,13),-0.454186 # DEPENDENCYPART_ARC
(3,16),-3.04335 # DEPENDENCYPART_ARC
(3,22),-0.857571 # DEPENDENCYPART_ARC
(4,1),-4.55068 # DEPENDENCYPART_ARC
(4,2),-3.07318 # DEPENDENCYPART_ARC
(4,3),-2.66316 # DEPENDENCYPART_ARC
(4,5),0.134026 # DEPENDENCYPART_ARC
(4,6),-3.00896 # DEPENDENCYPART_ARC
(4,7),-0.745679 # DEPENDENCYPART_ARC
(4,9),-2.37422 # DEPENDENCYPART_ARC
(4,10),-3.38418 # DEPENDENCYPART_ARC
(5,4),-2.56273 # DEPENDENCYPART_ARC
(5,6),2.16654 # DEPENDENCYPART_ARC
(5,7),-3.16693 # DEPENDENCYPART_ARC
(5,8),-1.06067 # DEPENDENCYPART_ARC
(6,5),-0.532714 # DEPENDENCYPART_ARC
(6,7),2.41079 # DEPENDENCYPART_ARC
(6,8),-1.25401 # DEPENDENCYPART_ARC
(6,9),-1.48774 # DEPENDENCYPART_ARC
(6,10),-1.31409 # DEPENDENCYPART_ARC
(6,11),-1.36248 # DEPENDENCYPART_ARC
(6,12),-3.02001 # DEPENDENCYPART_ARC
(6,13),-0.61573 # DEPENDENCYPART_ARC
(6,16),-2.50418 # DEPENDENCYPART_ARC
(6,22),-0.823901 # DEPENDENCYPART_ARC
(7,3),-3.00515 # DEPENDENCYPART_ARC
(7,4),-1.99606 # DEPENDENCYPART_ARC
(7,5),-1.69667 # DEPENDENCYPART_ARC
(7,6),-2.5799 # DEPENDENCYPART_ARC
(7,8),-1.68041 # DEPENDENCYPART_ARC
(7,9),-2.09088 # DEPENDENCYPART_ARC
(7,10),-4.96095 # DEPENDENCYPART_ARC
(7,11),-4.8344 # DEPENDENCYPART_ARC
(8,1),-1.31278 # DEPENDENCYPART_ARC
(8,2),-0.389076 # DEPENDENCYPART_ARC
(8,3),-1.26571 # DEPENDENCYPART_ARC
(8,4),-1.3703 # DEPENDENCYPART_ARC
(8,5),-1.08139 # DEPENDENCYPART_ARC
(8,6),-1.33896 # DEPENDENCYPART_ARC
(8,7),-1.36284 # DEPENDENCYPART_ARC
(8,9),-0.847085 # DEPENDENCYPART_ARC
(8,15),-0.636477 # DEPENDENCYPART_ARC
(9,1),0.0623889 # DEPENDENCYPART_ARC
(9,2),-1.37771 # DEPENDENCYPART_ARC
(9,3),-1.59108 # DEPENDENCYPART_ARC
(9,4),-3.09815 # DEPENDENCYPART_ARC
(9,5),-1.14275 # DEPENDENCYPART_ARC
(9,6),-0.808795 # DEPENDENCYPART_ARC
(9,7),-3.36764 # DEPENDENCYPART_ARC
(9,8),-0.461091 # DEPENDENCYPART_ARC
(9,10),-0.598912 # DEPENDENCYPART_ARC
(9,11),-2.09475 # DEPENDENCYPART_ARC
(9,12),0.29182 # DEPENDENCYPART_ARC
(9,13),0.254157 # DEPENDENCYPART_ARC
(9,14),-0.689665 # DEPENDENCYPART_ARC
(9,15),-0.130887 # DEPENDENCYPART_ARC
(9,16),-3.21516 # DEPENDENCYPART_ARC
(9,17),-3.26714 # DEPENDENCYPART_ARC
(9,18),-0.640233 # DEPENDENCYPART_ARC
(9,19),-0.987671 # DEPENDENCYPART_ARC
