# _root_ Tím , že Schumpeter opouští abstraktní schéma tržní ekonomiky a zkoumá kapitalistický systém , je blíž klasické škole a Marxovi než Marshallovi a Walrasovi .
#goldHeads=15,3,1,10,10,7,5,9,7,3,10,13,11,3,0,15,18,19,16,19,16,23,21,23,0,
#predictedHeads=15,3,1,5,10,7,5,9,7,3,10,13,11,3,0,15,18,19,15,19,16,23,21,23,0,
(0,1),-1.40372 # DEPENDENCYPART_ARC
(0,2),-0.86726 # DEPENDENCYPART_ARC
(0,3),-0.858691 # DEPENDENCYPART_ARC
(0,5),-0.108756 # DEPENDENCYPART_ARC
(0,10),-0.935219 # DEPENDENCYPART_ARC
(0,11),-0.829273 # DEPENDENCYPART_ARC
(0,14),-1.64392 # DEPENDENCYPART_ARC
(0,15),0.033344 # DEPENDENCYPART_ARC
(0,19),-1.24684 # DEPENDENCYPART_ARC
(0,23),-1.94733 # DEPENDENCYPART_ARC
(0,25),2.19596 # DEPENDENCYPART_ARC
(1,2),-0.886942 # DEPENDENCYPART_ARC
(1,3),-0.0108931 # DEPENDENCYPART_ARC
(1,4),-2.85017 # DEPENDENCYPART_ARC
(1,5),-1.51176 # DEPENDENCYPART_ARC
(1,10),-1.15741 # DEPENDENCYPART_ARC
(2,1),-1.34119 # DEPENDENCYPART_ARC
(2,5),-1.49502 # DEPENDENCYPART_ARC
(3,2),1.36909 # DEPENDENCYPART_ARC
(3,4),-1.20406 # DEPENDENCYPART_ARC
(3,5),1.26261 # DEPENDENCYPART_ARC
(3,6),-1.99041 # DEPENDENCYPART_ARC
(3,10),-0.245467 # DEPENDENCYPART_ARC
(3,11),-0.643548 # DEPENDENCYPART_ARC
(3,14),-0.0770423 # DEPENDENCYPART_ARC
(3,15),-0.483702 # DEPENDENCYPART_ARC
(3,19),-0.440335 # DEPENDENCYPART_ARC
(3,23),-0.574098 # DEPENDENCYPART_ARC
(4,1),-3.76085 # DEPENDENCYPART_ARC
(4,2),-1.59796 # DEPENDENCYPART_ARC
(4,3),-1.19334 # DEPENDENCYPART_ARC
(4,5),-1.43619 # DEPENDENCYPART_ARC
(4,6),-2.11092 # DEPENDENCYPART_ARC
(4,7),-4.16836 # DEPENDENCYPART_ARC
(4,8),-2.44817 # DEPENDENCYPART_ARC
(4,9),-1.67913 # DEPENDENCYPART_ARC
(5,1),-0.746836 # DEPENDENCYPART_ARC
(5,2),-0.305257 # DEPENDENCYPART_ARC
(5,3),-0.920675 # DEPENDENCYPART_ARC
(5,4),1.17973 # DEPENDENCYPART_ARC
(5,6),-0.936372 # DEPENDENCYPART_ARC
(5,7),0.959262 # DEPENDENCYPART_ARC
(5,8),-3.03437 # DEPENDENCYPART_ARC
(5,9),-1.33937 # DEPENDENCYPART_ARC
(5,10),-0.607859 # DEPENDENCYPART_ARC
(5,11),-2.76021 # DEPENDENCYPART_ARC
(5,12),-3.7849 # DEPENDENCYPART_ARC
(5,13),-0.499634 # DEPENDENCYPART_ARC
(5,14),-0.600082 # DEPENDENCYPART_ARC
(5,16),-1.93066 # DEPENDENCYPART_ARC
(5,18),-2.06044 # DEPENDENCYPART_ARC
(5,19),-0.887083 # DEPENDENCYPART_ARC
(5,23),-1.12547 # DEPENDENCYPART_ARC
(7,1),-2.76229 # DEPENDENCYPART_ARC
(7,2),-0.96672 # DEPENDENCYPART_ARC
(7,3),-1.3266 # DEPENDENCYPART_ARC
(7,4),-2.56529 # DEPENDENCYPART_ARC
(7,6),2.47626 # DEPENDENCYPART_ARC
(7,8),-0.627322 # DEPENDENCYPART_ARC
(7,9),1.13371 # DEPENDENCYPART_ARC
(7,10),-0.559409 # DEPENDENCYPART_ARC
(7,11),-1.75174 # DEPENDENCYPART_ARC
(7,12),-1.45867 # DEPENDENCYPART_ARC
(7,13),-2.43309 # DEPENDENCYPART_ARC
(7,17),-3.13138 # DEPENDENCYPART_ARC
(7,19),-0.953961 # DEPENDENCYPART_ARC
(8,6),-2.9479 # DEPENDENCYPART_ARC
(8,7),-1.63351 # DEPENDENCYPART_ARC
(8,9),-1.38153 # DEPENDENCYPART_ARC
(8,10),-0.789162 # DEPENDENCYPART_ARC
(8,13),-2.84157 # DEPENDENCYPART_ARC
(8,21),-0.347032 # DEPENDENCYPART_ARC
(9,4),-2.22011 # DEPENDENCYPART_ARC
(9,6),-2.05729 # DEPENDENCYPART_ARC
(9,7),-3.25089 # DEPENDENCYPART_ARC
(9,8),2.71076 # DEPENDENCYPART_ARC
(10,1),-0.435395 # DEPENDENCYPART_ARC
(10,2),-0.281399 # DEPENDENCYPART_ARC
(10,3),-0.26623 # DEPENDENCYPART_ARC
(10,4),0.0596767 # DEPENDENCYPART_ARC
(10,5),1.43002 # DEPENDENCYPART_ARC
(10,6),-1.0876 # DEPENDENCYPART_ARC
(10,7),-0.118286 # DEPENDENCYPART_ARC
(10,8),-0.4475 # DEPENDENCYPART_ARC
(10,9),-0.354078 # DEPENDENCYPART_ARC
(10,11),1.73004 # DEPENDENCYPART_ARC
(10,12),-1.03445 # DEPENDENCYPART_ARC
(10,13),-0.241258 # DEPENDENCYPART_ARC
(10,14),-0.116072 # DEPENDENCYPART_ARC
(10,15),-1.60608 # DEPENDENCYPART_ARC
(10,16),-1.71592 # DEPENDENCYPART_ARC
(10,17),-2.64414 # DEPENDENCYPART_ARC
(10,18),-1.50006 # DEPENDENCYPART_ARC
(10,20),-1.80575 # DEPENDENCYPART_ARC
(10,22),-2.20604 # DEPENDENCYPART_ARC
(10,23),-1.3067 # DEPENDENCYPART_ARC
(11,1),-1.92823 # DEPENDENCYPART_ARC
(11,4),-0.699891 # DEPENDENCYPART_ARC
(11,7),-1.08965 # DEPENDENCYPART_ARC
(11,8),-3.61752 # DEPENDENCYPART_ARC
(11,9),-2.34959 # DEPENDENCYPART_ARC
(11,10),-0.312275 # DEPENDENCYPART_ARC
(11,12),-0.987479 # DEPENDENCYPART_ARC
(11,13),1.3548 # DEPENDENCYPART_ARC
(11,14),-0.125894 # DEPENDENCYPART_ARC
(11,15),-1.69638 # DEPENDENCYPART_ARC
(11,16),-1.13083 # DEPENDENCYPART_ARC
(11,17),-2.90343 # DEPENDENCYPART_ARC
(11,18),-1.32141 # DEPENDENCYPART_ARC
(11,19),-0.408348 # DEPENDENCYPART_ARC
(11,20),-2.65636 # DEPENDENCYPART_ARC
(11,21),-1.16975 # DEPENDENCYPART_ARC
(11,22),-3.43898 # DEPENDENCYPART_ARC
(11,23),-0.75182 # DEPENDENCYPART_ARC
(11,24),-2.81623 # DEPENDENCYPART_ARC
(12,21),-0.435533 # DEPENDENCYPART_ARC
(13,6),-1.31782 # DEPENDENCYPART_ARC
(13,8),-2.12186 # DEPENDENCYPART_ARC
(13,11),-1.27904 # DEPENDENCYPART_ARC
(13,12),2.88053 # DEPENDENCYPART_ARC
(13,14),-1.39712 # DEPENDENCYPART_ARC
(13,15),-1.98982 # DEPENDENCYPART_ARC
(13,16),-2.38804 # DEPENDENCYPART_ARC
(13,17),-3.36867 # DEPENDENCYPART_ARC
(13,18),-3.18219 # DEPENDENCYPART_ARC
(13,19),-1.52214 # DEPENDENCYPART_ARC
(14,2),-1.4746 # DEPENDENCYPART_ARC
(14,3),-0.989017 # DEPENDENCYPART_ARC
(14,5),-0.92653 # DEPENDENCYPART_ARC
(14,7),-1.65061 # DEPENDENCYPART_ARC
(14,8),-2.15977 # DEPENDENCYPART_ARC
(14,9),-1.5384 # DEPENDENCYPART_ARC
(14,10),-0.773789 # DEPENDENCYPART_ARC
(14,11),-0.487732 # DEPENDENCYPART_ARC
(14,12),-1.37641 # DEPENDENCYPART_ARC
(14,13),-1.45054 # DEPENDENCYPART_ARC
(14,15),-0.84048 # DEPENDENCYPART_ARC
(14,16),-1.36868 # DEPENDENCYPART_ARC
(14,17),-2.06435 # DEPENDENCYPART_ARC
(14,19),-0.878065 # DEPENDENCYPART_ARC
(14,23),-0.802042 # DEPENDENCYPART_ARC
(15,1),-1.93051 # DEPENDENCYPART_ARC
(15,3),-2.18312 # DEPENDENCYPART_ARC
(15,4),-0.781824 # DEPENDENCYPART_ARC
(15,5),-2.43944 # DEPENDENCYPART_ARC
(15,6),-3.26384 # DEPENDENCYPART_ARC
(15,7),-1.51137 # DEPENDENCYPART_ARC
(15,8),-4.1924 # DEPENDENCYPART_ARC
(15,9),-3.00376 # DEPENDENCYPART_ARC
(15,10),-1.11269 # DEPENDENCYPART_ARC
(15,11),-1.33855 # DEPENDENCYPART_ARC
(15,12),-2.57294 # DEPENDENCYPART_ARC
(15,13),-0.986693 # DEPENDENCYPART_ARC
(15,14),-0.71465 # DEPENDENCYPART_ARC
(15,16),0.87006 # DEPENDENCYPART_ARC
(15,17),-0.219694 # DEPENDENCYPART_ARC
(15,18),0.148967 # DEPENDENCYPART_ARC
(15,19),0.0734432 # DEPENDENCYPART_ARC
(15,20),-1.40986 # DEPENDENCYPART_ARC
(15,21),-0.622117 # DEPENDENCYPART_ARC
(15,22),-2.70111 # DEPENDENCYPART_ARC
(15,23),-0.254219 # DEPENDENCYPART_ARC
(15,24),-2.10504 # DEPENDENCYPART_ARC
(15,25),-0.699664 # DEPENDENCYPART_ARC
(16,13),-1.74989 # DEPENDENCYPART_ARC
(16,17),-2.14383 # DEPENDENCYPART_ARC
(16,18),-1.78925 # DEPENDENCYPART_ARC
(16,19),-0.652938 # DEPENDENCYPART_ARC
(16,20),-2.72606 # DEPENDENCYPART_ARC
(16,21),-0.165113 # DEPENDENCYPART_ARC
(16,22),-3.0326 # DEPENDENCYPART_ARC
(16,24),-3.19406 # DEPENDENCYPART_ARC
(17,14),-1.27741 # DEPENDENCYPART_ARC
(17,15),-2.49495 # DEPENDENCYPART_ARC
(17,16),0.440824 # DEPENDENCYPART_ARC
(17,18),-0.952032 # DEPENDENCYPART_ARC
(17,20),-2.01185 # DEPENDENCYPART_ARC
(17,21),-0.343645 # DEPENDENCYPART_ARC
(18,12),-3.66676 # DEPENDENCYPART_ARC
(18,16),-1.27879 # DEPENDENCYPART_ARC
(18,17),1.40765 # DEPENDENCYPART_ARC
(18,20),-3.20993 # DEPENDENCYPART_ARC
(18,22),-3.80672 # DEPENDENCYPART_ARC
(19,1),-0.915067 # DEPENDENCYPART_ARC
(19,2),-1.08569 # DEPENDENCYPART_ARC
(19,3),-0.435286 # DEPENDENCYPART_ARC
(19,4),-1.31402 # DEPENDENCYPART_ARC
(19,5),-1.35829 # DEPENDENCYPART_ARC
(19,6),-2.06308 # DEPENDENCYPART_ARC
(19,7),-1.16731 # DEPENDENCYPART_ARC
(19,8),-2.16402 # DEPENDENCYPART_ARC
(19,9),-0.208346 # DEPENDENCYPART_ARC
(19,10),-0.473502 # DEPENDENCYPART_ARC
(19,11),-0.743368 # DEPENDENCYPART_ARC
(19,12),-1.13604 # DEPENDENCYPART_ARC
(19,13),0.246888 # DEPENDENCYPART_ARC
(19,14),-0.277438 # DEPENDENCYPART_ARC
(19,15),0.533033 # DEPENDENCYPART_ARC
(19,16),-0.267947 # DEPENDENCYPART_ARC
(19,17),0.201283 # DEPENDENCYPART_ARC
(19,18),2.28279 # DEPENDENCYPART_ARC
(19,20),2.30011 # DEPENDENCYPART_ARC
(19,21),-0.461014 # DEPENDENCYPART_ARC
(19,22),-0.230112 # DEPENDENCYPART_ARC
(19,23),-0.618802 # DEPENDENCYPART_ARC
(19,24),-0.950365 # DEPENDENCYPART_ARC
(19,25),-1.13926 # DEPENDENCYPART_ARC
(20,21),-0.590604 # DEPENDENCYPART_ARC
(20,22),-3.41156 # DEPENDENCYPART_ARC
(20,23),-1.1882 # DEPENDENCYPART_ARC
(20,24),-5.72384 # DEPENDENCYPART_ARC
(21,15),-1.71524 # DEPENDENCYPART_ARC
(21,18),-0.96967 # DEPENDENCYPART_ARC
(21,20),0.333883 # DEPENDENCYPART_ARC
(21,22),2.11677 # DEPENDENCYPART_ARC
(21,23),-0.128588 # DEPENDENCYPART_ARC
(21,24),-0.206605 # DEPENDENCYPART_ARC
(21,25),-0.721847 # DEPENDENCYPART_ARC
(22,20),-0.393202 # DEPENDENCYPART_ARC
(22,21),-1.50029 # DEPENDENCYPART_ARC
(22,24),-6.12767 # DEPENDENCYPART_ARC
(23,1),-0.844304 # DEPENDENCYPART_ARC
(23,2),-1.32975 # DEPENDENCYPART_ARC
(23,3),-0.692287 # DEPENDENCYPART_ARC
(23,4),-1.74644 # DEPENDENCYPART_ARC
(23,5),-1.68446 # DEPENDENCYPART_ARC
(23,7),-1.6308 # DEPENDENCYPART_ARC
(23,9),-0.793253 # DEPENDENCYPART_ARC
(23,11),-1.26962 # DEPENDENCYPART_ARC
(23,12),-2.0621 # DEPENDENCYPART_ARC
(23,13),-0.273285 # DEPENDENCYPART_ARC
(23,14),-0.79662 # DEPENDENCYPART_ARC
(23,15),-0.204984 # DEPENDENCYPART_ARC
(23,16),-1.06472 # DEPENDENCYPART_ARC
(23,17),-1.49813 # DEPENDENCYPART_ARC
(23,18),0.0328785 # DEPENDENCYPART_ARC
(23,19),-0.817314 # DEPENDENCYPART_ARC
(23,20),0.352922 # DEPENDENCYPART_ARC
(23,21),-0.243402 # DEPENDENCYPART_ARC
(23,22),1.95376 # DEPENDENCYPART_ARC
(23,24),2.34007 # DEPENDENCYPART_ARC
(23,25),-0.85958 # DEPENDENCYPART_ARC
(24,22),0.126322 # DEPENDENCYPART_ARC
(24,25),-0.523085 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0999206 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0584389 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.432063 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.153417 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.432063 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.0999206 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.496538 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.153417 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.153417 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.0529391 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.00123668 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.140416 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.408609 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.129028 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.861016 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.708252 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.861016 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.326921 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.909118 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.708252 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.708252 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.107484 # DEPENDENCYPART_SIBL
(0,5),(0,10),-0.966977 # DEPENDENCYPART_SIBL
(0,5),(0,11),-1.46794 # DEPENDENCYPART_SIBL
(0,5),(0,14),-0.307091 # DEPENDENCYPART_SIBL
(0,5),(0,15),-1.54946 # DEPENDENCYPART_SIBL
(0,5),(0,19),-0.966977 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.966977 # DEPENDENCYPART_SIBL
(0,5),(0,25),-0.0222381 # DEPENDENCYPART_SIBL
(0,10),(0,11),-0.898665 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.238729 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.943713 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.747338 # DEPENDENCYPART_SIBL
(0,10),(0,23),-0.747338 # DEPENDENCYPART_SIBL
(0,10),(0,25),0.0494213 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.313211 # DEPENDENCYPART_SIBL
(0,11),(0,15),-1.55141 # DEPENDENCYPART_SIBL
(0,11),(0,19),-0.968928 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.968928 # DEPENDENCYPART_SIBL
(0,11),(0,25),-0.031139 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.4829 # DEPENDENCYPART_SIBL
(0,14),(0,19),-0.140416 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.140416 # DEPENDENCYPART_SIBL
(0,14),(0,25),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,19),-1.05835 # DEPENDENCYPART_SIBL
(0,15),(0,23),-1.05835 # DEPENDENCYPART_SIBL
(0,15),(0,25),-0.0527541 # DEPENDENCYPART_SIBL
(0,19),(0,23),-0.747338 # DEPENDENCYPART_SIBL
(0,19),(0,25),0.0494213 # DEPENDENCYPART_SIBL
(0,23),(0,25),0.0494213 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0517774 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0381419 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0169602 # DEPENDENCYPART_SIBL
(1,2),(1,10),-0.0607863 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.119799 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.165122 # DEPENDENCYPART_SIBL
(1,3),(1,10),-0.404849 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.0260298 # DEPENDENCYPART_SIBL
(1,4),(1,10),-0.261934 # DEPENDENCYPART_SIBL
(1,5),(1,10),-0.283628 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0678456 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.358606 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.00625765 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.142485 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0733479 # DEPENDENCYPART_SIBL
(3,2),(3,11),0.00625352 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.0681205 # DEPENDENCYPART_SIBL
(3,2),(3,15),-0.00867451 # DEPENDENCYPART_SIBL
(3,2),(3,19),0.0733479 # DEPENDENCYPART_SIBL
(3,2),(3,23),0.0733479 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.49582 # DEPENDENCYPART_SIBL
(3,4),(3,6),-0.0324228 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.410833 # DEPENDENCYPART_SIBL
(3,4),(3,11),-0.495838 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.0463889 # DEPENDENCYPART_SIBL
(3,4),(3,15),-0.558786 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.410833 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.410833 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.214538 # DEPENDENCYPART_SIBL
