# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,10,15,15,17,25,19,25,25,24,25,17,0,
(0,1),-0.769412 # DEPENDENCYPART_ARC
(0,2),-0.575843 # DEPENDENCYPART_ARC
(0,3),-0.403884 # DEPENDENCYPART_ARC
(0,4),-2.01037 # DEPENDENCYPART_ARC
(0,5),-1.50907 # DEPENDENCYPART_ARC
(0,6),-2.00227 # DEPENDENCYPART_ARC
(0,7),-0.953796 # DEPENDENCYPART_ARC
(0,8),-1.69785 # DEPENDENCYPART_ARC
(0,10),-0.863832 # DEPENDENCYPART_ARC
(0,13),-1.31698 # DEPENDENCYPART_ARC
(0,17),-1.28787 # DEPENDENCYPART_ARC
(0,21),-2.01864 # DEPENDENCYPART_ARC
(0,25),-2.49727 # DEPENDENCYPART_ARC
(0,26),2.25885 # DEPENDENCYPART_ARC
(1,2),-0.735342 # DEPENDENCYPART_ARC
(1,3),-1.37119 # DEPENDENCYPART_ARC
(1,4),-2.13295 # DEPENDENCYPART_ARC
(1,5),-1.78598 # DEPENDENCYPART_ARC
(2,1),-0.24241 # DEPENDENCYPART_ARC
(2,3),-1.04594 # DEPENDENCYPART_ARC
(2,4),-1.7682 # DEPENDENCYPART_ARC
(2,5),-1.91027 # DEPENDENCYPART_ARC
(2,6),-2.47695 # DEPENDENCYPART_ARC
(2,8),-1.64519 # DEPENDENCYPART_ARC
(3,1),0.0483951 # DEPENDENCYPART_ARC
(3,2),2.34141 # DEPENDENCYPART_ARC
(3,4),1.18814 # DEPENDENCYPART_ARC
(3,5),0.00275582 # DEPENDENCYPART_ARC
(3,6),-1.34502 # DEPENDENCYPART_ARC
(3,7),-0.823677 # DEPENDENCYPART_ARC
(3,8),-0.578901 # DEPENDENCYPART_ARC
(3,10),-3.24383 # DEPENDENCYPART_ARC
(3,11),-4.2095 # DEPENDENCYPART_ARC
(3,12),-1.70979 # DEPENDENCYPART_ARC
(3,13),-0.748199 # DEPENDENCYPART_ARC
(3,15),-1.39314 # DEPENDENCYPART_ARC
(3,17),-1.52647 # DEPENDENCYPART_ARC
(4,1),-0.948261 # DEPENDENCYPART_ARC
(4,2),-0.756589 # DEPENDENCYPART_ARC
(4,3),-1.2041 # DEPENDENCYPART_ARC
(4,5),0.625348 # DEPENDENCYPART_ARC
(4,6),-1.99668 # DEPENDENCYPART_ARC
(4,7),-0.958703 # DEPENDENCYPART_ARC
(4,8),-0.87965 # DEPENDENCYPART_ARC
(5,4),-2.55643 # DEPENDENCYPART_ARC
(5,6),2.31712 # DEPENDENCYPART_ARC
(5,7),-0.511662 # DEPENDENCYPART_ARC
(5,8),-0.686473 # DEPENDENCYPART_ARC
(5,9),-2.44449 # DEPENDENCYPART_ARC
(6,1),-0.86274 # DEPENDENCYPART_ARC
(6,2),-1.52226 # DEPENDENCYPART_ARC
(6,4),-2.64635 # DEPENDENCYPART_ARC
(6,7),-0.762942 # DEPENDENCYPART_ARC
(6,8),-0.185805 # DEPENDENCYPART_ARC
(6,9),-2.07543 # DEPENDENCYPART_ARC
(6,10),-1.67441 # DEPENDENCYPART_ARC
(6,15),-1.23921 # DEPENDENCYPART_ARC
(6,17),-1.11016 # DEPENDENCYPART_ARC
(7,3),-1.16117 # DEPENDENCYPART_ARC
(7,4),-1.68937 # DEPENDENCYPART_ARC
(7,6),-1.14417 # DEPENDENCYPART_ARC
(7,10),-1.45128 # DEPENDENCYPART_ARC
(8,5),-1.88473 # DEPENDENCYPART_ARC
(8,7),1.31404 # DEPENDENCYPART_ARC
(8,9),-1.25058 # DEPENDENCYPART_ARC
(8,10),1.24384 # DEPENDENCYPART_ARC
(8,11),-2.01159 # DEPENDENCYPART_ARC
(8,13),-0.610317 # DEPENDENCYPART_ARC
(8,15),-1.1328 # DEPENDENCYPART_ARC
(8,17),-0.674046 # DEPENDENCYPART_ARC
(8,21),-0.0159601 # DEPENDENCYPART_ARC
(8,25),-0.824168 # DEPENDENCYPART_ARC
(9,6),-5.05323 # DEPENDENCYPART_ARC
(9,10),-1.27535 # DEPENDENCYPART_ARC
(9,11),-2.31731 # DEPENDENCYPART_ARC
(9,12),-4.3544 # DEPENDENCYPART_ARC
(9,14),-4.58158 # DEPENDENCYPART_ARC
(10,1),-0.786314 # DEPENDENCYPART_ARC
(10,2),0.134539 # DEPENDENCYPART_ARC
(10,3),-2.3406 # DEPENDENCYPART_ARC
(10,4),-1.9134 # DEPENDENCYPART_ARC
(10,5),-0.776104 # DEPENDENCYPART_ARC
(10,6),-1.13668 # DEPENDENCYPART_ARC
(10,7),-0.216887 # DEPENDENCYPART_ARC
(10,8),-0.832305 # DEPENDENCYPART_ARC
(10,9),1.48999 # DEPENDENCYPART_ARC
(10,11),-1.22023 # DEPENDENCYPART_ARC
(10,12),1.38707 # DEPENDENCYPART_ARC
(10,13),-0.429856 # DEPENDENCYPART_ARC
(10,14),0.0390358 # DEPENDENCYPART_ARC
(10,15),-0.38944 # DEPENDENCYPART_ARC
(10,16),-1.17695 # DEPENDENCYPART_ARC
(10,17),-0.616536 # DEPENDENCYPART_ARC
(10,18),-1.12258 # DEPENDENCYPART_ARC
(10,19),-0.890016 # DEPENDENCYPART_ARC
(10,21),-3.67054 # DEPENDENCYPART_ARC
(10,22),-1.79044 # DEPENDENCYPART_ARC
(10,24),-2.42286 # DEPENDENCYPART_ARC
(10,25),-2.01851 # DEPENDENCYPART_ARC
(11,12),-1.17931 # DEPENDENCYPART_ARC
(11,14),-2.20239 # DEPENDENCYPART_ARC
(12,9),-3.10872 # DEPENDENCYPART_ARC
(12,11),2.01124 # DEPENDENCYPART_ARC
(12,13),-1.3984 # DEPENDENCYPART_ARC
(12,14),-2.57829 # DEPENDENCYPART_ARC
(12,15),-1.28473 # DEPENDENCYPART_ARC
(12,16),-3.77825 # DEPENDENCYPART_ARC
(12,17),-1.46308 # DEPENDENCYPART_ARC
(12,21),-1.34948 # DEPENDENCYPART_ARC
(12,25),-1.10909 # DEPENDENCYPART_ARC
(13,1),-1.75072 # DEPENDENCYPART_ARC
(13,2),-1.49408 # DEPENDENCYPART_ARC
(13,3),-1.2556 # DEPENDENCYPART_ARC
(13,5),-1.61026 # DEPENDENCYPART_ARC
(13,7),-1.00382 # DEPENDENCYPART_ARC
(13,8),-0.883382 # DEPENDENCYPART_ARC
(13,9),-1.04838 # DEPENDENCYPART_ARC
(13,10),-0.591885 # DEPENDENCYPART_ARC
(13,11),-1.16579 # DEPENDENCYPART_ARC
(13,12),0.124136 # DEPENDENCYPART_ARC
(13,14),0.124504 # DEPENDENCYPART_ARC
(13,15),-0.656926 # DEPENDENCYPART_ARC
(13,16),-1.77952 # DEPENDENCYPART_ARC
(13,17),-0.675867 # DEPENDENCYPART_ARC
(13,18),-2.46942 # DEPENDENCYPART_ARC
(13,19),-1.41983 # DEPENDENCYPART_ARC
(13,21),-1.78073 # DEPENDENCYPART_ARC
(13,22),-1.63685 # DEPENDENCYPART_ARC
(13,25),-2.35898 # DEPENDENCYPART_ARC
(14,11),-2.77184 # DEPENDENCYPART_ARC
(14,12),-2.82081 # DEPENDENCYPART_ARC
(14,13),-1.29095 # DEPENDENCYPART_ARC
(14,16),-2.4017 # DEPENDENCYPART_ARC
(14,18),-3.43294 # DEPENDENCYPART_ARC
(14,19),-0.605587 # DEPENDENCYPART_ARC
(15,1),-1.51643 # DEPENDENCYPART_ARC
(15,2),-1.35781 # DEPENDENCYPART_ARC
(15,3),-1.18727 # DEPENDENCYPART_ARC
