# _root_ Ne tak kvůli ní samé , jako kvůli ekonomické i politické transformaci , jíž je garantem a která tou dobou ještě nebude zcela u konce .
#goldHeads=2,0,0,3,4,7,0,7,10,12,10,8,17,16,17,15,12,22,20,22,22,17,22,22,24,0,
#predictedHeads=2,0,6,3,3,7,0,7,10,12,10,8,17,17,17,15,12,22,20,22,22,17,25,22,24,0,
(0,1),-0.517804 # DEPENDENCYPART_ARC
(0,2),-1.05645 # DEPENDENCYPART_ARC
(0,3),-0.786804 # DEPENDENCYPART_ARC
(0,5),-2.20162 # DEPENDENCYPART_ARC
(0,6),-1.02758 # DEPENDENCYPART_ARC
(0,7),-0.619423 # DEPENDENCYPART_ARC
(0,8),-1.38046 # DEPENDENCYPART_ARC
(0,12),-1.59912 # DEPENDENCYPART_ARC
(0,13),-1.50519 # DEPENDENCYPART_ARC
(0,15),-0.574034 # DEPENDENCYPART_ARC
(0,17),-1.66046 # DEPENDENCYPART_ARC
(0,18),-2.61969 # DEPENDENCYPART_ARC
(0,22),-2.05112 # DEPENDENCYPART_ARC
(0,26),2.42681 # DEPENDENCYPART_ARC
(1,2),-1.16194 # DEPENDENCYPART_ARC
(1,3),-1.75122 # DEPENDENCYPART_ARC
(1,6),-1.2351 # DEPENDENCYPART_ARC
(1,13),-1.1939 # DEPENDENCYPART_ARC
(2,1),0.267768 # DEPENDENCYPART_ARC
(2,3),-1.15055 # DEPENDENCYPART_ARC
(2,5),-2.23551 # DEPENDENCYPART_ARC
(2,12),-3.24912 # DEPENDENCYPART_ARC
(3,2),-1.10457 # DEPENDENCYPART_ARC
(3,4),1.85946 # DEPENDENCYPART_ARC
(3,5),0.504859 # DEPENDENCYPART_ARC
(3,6),-0.725319 # DEPENDENCYPART_ARC
(3,7),-1.38436 # DEPENDENCYPART_ARC
(3,12),-0.163896 # DEPENDENCYPART_ARC
(4,2),-0.693749 # DEPENDENCYPART_ARC
(4,8),-1.73383 # DEPENDENCYPART_ARC
(5,3),-1.11994 # DEPENDENCYPART_ARC
(5,6),-0.851131 # DEPENDENCYPART_ARC
(5,8),-1.53635 # DEPENDENCYPART_ARC
(6,1),-1.23195 # DEPENDENCYPART_ARC
(6,2),-1.51215 # DEPENDENCYPART_ARC
(6,3),-1.0481 # DEPENDENCYPART_ARC
(6,5),-1.04622 # DEPENDENCYPART_ARC
(6,7),-0.761278 # DEPENDENCYPART_ARC
(6,8),-1.03246 # DEPENDENCYPART_ARC
(6,9),-1.70632 # DEPENDENCYPART_ARC
(6,11),-1.85302 # DEPENDENCYPART_ARC
(6,13),-1.10217 # DEPENDENCYPART_ARC
(6,15),-2.2835 # DEPENDENCYPART_ARC
(7,2),-2.74785 # DEPENDENCYPART_ARC
(7,3),-2.06065 # DEPENDENCYPART_ARC
(7,6),-0.00504914 # DEPENDENCYPART_ARC
