# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,0,6,9,7,9,10,9,18,9,14,15,18,15,20,18,0,
(0,1),-1.7448 # DEPENDENCYPART_ARC
(0,2),-2.093 # DEPENDENCYPART_ARC
(0,3),-0.368779 # DEPENDENCYPART_ARC
(0,4),-1.45109 # DEPENDENCYPART_ARC
(0,5),-1.65845 # DEPENDENCYPART_ARC
(0,6),-1.37773 # DEPENDENCYPART_ARC
(0,7),0.101515 # DEPENDENCYPART_ARC
(0,8),-0.580665 # DEPENDENCYPART_ARC
(0,9),-1.67552 # DEPENDENCYPART_ARC
(0,12),-0.76658 # DEPENDENCYPART_ARC
(0,18),-1.14223 # DEPENDENCYPART_ARC
(0,21),1.99758 # DEPENDENCYPART_ARC
(2,3),-0.841442 # DEPENDENCYPART_ARC
(2,4),-0.714686 # DEPENDENCYPART_ARC
(2,7),-1.99934 # DEPENDENCYPART_ARC
(3,1),0.695612 # DEPENDENCYPART_ARC
(3,2),1.14633 # DEPENDENCYPART_ARC
(3,4),-0.954782 # DEPENDENCYPART_ARC
(3,5),-0.148421 # DEPENDENCYPART_ARC
(3,6),-0.572276 # DEPENDENCYPART_ARC
(3,7),-2.09302 # DEPENDENCYPART_ARC
(3,8),-1.55219 # DEPENDENCYPART_ARC
(3,9),-1.87359 # DEPENDENCYPART_ARC
(3,10),-1.53952 # DEPENDENCYPART_ARC
(3,17),-1.51012 # DEPENDENCYPART_ARC
(3,18),-1.56717 # DEPENDENCYPART_ARC
(4,1),-1.22151 # DEPENDENCYPART_ARC
(4,2),-0.78863 # DEPENDENCYPART_ARC
(4,3),-0.130845 # DEPENDENCYPART_ARC
(4,5),-0.345245 # DEPENDENCYPART_ARC
(4,6),-0.46868 # DEPENDENCYPART_ARC
(4,7),-0.525742 # DEPENDENCYPART_ARC
(4,8),-1.03946 # DEPENDENCYPART_ARC
(4,9),-1.88445 # DEPENDENCYPART_ARC
(4,10),-1.53983 # DEPENDENCYPART_ARC
(4,11),-1.71291 # DEPENDENCYPART_ARC
(4,12),-1.29031 # DEPENDENCYPART_ARC
(4,19),-2.97057 # DEPENDENCYPART_ARC
(5,2),-0.997163 # DEPENDENCYPART_ARC
(5,3),-0.612752 # DEPENDENCYPART_ARC
(5,4),0.802954 # DEPENDENCYPART_ARC
(5,6),-1.16595 # DEPENDENCYPART_ARC
(6,2),-1.2265 # DEPENDENCYPART_ARC
(6,3),-0.364084 # DEPENDENCYPART_ARC
(6,4),-0.855542 # DEPENDENCYPART_ARC
(6,5),-0.634086 # DEPENDENCYPART_ARC
(6,7),-0.145317 # DEPENDENCYPART_ARC
(6,8),-0.60692 # DEPENDENCYPART_ARC
(6,9),-1.24583 # DEPENDENCYPART_ARC
(6,10),-1.21047 # DEPENDENCYPART_ARC
(7,1),-0.667434 # DEPENDENCYPART_ARC
(7,2),-0.407752 # DEPENDENCYPART_ARC
(7,3),-1.31872 # DEPENDENCYPART_ARC
(7,4),-0.42731 # DEPENDENCYPART_ARC
(7,5),0.0868867 # DEPENDENCYPART_ARC
(7,6),-0.120877 # DEPENDENCYPART_ARC
