# _root_ V Brémách budou přestupovat na vlak do Ostende , kde se nalodí na parník Bretaň , který je po osmi dnech vyloží v sídle OSN .
#goldHeads=4,1,4,0,4,5,6,7,12,12,12,8,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
#predictedHeads=4,1,4,0,4,5,6,7,12,12,12,6,12,13,14,22,22,22,22,21,19,14,22,23,24,0,
(0,1),-1.1367 # DEPENDENCYPART_ARC
(0,3),-0.41911 # DEPENDENCYPART_ARC
(0,4),-1.35779 # DEPENDENCYPART_ARC
(0,7),-1.26539 # DEPENDENCYPART_ARC
(0,9),-0.735668 # DEPENDENCYPART_ARC
(0,12),-1.01524 # DEPENDENCYPART_ARC
(0,16),-1.03687 # DEPENDENCYPART_ARC
(0,22),-1.38249 # DEPENDENCYPART_ARC
(0,26),2.16538 # DEPENDENCYPART_ARC
(1,2),3.68272 # DEPENDENCYPART_ARC
(1,3),-1.96223 # DEPENDENCYPART_ARC
(1,6),-3.50956 # DEPENDENCYPART_ARC
(2,1),-1.51497 # DEPENDENCYPART_ARC
(2,3),-2.16122 # DEPENDENCYPART_ARC
(2,4),-2.30669 # DEPENDENCYPART_ARC
(2,7),-2.39685 # DEPENDENCYPART_ARC
(3,1),-0.270919 # DEPENDENCYPART_ARC
(3,2),-2.5797 # DEPENDENCYPART_ARC
(3,4),0.419844 # DEPENDENCYPART_ARC
(3,5),-0.938545 # DEPENDENCYPART_ARC
(3,6),-1.67874 # DEPENDENCYPART_ARC
(3,7),-0.905228 # DEPENDENCYPART_ARC
(3,8),-3.65938 # DEPENDENCYPART_ARC
(3,9),-1.29347 # DEPENDENCYPART_ARC
(3,10),-2.20699 # DEPENDENCYPART_ARC
(3,12),-4.37522 # DEPENDENCYPART_ARC
(3,13),-2.41033 # DEPENDENCYPART_ARC
(3,15),-3.96555 # DEPENDENCYPART_ARC
(4,1),0.421825 # DEPENDENCYPART_ARC
(4,2),-0.519751 # DEPENDENCYPART_ARC
(4,3),3.02944 # DEPENDENCYPART_ARC
(4,5),1.28989 # DEPENDENCYPART_ARC
(4,6),0.690776 # DEPENDENCYPART_ARC
(4,7),0.481941 # DEPENDENCYPART_ARC
(4,8),-1.47594 # DEPENDENCYPART_ARC
(4,9),-0.777832 # DEPENDENCYPART_ARC
(4,10),-1.37849 # DEPENDENCYPART_ARC
(4,12),-1.60809 # DEPENDENCYPART_ARC
(4,13),-0.93526 # DEPENDENCYPART_ARC
(4,14),-1.62223 # DEPENDENCYPART_ARC
(4,15),-2.71368 # DEPENDENCYPART_ARC
(4,16),-1.10525 # DEPENDENCYPART_ARC
(4,19),-1.56304 # DEPENDENCYPART_ARC
(4,22),-2.32416 # DEPENDENCYPART_ARC
(4,23),-1.95899 # DEPENDENCYPART_ARC
(4,25),-3.03858 # DEPENDENCYPART_ARC
(5,6),2.34071 # DEPENDENCYPART_ARC
(5,8),-2.35119 # DEPENDENCYPART_ARC
(6,1),-1.30869 # DEPENDENCYPART_ARC
(6,3),-2.92724 # DEPENDENCYPART_ARC
(6,4),-2.16718 # DEPENDENCYPART_ARC
(6,5),-0.788876 # DEPENDENCYPART_ARC
(6,7),0.114539 # DEPENDENCYPART_ARC
(6,8),-0.682079 # DEPENDENCYPART_ARC
(6,9),-1.19064 # DEPENDENCYPART_ARC
(6,10),-1.29452 # DEPENDENCYPART_ARC
(6,12),-2.17848 # DEPENDENCYPART_ARC
(6,22),-2.2859 # DEPENDENCYPART_ARC
(7,2),-2.72985 # DEPENDENCYPART_ARC
(7,5),-0.412274 # DEPENDENCYPART_ARC
(7,6),-0.34949 # DEPENDENCYPART_ARC
(7,8),2.26432 # DEPENDENCYPART_ARC
(7,9),-0.819494 # DEPENDENCYPART_ARC
(7,10),-1.47601 # DEPENDENCYPART_ARC
(7,12),-2.14951 # DEPENDENCYPART_ARC
(7,14),-2.8838 # DEPENDENCYPART_ARC
(8,1),-2.54793 # DEPENDENCYPART_ARC
(8,4),-2.50272 # DEPENDENCYPART_ARC
(8,5),-1.9967 # DEPENDENCYPART_ARC
(8,6),-2.24009 # DEPENDENCYPART_ARC
(8,7),-1.25999 # DEPENDENCYPART_ARC
(8,9),-1.16637 # DEPENDENCYPART_ARC
(8,10),-1.41637 # DEPENDENCYPART_ARC
(8,12),-1.84438 # DEPENDENCYPART_ARC
(8,13),-3.35525 # DEPENDENCYPART_ARC
(8,22),-2.37286 # DEPENDENCYPART_ARC
(9,1),-1.41868 # DEPENDENCYPART_ARC
(9,3),-1.02579 # DEPENDENCYPART_ARC
(9,4),-0.909505 # DEPENDENCYPART_ARC
(9,5),-0.934875 # DEPENDENCYPART_ARC
(9,6),-1.06207 # DEPENDENCYPART_ARC
(9,7),-1.31146 # DEPENDENCYPART_ARC
(9,8),-1.04301 # DEPENDENCYPART_ARC
(9,10),-1.26249 # DEPENDENCYPART_ARC
(9,12),-1.30768 # DEPENDENCYPART_ARC
(9,13),-1.42894 # DEPENDENCYPART_ARC
(9,14),-2.30323 # DEPENDENCYPART_ARC
(9,15),-2.00255 # DEPENDENCYPART_ARC
(9,16),-0.961439 # DEPENDENCYPART_ARC
(9,22),-2.70965 # DEPENDENCYPART_ARC
(10,1),-2.17379 # DEPENDENCYPART_ARC
(10,3),-1.8124 # DEPENDENCYPART_ARC
(10,4),-1.67728 # DEPENDENCYPART_ARC
(10,5),-1.84513 # DEPENDENCYPART_ARC
(10,6),-1.77495 # DEPENDENCYPART_ARC
(10,7),-1.34624 # DEPENDENCYPART_ARC
(10,8),-1.3002 # DEPENDENCYPART_ARC
(10,9),-0.914174 # DEPENDENCYPART_ARC
(10,12),-1.41274 # DEPENDENCYPART_ARC
(10,13),-1.80608 # DEPENDENCYPART_ARC
(10,14),-2.40134 # DEPENDENCYPART_ARC
(10,15),-2.47539 # DEPENDENCYPART_ARC
(10,16),-1.22682 # DEPENDENCYPART_ARC
(12,1),-0.635791 # DEPENDENCYPART_ARC
(12,2),-2.15168 # DEPENDENCYPART_ARC
(12,3),-2.40554 # DEPENDENCYPART_ARC
(12,4),-0.57854 # DEPENDENCYPART_ARC
(12,5),-1.21137 # DEPENDENCYPART_ARC
(12,6),-1.02268 # DEPENDENCYPART_ARC
(12,7),-1.08456 # DEPENDENCYPART_ARC
(12,8),-2.83906 # DEPENDENCYPART_ARC
(12,9),-0.0064253 # DEPENDENCYPART_ARC
(12,10),1.09318 # DEPENDENCYPART_ARC
(12,11),1.62415 # DEPENDENCYPART_ARC
(12,13),1.12346 # DEPENDENCYPART_ARC
(12,14),0.180171 # DEPENDENCYPART_ARC
(12,15),-0.085231 # DEPENDENCYPART_ARC
(12,16),-0.287155 # DEPENDENCYPART_ARC
(12,18),-1.4087 # DEPENDENCYPART_ARC
(12,19),-0.804676 # DEPENDENCYPART_ARC
(12,20),-2.6788 # DEPENDENCYPART_ARC
(12,21),-1.62572 # DEPENDENCYPART_ARC
(12,22),-1.81381 # DEPENDENCYPART_ARC
(12,23),-1.36779 # DEPENDENCYPART_ARC
(12,24),-3.03039 # DEPENDENCYPART_ARC
(12,25),-2.63706 # DEPENDENCYPART_ARC
(13,14),2.20652 # DEPENDENCYPART_ARC
(13,15),-2.99536 # DEPENDENCYPART_ARC
(13,16),-0.915243 # DEPENDENCYPART_ARC
(14,5),-0.982603 # DEPENDENCYPART_ARC
(14,10),-1.51639 # DEPENDENCYPART_ARC
(14,11),-4.13198 # DEPENDENCYPART_ARC
(14,13),-0.172583 # DEPENDENCYPART_ARC
(14,15),1.06979 # DEPENDENCYPART_ARC
(14,17),-2.4132 # DEPENDENCYPART_ARC
(14,18),-2.70371 # DEPENDENCYPART_ARC
