# _root_ Federální ministerstvo kontroly však svůj postoj nemění - ani v naléhavé otázce , kdo nahradí škody , pokud se stavba pankráckého hotelu neuskuteční .
#goldHeads=2,7,2,0,6,7,4,10,12,6,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
#predictedHeads=2,7,2,0,6,7,4,9,12,7,12,10,15,15,12,15,18,15,23,23,22,20,18,0,
(0,1),-0.908199 # DEPENDENCYPART_ARC
(0,2),-0.957138 # DEPENDENCYPART_ARC
(0,3),-1.73229 # DEPENDENCYPART_ARC
(0,4),0.0247063 # DEPENDENCYPART_ARC
(0,5),-2.35535 # DEPENDENCYPART_ARC
(0,6),-2.04052 # DEPENDENCYPART_ARC
(0,7),-0.239995 # DEPENDENCYPART_ARC
(0,8),-0.584574 # DEPENDENCYPART_ARC
(0,9),-1.1976 # DEPENDENCYPART_ARC
(0,10),-1.5154 # DEPENDENCYPART_ARC
(0,13),-1.38386 # DEPENDENCYPART_ARC
(0,14),-2.86865 # DEPENDENCYPART_ARC
(0,15),-0.415166 # DEPENDENCYPART_ARC
(0,17),-1.43838 # DEPENDENCYPART_ARC
(0,23),-1.03682 # DEPENDENCYPART_ARC
(0,24),2.15291 # DEPENDENCYPART_ARC
(1,3),-2.29013 # DEPENDENCYPART_ARC
(2,1),2.08681 # DEPENDENCYPART_ARC
(2,3),1.94741 # DEPENDENCYPART_ARC
(2,4),-0.654113 # DEPENDENCYPART_ARC
(2,6),-3.58411 # DEPENDENCYPART_ARC
(2,7),-2.3501 # DEPENDENCYPART_ARC
(2,8),-1.15979 # DEPENDENCYPART_ARC
(2,9),-1.42072 # DEPENDENCYPART_ARC
(2,10),-1.86917 # DEPENDENCYPART_ARC
(2,12),-3.01482 # DEPENDENCYPART_ARC
(2,15),-2.2741 # DEPENDENCYPART_ARC
(3,1),-2.70178 # DEPENDENCYPART_ARC
(3,2),-2.32161 # DEPENDENCYPART_ARC
(3,4),-0.833002 # DEPENDENCYPART_ARC
(3,6),-3.83324 # DEPENDENCYPART_ARC
(3,7),-2.2109 # DEPENDENCYPART_ARC
(4,1),-2.0287 # DEPENDENCYPART_ARC
(4,2),-1.45095 # DEPENDENCYPART_ARC
(4,3),-0.862077 # DEPENDENCYPART_ARC
(4,5),-1.07178 # DEPENDENCYPART_ARC
(4,6),-1.15231 # DEPENDENCYPART_ARC
(4,7),-0.232759 # DEPENDENCYPART_ARC
(4,8),-0.763536 # DEPENDENCYPART_ARC
(4,9),-1.81956 # DEPENDENCYPART_ARC
(4,10),-2.06407 # DEPENDENCYPART_ARC
(4,12),-2.62627 # DEPENDENCYPART_ARC
(4,13),-0.77196 # DEPENDENCYPART_ARC
(4,15),-1.59602 # DEPENDENCYPART_ARC
(4,17),-0.815526 # DEPENDENCYPART_ARC
(4,23),-2.07013 # DEPENDENCYPART_ARC
(6,1),-3.79465 # DEPENDENCYPART_ARC
(6,2),-3.8335 # DEPENDENCYPART_ARC
(6,3),-3.97501 # DEPENDENCYPART_ARC
(6,4),-0.821446 # DEPENDENCYPART_ARC
(6,5),2.77585 # DEPENDENCYPART_ARC
(6,7),-1.84424 # DEPENDENCYPART_ARC
(7,1),-1.24641 # DEPENDENCYPART_ARC
(7,2),0.0631735 # DEPENDENCYPART_ARC
(7,3),-2.18301 # DEPENDENCYPART_ARC
(7,4),-0.0924616 # DEPENDENCYPART_ARC
(7,6),1.42155 # DEPENDENCYPART_ARC
(7,8),-0.188552 # DEPENDENCYPART_ARC
(7,9),-0.323014 # DEPENDENCYPART_ARC
(7,10),-0.752498 # DEPENDENCYPART_ARC
(7,11),-3.10794 # DEPENDENCYPART_ARC
(7,12),-1.24378 # DEPENDENCYPART_ARC
(7,13),-0.919404 # DEPENDENCYPART_ARC
(7,15),-2.06513 # DEPENDENCYPART_ARC
(7,16),-2.35952 # DEPENDENCYPART_ARC
(7,17),-1.21315 # DEPENDENCYPART_ARC
(7,18),-0.998866 # DEPENDENCYPART_ARC
(8,1),-2.29222 # DEPENDENCYPART_ARC
(8,2),-1.43906 # DEPENDENCYPART_ARC
(8,3),-1.42538 # DEPENDENCYPART_ARC
(8,4),-0.781281 # DEPENDENCYPART_ARC
(8,6),-1.00405 # DEPENDENCYPART_ARC
(8,7),-1.15076 # DEPENDENCYPART_ARC
(8,9),-0.377483 # DEPENDENCYPART_ARC
(8,10),-1.31206 # DEPENDENCYPART_ARC
(8,11),-1.52384 # DEPENDENCYPART_ARC
(8,12),-1.70449 # DEPENDENCYPART_ARC
(8,18),-1.49736 # DEPENDENCYPART_ARC
(9,1),-2.59041 # DEPENDENCYPART_ARC
(9,2),-1.76944 # DEPENDENCYPART_ARC
(9,3),-2.06923 # DEPENDENCYPART_ARC
(9,4),-0.658444 # DEPENDENCYPART_ARC
(9,5),-1.23617 # DEPENDENCYPART_ARC
(9,6),-0.907346 # DEPENDENCYPART_ARC
(9,7),-0.203379 # DEPENDENCYPART_ARC
(9,8),0.414188 # DEPENDENCYPART_ARC
(9,10),-0.870715 # DEPENDENCYPART_ARC
(9,11),-1.74124 # DEPENDENCYPART_ARC
(9,12),-1.93705 # DEPENDENCYPART_ARC
(9,13),-1.29902 # DEPENDENCYPART_ARC
(9,15),-1.38958 # DEPENDENCYPART_ARC
(9,17),-1.72002 # DEPENDENCYPART_ARC
(9,18),-1.70321 # DEPENDENCYPART_ARC
(9,23),-2.40015 # DEPENDENCYPART_ARC
(10,8),-0.537532 # DEPENDENCYPART_ARC
(10,9),-0.937851 # DEPENDENCYPART_ARC
(10,11),-0.422628 # DEPENDENCYPART_ARC
(10,12),1.83454 # DEPENDENCYPART_ARC
(10,13),-1.13243 # DEPENDENCYPART_ARC
(10,16),-2.70019 # DEPENDENCYPART_ARC
(12,8),-0.613963 # DEPENDENCYPART_ARC
(12,9),0.405677 # DEPENDENCYPART_ARC
(12,10),-0.706211 # DEPENDENCYPART_ARC
(12,11),2.17904 # DEPENDENCYPART_ARC
(12,13),-1.13985 # DEPENDENCYPART_ARC
(12,15),-1.06851 # DEPENDENCYPART_ARC
(12,16),-4.73938 # DEPENDENCYPART_ARC
(12,17),-1.35493 # DEPENDENCYPART_ARC
(12,18),-1.4371 # DEPENDENCYPART_ARC
(12,20),-2.8915 # DEPENDENCYPART_ARC
(12,21),-3.25784 # DEPENDENCYPART_ARC
(12,22),-1.44549 # DEPENDENCYPART_ARC
(12,23),-2.70432 # DEPENDENCYPART_ARC
(13,2),-2.09082 # DEPENDENCYPART_ARC
(13,4),-1.17071 # DEPENDENCYPART_ARC
(13,6),-1.83398 # DEPENDENCYPART_ARC
(13,7),-0.967835 # DEPENDENCYPART_ARC
(13,8),-1.45713 # DEPENDENCYPART_ARC
(13,9),-1.18018 # DEPENDENCYPART_ARC
(13,10),-1.1597 # DEPENDENCYPART_ARC
(13,11),-1.53698 # DEPENDENCYPART_ARC
(13,12),-1.38292 # DEPENDENCYPART_ARC
(13,15),-0.921994 # DEPENDENCYPART_ARC
(13,16),-1.61952 # DEPENDENCYPART_ARC
(13,17),-0.732896 # DEPENDENCYPART_ARC
(13,18),-1.54279 # DEPENDENCYPART_ARC
(13,20),-2.98797 # DEPENDENCYPART_ARC
(13,23),-2.66805 # DEPENDENCYPART_ARC
(14,16),-1.3879 # DEPENDENCYPART_ARC
(14,20),-1.57915 # DEPENDENCYPART_ARC
(14,22),-1.42041 # DEPENDENCYPART_ARC
(15,1),-1.74892 # DEPENDENCYPART_ARC
(15,2),-1.85013 # DEPENDENCYPART_ARC
(15,3),-4.09115 # DEPENDENCYPART_ARC
(15,4),-0.752601 # DEPENDENCYPART_ARC
(15,6),-1.5865 # DEPENDENCYPART_ARC
