# _root_ Situaci ztěžuje skutečnost , že výrobní družstva invalidů musejí být zisková , aby se udržela .
#goldHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
#predictedHeads=2,0,2,5,3,7,9,7,5,9,10,13,9,15,13,0,
(0,1),-1.40056 # DEPENDENCYPART_ARC
(0,2),-0.270939 # DEPENDENCYPART_ARC
(0,3),-1.3125 # DEPENDENCYPART_ARC
(0,4),-0.903857 # DEPENDENCYPART_ARC
(0,5),-2.06446 # DEPENDENCYPART_ARC
(0,9),-0.443432 # DEPENDENCYPART_ARC
(0,10),-1.84067 # DEPENDENCYPART_ARC
(0,12),-1.48347 # DEPENDENCYPART_ARC
(0,13),-2.43425 # DEPENDENCYPART_ARC
(0,15),-1.65336 # DEPENDENCYPART_ARC
(0,16),1.91596 # DEPENDENCYPART_ARC
(1,2),-1.0003 # DEPENDENCYPART_ARC
(1,3),-1.84358 # DEPENDENCYPART_ARC
(1,5),-0.997744 # DEPENDENCYPART_ARC
(2,1),0.97123 # DEPENDENCYPART_ARC
(2,3),1.80452 # DEPENDENCYPART_ARC
(2,4),-0.677281 # DEPENDENCYPART_ARC
(2,5),-0.171389 # DEPENDENCYPART_ARC
(2,6),-2.06924 # DEPENDENCYPART_ARC
(2,7),-1.67391 # DEPENDENCYPART_ARC
(2,8),-4.05695 # DEPENDENCYPART_ARC
(2,9),-2.99758 # DEPENDENCYPART_ARC
(2,11),-2.74411 # DEPENDENCYPART_ARC
(2,12),-1.25821 # DEPENDENCYPART_ARC
(2,13),-1.50381 # DEPENDENCYPART_ARC
(3,1),-2.82115 # DEPENDENCYPART_ARC
(3,2),-1.59064 # DEPENDENCYPART_ARC
(3,4),-0.930756 # DEPENDENCYPART_ARC
(3,5),-0.251661 # DEPENDENCYPART_ARC
(3,6),-2.78143 # DEPENDENCYPART_ARC
(3,7),-1.38438 # DEPENDENCYPART_ARC
(3,8),-0.706494 # DEPENDENCYPART_ARC
(3,9),-1.98264 # DEPENDENCYPART_ARC
(3,10),-1.50751 # DEPENDENCYPART_ARC
(3,11),-3.37776 # DEPENDENCYPART_ARC
(3,13),-1.36731 # DEPENDENCYPART_ARC
(3,15),-2.76717 # DEPENDENCYPART_ARC
(4,1),-1.35965 # DEPENDENCYPART_ARC
(4,2),-0.999753 # DEPENDENCYPART_ARC
(4,3),-1.07606 # DEPENDENCYPART_ARC
(4,5),-0.807576 # DEPENDENCYPART_ARC
(4,6),-1.82177 # DEPENDENCYPART_ARC
(4,7),-1.92382 # DEPENDENCYPART_ARC
(4,9),-1.59854 # DEPENDENCYPART_ARC
(4,10),-2.17134 # DEPENDENCYPART_ARC
(4,11),-2.74278 # DEPENDENCYPART_ARC
(4,12),-0.861383 # DEPENDENCYPART_ARC
(4,15),-3.10729 # DEPENDENCYPART_ARC
(5,1),-1.504 # DEPENDENCYPART_ARC
(5,2),-1.48101 # DEPENDENCYPART_ARC
(5,3),-1.04834 # DEPENDENCYPART_ARC
(5,4),1.46145 # DEPENDENCYPART_ARC
(5,6),-0.463761 # DEPENDENCYPART_ARC
(5,7),-1.56269 # DEPENDENCYPART_ARC
(5,8),-2.59662 # DEPENDENCYPART_ARC
(5,9),0.953174 # DEPENDENCYPART_ARC
(5,10),-0.154837 # DEPENDENCYPART_ARC
(5,12),-0.315856 # DEPENDENCYPART_ARC
(5,13),-1.30803 # DEPENDENCYPART_ARC
(5,15),-1.40869 # DEPENDENCYPART_ARC
(6,4),-1.83031 # DEPENDENCYPART_ARC
(6,5),-1.42656 # DEPENDENCYPART_ARC
(6,7),-2.39015 # DEPENDENCYPART_ARC
(6,8),-2.40254 # DEPENDENCYPART_ARC
(7,3),-3.83959 # DEPENDENCYPART_ARC
(7,4),-1.13799 # DEPENDENCYPART_ARC
(7,5),-0.571537 # DEPENDENCYPART_ARC
(7,6),2.175 # DEPENDENCYPART_ARC
(7,8),1.53556 # DEPENDENCYPART_ARC
(7,9),-1.75992 # DEPENDENCYPART_ARC
(7,10),-2.22175 # DEPENDENCYPART_ARC
(7,11),-1.98256 # DEPENDENCYPART_ARC
(7,12),-1.331 # DEPENDENCYPART_ARC
(7,13),-1.4033 # DEPENDENCYPART_ARC
(7,15),-3.83689 # DEPENDENCYPART_ARC
(8,1),-6.15593 # DEPENDENCYPART_ARC
(8,3),-6.25257 # DEPENDENCYPART_ARC
(8,5),-1.36205 # DEPENDENCYPART_ARC
(8,6),-2.12184 # DEPENDENCYPART_ARC
(8,7),-3.12479 # DEPENDENCYPART_ARC
(8,9),-1.226 # DEPENDENCYPART_ARC
(8,10),-2.52014 # DEPENDENCYPART_ARC
(8,11),-3.18479 # DEPENDENCYPART_ARC
(9,1),-1.2107 # DEPENDENCYPART_ARC
(9,2),-2.3791 # DEPENDENCYPART_ARC
(9,3),-2.06227 # DEPENDENCYPART_ARC
(9,4),-0.750116 # DEPENDENCYPART_ARC
(9,5),-1.64616 # DEPENDENCYPART_ARC
(9,6),-1.76028 # DEPENDENCYPART_ARC
(9,7),0.135587 # DEPENDENCYPART_ARC
(9,8),-1.29218 # DEPENDENCYPART_ARC
(9,10),2.58202 # DEPENDENCYPART_ARC
(9,11),-0.442401 # DEPENDENCYPART_ARC
(9,12),-0.661283 # DEPENDENCYPART_ARC
(9,13),-0.413096 # DEPENDENCYPART_ARC
(9,15),-2.57578 # DEPENDENCYPART_ARC
(9,16),-1.2379 # DEPENDENCYPART_ARC
(10,1),0.0168192 # DEPENDENCYPART_ARC
(10,2),-4.03379 # DEPENDENCYPART_ARC
(10,3),-2.77954 # DEPENDENCYPART_ARC
(10,4),-2.05619 # DEPENDENCYPART_ARC
(10,6),-2.20145 # DEPENDENCYPART_ARC
(10,7),-1.22293 # DEPENDENCYPART_ARC
(10,8),-1.62046 # DEPENDENCYPART_ARC
(10,9),-1.08886 # DEPENDENCYPART_ARC
(10,11),0.462106 # DEPENDENCYPART_ARC
(10,12),-0.861465 # DEPENDENCYPART_ARC
(10,13),-0.470924 # DEPENDENCYPART_ARC
(10,15),-1.53466 # DEPENDENCYPART_ARC
(10,16),-1.47058 # DEPENDENCYPART_ARC
(11,1),-2.93901 # DEPENDENCYPART_ARC
(11,6),-2.72654 # DEPENDENCYPART_ARC
(11,8),-2.86753 # DEPENDENCYPART_ARC
(11,10),-0.798424 # DEPENDENCYPART_ARC
(11,12),-1.23229 # DEPENDENCYPART_ARC
(11,13),-1.4899 # DEPENDENCYPART_ARC
(11,15),-3.95149 # DEPENDENCYPART_ARC
(12,2),-1.73092 # DEPENDENCYPART_ARC
(12,4),-0.934177 # DEPENDENCYPART_ARC
(12,5),-0.79856 # DEPENDENCYPART_ARC
(12,9),-0.964412 # DEPENDENCYPART_ARC
(12,10),-1.07045 # DEPENDENCYPART_ARC
(12,11),-0.95366 # DEPENDENCYPART_ARC
(12,13),-0.565846 # DEPENDENCYPART_ARC
(12,15),-1.09082 # DEPENDENCYPART_ARC
(12,16),-0.943003 # DEPENDENCYPART_ARC
(13,2),-2.05841 # DEPENDENCYPART_ARC
(13,7),-2.00902 # DEPENDENCYPART_ARC
(13,8),-1.81341 # DEPENDENCYPART_ARC
(13,9),-0.995276 # DEPENDENCYPART_ARC
(13,11),-1.31026 # DEPENDENCYPART_ARC
(13,12),1.4572 # DEPENDENCYPART_ARC
(13,15),1.57162 # DEPENDENCYPART_ARC
(13,16),-0.274424 # DEPENDENCYPART_ARC
(15,1),-0.748692 # DEPENDENCYPART_ARC
(15,2),-2.52679 # DEPENDENCYPART_ARC
(15,3),-1.43401 # DEPENDENCYPART_ARC
(15,4),-2.20109 # DEPENDENCYPART_ARC
(15,6),-2.33677 # DEPENDENCYPART_ARC
(15,7),-1.38854 # DEPENDENCYPART_ARC
(15,8),-3.76186 # DEPENDENCYPART_ARC
(15,10),-0.652299 # DEPENDENCYPART_ARC
(15,11),-1.7139 # DEPENDENCYPART_ARC
(15,12),-0.634954 # DEPENDENCYPART_ARC
(15,13),-0.735389 # DEPENDENCYPART_ARC
