# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,15,13,15,13,10,0,
(0,1),0.158383 # DEPENDENCYPART_ARC
(0,2),-1.45143 # DEPENDENCYPART_ARC
(0,3),-1.50183 # DEPENDENCYPART_ARC
(0,4),-1.17181 # DEPENDENCYPART_ARC
(0,5),-1.62638 # DEPENDENCYPART_ARC
(0,7),-0.884296 # DEPENDENCYPART_ARC
(0,8),-1.98925 # DEPENDENCYPART_ARC
(0,10),-1.37905 # DEPENDENCYPART_ARC
(0,11),-1.9533 # DEPENDENCYPART_ARC
(0,16),1.80231 # DEPENDENCYPART_ARC
(1,2),1.00916 # DEPENDENCYPART_ARC
(1,3),1.65168 # DEPENDENCYPART_ARC
(1,4),-0.426629 # DEPENDENCYPART_ARC
(1,5),0.567278 # DEPENDENCYPART_ARC
(1,6),-1.25506 # DEPENDENCYPART_ARC
(1,7),-1.58479 # DEPENDENCYPART_ARC
(1,8),-1.15425 # DEPENDENCYPART_ARC
(1,9),-1.7823 # DEPENDENCYPART_ARC
(1,10),-0.410233 # DEPENDENCYPART_ARC
(1,11),-1.12175 # DEPENDENCYPART_ARC
(1,12),-0.706989 # DEPENDENCYPART_ARC
(1,13),-2.55522 # DEPENDENCYPART_ARC
(1,14),-0.940671 # DEPENDENCYPART_ARC
(1,15),-3.19116 # DEPENDENCYPART_ARC
(1,16),-1.20786 # DEPENDENCYPART_ARC
(2,1),-1.35675 # DEPENDENCYPART_ARC
(2,3),-2.09965 # DEPENDENCYPART_ARC
(2,4),-1.52471 # DEPENDENCYPART_ARC
(2,5),-1.4593 # DEPENDENCYPART_ARC
(3,1),-1.81779 # DEPENDENCYPART_ARC
(3,2),0.379716 # DEPENDENCYPART_ARC
(3,4),-1.03912 # DEPENDENCYPART_ARC
(3,5),-1.3056 # DEPENDENCYPART_ARC
(3,7),-3.85925 # DEPENDENCYPART_ARC
(4,1),-0.91721 # DEPENDENCYPART_ARC
(4,2),-0.833322 # DEPENDENCYPART_ARC
(4,3),-1.2761 # DEPENDENCYPART_ARC
(4,5),-0.661411 # DEPENDENCYPART_ARC
(4,6),-1.43789 # DEPENDENCYPART_ARC
(4,7),-1.3471 # DEPENDENCYPART_ARC
(4,8),-1.60883 # DEPENDENCYPART_ARC
(4,13),-2.26512 # DEPENDENCYPART_ARC
(4,15),-2.97067 # DEPENDENCYPART_ARC
(5,1),-1.50569 # DEPENDENCYPART_ARC
(5,2),-1.16015 # DEPENDENCYPART_ARC
(5,3),-0.968686 # DEPENDENCYPART_ARC
(5,4),1.65705 # DEPENDENCYPART_ARC
(5,6),-0.469548 # DEPENDENCYPART_ARC
(5,7),0.841189 # DEPENDENCYPART_ARC
(5,8),-1.52652 # DEPENDENCYPART_ARC
(5,9),-2.12675 # DEPENDENCYPART_ARC
(5,10),-0.611458 # DEPENDENCYPART_ARC
(5,12),-1.33493 # DEPENDENCYPART_ARC
(5,14),-1.18271 # DEPENDENCYPART_ARC
(5,15),-3.19836 # DEPENDENCYPART_ARC
(6,2),-2.42962 # DEPENDENCYPART_ARC
(6,3),-4.00081 # DEPENDENCYPART_ARC
(6,4),-1.67149 # DEPENDENCYPART_ARC
(6,5),-1.05474 # DEPENDENCYPART_ARC
(6,7),-2.4716 # DEPENDENCYPART_ARC
(6,9),-3.19278 # DEPENDENCYPART_ARC
(7,1),-2.34921 # DEPENDENCYPART_ARC
(7,2),-1.25556 # DEPENDENCYPART_ARC
(7,3),-2.01534 # DEPENDENCYPART_ARC
(7,4),-0.591064 # DEPENDENCYPART_ARC
(7,5),-0.896864 # DEPENDENCYPART_ARC
(7,6),0.0911656 # DEPENDENCYPART_ARC
(7,8),-0.443079 # DEPENDENCYPART_ARC
(7,9),0.806164 # DEPENDENCYPART_ARC
(7,10),-0.266956 # DEPENDENCYPART_ARC
(7,11),-1.08419 # DEPENDENCYPART_ARC
(7,12),-0.880567 # DEPENDENCYPART_ARC
(7,13),-1.26476 # DEPENDENCYPART_ARC
(7,14),-0.899782 # DEPENDENCYPART_ARC
(7,15),-1.57154 # DEPENDENCYPART_ARC
(7,16),-1.39875 # DEPENDENCYPART_ARC
(8,1),-2.23322 # DEPENDENCYPART_ARC
(8,6),-1.67885 # DEPENDENCYPART_ARC
(8,7),-0.918484 # DEPENDENCYPART_ARC
