# _root_ Ale také na úseku průmyslové a stavební výroby , kde dosud dominovalo Polsko , dochází i v České republice k významnému pokroku .
#goldHeads=0,4,15,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
#predictedHeads=0,4,1,3,6,8,6,4,12,12,12,8,12,12,1,19,15,19,17,15,22,20,0,
(0,1),1.15927 # DEPENDENCYPART_ARC
(0,2),-1.09389 # DEPENDENCYPART_ARC
(0,3),-0.655291 # DEPENDENCYPART_ARC
(0,6),-0.888315 # DEPENDENCYPART_ARC
(0,9),-1.31666 # DEPENDENCYPART_ARC
(0,12),-0.264957 # DEPENDENCYPART_ARC
(0,14),-1.67209 # DEPENDENCYPART_ARC
(0,15),0.0939423 # DEPENDENCYPART_ARC
(0,23),2.02887 # DEPENDENCYPART_ARC
(1,2),-0.416047 # DEPENDENCYPART_ARC
(1,3),-0.407307 # DEPENDENCYPART_ARC
(1,4),-1.34672 # DEPENDENCYPART_ARC
(1,5),-1.3043 # DEPENDENCYPART_ARC
(1,6),-0.541862 # DEPENDENCYPART_ARC
(1,7),-1.88573 # DEPENDENCYPART_ARC
(1,8),-1.74856 # DEPENDENCYPART_ARC
(1,9),-0.239426 # DEPENDENCYPART_ARC
(1,11),-1.53115 # DEPENDENCYPART_ARC
(1,12),-1.2928 # DEPENDENCYPART_ARC
(1,14),-0.0914387 # DEPENDENCYPART_ARC
(1,15),-1.96866 # DEPENDENCYPART_ARC
(1,16),-1.29077 # DEPENDENCYPART_ARC
(1,17),-2.28839 # DEPENDENCYPART_ARC
(1,23),-0.860872 # DEPENDENCYPART_ARC
(2,1),-0.610784 # DEPENDENCYPART_ARC
(2,3),-1.20045 # DEPENDENCYPART_ARC
(2,4),-2.21738 # DEPENDENCYPART_ARC
(3,2),-1.39976 # DEPENDENCYPART_ARC
(3,4),1.89523 # DEPENDENCYPART_ARC
(3,5),-2.70647 # DEPENDENCYPART_ARC
(3,6),-1.44031 # DEPENDENCYPART_ARC
(3,8),-3.22083 # DEPENDENCYPART_ARC
(4,1),-0.825739 # DEPENDENCYPART_ARC
(4,2),-0.0964294 # DEPENDENCYPART_ARC
(4,3),0.0581703 # DEPENDENCYPART_ARC
(4,5),-0.697265 # DEPENDENCYPART_ARC
(4,6),-0.180289 # DEPENDENCYPART_ARC
(4,7),-2.40235 # DEPENDENCYPART_ARC
(4,8),0.324538 # DEPENDENCYPART_ARC
(4,9),-1.15736 # DEPENDENCYPART_ARC
(4,10),-1.19491 # DEPENDENCYPART_ARC
(4,12),-2.06439 # DEPENDENCYPART_ARC
(4,13),-1.69766 # DEPENDENCYPART_ARC
(4,20),-1.48707 # DEPENDENCYPART_ARC
(5,1),-1.12143 # DEPENDENCYPART_ARC
(5,2),-1.46485 # DEPENDENCYPART_ARC
(5,3),-0.911437 # DEPENDENCYPART_ARC
(5,4),-2.14274 # DEPENDENCYPART_ARC
(6,1),-0.5171 # DEPENDENCYPART_ARC
(6,2),-0.286556 # DEPENDENCYPART_ARC
(6,3),-0.527214 # DEPENDENCYPART_ARC
(6,4),-0.24886 # DEPENDENCYPART_ARC
(6,5),1.75145 # DEPENDENCYPART_ARC
(6,7),3.01992 # DEPENDENCYPART_ARC
(6,8),-0.480088 # DEPENDENCYPART_ARC
(6,9),-0.765852 # DEPENDENCYPART_ARC
(6,10),-1.23427 # DEPENDENCYPART_ARC
(6,11),-1.34579 # DEPENDENCYPART_ARC
(6,12),-1.03691 # DEPENDENCYPART_ARC
(6,13),-2.20274 # DEPENDENCYPART_ARC
(6,14),-0.681276 # DEPENDENCYPART_ARC
(6,15),-2.44375 # DEPENDENCYPART_ARC
(6,17),-1.86869 # DEPENDENCYPART_ARC
(6,18),-1.89624 # DEPENDENCYPART_ARC
(6,20),-2.07313 # DEPENDENCYPART_ARC
(6,21),-2.48409 # DEPENDENCYPART_ARC
(7,8),-2.14191 # DEPENDENCYPART_ARC
(8,1),-1.00081 # DEPENDENCYPART_ARC
(8,2),-0.602982 # DEPENDENCYPART_ARC
(8,4),-4.65469 # DEPENDENCYPART_ARC
(8,5),-0.296876 # DEPENDENCYPART_ARC
(8,6),0.78819 # DEPENDENCYPART_ARC
(8,7),2.34964 # DEPENDENCYPART_ARC
(8,9),-1.53062 # DEPENDENCYPART_ARC
(8,10),-1.77629 # DEPENDENCYPART_ARC
