# _root_ Během SNP působily na území Slovenska vojenské mise Spojenců , a to sovětská , britská a americká .
#goldHeads=3,1,0,3,4,5,8,3,8,16,12,16,16,16,16,8,16,0,
#predictedHeads=3,1,0,3,4,5,8,3,8,11,3,11,16,16,16,11,16,0,
(0,1),-1.01047 # DEPENDENCYPART_ARC
(0,2),-1.86399 # DEPENDENCYPART_ARC
(0,3),-0.202986 # DEPENDENCYPART_ARC
(0,4),-1.51089 # DEPENDENCYPART_ARC
(0,5),-2.37259 # DEPENDENCYPART_ARC
(0,10),-0.973151 # DEPENDENCYPART_ARC
(0,11),-0.570107 # DEPENDENCYPART_ARC
(0,14),-1.4579 # DEPENDENCYPART_ARC
(0,16),-1.50639 # DEPENDENCYPART_ARC
(0,18),1.65281 # DEPENDENCYPART_ARC
(1,2),2.24492 # DEPENDENCYPART_ARC
(1,3),-2.06101 # DEPENDENCYPART_ARC
(1,5),-1.71902 # DEPENDENCYPART_ARC
(2,1),-1.31604 # DEPENDENCYPART_ARC
(2,3),-2.71121 # DEPENDENCYPART_ARC
(2,4),-2.21865 # DEPENDENCYPART_ARC
(3,1),1.42649 # DEPENDENCYPART_ARC
(3,2),-1.43787 # DEPENDENCYPART_ARC
(3,4),1.36721 # DEPENDENCYPART_ARC
(3,5),-0.656423 # DEPENDENCYPART_ARC
(3,6),-1.59258 # DEPENDENCYPART_ARC
(3,7),-0.479464 # DEPENDENCYPART_ARC
(3,8),0.161007 # DEPENDENCYPART_ARC
(3,9),-1.66924 # DEPENDENCYPART_ARC
(3,10),-0.758187 # DEPENDENCYPART_ARC
(3,11),-0.430472 # DEPENDENCYPART_ARC
(3,12),-1.96607 # DEPENDENCYPART_ARC
(3,13),-2.08738 # DEPENDENCYPART_ARC
(3,14),-1.15785 # DEPENDENCYPART_ARC
(3,16),-1.20972 # DEPENDENCYPART_ARC
(3,17),-2.95632 # DEPENDENCYPART_ARC
(3,18),-1.65393 # DEPENDENCYPART_ARC
(4,5),2.2312 # DEPENDENCYPART_ARC
(4,6),-2.00909 # DEPENDENCYPART_ARC
(4,7),-3.94167 # DEPENDENCYPART_ARC
(4,8),-3.8418 # DEPENDENCYPART_ARC
(4,16),-2.14174 # DEPENDENCYPART_ARC
(5,1),-1.18611 # DEPENDENCYPART_ARC
(5,3),-3.63626 # DEPENDENCYPART_ARC
(5,4),-0.49083 # DEPENDENCYPART_ARC
(5,6),2.31064 # DEPENDENCYPART_ARC
(5,7),-2.95022 # DEPENDENCYPART_ARC
(5,8),-1.93673 # DEPENDENCYPART_ARC
(5,9),-1.08374 # DEPENDENCYPART_ARC
(5,10),-1.16941 # DEPENDENCYPART_ARC
(5,11),-0.728035 # DEPENDENCYPART_ARC
(5,13),-3.3844 # DEPENDENCYPART_ARC
(5,14),-1.16846 # DEPENDENCYPART_ARC
(5,15),-3.36273 # DEPENDENCYPART_ARC
(5,16),-1.03193 # DEPENDENCYPART_ARC
(5,17),-3.80559 # DEPENDENCYPART_ARC
(6,1),-1.65606 # DEPENDENCYPART_ARC
(6,2),-2.82378 # DEPENDENCYPART_ARC
(6,3),-4.0416 # DEPENDENCYPART_ARC
(6,4),-1.81951 # DEPENDENCYPART_ARC
(6,5),-2.94129 # DEPENDENCYPART_ARC
(6,7),-3.73584 # DEPENDENCYPART_ARC
(6,8),-0.944124 # DEPENDENCYPART_ARC
