# _root_ Dříve byly ty slabší lacinější , ale když slyšíte , kolik teď stojí připravit špičkový šestnáctkový motor . . .
#goldHeads=2,7,2,3,2,7,0,7,8,13,13,13,9,13,17,17,14,0,0,0,
#predictedHeads=2,7,2,3,2,7,0,13,8,8,13,13,7,13,17,17,14,0,0,0,
(0,1),-0.648092 # DEPENDENCYPART_ARC
(0,2),-0.584713 # DEPENDENCYPART_ARC
(0,3),-2.2074 # DEPENDENCYPART_ARC
(0,4),-1.76794 # DEPENDENCYPART_ARC
(0,6),-1.07632 # DEPENDENCYPART_ARC
(0,7),0.211838 # DEPENDENCYPART_ARC
(0,8),-1.26462 # DEPENDENCYPART_ARC
(0,9),-1.3555 # DEPENDENCYPART_ARC
(0,10),-1.52637 # DEPENDENCYPART_ARC
(0,11),-1.59449 # DEPENDENCYPART_ARC
(0,13),-1.26075 # DEPENDENCYPART_ARC
(0,14),-2.13394 # DEPENDENCYPART_ARC
(0,18),0.962875 # DEPENDENCYPART_ARC
(0,19),0.98193 # DEPENDENCYPART_ARC
(0,20),1.99542 # DEPENDENCYPART_ARC
(1,2),-2.18083 # DEPENDENCYPART_ARC
(1,3),-1.91616 # DEPENDENCYPART_ARC
(2,1),0.616602 # DEPENDENCYPART_ARC
(2,3),0.201805 # DEPENDENCYPART_ARC
(2,4),-0.402024 # DEPENDENCYPART_ARC
(2,5),-0.543011 # DEPENDENCYPART_ARC
(2,6),-0.736155 # DEPENDENCYPART_ARC
(2,7),-0.757759 # DEPENDENCYPART_ARC
(2,8),-0.694038 # DEPENDENCYPART_ARC
(2,9),-1.23497 # DEPENDENCYPART_ARC
(2,10),-0.745901 # DEPENDENCYPART_ARC
(2,12),-2.27099 # DEPENDENCYPART_ARC
(2,18),-1.24283 # DEPENDENCYPART_ARC
(2,19),-1.2197 # DEPENDENCYPART_ARC
(3,1),-0.704862 # DEPENDENCYPART_ARC
(3,2),-1.31957 # DEPENDENCYPART_ARC
(3,4),-0.62414 # DEPENDENCYPART_ARC
(3,5),-1.27378 # DEPENDENCYPART_ARC
(3,6),-0.629768 # DEPENDENCYPART_ARC
(3,7),-0.530822 # DEPENDENCYPART_ARC
(3,8),-0.72239 # DEPENDENCYPART_ARC
(3,9),-1.57181 # DEPENDENCYPART_ARC
(3,10),-0.61842 # DEPENDENCYPART_ARC
(3,13),-2.06843 # DEPENDENCYPART_ARC
(4,1),-0.817403 # DEPENDENCYPART_ARC
(4,3),-1.17404 # DEPENDENCYPART_ARC
(4,5),-1.96652 # DEPENDENCYPART_ARC
(4,6),-1.14208 # DEPENDENCYPART_ARC
(4,7),-0.841944 # DEPENDENCYPART_ARC
(4,8),-0.878351 # DEPENDENCYPART_ARC
(4,13),-3.63007 # DEPENDENCYPART_ARC
(5,1),-0.717517 # DEPENDENCYPART_ARC
(5,2),-2.04859 # DEPENDENCYPART_ARC
(5,3),-1.33883 # DEPENDENCYPART_ARC
(5,4),-1.62074 # DEPENDENCYPART_ARC
(5,6),-0.76742 # DEPENDENCYPART_ARC
(5,7),-1.26335 # DEPENDENCYPART_ARC
(5,8),-1.2816 # DEPENDENCYPART_ARC
(6,2),-1.49137 # DEPENDENCYPART_ARC
(6,4),-2.00222 # DEPENDENCYPART_ARC
(6,5),-1.55049 # DEPENDENCYPART_ARC
(6,9),-1.43768 # DEPENDENCYPART_ARC
(7,1),-1.13983 # DEPENDENCYPART_ARC
(7,2),-0.286663 # DEPENDENCYPART_ARC
(7,3),-1.20599 # DEPENDENCYPART_ARC
(7,4),-1.31458 # DEPENDENCYPART_ARC
(7,5),-0.585905 # DEPENDENCYPART_ARC
(7,6),1.88295 # DEPENDENCYPART_ARC
(7,8),0.825184 # DEPENDENCYPART_ARC
(7,9),0.390583 # DEPENDENCYPART_ARC
(7,10),-0.0275364 # DEPENDENCYPART_ARC
(7,12),-1.27317 # DEPENDENCYPART_ARC
(7,13),-1.00151 # DEPENDENCYPART_ARC
(7,14),-1.56445 # DEPENDENCYPART_ARC
(7,15),-2.14476 # DEPENDENCYPART_ARC
(7,17),-2.0529 # DEPENDENCYPART_ARC
(7,18),-0.750216 # DEPENDENCYPART_ARC
(7,19),-0.714558 # DEPENDENCYPART_ARC
(7,20),-0.968912 # DEPENDENCYPART_ARC
(8,2),-0.444852 # DEPENDENCYPART_ARC
(8,5),-1.73513 # DEPENDENCYPART_ARC
(8,6),0.649044 # DEPENDENCYPART_ARC
(8,7),0.350115 # DEPENDENCYPART_ARC
(8,9),1.83104 # DEPENDENCYPART_ARC
(8,10),0.316428 # DEPENDENCYPART_ARC
(8,12),-1.47071 # DEPENDENCYPART_ARC
(8,13),-0.680779 # DEPENDENCYPART_ARC
(8,14),-1.40002 # DEPENDENCYPART_ARC
(8,18),-1.17159 # DEPENDENCYPART_ARC
(8,19),-1.49756 # DEPENDENCYPART_ARC
(8,20),-1.85169 # DEPENDENCYPART_ARC
(9,1),-1.13833 # DEPENDENCYPART_ARC
(9,2),-3.56562 # DEPENDENCYPART_ARC
(9,3),-2.32343 # DEPENDENCYPART_ARC
(9,4),-1.98447 # DEPENDENCYPART_ARC
(9,5),-1.78113 # DEPENDENCYPART_ARC
(9,6),-1.05559 # DEPENDENCYPART_ARC
(9,7),-1.14129 # DEPENDENCYPART_ARC
(9,8),-0.0810294 # DEPENDENCYPART_ARC
(9,10),-0.631422 # DEPENDENCYPART_ARC
(9,12),-1.43209 # DEPENDENCYPART_ARC
(9,13),-1.63821 # DEPENDENCYPART_ARC
(9,14),-0.00208958 # DEPENDENCYPART_ARC
(9,15),-4.49177 # DEPENDENCYPART_ARC
(9,17),-1.83388 # DEPENDENCYPART_ARC
