# _root_ Regulované a centrálně stanovené ceny se zjišťují na příslušných orgánech ( tisk , energie , pojištění aj . ) .
#goldHeads=2,5,4,2,7,7,0,7,10,8,17,17,17,17,17,17,10,17,17,0,
#predictedHeads=2,5,4,2,7,7,0,7,10,8,17,7,17,15,17,17,12,17,17,0,
(0,1),-1.15782 # DEPENDENCYPART_ARC
(0,2),-1.00623 # DEPENDENCYPART_ARC
(0,3),-1.00902 # DEPENDENCYPART_ARC
(0,4),-1.72286 # DEPENDENCYPART_ARC
(0,5),-1.44895 # DEPENDENCYPART_ARC
(0,7),-0.431035 # DEPENDENCYPART_ARC
(0,11),-0.887695 # DEPENDENCYPART_ARC
(0,13),-1.37014 # DEPENDENCYPART_ARC
(0,15),-1.42612 # DEPENDENCYPART_ARC
(0,18),0.445546 # DEPENDENCYPART_ARC
(0,20),1.82242 # DEPENDENCYPART_ARC
(1,3),-2.02296 # DEPENDENCYPART_ARC
(2,1),0.711411 # DEPENDENCYPART_ARC
(2,3),-0.0445998 # DEPENDENCYPART_ARC
(2,4),1.14091 # DEPENDENCYPART_ARC
(2,5),-0.879685 # DEPENDENCYPART_ARC
(2,7),0.093322 # DEPENDENCYPART_ARC
(2,8),-0.895406 # DEPENDENCYPART_ARC
(2,9),-1.20626 # DEPENDENCYPART_ARC
(2,10),-2.09774 # DEPENDENCYPART_ARC
(2,11),-0.662532 # DEPENDENCYPART_ARC
(2,13),-0.932449 # DEPENDENCYPART_ARC
(2,15),-1.20087 # DEPENDENCYPART_ARC
(2,17),-2.4525 # DEPENDENCYPART_ARC
(2,19),-1.60688 # DEPENDENCYPART_ARC
(3,1),-2.68935 # DEPENDENCYPART_ARC
(3,2),-0.723933 # DEPENDENCYPART_ARC
(3,4),-2.28442 # DEPENDENCYPART_ARC
(3,5),-2.31463 # DEPENDENCYPART_ARC
(3,7),-2.35521 # DEPENDENCYPART_ARC
(4,1),-2.74347 # DEPENDENCYPART_ARC
(4,2),-0.582979 # DEPENDENCYPART_ARC
(4,3),1.20429 # DEPENDENCYPART_ARC
(4,5),-1.61918 # DEPENDENCYPART_ARC
(4,6),-1.42221 # DEPENDENCYPART_ARC
(4,7),-3.42641 # DEPENDENCYPART_ARC
(4,8),-1.27705 # DEPENDENCYPART_ARC
(5,1),-0.818934 # DEPENDENCYPART_ARC
(5,2),0.234448 # DEPENDENCYPART_ARC
(5,3),-0.376416 # DEPENDENCYPART_ARC
(5,4),1.95334 # DEPENDENCYPART_ARC
(5,6),-1.43298 # DEPENDENCYPART_ARC
(5,7),-1.66108 # DEPENDENCYPART_ARC
(5,8),-1.09587 # DEPENDENCYPART_ARC
(5,9),-2.15341 # DEPENDENCYPART_ARC
(5,10),-2.21027 # DEPENDENCYPART_ARC
(5,11),-0.889324 # DEPENDENCYPART_ARC
(5,12),-2.9631 # DEPENDENCYPART_ARC
(7,1),-1.40255 # DEPENDENCYPART_ARC
(7,2),-0.942268 # DEPENDENCYPART_ARC
(7,3),-0.301296 # DEPENDENCYPART_ARC
(7,4),-1.18564 # DEPENDENCYPART_ARC
(7,5),0.606272 # DEPENDENCYPART_ARC
(7,6),1.68995 # DEPENDENCYPART_ARC
(7,8),1.22749 # DEPENDENCYPART_ARC
(7,9),-2.39188 # DEPENDENCYPART_ARC
(7,10),0.0394432 # DEPENDENCYPART_ARC
(7,11),-0.621714 # DEPENDENCYPART_ARC
(7,12),-0.585407 # DEPENDENCYPART_ARC
(7,13),-0.762313 # DEPENDENCYPART_ARC
(7,14),-1.52891 # DEPENDENCYPART_ARC
(7,15),-0.955876 # DEPENDENCYPART_ARC
(7,16),-2.24052 # DEPENDENCYPART_ARC
(7,17),-3.23072 # DEPENDENCYPART_ARC
(7,18),-1.68679 # DEPENDENCYPART_ARC
(7,19),-1.44905 # DEPENDENCYPART_ARC
(7,20),-1.99271 # DEPENDENCYPART_ARC
(8,5),-3.6934 # DEPENDENCYPART_ARC
(8,9),-0.524672 # DEPENDENCYPART_ARC
(8,10),2.25394 # DEPENDENCYPART_ARC
(8,11),-0.947171 # DEPENDENCYPART_ARC
(8,12),-2.9165 # DEPENDENCYPART_ARC
(8,13),-1.2735 # DEPENDENCYPART_ARC
(8,14),-3.89488 # DEPENDENCYPART_ARC
(8,15),-1.51193 # DEPENDENCYPART_ARC
(9,3),-1.21079 # DEPENDENCYPART_ARC
(9,6),-2.41274 # DEPENDENCYPART_ARC
(10,1),-4.7356 # DEPENDENCYPART_ARC
(10,2),-0.486879 # DEPENDENCYPART_ARC
(10,3),-1.45833 # DEPENDENCYPART_ARC
(10,4),-3.33776 # DEPENDENCYPART_ARC
(10,6),-3.8328 # DEPENDENCYPART_ARC
(10,7),-1.32365 # DEPENDENCYPART_ARC
(10,8),-1.10335 # DEPENDENCYPART_ARC
(10,9),1.29418 # DEPENDENCYPART_ARC
(10,11),-0.597451 # DEPENDENCYPART_ARC
(10,12),-1.638 # DEPENDENCYPART_ARC
(10,13),-1.34316 # DEPENDENCYPART_ARC
(10,14),-2.77951 # DEPENDENCYPART_ARC
(10,15),-1.51034 # DEPENDENCYPART_ARC
(10,16),-3.19207 # DEPENDENCYPART_ARC
(10,17),-3.20073 # DEPENDENCYPART_ARC
(10,19),-1.92882 # DEPENDENCYPART_ARC
(11,1),-2.38373 # DEPENDENCYPART_ARC
(11,2),-1.47495 # DEPENDENCYPART_ARC
(11,3),-1.77521 # DEPENDENCYPART_ARC
(11,4),-2.31898 # DEPENDENCYPART_ARC
(11,5),-1.67183 # DEPENDENCYPART_ARC
(11,7),-1.48931 # DEPENDENCYPART_ARC
(11,8),-1.33562 # DEPENDENCYPART_ARC
(11,9),-1.40285 # DEPENDENCYPART_ARC
(11,10),-0.240009 # DEPENDENCYPART_ARC
(11,12),-0.237841 # DEPENDENCYPART_ARC
(11,13),-0.896409 # DEPENDENCYPART_ARC
(11,14),-1.88069 # DEPENDENCYPART_ARC
(11,15),-1.03253 # DEPENDENCYPART_ARC
(11,16),-2.35665 # DEPENDENCYPART_ARC
(11,18),-1.51196 # DEPENDENCYPART_ARC
(11,19),-0.740945 # DEPENDENCYPART_ARC
(12,2),-0.939265 # DEPENDENCYPART_ARC
(12,7),-2.41038 # DEPENDENCYPART_ARC
(12,8),-1.12301 # DEPENDENCYPART_ARC
(12,9),-3.54111 # DEPENDENCYPART_ARC
(12,10),-4.93644 # DEPENDENCYPART_ARC
(12,11),-0.924062 # DEPENDENCYPART_ARC
(12,13),-0.590897 # DEPENDENCYPART_ARC
(12,14),-0.921136 # DEPENDENCYPART_ARC
(12,16),-1.95492 # DEPENDENCYPART_ARC
(12,17),-1.8703 # DEPENDENCYPART_ARC
(12,18),-1.98227 # DEPENDENCYPART_ARC
(12,19),-2.06591 # DEPENDENCYPART_ARC
(13,1),-2.24065 # DEPENDENCYPART_ARC
(13,2),-0.731735 # DEPENDENCYPART_ARC
(13,3),-1.27325 # DEPENDENCYPART_ARC
(13,4),-2.18998 # DEPENDENCYPART_ARC
(13,5),-1.30441 # DEPENDENCYPART_ARC
(13,7),-0.876162 # DEPENDENCYPART_ARC
(13,8),-0.970768 # DEPENDENCYPART_ARC
(13,9),-1.54992 # DEPENDENCYPART_ARC
(13,10),-0.381529 # DEPENDENCYPART_ARC
(13,11),-0.0326158 # DEPENDENCYPART_ARC
(13,12),0.622789 # DEPENDENCYPART_ARC
(13,14),0.332095 # DEPENDENCYPART_ARC
(13,15),-0.580356 # DEPENDENCYPART_ARC
(13,16),-1.70646 # DEPENDENCYPART_ARC
(13,17),-1.61735 # DEPENDENCYPART_ARC
(13,18),-1.39288 # DEPENDENCYPART_ARC
(13,19),-1.35347 # DEPENDENCYPART_ARC
(13,20),-1.82593 # DEPENDENCYPART_ARC
(14,9),-5.3756 # DEPENDENCYPART_ARC
(14,10),-6.4281 # DEPENDENCYPART_ARC
(14,12),-2.65772 # DEPENDENCYPART_ARC
(14,13),-0.831622 # DEPENDENCYPART_ARC
(14,15),-0.929315 # DEPENDENCYPART_ARC
(14,16),-1.18188 # DEPENDENCYPART_ARC
(14,17),-2.22627 # DEPENDENCYPART_ARC
(14,18),-1.63455 # DEPENDENCYPART_ARC
(14,19),-2.15947 # DEPENDENCYPART_ARC
(15,1),-2.40194 # DEPENDENCYPART_ARC
(15,2),-0.839506 # DEPENDENCYPART_ARC
(15,4),-2.43269 # DEPENDENCYPART_ARC
(15,5),-1.53183 # DEPENDENCYPART_ARC
(15,7),-1.07637 # DEPENDENCYPART_ARC
(15,8),-0.979604 # DEPENDENCYPART_ARC
(15,9),-1.89226 # DEPENDENCYPART_ARC
(15,10),-0.827934 # DEPENDENCYPART_ARC
(15,11),-0.546697 # DEPENDENCYPART_ARC
(15,12),-0.118149 # DEPENDENCYPART_ARC
(15,13),0.32077 # DEPENDENCYPART_ARC
(15,14),0.589182 # DEPENDENCYPART_ARC
(15,16),0.0989765 # DEPENDENCYPART_ARC
(15,17),-1.31811 # DEPENDENCYPART_ARC
(15,18),-0.972224 # DEPENDENCYPART_ARC
(15,19),-0.922833 # DEPENDENCYPART_ARC
(15,20),-1.67216 # DEPENDENCYPART_ARC
(16,12),-3.50375 # DEPENDENCYPART_ARC
(16,14),-2.83088 # DEPENDENCYPART_ARC
(16,15),-0.657953 # DEPENDENCYPART_ARC
(16,17),-0.092684 # DEPENDENCYPART_ARC
(16,18),-0.458663 # DEPENDENCYPART_ARC
(16,19),-1.14017 # DEPENDENCYPART_ARC
(16,20),-1.58797 # DEPENDENCYPART_ARC
(17,5),-1.6096 # DEPENDENCYPART_ARC
(17,8),-1.23771 # DEPENDENCYPART_ARC
(17,10),-1.9393 # DEPENDENCYPART_ARC
(17,11),-0.810094 # DEPENDENCYPART_ARC
(17,12),-0.775627 # DEPENDENCYPART_ARC
(17,13),-0.54991 # DEPENDENCYPART_ARC
(17,14),-0.861169 # DEPENDENCYPART_ARC
(17,15),-0.0172783 # DEPENDENCYPART_ARC
(17,16),0.0745377 # DEPENDENCYPART_ARC
(17,18),0.8738 # DEPENDENCYPART_ARC
(17,19),-0.13242 # DEPENDENCYPART_ARC
(17,20),-0.380326 # DEPENDENCYPART_ARC
(18,16),-2.45572 # DEPENDENCYPART_ARC
(18,17),-1.84983 # DEPENDENCYPART_ARC
(19,14),-2.99208 # DEPENDENCYPART_ARC
(19,16),-2.44794 # DEPENDENCYPART_ARC
(19,17),-2.39723 # DEPENDENCYPART_ARC
(19,18),-1.76717 # DEPENDENCYPART_ARC
(19,20),-1.57455 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.227047 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.151955 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.105345 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0691091 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.360541 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.00543596 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0776571 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.302867 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.302867 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0519793 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.142834 # DEPENDENCYPART_SIBL
(0,2),(0,5),0.0271494 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.898665 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0361893 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.238729 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.238729 # DEPENDENCYPART_SIBL
(0,2),(0,18),0.0494213 # DEPENDENCYPART_SIBL
(0,2),(0,20),0.0494213 # DEPENDENCYPART_SIBL
(0,3),(0,4),0.207586 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.334209 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.292781 # DEPENDENCYPART_SIBL
(0,3),(0,11),0.0367166 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.154444 # DEPENDENCYPART_SIBL
(0,3),(0,15),-0.154444 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.102198 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.102198 # DEPENDENCYPART_SIBL
(0,4),(0,5),0.072659 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.360567 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.00544063 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0776617 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.0776617 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.302872 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.302872 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.201044 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0445367 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0360239 # DEPENDENCYPART_SIBL
(0,5),(0,15),-0.0360239 # DEPENDENCYPART_SIBL
(0,5),(0,18),-0.435105 # DEPENDENCYPART_SIBL
(0,5),(0,20),-0.435105 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0279511 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.296457 # DEPENDENCYPART_SIBL
(0,7),(0,15),-0.296457 # DEPENDENCYPART_SIBL
(0,7),(0,18),-0.00768346 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.00768346 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.015078 # DEPENDENCYPART_SIBL
(0,11),(0,15),-0.015078 # DEPENDENCYPART_SIBL
(0,11),(0,18),-0.136057 # DEPENDENCYPART_SIBL
(0,11),(0,20),-0.136057 # DEPENDENCYPART_SIBL
(0,13),(0,15),-0.129028 # DEPENDENCYPART_SIBL
(0,13),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,13),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,18),-0.133324 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.133324 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.147083 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.079595 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.653614 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00287904 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.21574 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0378059 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.649135 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.000123125 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0182684 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0293304 # DEPENDENCYPART_SIBL
(2,1),(2,15),-0.0293304 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.640267 # DEPENDENCYPART_SIBL
(2,1),(2,19),0.00795882 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00198137 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0205063 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.222155 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0241873 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.00195947 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0180937 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.0070884 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00301976 # DEPENDENCYPART_SIBL
(2,3),(2,15),-0.00301976 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.00684327 # DEPENDENCYPART_SIBL
(2,3),(2,19),0.0639482 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.185409 # DEPENDENCYPART_SIBL
(2,4),(2,7),-0.477214 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.0325369 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.294802 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.189738 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0543365 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.0173558 # DEPENDENCYPART_SIBL
(2,4),(2,15),-0.0173558 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.299694 # DEPENDENCYPART_SIBL
(2,4),(2,19),0.00964446 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.49091 # DEPENDENCYPART_SIBL
(2,5),(2,8),0.0583432 # DEPENDENCYPART_SIBL
(2,5),(2,9),0.00848546 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0349547 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0581536 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0599612 # DEPENDENCYPART_SIBL
(2,5),(2,15),-0.0599612 # DEPENDENCYPART_SIBL
(2,5),(2,17),0.00573785 # DEPENDENCYPART_SIBL
(2,5),(2,19),0.0393921 # DEPENDENCYPART_SIBL
(2,7),(2,8),0.0131083 # DEPENDENCYPART_SIBL
(2,7),(2,9),-0.0290283 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0260582 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0270694 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.0220354 # DEPENDENCYPART_SIBL
(2,7),(2,15),0.0220354 # DEPENDENCYPART_SIBL
(2,7),(2,17),-0.0323246 # DEPENDENCYPART_SIBL
(2,7),(2,19),0.115682 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0893096 # DEPENDENCYPART_SIBL
(2,8),(2,10),-0.014025 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0621777 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.064871 # DEPENDENCYPART_SIBL
(2,8),(2,15),-0.064871 # DEPENDENCYPART_SIBL
(2,8),(2,17),-0.0946771 # DEPENDENCYPART_SIBL
(2,8),(2,19),0.065296 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.193283 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0543227 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0173423 # DEPENDENCYPART_SIBL
(2,9),(2,15),-0.0173423 # DEPENDENCYPART_SIBL
(2,9),(2,17),-0.299689 # DEPENDENCYPART_SIBL
(2,9),(2,19),0.00966756 # DEPENDENCYPART_SIBL
(2,10),(2,11),-0.0520179 # DEPENDENCYPART_SIBL
(2,10),(2,13),-0.0521961 # DEPENDENCYPART_SIBL
(2,10),(2,15),-0.0521961 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.00264247 # DEPENDENCYPART_SIBL
(2,10),(2,19),0.0476204 # DEPENDENCYPART_SIBL
(2,11),(2,13),-0.274216 # DEPENDENCYPART_SIBL
(2,11),(2,15),-0.274216 # DEPENDENCYPART_SIBL
(2,11),(2,17),0.00764489 # DEPENDENCYPART_SIBL
(2,11),(2,19),0.105992 # DEPENDENCYPART_SIBL
(2,13),(2,15),-0.235972 # DEPENDENCYPART_SIBL
(2,13),(2,17),0.0375263 # DEPENDENCYPART_SIBL
(2,13),(2,19),-0.119501 # DEPENDENCYPART_SIBL
(2,15),(2,17),0.0375263 # DEPENDENCYPART_SIBL
(2,15),(2,19),-0.119501 # DEPENDENCYPART_SIBL
(2,17),(2,19),0.0156918 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.169779 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.414736 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0041962 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.00334264 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0715201 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.0416152 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0183637 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0603265 # DEPENDENCYPART_SIBL
(3,4),(3,7),-0.0168002 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0124488 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0832098 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.0662585 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.0160489 # DEPENDENCYPART_SIBL
(4,1),(4,6),-0.0077613 # DEPENDENCYPART_SIBL
(4,1),(4,7),-0.033493 # DEPENDENCYPART_SIBL
(4,1),(4,8),-0.0279327 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0409399 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0169832 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0119393 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0266885 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.0403179 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.0145388 # DEPENDENCYPART_SIBL
(4,3),(4,6),-0.0556892 # DEPENDENCYPART_SIBL
(4,3),(4,7),-0.00764392 # DEPENDENCYPART_SIBL
(4,3),(4,8),-0.0551971 # DEPENDENCYPART_SIBL
(4,5),(4,6),-0.0406655 # DEPENDENCYPART_SIBL
(4,5),(4,7),-0.00776796 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0265796 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0231365 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0767238 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.0215767 # DEPENDENCYPART_SIBL
(5,1),(5,2),0.0165954 # DEPENDENCYPART_SIBL
(5,1),(5,3),-0.0113356 # DEPENDENCYPART_SIBL
(5,1),(5,4),-0.0191229 # DEPENDENCYPART_SIBL
(5,1),(5,6),0.0387955 # DEPENDENCYPART_SIBL
(5,1),(5,7),0.0387283 # DEPENDENCYPART_SIBL
(5,1),(5,8),-0.00588358 # DEPENDENCYPART_SIBL
(5,1),(5,9),0.114616 # DEPENDENCYPART_SIBL
(5,1),(5,10),-0.0173981 # DEPENDENCYPART_SIBL
(5,1),(5,11),0.00749074 # DEPENDENCYPART_SIBL
