# _root_ Hlavním bodem je turnaj ve streetballu , což je jakási uliční varianta basketbalu na jeden koš pro zpravidla tříčlenná družstva , která si našla do Evropy cestu z USA .
#goldHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,13,19,20,17,24,24,24,12,24,25,24,24,28,0,
#predictedHeads=2,3,7,3,4,5,0,9,7,12,12,9,12,13,16,14,16,19,20,17,24,24,24,20,24,25,24,27,28,0,
(0,1),-1.17759 # DEPENDENCYPART_ARC
(0,2),-1.35596 # DEPENDENCYPART_ARC
(0,3),0.277208 # DEPENDENCYPART_ARC
(0,4),-1.28494 # DEPENDENCYPART_ARC
(0,5),-1.13807 # DEPENDENCYPART_ARC
(0,6),-2.12793 # DEPENDENCYPART_ARC
(0,7),-0.869654 # DEPENDENCYPART_ARC
(0,9),-0.56985 # DEPENDENCYPART_ARC
(0,10),-2.31864 # DEPENDENCYPART_ARC
(0,15),-2.17173 # DEPENDENCYPART_ARC
(0,21),-1.3257 # DEPENDENCYPART_ARC
(0,24),-1.27263 # DEPENDENCYPART_ARC
(0,30),1.99009 # DEPENDENCYPART_ARC
(1,2),-1.41686 # DEPENDENCYPART_ARC
(1,3),-2.48936 # DEPENDENCYPART_ARC
(1,4),-4.7448 # DEPENDENCYPART_ARC
(1,5),-1.46326 # DEPENDENCYPART_ARC
(1,7),-1.38453 # DEPENDENCYPART_ARC
(1,9),-2.96123 # DEPENDENCYPART_ARC
(2,1),2.5092 # DEPENDENCYPART_ARC
(2,3),-1.71947 # DEPENDENCYPART_ARC
(2,4),-1.76799 # DEPENDENCYPART_ARC
(2,5),-1.00457 # DEPENDENCYPART_ARC
(2,6),-2.79988 # DEPENDENCYPART_ARC
(2,9),-2.5869 # DEPENDENCYPART_ARC
(3,1),-1.43653 # DEPENDENCYPART_ARC
(3,2),0.488111 # DEPENDENCYPART_ARC
(3,4),2.09895 # DEPENDENCYPART_ARC
(3,5),0.180647 # DEPENDENCYPART_ARC
(3,6),-0.788293 # DEPENDENCYPART_ARC
(3,7),-0.567604 # DEPENDENCYPART_ARC
(3,9),-2.39443 # DEPENDENCYPART_ARC
(3,11),-1.59749 # DEPENDENCYPART_ARC
(3,12),-1.47537 # DEPENDENCYPART_ARC
(3,13),-2.87585 # DEPENDENCYPART_ARC
(3,14),-1.60762 # DEPENDENCYPART_ARC
(3,16),-1.63886 # DEPENDENCYPART_ARC
(3,17),-1.57075 # DEPENDENCYPART_ARC
(3,18),-1.61226 # DEPENDENCYPART_ARC
(3,19),-2.96787 # DEPENDENCYPART_ARC
(3,20),-2.43941 # DEPENDENCYPART_ARC
(3,21),-1.40696 # DEPENDENCYPART_ARC
(4,1),-1.74313 # DEPENDENCYPART_ARC
(4,2),-3.25614 # DEPENDENCYPART_ARC
(4,3),-2.06981 # DEPENDENCYPART_ARC
(4,5),0.954948 # DEPENDENCYPART_ARC
(4,6),-1.31064 # DEPENDENCYPART_ARC
(4,7),-0.835119 # DEPENDENCYPART_ARC
(4,9),-1.29104 # DEPENDENCYPART_ARC
(4,11),-2.69492 # DEPENDENCYPART_ARC
(4,12),-2.3101 # DEPENDENCYPART_ARC
(4,14),-1.05053 # DEPENDENCYPART_ARC
(4,17),-1.15741 # DEPENDENCYPART_ARC
(4,24),-2.12874 # DEPENDENCYPART_ARC
(5,4),-2.86994 # DEPENDENCYPART_ARC
(5,6),1.95068 # DEPENDENCYPART_ARC
(5,7),-1.43612 # DEPENDENCYPART_ARC
(6,2),-2.37807 # DEPENDENCYPART_ARC
(6,4),-1.46029 # DEPENDENCYPART_ARC
(6,5),-0.367471 # DEPENDENCYPART_ARC
(6,7),-1.22513 # DEPENDENCYPART_ARC
(6,9),-1.28794 # DEPENDENCYPART_ARC
(6,11),-3.61614 # DEPENDENCYPART_ARC
(6,12),-2.54849 # DEPENDENCYPART_ARC
(6,13),-1.48907 # DEPENDENCYPART_ARC
(6,14),-1.87882 # DEPENDENCYPART_ARC
(6,15),-3.43411 # DEPENDENCYPART_ARC
(6,24),-2.05724 # DEPENDENCYPART_ARC
(7,1),-1.93847 # DEPENDENCYPART_ARC
(7,2),-1.40899 # DEPENDENCYPART_ARC
(7,3),-0.345846 # DEPENDENCYPART_ARC
(7,4),-0.728079 # DEPENDENCYPART_ARC
(7,5),-1.19426 # DEPENDENCYPART_ARC
(7,6),-0.938401 # DEPENDENCYPART_ARC
(7,9),-0.914675 # DEPENDENCYPART_ARC
(7,10),-1.64319 # DEPENDENCYPART_ARC
(7,11),-1.64217 # DEPENDENCYPART_ARC
(7,12),-1.75639 # DEPENDENCYPART_ARC
