# _root_ Lékaři mi to udělali jakousi zrychlenou metodou , trénoval jsem už po dvou týdnech místo šesti , jenže stejně jsem přišel o část letní přípravy .
#goldHeads=4,4,4,18,7,7,4,18,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
#predictedHeads=4,4,4,18,7,7,4,4,18,9,14,9,14,12,9,15,18,0,21,21,18,21,22,25,23,0,
(0,1),-1.18585 # DEPENDENCYPART_ARC
(0,2),-2.34857 # DEPENDENCYPART_ARC
(0,4),-0.956947 # DEPENDENCYPART_ARC
(0,5),-2.47195 # DEPENDENCYPART_ARC
(0,8),-1.52612 # DEPENDENCYPART_ARC
(0,9),-0.0866411 # DEPENDENCYPART_ARC
(0,10),-1.06128 # DEPENDENCYPART_ARC
(0,16),-2.25069 # DEPENDENCYPART_ARC
(0,17),-1.36715 # DEPENDENCYPART_ARC
(0,18),-1.07479 # DEPENDENCYPART_ARC
(0,20),-2.24648 # DEPENDENCYPART_ARC
(0,21),-2.22351 # DEPENDENCYPART_ARC
(0,26),2.0652 # DEPENDENCYPART_ARC
(1,3),-1.93521 # DEPENDENCYPART_ARC
(1,4),-1.10301 # DEPENDENCYPART_ARC
(1,6),-3.69914 # DEPENDENCYPART_ARC
(1,7),-3.73883 # DEPENDENCYPART_ARC
(1,8),-1.07466 # DEPENDENCYPART_ARC
(1,9),-2.73481 # DEPENDENCYPART_ARC
(2,1),-2.09869 # DEPENDENCYPART_ARC
(2,7),-2.65709 # DEPENDENCYPART_ARC
(3,1),-1.78705 # DEPENDENCYPART_ARC
(3,4),-1.2204 # DEPENDENCYPART_ARC
(3,6),-1.84245 # DEPENDENCYPART_ARC
(4,1),0.493013 # DEPENDENCYPART_ARC
(4,2),0.123794 # DEPENDENCYPART_ARC
(4,3),0.978323 # DEPENDENCYPART_ARC
(4,5),-0.443206 # DEPENDENCYPART_ARC
(4,6),-2.30541 # DEPENDENCYPART_ARC
(4,7),-0.110167 # DEPENDENCYPART_ARC
(4,8),-0.273073 # DEPENDENCYPART_ARC
(4,9),-3.07528 # DEPENDENCYPART_ARC
(4,10),-0.798649 # DEPENDENCYPART_ARC
(4,11),-1.85646 # DEPENDENCYPART_ARC
(4,12),-1.00992 # DEPENDENCYPART_ARC
(4,13),-3.22373 # DEPENDENCYPART_ARC
(4,15),-0.65433 # DEPENDENCYPART_ARC
(4,17),-1.46332 # DEPENDENCYPART_ARC
(4,18),-1.56144 # DEPENDENCYPART_ARC
(4,19),-2.1363 # DEPENDENCYPART_ARC
